,NetIncome,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2009-03,1.019B,,267.00M,267.00M,267.00M,,59.00M,59.00M,64.00M,22.00M,-449.00M,-123.00M,,,-486.00M,859.00M,,-117.00M,,-117.00M,,,271.00M,-15.00M,139.00M,,1.98B,,1.98B,21.00M,-1.997B,-1.976B,,,,1.00M,5.00M,,1.774B,1.003B,2.777B,,21.00M,1.98B,,-1.997B,,AOR,Restated
2008-12,817.00M,-132.00M,,274.00M,274.00M,,,228.00M,49.00M,-37.00M,-57.00M,29.00M,-300.00M,342.00M,26.00M,1.397B,,-178.00M,,-178.00M,,-6.00M,-398.00M,35.00M,-547.00M,,,,-1.001B,41.00M,-700.00M,-659.00M,,,,62.00M,-1.598B,,2.522B,-748.00M,1.774B,,41.00M,,,-700.00M,,,Restated
2008-09,1.158B,58.00M,,268.00M,268.00M,,,0.00,216.00M,47.00M,-224.00M,-29.00M,218.00M,-322.00M,-94.00M,1.39B,,-159.00M,,-159.00M,,-2.00M,-2.196B,32.00M,-2.325B,,,,0.00,81.00M,-19.00M,62.00M,,,,3.00M,65.00M,,3.392B,-870.00M,2.522B,,81.00M,,,-19.00M,,,
2008-06,941.00M,66.00M,,265.00M,265.00M,,,16.00M,-107.00M,-87.00M,242.00M,,-4.00M,287.00M,331.00M,1.619B,,-165.00M,,-165.00M,,0.00,-837.00M,12.00M,-990.00M,,,,-8.00M,5.00M,-1.549B,-1.544B,,,,-9.00M,-1.561B,,4.324B,-932.00M,3.392B,,5.00M,,,-1.549B,,,
2008-03,1.136B,16.00M,,266.00M,266.00M,,,,-93.00M,18.00M,118.00M,,86.00M,35.00M,164.00M,1.582B,,-170.00M,,-170.00M,,-48.00M,866.00M,49.00M,697.00M,,,,,28.00M,,28.00M,,,,-7.00M,21.00M,,2.024B,2.30B,4.324B,,28.00M,,,,,,
2007-12,835.00M,-298.00M,,302.00M,302.00M,,,275.00M,53.00M,5.00M,-62.00M,-51.00M,335.00M,,280.00M,1.53B,,-234.00M,,-234.00M,,1.00M,-525.00M,61.00M,-697.00M,,,,-138.00M,33.00M,-100.00M,-67.00M,,,,7.00M,-198.00M,,1.389B,635.00M,2.024B,,33.00M,,,-100.00M,,,
2007-09,201.00M,379.00M,,374.00M,374.00M,,,362.00M,24.00M,138.00M,-107.00M,-68.00M,332.00M,-47.00M,272.00M,1.588B,,-306.00M,,-306.00M,,-698.00M,-939.00M,-12.00M,-1.955B,,,,1.00M,39.00M,0.00,39.00M,,,,-11.00M,29.00M,,1.727B,-338.00M,1.389B,,39.00M,,,0.00,,,
2007-06,1.019B,-193.00M,,282.00M,282.00M,,,620.00M,-6.00M,-51.00M,-58.00M,,-277.00M,54.00M,-338.00M,1.39B,,-402.00M,,-402.00M,,,172.00M,-37.00M,-267.00M,,,,3.981B,67.00M,-4.463B,-4.396B,,,,-48.00M,-463.00M,,1.067B,660.00M,1.727B,,67.00M,,,-4.463B,,,
2007-03,1.111B,193.00M,,244.00M,244.00M,,,,-33.00M,-201.00M,46.00M,,-460.00M,-7.00M,-655.00M,893.00M,,-325.00M,,-325.00M,,,1.24B,12.00M,927.00M,,,,-1.702B,138.00M,-537.00M,-399.00M,,,,65.00M,-2.036B,,1.283B,-216.00M,1.067B,,138.00M,,,-537.00M,,,
2006-12,833.00M,96.00M,,200.00M,200.00M,,,151.00M,0.00,-183.00M,-13.00M,,97.00M,607.00M,502.00M,1.242B,,-384.00M,,-384.00M,,-279.00M,-465.00M,-74.00M,-1.202B,,,,-1.00M,161.00M,-245.00M,-84.00M,,,,37.00M,-48.00M,,1.291B,-8.00M,1.283B,,161.00M,,,-245.00M,,,
2006-09,1.102B,16.00M,,287.00M,287.00M,,,98.00M,-106.00M,-185.00M,-99.00M,,527.00M,-67.00M,70.00M,1.573B,,-376.00M,,-376.00M,,0.00,-1.466B,-45.00M,-1.887B,,,,1.00M,916.00M,-505.00M,411.00M,,,,-754.00M,-342.00M,,1.947B,-656.00M,1.291B,,916.00M,,,-505.00M,,,
