,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2003-09,470.50M,470.50M,344.40M,126.10M,57.20M,20.10M,8.90M,,,,77.30M,48.80M,,,-39.90M,,-14.50M,-11.10M,-3.40M,,,-0.40M,-3.40M,-8.74M,80.10M,31.30M,48.80M,-0.025,0.0,,,-0.0643,-0.025,-0.025,0.0,,,-0.0643,-0.025,136.00M,136.00M,0.0
2003-06,510.00M,510.00M,370.70M,139.30M,60.30M,22.00M,,,,,82.30M,57.00M,,,-5.20M,,28.00M,6.30M,21.70M,,,-0.40M,21.70M,21.70M,87.90M,30.90M,57.00M,0.155,0.0,,,0.155,0.155,0.1525,0.0,,,0.1525,0.1525,140.00M,142.30M,0.0
2003-03,434.00M,434.00M,325.20M,108.80M,56.80M,20.10M,,,,,76.90M,31.90M,,,-3.50M,,2.40M,0.50M,1.90M,,,-0.70M,1.90M,1.90M,62.40M,30.50M,31.90M,0.0125,0.0,,,0.0125,0.0125,0.0125,0.0,,,0.0125,0.0125,152.00M,152.00M,0.0
2002-12,459.70M,459.70M,329.70M,130.00M,52.90M,21.60M,-15.70M,,,,74.50M,55.50M,,,-15.60M,,15.10M,2.40M,12.70M,,,-1.30M,9.40M,25.90M,85.30M,29.80M,55.50M,0.0875,-0.025,,,0.1809,0.0625,0.0875,-0.025,,,0.1809,0.0625,141.35M,141.35M,0.0
2002-09,476.60M,476.60M,350.10M,126.50M,55.70M,19.40M,,,,,75.10M,51.40M,,,3.60M,,38.30M,10.10M,28.20M,,,-1.00M,28.20M,28.20M,85.00M,33.60M,51.40M,0.2,0.0,,,0.2,0.2,0.1975,0.0,,,0.1975,0.1975,141.00M,142.78M,0.0
2002-06,482.40M,482.40M,356.20M,126.20M,57.70M,20.40M,-7.40M,,,,78.10M,48.10M,,,-7.40M,,23.10M,3.90M,19.20M,,,-0.60M,19.20M,25.35M,77.30M,29.20M,48.10M,0.0738,0.0,,,0.0973,0.0738,0.0712,0.0,,,0.0942,0.0712,260.74M,268.46M,0.0
2002-03,434.20M,434.20M,322.80M,111.40M,57.90M,20.60M,-7.00M,,,,78.50M,32.90M,,,-7.00M,,10.00M,1.00M,9.00M,,,-0.50M,9.00M,15.30M,59.10M,26.20M,32.90M,0.0362,0.0,,,0.0613,0.0362,0.035,0.0,,,0.0593,0.035,251.82M,259.29M,0.0
2001-12,489.80M,489.80M,350.60M,139.20M,385.00M,25.90M,227.20M,,,,87.80M,51.40M,,,222.30M,,-64.30M,-28.60M,-35.70M,3.00M,0.00,-0.80M,-32.70M,-172.02M,87.70M,36.30M,51.40M,-0.2851,0.024,0.0,,-1.374,-0.2611,-0.2851,0.024,0.0,,-1.374,-0.2611,125.22M,125.22M,0.0
2001-09,482.80M,482.80M,367.40M,115.40M,55.80M,25.00M,-8.50M,,,,80.80M,34.60M,,,-3.80M,,15.50M,1.60M,13.90M,7.40M,,-0.90M,21.30M,21.52M,34.60M,-1.00M,34.60M,0.055,0.03,,,0.0855,0.085,0.0538,0.0288,,,0.0835,0.0825,250.08M,255.92M,0.0
2001-06,1.001B,1.001B,733.40M,267.90M,134.50M,41.30M,-507.60M,,,323.10M,498.90M,-231.00M,,,-507.60M,,-440.10M,-140.30M,-299.80M,,,-2.00M,-299.80M,45.98M,-180.70M,50.30M,-231.00M,-2.405,0.0,,,0.3657,-2.405,-2.405,0.0,,,0.3657,-2.405,124.80M,124.80M,0.0
2001-03,876.60M,876.60M,660.90M,215.70M,133.40M,36.60M,-11.50M,,,1.30M,171.30M,44.40M,,,-11.50M,,12.50M,33.40M,-20.90M,,-5.60M,-0.40M,-26.50M,-14.00M,90.40M,46.00M,44.40M,-0.17,-0.045,0.0,,-0.114,-0.215,-0.17,-0.045,-0.0455,,-0.114,-0.215,123.20M,123.20M,0.0
2000-12,-923.00M,-923.00M,-721.60M,-201.40M,-156.60M,-13.40M,21.40M,,,,-181.60M,-19.80M,,,21.40M,,0.40M,2.10M,-1.70M,51.70M,,-1.90M,50.00M,-14.54M,-19.80M,-11.90M,-19.80M,-0.0139,0.4218,,,-0.1186,0.4079,-0.0139,0.4218,,,-0.1186,0.4079,122.58M,122.58M,0.0
2000-09,958.60M,958.60M,696.60M,262.00M,125.10M,35.30M,,,,,160.40M,101.60M,,,,,74.90M,18.40M,56.50M,-66.70M,,-1.20M,-10.20M,56.50M,147.60M,46.00M,101.60M,0.2325,-0.275,,,0.2325,-0.0425,0.2238,-0.275,,,0.2238,-0.0425,252.80M,252.80M,0.0
