,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
1994-06,,296.00M,,296.00M,,,1.691B,,,,1.788B,,,517.00M,4.292B,,,,,,,4.629B,-1.984B,2.645B,,2.468B,2.468B,,,,876.00M,5.989B,10.28B,,2.148B,,,,2.148B,,2.148B,,,,,643.00M,,643.00M,,,,,2.791B,,2.565B,,2.565B,238.00M,,238.00M,,,1.184B,3.987B,6.778B,,,1.588B,,,,,3.503B,,,
1994-03,,472.00M,,472.00M,,,1.651B,,,,1.80B,,,496.00M,4.419B,,,,,,,4.534B,-1.901B,2.633B,,2.479B,2.479B,,,,972.00M,6.084B,10.50B,,1.994B,,,,1.994B,,1.994B,,,,,913.00M,,913.00M,,,,,2.907B,,2.704B,,2.704B,209.00M,,209.00M,,,1.421B,4.334B,7.241B,,,1.513B,,,,,3.262B,,,
1993-12,,479.00M,,479.00M,1.676B,,1.676B,,,,1.772B,,,495.00M,4.422B,,,,,,,4.491B,-1.836B,2.655B,,2.49B,2.49B,,,,978.00M,6.123B,10.54B,,1.783B,,,,1.783B,,1.783B,,,,,822.00M,,822.00M,,,,328.00M,2.933B,,2.80B,,2.80B,201.00M,,201.00M,,,1.426B,4.427B,7.36B,,,1.452B,,,,,3.185B,,,
1993-09,,478.00M,,478.00M,,,1.58B,,,,1.793B,,,410.00M,4.261B,,,,,,,4.373B,-1.719B,2.654B,,2.499B,2.499B,,,,482.00M,5.635B,9.896B,,1.749B,,,,1.749B,,1.749B,,,,,770.00M,,770.00M,,,,,2.519B,,2.80B,,2.80B,328.00M,,328.00M,,,381.00M,3.509B,6.028B,,,2.124B,,,,,3.868B,,,
1993-06,,429.00M,,429.00M,,,1.586B,,,,1.743B,,,398.00M,4.156B,,,,,,,4.295B,-1.66B,2.635B,,2.516B,2.516B,,,,466.00M,5.617B,9.773B,,1.706B,,,,1.706B,,1.706B,,,,,881.00M,,881.00M,,,,,2.587B,,2.628B,,2.628B,320.00M,,320.00M,,,390.00M,3.338B,5.925B,,,2.058B,,,,,3.848B,,,
1993-03,,324.00M,,324.00M,,,1.59B,,,,1.733B,,,410.00M,4.057B,,,,,,,4.268B,-1.624B,2.644B,,2.512B,2.512B,,,,431.00M,5.587B,9.644B,,1.857B,,,,1.857B,,1.857B,,,,,684.00M,,684.00M,,,,,2.541B,,2.645B,,2.645B,297.00M,,297.00M,,,387.00M,3.329B,5.87B,,,1.996B,,,,,3.774B,,,
1992-12,,32.00M,,32.00M,,,1.667B,,,,1.632B,,,258.00M,3.589B,,,,,,,4.209B,-1.562B,2.647B,,2.488B,2.488B,,,,431.00M,5.566B,9.155B,,1.479B,,,,1.479B,,1.479B,,,,,500.00M,,500.00M,,,,389.00M,2.368B,,2.433B,,2.433B,174.00M,,174.00M,,,385.00M,2.992B,5.36B,,,1.928B,,,,,3.795B,,,
1992-09,,150.00M,,150.00M,,,1.622B,,,,1.661B,,,279.00M,3.712B,,,,,,,4.146B,-1.565B,2.581B,,2.486B,2.486B,,,,770.00M,5.837B,9.549B,,1.904B,,,,1.904B,,1.904B,,,,,661.00M,,661.00M,,,,,2.565B,,2.302B,,2.302B,242.00M,,242.00M,,,95.00M,2.639B,5.204B,,,2.329B,,,,,4.345B,,,
1992-06,,90.00M,,90.00M,,,1.537B,,,,1.583B,,,272.00M,3.482B,,,,,,,4.001B,-1.526B,2.475B,,2.477B,2.477B,,,,705.00M,5.657B,9.139B,,1.811B,,,,1.811B,,1.811B,,,,,344.00M,,344.00M,,,,,2.155B,,2.519B,,2.519B,235.00M,,235.00M,,,90.00M,2.844B,4.999B,,,2.216B,,,,,4.14B,,,
1992-03,,401.00M,,401.00M,,,1.71B,,,,1.652B,,,291.00M,4.054B,,,,,,,4.001B,-1.534B,2.467B,,2.476B,2.476B,,,,389.00M,5.332B,9.386B,,1.847B,,,,1.847B,,1.847B,,,,,774.00M,,774.00M,,,,,2.621B,,2.35B,,2.35B,245.00M,,245.00M,,,107.00M,2.702B,5.323B,,,2.149B,,,,,4.063B,,,
1991-12,,328.00M,,328.00M,,,1.778B,,,,1.596B,,,302.00M,4.004B,,,,,,,3.966B,-1.511B,2.455B,,2.501B,2.501B,,,,380.00M,5.336B,9.34B,,1.574B,,,,1.574B,,1.574B,,,,,389.00M,,389.00M,,,,394.00M,2.357B,,2.249B,,2.249B,238.00M,,238.00M,,,123.00M,2.61B,4.967B,,339.00M,2.083B,,,339.00M,,4.373B,,,
1991-09,,245.00M,,245.00M,,,1.646B,,,,1.616B,,,312.00M,3.819B,,,,,,,3.729B,-1.474B,2.255B,,2.518B,2.518B,,,,382.00M,5.155B,8.974B,,1.905B,,,,1.905B,,1.905B,,,,,438.00M,,438.00M,,,,,2.343B,,2.008B,,2.008B,215.00M,,215.00M,,,122.00M,2.345B,4.688B,,339.00M,1.957B,,,339.00M,,4.286B,,,
1991-06,,247.00M,,247.00M,,,1.622B,,,,1.578B,,,318.00M,3.765B,,,,,,,3.615B,-1.437B,2.178B,,2.527B,2.527B,,,,389.00M,5.094B,8.859B,,1.843B,,,,1.843B,,1.843B,,,,,442.00M,,442.00M,,,,,2.285B,,2.04B,,2.04B,203.00M,,203.00M,,,156.00M,2.399B,4.684B,,339.00M,1.858B,,,339.00M,,4.175B,,,
1991-03,,124.00M,,124.00M,,,1.617B,,,,1.561B,,,312.00M,3.614B,,,,,,,3.596B,-1.418B,2.178B,,2.536B,2.536B,,,,374.00M,5.088B,8.702B,,1.847B,,,,1.847B,,1.847B,,,,,480.00M,,480.00M,,,,,2.327B,,1.87B,,1.87B,199.00M,,199.00M,,,150.00M,2.219B,4.546B,,339.00M,1.775B,,,339.00M,,4.156B,,,
1990-12,,40.00M,,40.00M,,,1.585B,,,,1.532B,,,286.00M,3.443B,,,,,,,3.526B,-1.357B,2.169B,,2.56B,2.56B,,,,345.00M,5.074B,8.517B,,1.504B,,,,1.504B,,1.504B,,,,,432.00M,,432.00M,,,,388.00M,2.324B,,1.729B,,1.729B,193.00M,,193.00M,,,179.00M,2.101B,4.425B,,339.00M,1.723B,,,339.00M,,4.092B,,,
1990-09,,195.00M,,195.00M,,,1.679B,,,,1.546B,,,285.00M,3.705B,,,,,,,3.367B,-1.323B,2.044B,,2.567B,2.567B,,,,338.00M,4.949B,8.654B,,1.657B,,,,1.657B,,1.657B,,,,,301.00M,,301.00M,,,,,1.958B,,2.21B,,2.21B,229.00M,,229.00M,,,307.00M,2.746B,4.704B,,835.00M,1.596B,,,835.00M,,3.95B,,,
1990-06,,117.00M,,117.00M,,,1.64B,,,,1.51B,,,279.00M,3.546B,,,,,,,3.278B,-1.272B,2.006B,,2.575B,2.575B,,,,338.00M,4.919B,8.465B,,1.541B,,,,1.541B,,1.541B,,,,,304.00M,,304.00M,,,,,1.845B,,2.238B,,2.238B,211.00M,,211.00M,,,307.00M,2.756B,4.601B,,879.00M,1.516B,,,879.00M,,3.864B,,,
1990-03,,41.00M,,41.00M,,,1.631B,,,,1.524B,,,281.00M,3.477B,,,,,,,3.237B,-1.227B,2.01B,,2.608B,2.608B,,,,361.00M,4.979B,8.456B,,1.621B,,,,1.621B,,1.621B,,,,,337.00M,,337.00M,,,,,1.958B,,2.106B,,2.106B,208.00M,,208.00M,,,328.00M,2.642B,4.60B,,880.00M,1.461B,,,880.00M,,3.856B,,,
1989-12,,67.00M,,67.00M,,,1.652B,,,,1.502B,,,203.00M,3.424B,,,,,,,3.151B,-1.048B,2.103B,,2.629B,2.629B,,,,347.00M,5.079B,8.503B,,1.204B,,,,1.204B,,1.204B,,,,,379.00M,,379.00M,,,,276.00M,1.859B,,2.048B,,2.048B,350.00M,,350.00M,,,,2.398B,4.257B,,880.00M,1.899B,,,880.00M,,4.246B,,,
1989-09,,117.00M,,117.00M,,,1.419B,,,,1.557B,,,170.00M,3.263B,,,,,,,3.07B,-1.034B,2.036B,,2.681B,2.681B,,,,501.00M,5.218B,8.481B,,1.367B,,,,1.367B,,1.367B,,,,,453.00M,,453.00M,,,,,1.82B,,2.183B,,2.183B,365.00M,,365.00M,,,,2.548B,4.368B,,880.00M,1.81B,,,880.00M,,4.113B,,,
1989-06,,108.00M,,108.00M,,,1.403B,,,,1.529B,,,177.00M,3.217B,,,,,,,2.992B,-984.00M,2.008B,,2.676B,2.676B,,,,480.00M,5.164B,8.381B,,1.322B,,,,1.322B,,1.322B,,,,,441.00M,,441.00M,,,,,1.763B,,2.214B,,2.214B,364.00M,,364.00M,,,,2.578B,4.341B,,880.00M,1.758B,,,880.00M,,4.04B,,,
1989-03,,147.00M,,147.00M,,,1.412B,,,,1.557B,,,191.00M,3.307B,,,,,,,2.972B,-952.00M,2.02B,,2.702B,2.702B,,,,510.00M,5.232B,8.539B,,1.362B,,,,1.362B,,1.362B,,,,,492.00M,,492.00M,,,,,1.854B,,2.293B,,2.293B,376.00M,,376.00M,,,,2.669B,4.523B,,880.00M,1.705B,,,880.00M,,4.016B,,,
1988-12,,201.00M,,201.00M,,,1.437B,,,,1.512B,,,173.00M,3.323B,,,,,,,2.935B,-911.00M,2.024B,,2.858B,2.858B,,,,345.00M,5.227B,8.55B,,,,,,,,,,,,,530.00M,,530.00M,,,,1.356B,1.886B,,2.311B,,2.311B,377.00M,,377.00M,,,880.00M,3.568B,5.454B,,,1.654B,,,,,3.096B,,,
1987-12,,51.00M,,51.00M,,,1.279B,,,,1.279B,,,149.00M,2.758B,,,,,,,2.567B,-791.00M,1.776B,,2.688B,2.688B,,,,416.00M,4.88B,7.638B,,,,,,,,,,,,,432.00M,,432.00M,,,,1.445B,1.877B,,1.723B,,1.723B,325.00M,,325.00M,,,880.00M,2.928B,4.805B,,,1.451B,,,,,2.833B,,,
1986-12,,21.00M,,21.00M,,,1.131B,,,,1.085B,,,107.00M,2.344B,,,,,,,2.262B,-628.00M,1.634B,,2.758B,2.758B,,,,332.00M,4.724B,7.068B,,,,,,,,,,,,,272.00M,,272.00M,,,,1.609B,1.881B,,1.568B,,1.568B,249.00M,,249.00M,,,880.00M,2.697B,4.578B,,,1.253B,,,,,2.49B,,,
1985-12,,274.00M,,274.00M,,,933.00M,,,,1.037B,,,121.00M,2.365B,,,,,,,2.209B,-527.00M,1.682B,,2.385B,2.385B,,,,407.00M,4.474B,6.839B,,,,,,,,,,,,,168.00M,,168.00M,,,,1.052B,1.22B,,2.58B,,2.58B,76.00M,,76.00M,,,881.00M,3.537B,4.757B,,,955.00M,,,,,2.082B,,,
1984-12,,182.60M,,182.60M,,,357.20M,,,,405.50M,,,79.60M,1.025B,,,,,,,1.203B,-435.00M,767.60M,,12.00M,12.00M,,,,196.30M,975.90M,2.001B,,,,,,,,,,,,,343.30M,,343.30M,,,,297.90M,641.20M,,205.90M,,205.90M,46.90M,,46.90M,,,0.10M,252.90M,894.10M,,,885.10M,,,,,1.107B,,,
