,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,EBITDA,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2008-01,5.178B,5.178B,3.905B,1.273B,985.66M,,,,,,,985.66M,286.91M,,,,,,504.01M,192.18M,311.83M,,,,,399.04M,112.13M,286.91M,,2008-01,,,0.18,0.1725,,-0.0075,,,,2008-01,1.724B,1.821B,0.0225,,2008-01,,
2007-10,4.737B,4.737B,3.541B,1.196B,792.55M,,,,,,,792.55M,403.44M,,,,,,400.39M,150.93M,249.46M,,,,,506.93M,103.49M,403.44M,,2007-10,,,0.1425,0.1425,,0.00,,,,2007-10,1.757B,1.858B,0.0225,,2007-10,,
2007-07,4.313B,4.313B,3.278B,1.036B,749.05M,-195.92M,,,,,,749.05M,286.55M,,,,-195.92M,,92.03M,33.00M,59.03M,,,,,392.77M,106.22M,286.55M,,2007-07,,,0.1026,0.0325,,0.00,,,,2007-07,1.792B,1.893B,0.0225,,2007-07,,
2007-04,4.108B,4.108B,3.117B,990.87M,729.28M,,,,,,,729.28M,261.58M,,,,,,263.66M,101.55M,162.11M,,,,,366.51M,104.92M,261.58M,,2007-04,,,0.09,0.09,,0.00,,,,2007-04,1.814B,1.916B,0.0225,,2007-04,,
2007-01,4.796B,4.796B,3.679B,1.117B,720.46M,,,,,,,720.46M,396.95M,,,,,,397.34M,143.67M,253.67M,-48.20M,,,,502.61M,105.66M,396.95M,,2007-01,,,0.14,0.115,,-0.025,,,,2007-01,1.809B,1.918B,0.0175,,2007-01,,
2006-10,4.473B,4.473B,3.334B,1.139B,756.35M,,,,,,,756.35M,382.51M,,,,,,375.73M,144.91M,230.82M,-0.207M,,,,488.26M,105.75M,382.51M,,2006-10,,,0.1275,0.1275,,0.00,,,,2006-10,1.810B,1.918B,0.035,,2006-10,,
2006-07,3.964B,3.964B,3.034B,929.34M,693.26M,,,,,,,693.26M,236.07M,,,,,,230.66M,91.84M,138.82M,-0.668M,,,,342.03M,105.96M,236.07M,,2006-07,,,0.0775,0.0775,,0.00,,,,2006-07,1.809B,1.910B,0.0175,,2006-07,,
2006-04,3.871B,3.871B,2.923B,948.41M,684.17M,,,,,,,684.17M,264.24M,,,,,,260.48M,96.62M,163.86M,-0.053M,,,,369.80M,105.56M,264.24M,,2006-04,,,0.09,0.09,,0.00,,,,2006-04,1.836B,1.940B,0.015,,2006-04,,
2006-01,4.614B,4.614B,3.546B,1.068B,711.42M,,,,,,,711.42M,356.89M,,,,,,352.29M,63.21M,288.11M,,,,,458.39M,101.50M,356.89M,,2006-01,,,0.155,0.155,,0.00,,,,2006-01,1.840B,1.938B,0.015,,2006-01,,
2005-10,4.042B,4.042B,3.072B,969.90M,702.46M,,,,,,,702.46M,267.44M,,,,,,257.32M,101.99M,155.32M,,,,,368.03M,100.59M,267.44M,,2005-10,,,0.085,0.085,,0.00,,,,2005-10,1.848B,1.946B,0.015,,2005-10,,
