,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,TotalReceivables,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,LongTermInvestments,LongTermNotesReceivable,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,TotalPayables,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2001-03,25.36M,,25.36M,,,49.10M,,,74.46M,,,,,,,,2.717B,222.52M,,,,2.939B,3.206B,,,239.42M,239.42M,,,,239.42M,1.090B,,1.090B,,,,1.090B,1.486B,1.953M,-109.36M,1.831B,1.318M,-1.122M,1.720B
2000-12,,,,,,,,,,,,,,,,,,,,,,,3.175B,,,,,,,,,,,,,,,,1.467B,,,,,,1.708B
2000-09,43.79M,,43.79M,,,41.60M,,,85.39M,,,,,,,,2.708B,198.18M,,,,2.906B,3.146B,,,253.02M,253.02M,,,,253.02M,1.035B,,1.035B,,,,1.035B,1.446B,1.948M,-114.94M,1.816B,1.318M,,1.700B
2000-06,18.74M,,18.74M,,,37.10M,,,55.84M,,,,,,,,2.713B,190.64M,,,,2.903B,3.094B,,,245.14M,245.14M,,,,245.14M,1.072B,,1.072B,,,,1.072B,1.470B,1.93M,-117.02M,1.743B,1.318M,,1.624B
2000-03,38.56M,,38.56M,,,39.69M,,,78.25M,,,,,,,,2.672B,192.34M,,,,2.864B,3.074B,,,227.76M,227.76M,,,,227.76M,1.082B,,1.082B,,,,1.082B,1.467B,1.937M,-121.00M,1.730B,1.329M,,1.608B
1999-12,,,,,,,,,,,,,,,,,2.627B,,,,,2.627B,3.011B,,,,,,,,,1.250B,,1.250B,,,,1.250B,1.402B,0.608M,-122.96M,1.730B,,,1.609B
1999-09,,,,,,,,,,,,,,,,,2.539B,,,,,2.539B,2.914B,,,,,,,,,1.141B,,1.141B,,,,1.141B,1.309B,0.60M,-125.50M,1.728B,,,1.605B
1999-06,,,,,,,,,,,,,,,,,2.485B,,,,,2.485B,2.848B,,,,,,,,,1.110B,,1.110B,,,,1.110B,1.263B,,-128.00M,,,,1.585B
1999-03,,,,,,,,,,,,,,,,,2.865B,,,,,2.865B,3.147B,,,,,,,,,1.382B,,1.382B,,,,1.382B,1.564B,,-127.40M,,,,1.583B
1998-12,,,,,,,,,,,,,,,,,2.768B,,,,,2.768B,3.051B,,,,,,,,,1.290B,,1.290B,13.00M,,,1.290B,1.453B,0.60M,-124.20M,1.707B,,,1.585B
1998-09,,,,,,,,,,,,,,,,,2.651B,,,,,2.651B,2.875B,,,,,,,,,1.132B,,1.132B,,,,1.132B,1.315B,,-117.90M,,,,1.560B
1998-06,,,,,,,,,,,,,,,,,2.311B,,,,,2.311B,2.529B,,,,,,,,,930.50M,,930.50M,,,,930.50M,1.043B,,-133.30M,,,,1.486B
