,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
1996-09,126.20M,,126.20M,17.60M,,17.60M,,,,83.40M,,,112.30M,339.50M,,,,,,,,457.50M,-88.00M,369.50M,,,,,,17.60M,387.10M,726.60M,,38.00M,,,,38.00M,,38.00M,,,,,,,,63.10M,101.10M,,166.70M,,166.70M,7.10M,,7.10M,,,,173.80M,274.90M,,,90.40M,,,,,,451.70M,,,
1996-06,139.90M,,139.90M,15.10M,,15.10M,,,,76.90M,,,100.60M,332.50M,,,,,,,,412.60M,-78.30M,334.30M,,,,,,13.40M,347.70M,680.20M,,23.70M,,,,23.70M,,23.70M,,,,,,,,53.70M,77.40M,,166.00M,,166.00M,5.90M,,5.90M,,,,171.90M,249.30M,,,75.60M,,,,,,430.90M,,,
1996-03,131.10M,,131.10M,12.10M,,12.10M,,,,90.80M,,,101.10M,335.10M,,,,,,,,371.00M,-68.30M,302.70M,,,,,,14.20M,316.90M,652.00M,,19.80M,,,,19.80M,,19.80M,,,,,,,,45.60M,65.40M,,245.80M,,245.80M,5.10M,,5.10M,,,,250.90M,316.30M,,,66.00M,,,,,,335.70M,,,
1995-12,165.00M,,165.00M,9.80M,,9.80M,,,,109.10M,,,63.10M,347.00M,,,,,,,,333.50M,-59.30M,274.20M,,,,,,22.70M,296.90M,643.90M,,20.60M,,,,20.60M,,20.60M,,,,,,,,49.50M,70.10M,,245.90M,,245.90M,4.90M,,4.90M,,,,250.80M,320.90M,,,55.70M,,,,,,323.00M,,,
1995-09,20.90M,,20.90M,10.20M,,10.20M,,,,123.70M,,,50.90M,205.70M,,,,,,,,296.90M,-52.20M,244.70M,,,,,,17.80M,262.50M,468.20M,,28.70M,,,,28.70M,,28.70M,,,,,,,,42.30M,71.00M,,81.30M,,81.30M,3.50M,,3.50M,,,0.20M,85.00M,156.00M,,,46.60M,,,,,,312.20M,,,
1995-06,24.10M,,24.10M,8.30M,,8.30M,,,,87.90M,,,91.20M,211.50M,,,,,,,,244.30M,-30.00M,214.30M,,,,,,18.20M,232.50M,444.00M,,18.00M,,,,18.00M,,18.00M,,,8.60M,,8.60M,,,35.90M,62.50M,,80.50M,,80.50M,1.60M,,1.60M,,,-0.10M,82.00M,144.50M,,,40.70M,,,,,,299.50M,,,
1995-03,34.70M,,34.70M,8.60M,,8.60M,,,,67.20M,,,108.70M,219.20M,,,,,,,,216.00M,-30.00M,186.00M,,,,,,17.70M,203.70M,422.90M,,17.30M,,,,17.30M,,17.30M,,,5.20M,,5.20M,,,27.60M,50.10M,,80.50M,,80.50M,1.90M,,1.90M,,,,82.40M,132.50M,,,33.40M,,,,,,290.40M,,,
1994-12,123.90M,,123.90M,7.80M,,7.80M,,,,66.20M,,,55.40M,253.30M,,,,,,,,191.10M,-30.00M,161.10M,,,,,,5.90M,167.00M,420.30M,,13.70M,,,,13.70M,,13.70M,,,,,,,,40.70M,54.40M,,80.50M,,80.50M,1.10M,,1.10M,,,,81.60M,136.00M,,,28.40M,,,,,,284.30M,,,
1994-09,8.40M,,8.40M,5.40M,,5.40M,,,,56.10M,,,14.70M,84.60M,,,,,,,,170.80M,-30.00M,140.80M,,,,,,6.00M,146.80M,231.40M,,9.10M,,,,9.10M,,9.10M,,,,,,,,31.30M,40.40M,,80.50M,,80.50M,0.60M,,0.60M,,,,81.10M,121.50M,,,20.00M,,,,,,109.90M,,,
1994-06,14.70M,,14.70M,4.70M,,4.70M,,,,36.90M,,,24.70M,81.00M,,,,,,,,141.00M,-18.00M,123.00M,,,,,,18.20M,141.20M,222.20M,,5.70M,,,,5.70M,,5.70M,,,13.50M,,13.50M,,,19.50M,38.70M,,80.50M,,80.50M,,,,,,,80.50M,119.20M,,,15.80M,,,,,,103.00M,,,
1994-03,10.00M,,10.00M,3.70M,,3.70M,,,,25.00M,,,29.80M,68.50M,,,,,,,,121.10M,-18.00M,103.10M,,,,,,35.80M,138.90M,207.40M,,29.10M,,,,29.10M,,29.10M,,,,,,,,,29.10M,,80.50M,,80.50M,,,,,,,80.50M,109.60M,,,14.30M,,,,,,97.80M,,,
1993-12,26.90M,,26.90M,3.50M,,3.50M,,,,25.30M,,,29.30M,85.00M,,,,,,,,94.50M,-18.00M,76.50M,,,,,,42.80M,119.30M,204.30M,,3.90M,,,,3.90M,,3.90M,,,,,,,,24.80M,28.70M,,80.50M,,80.50M,,,,,,0.10M,80.60M,109.30M,,,14.30M,,,,,,95.00M,,,
1993-09,16.40M,,16.40M,2.90M,,2.90M,,,,24.20M,,,22.70M,66.20M,,,,,,,,81.60M,-15.80M,65.80M,,,,,,61.00M,126.80M,193.00M,,5.70M,,,,5.70M,,5.70M,,,6.20M,,6.20M,,,12.50M,24.40M,,80.50M,,80.50M,,,,,,,80.50M,104.90M,,,9.40M,,,,,,88.10M,,,
1993-06,7.00M,,7.00M,2.40M,,2.40M,,,,14.40M,,,25.60M,49.40M,,,,,,,,60.00M,-9.40M,50.60M,,,,,,2.50M,53.10M,102.50M,,2.20M,,,,2.20M,,2.20M,,,6.70M,,6.70M,,,7.90M,16.80M,,,,,,,,,,,,16.80M,,,7.60M,,,,,,85.70M,,,
1993-03,5.20M,,5.20M,2.00M,,2.00M,,,,11.10M,,,32.80M,51.10M,,,,,,,,52.90M,-9.40M,43.50M,,,,,,2.10M,45.60M,96.70M,,2.10M,,,,2.10M,,2.10M,,,5.90M,,5.90M,,,6.10M,14.10M,,,,,,,,,,,,14.10M,,,5.80M,,,,,,82.60M,,,
1992-12,17.00M,,17.00M,1.60M,,1.60M,,,,11.10M,,,31.00M,60.70M,,,,,,,,46.30M,-9.40M,36.90M,,,,,,1.40M,38.30M,99.00M,,6.90M,,,,6.90M,,6.90M,,,5.80M,,5.80M,,,6.90M,19.60M,,,,,,,,,,,,19.60M,,,4.60M,,,,,,79.40M,,,
1992-09,20.80M,,20.80M,1.60M,,1.60M,,,,11.70M,,,19.10M,53.20M,,,,,,,,43.00M,-9.40M,33.60M,,,,,,1.10M,34.70M,87.90M,,4.00M,,,,4.00M,,4.00M,,,4.60M,,4.60M,,,4.00M,12.60M,,,,,,,,,,,,12.60M,,,1.40M,,,,,,75.30M,,,
1992-06,9.40M,,9.40M,1.10M,,1.10M,,,,8.80M,,,1.50M,20.80M,,,,,,,,38.90M,-8.70M,30.20M,,,,,,1.60M,31.80M,52.60M,,1.90M,,,,1.90M,,1.90M,,,,,,,,5.40M,7.30M,,,,,,,,,,,,7.30M,,36.90M,0.50M,,36.90M,,,,45.30M,,,
1992-03,12.60M,,12.60M,1.00M,,1.00M,,,,8.30M,,,1.70M,23.60M,,,,,,,,34.60M,-7.60M,27.00M,,,,,,0.90M,27.90M,51.50M,,1.70M,,,,1.70M,,1.70M,,,,,,,,6.10M,7.80M,,,,,,,,,,,,7.80M,,36.10M,0.60M,,36.10M,,,,43.70M,,,
1991-09,1.10M,,1.10M,0.90M,,0.90M,,,,8.10M,,,1.30M,11.40M,,,,,,,,28.10M,-5.80M,22.30M,,,,,,4.10M,26.40M,37.80M,,3.10M,,,,3.10M,,3.10M,,,0.70M,,0.70M,,,4.40M,8.20M,,7.50M,,7.50M,,,,,,,7.50M,15.70M,,14.80M,-0.10M,,14.80M,,,,22.10M,,,
