,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,NotesReceivable,TotalReceivables,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,MinimumPensionLiabilities,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
1994-03,255.00M,,255.00M,,,689.00M,261.00M,119.00M,313.00M,1.637B,,,,,,18.67B,-6.374B,12.29B,1.313B,1.313B,,911.00M,14.52B,16.16B,,443.00M,,221.00M,,664.00M,,664.00M,,130.00M,,130.00M,1.211B,2.005B,,4.853B,,4.853B,2.747B,2.747B,,618.00M,,,844.00M,9.062B,11.07B,,577.00M,4.73B,1.389B,1.608B,,,,,5.088B,,,
1993-12,113.00M,,113.00M,,,651.00M,252.00M,,366.00M,1.382B,,,,,,17.86B,-6.419B,11.44B,1.553B,1.553B,,625.00M,13.62B,15.00B,,477.00M,,,,477.00M,,477.00M,,115.00M,,115.00M,1.497B,2.089B,,4.069B,,4.069B,2.676B,2.676B,,,,,1.282B,8.027B,10.12B,,,4.529B,,,,,,,4.885B,,,Restated
1993-09,117.00M,,117.00M,,,599.00M,258.00M,,303.00M,1.277B,,,,,,17.49B,-6.30B,11.19B,1.331B,1.331B,,879.00M,13.40B,14.68B,,386.00M,,,,386.00M,,386.00M,,111.00M,,111.00M,1.50B,1.997B,,3.978B,,3.978B,2.532B,2.532B,,,,,1.437B,7.947B,9.944B,,,4.376B,,,,,,,4.732B,,,
1993-06,123.00M,,123.00M,,,515.00M,259.00M,,326.00M,1.223B,,,,,,17.13B,-6.153B,10.98B,1.34B,1.34B,,851.00M,13.17B,14.39B,,366.00M,,,,366.00M,,366.00M,,104.00M,,104.00M,1.40B,1.87B,,3.964B,,3.964B,2.429B,2.429B,,,,,1.422B,7.815B,9.685B,,,4.349B,,,,,,,4.705B,,,
1993-03,167.00M,,167.00M,,,544.00M,243.00M,,330.00M,1.284B,,,,,,16.78B,-5.961B,10.82B,1.284B,1.284B,,860.00M,12.96B,14.24B,,378.00M,,,,378.00M,,378.00M,,106.00M,,106.00M,1.422B,1.906B,,3.928B,,3.928B,2.411B,2.411B,,,,,1.418B,7.757B,9.663B,,,4.227B,,,,,,,4.581B,,,
1992-12,245.00M,,245.00M,,,575.00M,244.00M,,317.00M,1.381B,,,,,,16.38B,-5.785B,10.60B,1.513B,1.513B,,604.00M,12.72B,14.10B,,523.00M,,,,523.00M,,523.00M,,110.00M,,110.00M,1.451B,2.084B,,3.989B,,3.989B,2.376B,2.376B,,,,,1.01B,7.375B,9.459B,,,4.338B,,,,,,,4.639B,,,
1992-09,102.00M,,102.00M,,,580.00M,238.00M,,300.00M,1.22B,,,,,,16.18B,-5.702B,10.48B,1.296B,1.296B,,807.00M,12.58B,13.80B,,381.00M,,,,381.00M,,381.00M,,155.00M,,155.00M,1.45B,1.986B,,3.943B,,3.943B,2.248B,2.248B,,,,,1.127B,7.318B,9.304B,,,4.221B,,,,,,,4.501B,,,
1992-06,114.00M,,114.00M,,,581.00M,233.00M,,315.00M,1.243B,,,,,,15.89B,-5.562B,10.32B,1.304B,1.304B,,817.00M,12.45B,13.69B,,358.00M,,,,358.00M,,358.00M,,151.00M,,151.00M,1.411B,1.92B,,4.078B,,4.078B,2.193B,2.193B,,,,,1.112B,7.383B,9.303B,,,4.112B,,,,,,,4.386B,,,
1992-03,94.00M,,94.00M,,,510.00M,237.00M,,310.00M,1.151B,,,,,,15.64B,-5.444B,10.20B,1.313B,1.313B,,783.00M,12.29B,13.44B,,328.00M,,,,328.00M,,328.00M,,139.00M,,139.00M,1.388B,1.855B,,4.032B,,4.032B,2.159B,2.159B,,,,,1.155B,7.346B,9.201B,,,3.975B,,,,,,,4.243B,,,
1991-12,144.00M,,144.00M,,,516.00M,222.00M,,286.00M,1.168B,,,,,,15.33B,-5.282B,10.05B,1.556B,1.556B,,551.00M,12.16B,13.33B,,394.00M,,,,394.00M,,394.00M,,137.00M,,137.00M,1.337B,1.868B,,3.913B,,3.913B,2.13B,2.13B,,,,,1.252B,7.295B,9.163B,,,3.899B,,,,,,,4.163B,,,
1991-09,128.00M,,128.00M,,,491.00M,237.00M,,270.00M,1.126B,,,,,,15.11B,-5.206B,9.904B,1.329B,1.329B,,791.00M,12.02B,13.15B,,310.00M,,,,310.00M,,310.00M,,126.00M,,126.00M,1.392B,1.828B,,3.988B,,3.988B,2.033B,2.033B,,,,,1.275B,7.296B,9.124B,,,3.786B,,,,,,,4.026B,,,
1991-06,140.00M,,140.00M,,,501.00M,224.00M,,280.00M,1.145B,,,,,,14.83B,-4.915B,9.919B,1.557B,1.557B,,534.00M,12.01B,13.16B,,308.00M,,,,308.00M,,308.00M,,158.00M,,158.00M,1.264B,1.73B,,3.921B,,3.921B,2.27B,2.27B,,,,,757.00M,6.948B,8.678B,,,4.513B,,,,,,,4.477B,,,
1991-03,65.00M,,65.00M,,,556.00M,241.00M,,288.00M,1.15B,,,,,,14.64B,-4.786B,9.849B,1.559B,1.559B,,498.00M,11.91B,13.06B,,308.00M,,,,308.00M,,308.00M,,160.00M,,160.00M,1.263B,1.731B,,3.948B,,3.948B,2.241B,2.241B,,,,,783.00M,6.972B,8.703B,,,4.423B,,,,,,,4.353B,,,
1990-12,169.00M,,169.00M,,,545.00M,243.00M,,298.00M,1.255B,,,,,,14.36B,-4.605B,9.751B,1.585B,1.585B,,487.00M,11.82B,13.08B,,343.00M,,,,343.00M,,343.00M,,201.00M,,201.00M,1.27B,1.814B,,3.883B,,3.883B,2.257B,2.257B,,,,,847.00M,6.987B,8.801B,,,4.353B,,,,,,,4.277B,,,
1990-09,124.00M,,124.00M,,,561.00M,241.00M,,281.00M,1.207B,,,,,,13.95B,-4.422B,9.529B,1.511B,1.511B,,469.00M,11.51B,12.72B,,288.00M,,,,288.00M,,288.00M,,204.00M,,204.00M,1.275B,1.767B,,3.866B,,3.866B,2.199B,2.199B,,,,,744.00M,6.809B,8.576B,,,4.239B,,,,,,,4.14B,,,
1990-06,110.00M,,110.00M,,,503.00M,247.00M,,315.00M,1.175B,,,,,,13.74B,-4.293B,9.451B,1.482B,1.482B,,501.00M,11.43B,12.61B,,288.00M,,,,288.00M,,288.00M,,199.00M,,199.00M,1.277B,1.764B,,3.90B,,3.90B,2.16B,2.16B,,,,,753.00M,6.813B,8.577B,,,4.136B,,,,,,,4.032B,,,
1990-03,100.00M,,100.00M,,,519.00M,266.00M,,307.00M,1.192B,,,,,,13.51B,-4.208B,9.298B,1.551B,1.551B,,495.00M,11.34B,12.54B,,286.00M,,,,286.00M,,286.00M,,213.00M,,213.00M,1.306B,1.805B,,3.879B,,3.879B,2.121B,2.121B,,,,,764.00M,6.764B,8.569B,,,4.041B,,,,,,,3.967B,,,
1989-12,187.00M,,187.00M,,,476.00M,262.00M,,330.00M,1.255B,,,,,,13.36B,-4.113B,9.245B,1.486B,1.486B,,473.00M,11.20B,12.46B,,365.00M,,,,365.00M,,365.00M,,199.00M,,199.00M,1.304B,1.868B,,3.837B,,3.837B,2.073B,2.073B,,,,,770.00M,6.68B,8.548B,,,3.971B,,,,,,,3.911B,,,
1989-09,100.00M,,100.00M,,,637.00M,273.00M,,309.00M,1.319B,,,,,,13.07B,-3.985B,9.083B,1.498B,1.498B,,490.00M,11.07B,12.39B,,262.00M,,,,262.00M,,262.00M,,208.00M,,208.00M,1.285B,1.755B,,3.999B,,3.999B,2.053B,2.053B,,,,,768.00M,6.82B,8.575B,,,3.862B,,,,,,,3.815B,,,
1989-06,102.00M,,102.00M,,,715.00M,268.00M,,292.00M,1.377B,,,,,,12.85B,-3.915B,8.932B,1.484B,1.484B,,401.00M,10.82B,12.19B,,252.00M,,,,252.00M,,252.00M,,212.00M,,212.00M,1.311B,1.775B,,3.909B,,3.909B,1.998B,1.998B,,,,,741.00M,6.648B,8.423B,,,3.78B,,,,,,,3.771B,,,
1988-12,439.00M,,439.00M,,,712.00M,267.00M,,249.00M,1.667B,,,,,,12.54B,-3.851B,8.687B,1.528B,1.528B,,346.00M,10.56B,12.23B,,,,,,,,,,134.00M,,134.00M,1.726B,1.86B,,3.222B,,3.222B,1.904B,1.904B,,,,,760.00M,5.886B,7.746B,,,3.608B,,,,,,,4.482B,,,
1987-12,165.00M,,165.00M,,,716.00M,231.00M,,284.00M,1.396B,,,,,,11.78B,-3.865B,7.913B,1.146B,1.146B,,464.00M,9.523B,10.92B,,,,,,,,,,138.00M,,138.00M,1.427B,1.565B,,2.747B,,2.747B,1.815B,1.815B,,,,,1.404B,5.966B,7.531B,,,3.205B,,,,,,,3.388B,,,
1986-12,300.00M,,300.00M,,,633.00M,344.00M,,275.00M,1.552B,,,,,,11.61B,-4.142B,7.467B,,,,1.844B,9.311B,10.86B,,,,,,,,,,143.00M,,143.00M,1.648B,1.791B,,2.918B,,2.918B,1.632B,1.632B,,,,,1.114B,5.664B,7.455B,,,2.864B,,,,,,,3.408B,,,
1985-12,453.00M,,453.00M,,,758.00M,421.00M,,135.00M,1.767B,,,,,,11.52B,-3.206B,8.317B,,,,626.00M,8.943B,10.71B,,,,,,,,,,241.00M,,241.00M,1.436B,1.677B,,1.951B,,1.951B,2.03B,2.03B,,,,,696.00M,4.677B,6.354B,,,3.783B,,,,,,,4.356B,,,
1984-12,503.00M,,503.00M,,,867.00M,412.00M,,126.00M,1.908B,,,,,,10.90B,-3.001B,7.901B,,,,583.00M,8.484B,10.39B,,,,,,,,,,297.00M,,297.00M,1.52B,1.817B,,1.889B,,1.889B,1.767B,1.767B,,,,,688.00M,4.344B,6.161B,,,3.282B,,,,,,,4.231B,,,
