,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,DilutedEPS(Quarterly),NormalizedDilutedEPS,EPSDiluted,,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2007-12,1.515B,1.515B,299.16M,1.216B,,,710.58M,225.29M,55.00M,-31.80M,,,,6.142M,997.01M,219.08M,,,,-31.80M,,205.95M,74.06M,131.89M,,152.25M,419.99M,200.91M,219.08M,,0.00,0.1737,0.15,,2007-12,0.1732,0.15,,876.22M,,,2007-12,,
2007-09,1.419B,1.419B,304.53M,1.115B,,,681.57M,221.06M,56.93M,-94.16M,,,,86.55M,1.046B,68.47M,,,,-94.16M,,73.42M,23.05M,50.37M,,114.97M,272.52M,204.05M,68.47M,,0.00,0.1338,0.06,,2007-09,0.1324,0.06,,892.76M,,,2007-09,,
2007-06,1.400B,1.400B,310.26M,1.090B,,,654.38M,225.58M,56.92M,-17.73M,,,,,936.88M,153.20M,,,,-17.73M,,149.99M,54.79M,95.21M,,106.46M,366.64M,213.44M,153.20M,,0.00,0.1226,0.11,,2007-06,0.1124,0.10,,910.30M,,,2007-06,,
2007-03,1.357B,1.357B,306.26M,1.051B,,,654.81M,218.47M,49.93M,-45.93M,,,,,923.21M,127.74M,,,,-45.93M,,106.06M,45.17M,60.89M,,90.75M,329.71M,201.97M,127.74M,,0.00,0.1026,0.07,,2007-03,0.1020,0.07,,932.98M,,,2007-03,,
2006-12,1.316B,1.316B,310.50M,1.005B,,,578.89M,216.97M,50.48M,-3.897M,,,,,846.33M,159.04M,,,,-3.897M,,177.62M,60.86M,116.77M,,119.33M,360.02M,200.98M,159.04M,,0.00,0.1327,0.13,,2006-12,0.1227,0.12,,963.31M,,,2006-12,,
2006-09,1.260B,1.260B,215.06M,1.045B,,,544.66M,218.25M,135.82M,9.361M,,,,-1.00M,897.73M,147.61M,,,,9.361M,,182.90M,56.72M,126.18M,,119.72M,349.23M,201.62M,147.61M,,0.00,0.1233,0.13,,2006-09,0.1235,0.13,,987.92M,,,2006-09,,
2006-06,1.266B,1.266B,298.66M,967.21M,,,546.07M,213.20M,50.61M,-13.44M,,,,,809.88M,157.33M,,,,-13.44M,,165.03M,64.49M,100.53M,,108.72M,364.21M,206.88M,157.33M,,0.00,0.1080,0.10,,2006-06,0.1078,0.10,,1.049B,,,2006-06,,
2006-03,1.239B,1.239B,508.68M,729.88M,,,531.07M,216.05M,-203.68M,-7.763M,,,,210.18M,753.62M,-23.74M,,,,-7.763M,,198.19M,79.38M,118.81M,,123.47M,158.67M,182.40M,-23.74M,,0.00,0.1245,0.12,,2006-03,0.1144,0.11,,1.065B,,,2006-03,,
2005-12,1.149B,1.149B,183.44M,965.58M,,,494.85M,187.53M,145.79M,-17.75M,,,,-82.85M,745.32M,220.26M,,,,-17.75M,,135.34M,44.61M,90.73M,,102.63M,421.40M,201.13M,220.26M,,0.00,0.0911,0.08,,2005-12,0.0909,0.08,,1.097B,,,2005-12,,
2005-09,1.056B,1.056B,183.97M,871.89M,,,461.05M,187.31M,191.17M,-290.70M,,,,-124.22M,715.32M,156.58M,,,,-290.70M,,-225.89M,25.44M,-251.33M,,-76.90M,382.48M,225.90M,156.58M,,0.00,-0.0612,-0.21,,2005-09,-0.0612,-0.21,,1.172B,,,2005-09,,
