,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
1992-06,23.70M,,23.70M,,,173.60M,,,,,112.50M,,,,26.80M,336.60M,,,,,,,1.541B,-878.30M,662.90M,,,,,119.40M,782.30M,1.119B,,,,,,,,,51.30M,51.30M,142.40M,193.70M,,107.70M,,107.70M,,,,,,138.50M,246.20M,439.90M,,,914.60M,,,,679.00M,,,
1992-03,27.00M,,27.00M,,,134.80M,,,,,118.00M,,,,19.60M,299.40M,,,,,,,1.559B,-899.70M,659.70M,,,,,111.50M,771.20M,1.071B,,,,,,,,,17.10M,17.10M,130.00M,147.10M,,108.20M,,108.20M,65.70M,,65.70M,,,72.40M,246.30M,393.40M,,,914.60M,,,,677.20M,,,
1991-12,19.00M,,19.00M,,,138.10M,,,,,112.60M,,,,15.40M,285.10M,,,,,,,1.554B,-878.30M,675.40M,,,,,112.60M,788.00M,1.073B,,,,,,,,,13.20M,13.20M,122.20M,135.40M,,111.10M,,111.10M,69.60M,,69.60M,,,74.10M,254.80M,390.20M,,,919.10M,,,,682.90M,,,
1991-09,6.10M,,6.10M,,,178.40M,,,,,113.70M,,,,15.20M,313.40M,,,,,,,1.572B,-871.20M,700.30M,,,,,115.20M,815.50M,1.129B,,,,,,,,,64.20M,64.20M,127.50M,191.70M,,86.70M,,86.70M,78.90M,,78.90M,,,74.80M,240.40M,432.10M,,,912.20M,,,,696.80M,,,
1991-06,0.80M,,0.80M,,,173.80M,,,,,123.80M,,,,14.70M,313.10M,,,,,,,1.553B,-848.80M,703.90M,,,,,106.60M,810.50M,1.124B,,,,,,,,,102.70M,102.70M,123.20M,225.90M,,61.30M,,61.30M,82.10M,,82.10M,,,74.90M,218.30M,444.20M,,,912.20M,,,,679.40M,,,
1991-03,0.70M,,0.70M,,,131.20M,,,,,126.60M,,,,12.80M,271.30M,,,,,,,1.542B,-826.40M,715.10M,,,,,99.90M,815.00M,1.086B,,,,,,,,,107.20M,107.20M,115.10M,222.30M,,38.50M,,38.50M,83.90M,,83.90M,,,76.10M,198.50M,420.80M,,,912.20M,,,,665.50M,,,
1990-12,18.60M,,18.60M,,,152.90M,,,,,113.00M,,,,10.80M,295.30M,,,,,,,1.525B,-804.10M,720.70M,,,,,102.00M,822.70M,1.118B,,,,,,,,,111.90M,111.90M,121.90M,233.80M,,44.70M,,44.70M,85.20M,,85.20M,,,74.10M,204.00M,437.80M,,,912.20M,,,,680.20M,,,
1990-09,10.90M,,10.90M,,,188.10M,,,,,115.60M,,,,12.60M,327.20M,,,,,,,1.507B,-785.90M,720.70M,,,,,98.50M,819.20M,1.146B,,,,,,,,,142.30M,142.30M,149.60M,291.90M,,45.10M,,45.10M,74.70M,,74.70M,,,72.10M,191.90M,483.80M,,,838.30M,,,,662.60M,,,
1990-06,11.80M,,11.80M,,,177.40M,,,,,106.70M,,,,14.50M,310.40M,,,,,,,1.400B,-763.10M,636.40M,,,,,77.90M,714.30M,1.025B,,,,,,,,,49.50M,49.50M,139.90M,189.40M,,45.70M,,45.70M,70.40M,,70.40M,,,68.00M,184.10M,373.50M,,,838.30M,,,,651.20M,,,
1990-03,21.80M,,21.80M,,,145.20M,,,,,102.90M,,,,16.20M,286.10M,,,,,,,1.366B,-745.90M,620.20M,,,,,78.20M,698.40M,984.50M,,,,,,,,,6.00M,6.00M,136.90M,142.90M,,47.80M,,47.80M,73.60M,,73.60M,,,70.90M,192.30M,335.20M,,,838.30M,,,,649.30M,,,
1989-12,84.30M,,84.30M,,,136.90M,,,,,96.90M,,,,15.20M,333.30M,,,,,,,1.331B,-728.20M,602.50M,,,,,66.70M,669.20M,1.002B,,71.10M,71.10M,,71.10M,,,,11.00M,11.00M,58.80M,140.90M,,55.20M,,55.20M,73.70M,,73.70M,,,69.20M,198.10M,339.00M,,,838.30M,,,,663.50M,,,
1989-09,61.40M,,61.40M,,,173.40M,,,,,93.90M,,,,14.00M,342.70M,,,,,,,1.298B,-710.90M,587.40M,,,,,65.90M,653.30M,996.00M,,,,,,,,,10.00M,10.00M,135.10M,145.10M,,56.20M,,56.20M,74.80M,,74.80M,,,56.90M,187.90M,333.00M,,,752.50M,,,,663.00M,,,
1989-06,43.20M,,43.20M,,,169.20M,,,,,100.70M,,,,17.30M,330.40M,,,,,,,1.281B,-692.50M,588.60M,,,,,60.00M,648.60M,979.00M,,,,,,,,,8.90M,8.90M,141.60M,150.50M,,57.20M,,57.20M,75.70M,,75.70M,,,55.40M,188.30M,338.80M,,,752.50M,,,,640.20M,,,
1989-03,55.80M,,55.80M,,,133.10M,,,,,105.20M,,,,39.20M,333.30M,,,,,,,1.241B,-674.20M,566.90M,,,,,63.60M,630.50M,963.80M,,,,,,,,,8.40M,8.40M,132.70M,141.10M,,55.60M,,55.60M,77.40M,,77.40M,,,58.80M,191.80M,332.90M,,,752.50M,,,,630.90M,,,
1988-12,89.40M,,89.40M,,,149.30M,,,,,93.60M,,,,18.60M,350.90M,,,,,,,1.205B,-655.20M,549.90M,,,,,56.80M,606.70M,957.60M,,,,,,,,,4.10M,4.10M,113.90M,118.00M,,62.00M,,62.00M,102.60M,,102.60M,,,40.70M,205.30M,323.30M,,,752.50M,,,,634.30M,,,
1987-12,125.00M,,125.00M,,,125.10M,,,,,82.70M,,,,2.90M,335.70M,,,,,,,1.114B,-588.40M,525.40M,,,,,67.40M,592.80M,928.50M,,,,,,,,,30.20M,30.20M,135.10M,165.30M,,71.10M,,71.10M,104.80M,,104.80M,,,15.60M,191.50M,356.80M,,,671.00M,,,,571.70M,,,
1986-12,86.10M,,86.10M,,,122.40M,,,,,103.80M,,,,2.70M,315.00M,,,,,,,1.06B,-568.90M,491.10M,,,,,28.60M,519.70M,834.70M,,,,,,,,,3.30M,3.30M,128.60M,131.90M,,72.20M,,72.20M,108.30M,,108.30M,,,15.70M,196.20M,328.10M,,,590.70M,,,,506.60M,,,
1985-12,99.60M,,99.60M,,,121.60M,,,,,109.90M,,,,1.30M,332.40M,,,,,,,980.10M,-502.50M,477.60M,,,,,9.30M,486.90M,819.30M,,,,,,,,,4.00M,4.00M,103.80M,107.80M,,75.50M,,75.50M,95.50M,,95.50M,,,14.00M,185.00M,292.80M,,,530.20M,,,,526.50M,,,
1984-12,93.40M,,93.40M,,,133.50M,,,,,114.70M,,,,4.70M,346.30M,,,,,,,925.80M,-480.30M,445.50M,,,,,19.60M,465.10M,811.40M,,,,,,,,,5.00M,5.00M,120.30M,125.30M,,78.50M,,78.50M,88.00M,,88.00M,,,8.10M,174.60M,299.90M,,,491.20M,,,,511.50M,,,
