,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
1996-12,74.80M,,74.80M,,,913.70M,,,,497.30M,,,,277.00M,1.763B,,,,,,,3.767B,-1.932B,1.834B,,471.70M,471.70M,,,,398.40M,2.705B,4.467B,,538.70M,,,,538.70M,,538.70M,,,,,566.00M,,566.00M,,,486.10M,1.591B,,1.268B,,1.268B,,,,,,,57.50M,694.90M,1.963B,3.554B,,,806.80M,,,,,,855.80M,,,
1996-09,116.60M,,116.60M,,,873.30M,,,,826.10M,,,,264.70M,2.081B,,,,,,,4.193B,-2.315B,1.877B,,361.10M,361.10M,,,,533.20M,2.772B,4.852B,,810.40M,,,,810.40M,,810.40M,,,,,716.80M,,716.80M,,,564.10M,2.091B,,1.056B,,1.056B,,,,,,,141.40M,737.80M,1.794B,3.886B,,,762.20M,,,,,,825.40M,,,
1996-06,117.60M,,117.60M,,,928.00M,,,,742.70M,,,,287.60M,2.076B,,,,,,,4.087B,-2.274B,1.812B,,336.00M,336.00M,,,,573.20M,2.722B,4.798B,,798.30M,,,,798.30M,,798.30M,,,,,912.70M,,912.70M,,,515.90M,2.227B,,965.30M,,965.30M,,,,,,,140.30M,696.40M,1.662B,3.889B,,,707.60M,,,,,,768.60M,,,
1996-03,107.60M,,107.60M,,,827.20M,,,,700.40M,,,,323.40M,1.959B,,,,,,,4.212B,-2.356B,1.856B,,335.80M,335.80M,,,,328.80M,2.520B,4.479B,,779.00M,,,,779.00M,,779.00M,,,,,703.60M,,703.60M,,,442.00M,1.925B,,1.244B,,1.244B,,,,,,,177.50M,427.60M,1.671B,3.596B,,,651.30M,,,,,,705.70M,,,
1995-12,70.90M,,70.90M,,,837.80M,,,,615.00M,,,,281.20M,1.805B,,,,,,,4.171B,-2.342B,1.830B,,345.60M,345.60M,,,,321.00M,2.496B,4.301B,,848.50M,,,,848.50M,,848.50M,,,,,487.00M,,487.00M,,,457.20M,1.793B,,1.259B,,1.259B,,,,,,,157.40M,438.60M,1.698B,3.490B,,,596.10M,,,,,,653.40M,,,
1995-09,100.80M,,100.80M,,,766.80M,,,,568.10M,,,,312.80M,1.748B,,,,,,,4.248B,-2.520B,1.728B,,334.00M,334.00M,,,,353.00M,2.415B,4.163B,,734.80M,,,,734.80M,,734.80M,,,,,347.70M,,347.70M,,,601.10M,1.684B,,994.80M,,994.80M,,,,,,,153.70M,719.90M,1.715B,3.398B,,,567.70M,,,,,,611.20M,,,
1995-06,127.20M,,127.20M,,,759.80M,,,,539.40M,,,,290.80M,1.717B,,,,,,,4.168B,-2.491B,1.677B,,,,,,,669.30M,2.346B,4.063B,,703.90M,,,,703.90M,,703.90M,,,,,514.80M,,514.80M,,,514.40M,1.733B,,997.70M,,997.70M,,,,,,,101.10M,658.30M,1.656B,3.389B,,,510.70M,,,,,,573.20M,,,
1995-03,146.00M,,146.00M,,,695.60M,,,,455.50M,,,,263.30M,1.560B,,,,,,,3.978B,-2.405B,1.573B,,,,,,,427.70M,2.001B,3.561B,,676.70M,,,,676.70M,,676.70M,,,,,203.70M,,203.70M,,,433.70M,1.314B,,998.30M,,998.30M,,,,,,,112.70M,662.50M,1.661B,2.975B,,,432.90M,,,,,,473.50M,,,
1994-12,98.40M,,98.40M,,,642.80M,,,,403.90M,,,,231.20M,1.376B,,,,,,,3.898B,-2.360B,1.537B,,,,,,,437.80M,1.975B,3.352B,,676.90M,,,,676.90M,,676.90M,,,,,131.00M,,131.00M,,,461.00M,1.269B,,1.208B,,1.208B,,,,,,,99.50M,358.90M,1.567B,2.836B,,,380.50M,,,,,,416.50M,,,
1994-09,114.50M,,114.50M,,,652.40M,,,,430.40M,,,,278.30M,1.476B,,,,,,,3.803B,-2.308B,1.496B,,157.60M,157.60M,,,,232.00M,1.886B,3.361B,,658.10M,,,,658.10M,,658.10M,,,,,96.10M,,96.10M,,,626.00M,1.380B,,878.20M,,878.20M,,,,,,,118.60M,591.60M,1.470B,2.85B,,,355.20M,,,,,,392.50M,,,
1994-06,66.50M,,66.50M,,,701.10M,,,,447.00M,,,,297.70M,1.512B,,,,,,,3.710B,-2.258B,1.451B,,153.80M,153.80M,,,,197.80M,1.803B,3.315B,,627.20M,,,,627.20M,,627.20M,,,,,79.00M,,79.00M,,,679.80M,1.386B,,869.10M,,869.10M,,,,,,,113.20M,610.30M,1.479B,2.865B,,,320.50M,,,,,,336.40M,,,
1994-03,140.50M,,140.50M,,,627.70M,,,,422.90M,,,,288.80M,1.480B,,,,,,,3.650B,-2.216B,1.434B,,126.60M,126.60M,,,,152.60M,1.713B,3.193B,,599.50M,,,,599.50M,,599.50M,,,,,76.80M,,76.80M,,,614.80M,1.291B,,880.40M,,880.40M,,,,,,,123.30M,633.90M,1.514B,2.805B,,,253.20M,,,,,,264.00M,,,
1993-12,77.50M,,77.50M,,,573.20M,,,,268.10M,,,,240.90M,1.160B,,,,,,,3.498B,-2.108B,1.390B,,91.70M,91.70M,,,,171.50M,1.653B,2.813B,,501.20M,,,,501.20M,,501.20M,,,,,119.00M,,119.00M,,,535.80M,1.156B,,749.90M,,749.90M,,,,,,,43.40M,646.90M,1.397B,2.553B,,,207.10M,,,,,,216.90M,,,
1993-09,150.10M,,150.10M,,,576.30M,,,,265.40M,,,,232.90M,1.225B,,,,,,,3.576B,-2.132B,1.444B,,90.90M,90.90M,,,,134.40M,1.670B,2.894B,,457.00M,,,,457.00M,,457.00M,,,,,72.30M,,72.30M,,,555.30M,1.085B,,884.60M,,884.60M,,,,,,,57.30M,546.30M,1.431B,2.516B,,,309.40M,,,,,,321.40M,,,
1993-06,135.90M,,135.90M,,,600.00M,,,,629.60M,,,,230.30M,1.596B,,,,,,,3.571B,-2.110B,1.461B,,86.70M,86.70M,,,,149.20M,1.697B,3.293B,,770.30M,,,,770.30M,,770.30M,,,,,76.00M,,76.00M,,,548.10M,1.394B,,972.60M,,972.60M,,,,,,,56.50M,562.60M,1.535B,2.930B,,,274.20M,,,,,,306.50M,,,
1993-03,130.00M,,130.00M,,,568.50M,,,,318.60M,,,,235.00M,1.252B,,,,,,,3.536B,-2.074B,1.462B,,61.00M,61.00M,,,,158.10M,1.681B,2.934B,,477.50M,,,,477.50M,,477.50M,,,,,112.90M,,112.90M,,,531.80M,1.122B,,1.251B,,1.251B,,,,,,,56.40M,250.40M,1.501B,2.624B,,,216.30M,,,,,,253.60M,,,
1992-12,24.30M,,24.30M,,,543.50M,,,,319.30M,,,,235.90M,1.123B,,,,,,,3.542B,-2.040B,1.502B,,63.20M,63.20M,,,,138.30M,1.704B,2.827B,,513.90M,,,,513.90M,,513.90M,,,,,63.20M,,63.20M,,,547.00M,1.124B,,843.60M,,843.60M,,,,,,,55.90M,584.00M,1.428B,2.552B,,,170.80M,,,,,,219.00M,,,
1992-09,152.40M,,152.40M,,,637.80M,,,,347.30M,,,,262.70M,1.400B,,,,,,,3.560B,-2.026B,1.534B,,73.30M,73.30M,,,,90.80M,1.698B,3.099B,,503.60M,,,,503.60M,,503.60M,,,,,89.30M,,89.30M,,,558.90M,1.152B,,1.117B,,1.117B,121.60M,,121.60M,,,,56.90M,172.80M,1.411B,2.563B,,,397.50M,,,,,,478.90M,,,
1992-06,106.10M,,106.10M,,,588.70M,,,,370.90M,,,,258.40M,1.324B,,,,,,,3.518B,-1.982B,1.536B,,25.00M,25.00M,,,,138.90M,1.700B,3.024B,,501.10M,,,,501.10M,,501.10M,,,,,55.80M,,55.80M,,,570.50M,1.127B,,1.109B,,1.109B,121.70M,,121.70M,,,,57.40M,178.60M,1.410B,2.537B,,,357.50M,,,,,,429.30M,,,
1992-03,89.20M,,89.20M,,,568.60M,,,,404.70M,,,,259.30M,1.322B,,,,,,,3.500B,-1.943B,1.557B,,71.10M,71.10M,,,,87.90M,1.716B,3.038B,,548.00M,,,,548.00M,,548.00M,,,,,67.60M,,67.60M,,,566.30M,1.182B,,1.127B,,1.127B,118.60M,,118.60M,,,,64.00M,186.60M,1.432B,2.614B,,,292.10M,,,,,,360.00M,,,
1991-12,44.20M,,44.20M,,,529.70M,,,,364.80M,,,,241.10M,1.180B,,,,,,,3.390B,-1.905B,1.484B,,25.80M,25.80M,,,,125.80M,1.636B,2.816B,,600.40M,,,,600.40M,,600.40M,,,,,63.10M,,63.10M,,,529.50M,1.193B,,929.00M,,929.00M,122.10M,,122.10M,,,,62.80M,198.90M,1.25B,2.443B,,,57.00M,,,,,,309.80M,,,
1991-09,141.30M,,141.30M,,,553.40M,,,,371.00M,,,,236.20M,1.302B,,,,,,,3.314B,-1.870B,1.444B,,61.60M,61.60M,,,,88.80M,1.594B,2.896B,,569.20M,,,,569.20M,,569.20M,,,,,63.20M,,63.20M,,,536.60M,1.169B,,1.115B,,1.115B,100.50M,,100.50M,,,,62.00M,199.80M,1.416B,2.585B,,,216.40M,,,,,,249.60M,,,
1991-06,184.50M,,184.50M,,,522.00M,,,,416.60M,,,,232.80M,1.356B,,,,,,,3.285B,-1.831B,1.453B,,67.70M,67.70M,,,,86.20M,1.607B,2.963B,,590.10M,,,,590.10M,,590.10M,,,,,89.10M,,89.10M,,,486.20M,1.165B,,1.194B,,1.194B,98.10M,,98.10M,,,,61.30M,229.30M,1.521B,2.687B,,,183.90M,,,,,,215.10M,,,
1991-03,188.50M,,188.50M,,,535.30M,,,,464.30M,,,,224.10M,1.412B,,,,,,,3.279B,-1.803B,1.476B,,69.00M,69.00M,,,,88.40M,1.633B,3.046B,,632.50M,,,,632.50M,,632.50M,,,,,94.80M,,94.80M,,,508.30M,1.236B,,1.254B,,1.254B,95.80M,,95.80M,,,,62.90M,229.40M,1.580B,2.815B,,,121.40M,,,,,,167.40M,,,
1990-12,93.00M,,93.00M,,,536.50M,,,,446.60M,,,,219.20M,1.295B,,,,,,,3.280B,-1.773B,1.507B,,70.20M,70.20M,,,,86.60M,1.664B,2.959B,,677.30M,,,,677.30M,,677.30M,,,,,99.60M,,99.60M,,,477.80M,1.255B,,1.159B,,1.159B,104.20M,,104.20M,,,,63.00M,229.10M,1.492B,2.747B,,,82.70M,,,,,,149.60M,,,
1990-09,197.20M,,197.20M,,,523.40M,,,,492.90M,,,,213.60M,1.427B,,,,,,,3.241B,-1.739B,1.502B,,69.90M,69.90M,,,,116.90M,1.688B,3.116B,,647.30M,,,,647.30M,,647.30M,,,,,85.60M,,85.60M,,,495.40M,1.228B,,1.365B,,1.365B,97.80M,,97.80M,,,,62.80M,232.50M,1.695B,2.924B,,,55.70M,,,,,,129.10M,,,
1990-06,194.20M,,194.20M,,,519.90M,,,,498.40M,,,,207.40M,1.420B,,,,,,,3.117B,-1.683B,1.434B,,70.10M,70.10M,,,,113.00M,1.617B,3.037B,,639.20M,,,,639.20M,,639.20M,,,,,75.60M,,75.60M,,,471.00M,1.186B,,1.401B,,1.401B,94.20M,,94.20M,,,,57.40M,238.30M,1.733B,2.919B,,,20.20M,,,,,,60.70M,,,
1990-03,136.30M,,136.30M,,,516.70M,,,,515.10M,,,,207.60M,1.376B,,,,,,,2.959B,-1.612B,1.347B,,61.50M,61.50M,,,,123.00M,1.531B,2.907B,,655.90M,,,,655.90M,,655.90M,,,,,71.20M,,71.20M,,,499.40M,1.226B,,1.353B,,1.353B,86.70M,,86.70M,,,,28.50M,243.90M,1.684B,2.910B,,,-34.60M,,,,,,-31.80M,,,
1989-12,94.50M,,94.50M,,,587.40M,,,,443.90M,,,,186.20M,1.312B,,,,,,,2.908B,-1.573B,1.335B,,60.60M,60.60M,,,,111.50M,1.507B,2.819B,,623.80M,,,,623.80M,,623.80M,,,,,101.10M,,101.10M,,,469.50M,1.194B,,1.326B,,1.326B,88.00M,,88.00M,,,,26.20M,255.40M,1.669B,2.863B,,,-72.60M,,,,,,-70.60M,,,
1989-09,136.00M,,136.00M,,,539.70M,,,,407.50M,,,,179.60M,1.263B,,,,,,,2.832B,-1.535B,1.297B,,60.40M,60.40M,,,,96.50M,1.454B,2.716B,,544.60M,,,,544.60M,,544.60M,,,,,79.50M,,79.50M,,,498.10M,1.122B,,1.348B,,1.348B,99.50M,,99.50M,,,,24.40M,251.70M,1.699B,2.822B,,,-96.90M,,,,,,-129.70M,,,
1988-12,130.80M,,130.80M,,,582.80M,,,,424.70M,,,,178.30M,1.317B,,,,,,,2.750B,-1.482B,1.268B,,74.10M,74.10M,,,,90.00M,1.432B,2.749B,,,,,,,,,,,,,74.30M,,74.30M,,,1.014B,1.089B,,1.468B,,1.468B,125.70M,,125.70M,,,,,290.00M,1.884B,2.972B,,,-209.00M,,,,,,-223.60M,,,
1987-12,184.60M,,184.60M,,,261.00M,,,,413.70M,,,,210.50M,1.070B,,,,,,,2.628B,-1.326B,1.302B,,80.50M,80.50M,,,,142.60M,1.525B,2.595B,,,,,,,,,,,,,103.90M,,103.90M,,,1.060B,1.164B,,1.380B,,1.380B,112.90M,,112.90M,,,,,281.70M,1.775B,2.938B,,,-338.20M,,,,,,-343.20M,,,
1986-12,184.20M,,184.20M,,,185.50M,,,,428.30M,,,,303.20M,1.101B,,,,,,,2.491B,-1.146B,1.345B,,104.80M,104.80M,,,,134.70M,1.585B,2.686B,,,,,,,,,,,,,73.00M,,73.00M,,,1.066B,1.139B,,1.787B,,1.787B,257.60M,,257.60M,,,,,8.60M,2.054B,3.192B,,,-454.90M,,,,,,-506.60M,,,
