,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
1995-09,41.50M,,41.50M,,,245.50M,,,277.10M,,,64.30M,628.40M,,,,,,,1.096B,-514.00M,581.80M,,63.30M,63.30M,,,,311.50M,956.60M,1.585B,,206.70M,,,206.70M,,206.70M,,118.80M,,118.80M,,,140.60M,466.10M,305.50M,,305.50M,30.20M,30.20M,,,5.70M,,184.00M,519.70M,985.80M,,12.40M,347.90M,,,12.40M,,,,593.50M,,,
1995-06,10.20M,,10.20M,,,311.30M,,,493.30M,,,57.50M,872.30M,,,,,,,1.553B,-745.30M,807.80M,,93.90M,93.90M,,,,204.20M,1.106B,1.978B,,237.50M,,,237.50M,,237.50M,,166.50M,,166.50M,,,171.60M,575.60M,488.90M,,488.90M,51.20M,51.20M,,,23.20M,,192.10M,732.20M,1.308B,,13.30M,405.10M,,,13.30M,,,,647.20M,,,
1995-03,8.10M,,8.10M,,,236.20M,,,497.70M,,,61.20M,803.20M,,,,,,,1.508B,-718.50M,789.70M,,93.20M,93.20M,,,,200.30M,1.083B,1.886B,,240.60M,,,240.60M,,240.60M,,196.10M,,196.10M,,,174.20M,610.90M,371.90M,,371.90M,54.20M,54.20M,,,28.00M,,193.40M,619.50M,1.230B,,11.00M,390.40M,,,11.00M,,,,628.00M,,,
1994-12,10.40M,,10.40M,,,204.50M,,,414.00M,,,69.20M,698.10M,,,,,,,1.486B,-706.10M,779.90M,,93.80M,93.80M,,,,188.00M,1.062B,1.760B,,209.20M,,,209.20M,,209.20M,,116.70M,,116.70M,,,173.80M,499.70M,377.00M,,377.00M,56.60M,56.60M,,,16.10M,,193.70M,627.30M,1.127B,,11.90M,378.60M,,,11.90M,,,,616.70M,,,
1994-09,9.60M,,9.60M,,,262.30M,,,376.80M,,,61.60M,710.30M,,,,,,,1.486B,-702.50M,783.40M,,98.50M,98.50M,,,,184.20M,1.066B,1.776B,,187.60M,,,187.60M,,187.60M,,146.80M,,146.80M,,,169.80M,504.20M,402.70M,,402.70M,60.50M,60.50M,,,15.20M,,193.80M,657.00M,1.161B,,10.70M,364.40M,,,10.70M,,,,600.00M,,,
1994-06,8.90M,,8.90M,,,260.80M,,,415.80M,,,63.50M,749.00M,,,,,,,1.472B,-675.00M,797.30M,,99.00M,99.00M,,,,174.50M,1.071B,1.820B,,167.00M,,,167.00M,,167.00M,,122.20M,,122.20M,,,162.80M,452.00M,517.00M,,517.00M,57.80M,57.80M,,,18.00M,,196.00M,770.80M,1.223B,,11.00M,346.00M,,,11.00M,,,,579.00M,,,
1994-03,9.60M,,9.60M,,,257.20M,,,443.50M,,,73.80M,784.10M,,,,,,,1.457B,-646.90M,810.40M,,99.90M,99.90M,,,,181.20M,1.092B,1.876B,,183.40M,,,183.40M,,183.40M,,178.00M,,178.00M,,,165.30M,526.70M,514.30M,,514.30M,60.40M,60.40M,,,17.20M,,193.60M,768.30M,1.295B,,9.20M,334.20M,,,9.20M,,,,563.40M,,,
1993-12,8.20M,,8.20M,,,191.30M,,,409.30M,,,83.30M,692.10M,,,,,,,1.449B,-626.60M,822.70M,,101.50M,101.50M,,,,179.30M,1.104B,1.796B,,157.30M,,,157.30M,,157.30M,,123.90M,,123.90M,,,170.00M,451.20M,513.30M,,513.30M,65.10M,65.10M,,,15.90M,,191.40M,769.80M,1.221B,,10.10M,332.20M,,,10.10M,,,,558.70M,,,
1993-09,13.60M,,13.60M,,,270.50M,,,410.50M,,,63.40M,758.00M,,,,,,,1.432B,-604.50M,827.30M,,,,,,,298.10M,1.125B,1.883B,,193.00M,,,193.00M,,193.00M,,122.00M,,122.00M,,,137.30M,452.30M,522.70M,,522.70M,92.30M,92.30M,,,15.20M,,170.20M,785.20M,1.238B,,8.30M,407.70M,,,8.30M,,,,630.70M,,,
1993-06,9.50M,,9.50M,,,330.00M,,,450.90M,,,51.10M,841.50M,,,,,,,1.408B,-579.70M,828.70M,,,,,,,257.90M,1.087B,1.928B,,169.90M,,,169.90M,,169.90M,,161.10M,,161.10M,,,140.10M,471.10M,569.50M,,569.50M,89.70M,89.70M,,,18.80M,,139.30M,798.50M,1.270B,,9.00M,417.50M,,,9.00M,,,,639.70M,,,
1993-03,17.30M,,17.30M,,,311.30M,,,488.00M,,,40.60M,857.20M,,,,,,,1.409B,-556.30M,852.90M,,,,,,,266.30M,1.119B,1.976B,,189.00M,,,189.00M,,189.00M,,158.60M,,158.60M,,,155.80M,503.40M,589.10M,,589.10M,95.20M,95.20M,,,18.00M,,138.80M,823.10M,1.326B,,7.60M,415.80M,,,7.60M,,,,631.90M,,,
1992-12,14.50M,,14.50M,,,200.90M,,,375.20M,,,28.60M,619.20M,,,,,,,1.242B,-532.30M,709.90M,,45.10M,45.10M,,,,189.70M,944.70M,1.564B,,140.40M,,,140.40M,,140.40M,,89.80M,,89.80M,,,128.90M,359.10M,451.70M,,451.70M,86.50M,86.50M,,,17.00M,,45.60M,583.80M,942.90M,,8.00M,482.40M,,,8.00M,,,,604.00M,,,
1992-09,9.90M,,9.90M,,,251.60M,,,352.80M,,,7.70M,622.00M,,,,,,,1.214B,-520.90M,692.90M,,,,,,,218.60M,911.50M,1.534B,,156.80M,,,156.80M,,156.80M,,132.20M,,132.20M,,,135.20M,424.20M,371.00M,,371.00M,83.50M,83.50M,,,16.80M,,48.00M,502.50M,926.70M,,6.30M,475.60M,,,6.30M,,,,590.00M,,,
1992-06,21.00M,,21.00M,,,311.10M,,,384.90M,,,19.20M,736.20M,,,,,,,1.389B,-613.80M,774.90M,,,,,,,195.20M,970.10M,1.706B,,173.20M,,,173.20M,,173.20M,,198.20M,,198.20M,,,146.20M,517.60M,446.20M,,446.20M,93.90M,93.90M,,,28.60M,,43.60M,583.70M,1.101B,,6.50M,466.80M,,,6.50M,,,,576.40M,,,
1992-03,18.60M,,18.60M,,,270.60M,,,403.40M,,,21.10M,713.70M,,,,,,,1.370B,-588.40M,781.20M,,,,,,,187.60M,968.80M,1.682B,,178.40M,,,178.40M,,178.40M,,163.60M,,163.60M,,,137.10M,479.10M,474.10M,,474.10M,100.30M,100.30M,,,27.40M,,41.90M,616.30M,1.095B,,5.30M,456.30M,,,5.30M,,,,559.70M,,,
1991-12,20.80M,,20.80M,,,246.10M,,,336.90M,,,30.20M,634.00M,,,,,,,1.325B,-564.70M,760.50M,,40.80M,40.80M,,,,123.30M,924.60M,1.559B,,153.60M,,,153.60M,,153.60M,,158.90M,,158.90M,,,129.20M,441.70M,333.90M,,333.90M,103.50M,103.50M,,,29.30M,,43.20M,480.60M,922.30M,,55.80M,458.90M,,,55.80M,,,,607.00M,,,
1991-09,38.50M,,38.50M,,,309.60M,,,298.80M,,,8.30M,655.20M,,,,,,,1.302B,-542.80M,758.70M,,,,,,,164.20M,922.90M,1.578B,,173.60M,,,173.60M,,173.60M,,29.90M,,29.90M,,,159.30M,362.80M,428.60M,,428.60M,106.20M,106.20M,,,28.80M,,44.90M,579.70M,942.50M,,54.60M,464.20M,,,54.60M,,,,606.80M,,,
1991-06,22.20M,,22.20M,,,352.80M,,,333.90M,,,19.20M,728.10M,,,,,,,1.28B,-517.20M,762.80M,,,,,,,148.80M,911.60M,1.640B,,184.20M,,,184.20M,,184.20M,,159.30M,,159.30M,,,150.00M,493.50M,483.60M,,483.60M,105.90M,105.90M,,,30.10M,,43.10M,632.60M,1.126B,,54.50M,448.90M,,,54.50M,,,,483.50M,,,
1991-03,17.50M,,17.50M,,,245.50M,,,320.20M,,,18.10M,601.30M,,,,,,,1.065B,-461.20M,604.00M,,,,,,,151.20M,755.20M,1.356B,,147.30M,,,147.30M,,147.30M,,111.70M,,111.70M,,,97.90M,356.90M,415.70M,,415.70M,64.60M,64.60M,,,13.90M,,43.40M,523.70M,880.60M,,53.60M,431.30M,,,53.60M,,,,462.00M,,,
1990-12,30.00M,,30.00M,,,217.90M,,,272.50M,,,21.80M,542.20M,,,,,,,1.052B,-441.80M,610.10M,,13.10M,13.10M,,,,142.20M,765.40M,1.308B,,141.50M,,,141.50M,,141.50M,,83.30M,,83.30M,,,98.20M,323.00M,404.80M,,404.80M,68.40M,68.40M,,,13.20M,,40.70M,513.90M,836.90M,,53.60M,429.70M,,,53.60M,,,,457.50M,,,
1990-09,16.20M,,16.20M,,,208.60M,,,142.90M,,,7.80M,375.50M,,,,,,,731.20M,-314.50M,416.70M,,,,,,,161.00M,577.70M,953.20M,,114.30M,,,114.30M,,114.30M,,45.80M,,45.80M,,,61.60M,221.70M,247.80M,,247.80M,75.30M,75.30M,,,,,,323.10M,544.80M,,2.30M,435.30M,,,2.30M,,,,408.40M,,,
1990-06,10.60M,,10.60M,,,220.30M,,,138.90M,,,12.20M,382.00M,,,,,,,726.30M,-303.20M,423.10M,,,,,,,140.10M,563.20M,945.20M,,113.30M,,,113.30M,,113.30M,,67.80M,,67.80M,,,55.30M,236.40M,243.00M,,243.00M,72.70M,72.70M,,,,,,315.70M,552.10M,,2.20M,422.90M,,,2.20M,,,,393.10M,,,
1990-03,11.90M,,11.90M,,,192.50M,,,164.30M,,,18.80M,387.50M,,,,,,,725.20M,-293.40M,431.80M,,,,,,,131.40M,563.20M,950.70M,,112.10M,,,112.10M,,112.10M,,82.40M,,82.40M,,,48.20M,242.70M,254.40M,,254.40M,72.90M,72.90M,,,,,,327.30M,570.00M,,1.50M,412.10M,,,1.50M,,,,380.70M,,,
1989-12,10.40M,,10.40M,,,176.20M,,,165.30M,,,22.10M,374.00M,,,,,,,715.40M,-280.70M,434.70M,,,,,,,129.30M,564.00M,938.00M,,105.70M,,,105.70M,,105.70M,,55.20M,,55.20M,,,58.40M,219.30M,262.80M,,262.80M,51.20M,51.20M,,,,,20.40M,334.40M,553.70M,,1.30M,410.00M,,,1.30M,,,,384.30M,,,
1989-09,12.70M,,12.70M,,,181.20M,,,158.00M,,,11.70M,363.60M,,,,,,,715.00M,-276.30M,438.70M,,,,,,,128.00M,566.70M,930.30M,,120.30M,,,120.30M,,120.30M,,31.20M,,31.20M,,,56.80M,208.30M,244.20M,,244.20M,80.80M,80.80M,,,,,,325.00M,533.30M,,,417.30M,,,,,,,397.00M,,,
1989-06,22.30M,,22.30M,,,191.10M,,,155.00M,,,17.30M,385.70M,,,,,,,708.90M,-267.20M,441.70M,,,,,,,121.40M,563.10M,948.80M,,115.60M,,,115.60M,,115.60M,,38.10M,,38.10M,,,58.10M,211.80M,239.50M,,239.50M,74.50M,74.50M,,,,,,314.00M,525.80M,,,410.90M,,,,,,,423.00M,,,
1988-12,15.70M,,15.70M,,,133.90M,,,155.50M,,,26.60M,331.70M,,,,,,,683.80M,-250.80M,433.00M,,,,,,,111.80M,544.80M,876.50M,,,,,,,,,37.10M,,37.10M,,,145.90M,183.00M,196.30M,,196.30M,56.10M,56.10M,,,,,19.70M,272.10M,455.10M,,,401.60M,,,,,,,421.40M,,,
1987-12,16.60M,,16.60M,,,114.60M,,,163.00M,,,21.50M,315.70M,,,,,,,629.60M,-227.70M,401.90M,,,,,,,77.30M,479.20M,794.90M,,,,,,,,,46.90M,,46.90M,,,156.50M,203.40M,100.70M,,100.70M,76.40M,76.40M,,,,,17.00M,194.10M,397.50M,,,380.90M,,,,,,,397.40M,,,
1986-12,10.20M,,10.20M,,,109.00M,,,185.50M,,,26.50M,331.20M,,,,,,,627.30M,-261.30M,366.00M,,,,,,,35.50M,401.50M,732.70M,,,,,,,,,22.40M,,22.40M,,,142.90M,165.30M,101.60M,,101.60M,85.20M,85.20M,,,,,15.30M,202.10M,367.40M,,,332.30M,,,,,,,365.30M,,,
1985-12,15.00M,,15.00M,,,98.80M,,,147.20M,,,3.90M,264.90M,,,,,,,569.00M,-231.70M,337.30M,,,,,,,39.50M,376.80M,641.70M,,,,,,,,,8.00M,,8.00M,,,127.50M,135.50M,89.90M,,89.90M,71.90M,71.90M,,,,,13.60M,175.40M,310.90M,,,291.50M,,,,,,,330.80M,,,
1984-12,14.40M,,14.40M,,,91.50M,,,163.40M,,,5.10M,274.40M,,,,,,,501.60M,-196.70M,304.90M,,,,,,,43.10M,348.00M,622.40M,,,,,,,,,10.40M,,10.40M,,,136.90M,147.30M,114.80M,,114.80M,49.80M,49.80M,,,,,15.10M,179.70M,327.00M,,,254.90M,,,,,,,295.40M,,,
