,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,TotalCurrentAssets,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,NetLoanAssets,LongTermInvestments,LongTermDeferredTaxAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,SecuritySoldNotYetRepurchased,UnpaidLossReserve,UnearnedPremiumonInsuranceContract,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2010-03,441.05M,,441.05M,1.081B,376.99M,251.45M,1.337B,219.48M,1.997B,245.28M,109.40M,,109.40M,376.99M,12.18B,128.66M,13.07B,17.23B,,,,,204.58M,204.58M,,,,,,204.58M,1.588B,1.588B,,,82.83M,9.072B,1.990B,5.832M,,12.73B,13.58B,,47.02M,3.895B,924.44M,1.412B,,,,191.55M,3.646B,,AOR,Restated
2009-12,515.43M,,515.43M,1.048B,381.59M,310.04M,1.358B,211.05M,2.085B,246.60M,90.58M,,90.58M,381.59M,12.17B,190.45M,13.06B,17.33B,,,,,208.04M,208.04M,,,,,,208.04M,1.595B,1.595B,,,143.88M,9.072B,1.928B,5.879M,,12.74B,13.73B,,47.02M,3.785B,926.36M,1.326B,,,,163.21M,3.596B,,AOR,Restated
2009-09,736.39M,,736.39M,1.083B,391.27M,201.64M,1.306B,218.58M,2.261B,244.50M,109.32M,,109.32M,391.27M,12.12B,156.25M,13.02B,17.39B,,,,,163.53M,163.53M,,,,,,163.53M,1.590B,1.590B,,,115.39M,9.115B,2.040B,5.50M,,12.86B,13.78B,,47.02M,3.660B,925.75M,1.221B,,,,191.06M,3.603B,,AOR,Restated
2009-06,771.51M,,771.51M,1.114B,388.78M,131.98M,1.331B,222.37M,2.325B,250.06M,107.99M,,107.99M,388.78M,11.24B,263.18M,12.14B,16.66B,,,,,158.16M,158.16M,,,,,,158.16M,1.272B,1.272B,,,156.50M,9.084B,2.016B,5.427M,,12.53B,13.36B,,47.02M,3.572B,930.67M,1.234B,,,,-25.32M,3.290B,,AOR,Restated
2009-03,826.07M,,826.07M,1.128B,385.65M,196.74M,1.377B,191.23M,2.395B,253.37M,,106.29M,106.29M,385.65M,10.65B,348.34M,11.51B,16.19B,,,,,115.48M,115.48M,,,,,,115.48M,1.272B,1.272B,,,44.08M,9.042B,2.015B,5.352M,,12.37B,13.11B,,47.02M,3.485B,924.92M,1.236B,,,,-146.15M,3.075B,,AOR,Restated
2008-12,1.135B,,1.135B,1.056B,381.18M,267.29M,1.323B,181.46M,2.640B,260.52M,107.56M,,107.56M,381.18M,10.19B,405.91M,11.06B,16.12B,,,,,114.97M,114.97M,,,,,,114.97M,1.271B,1.271B,,,23.05M,9.000B,1.966B,5.361M,,12.26B,13.07B,,47.02M,3.515B,920.24M,1.207B,,,,-228.96M,3.046B,,AOR,Restated
2008-09,1.004B,,1.004B,1.156B,308.18M,395.39M,1.551B,188.06M,2.743B,218.61M,,106.59M,106.59M,308.18M,10.15B,337.36M,11.08B,16.42B,,,,,108.77M,108.77M,,,,,,108.77M,1.274B,1.274B,,,57.02M,9.077B,2.133B,5.248M,,12.54B,13.36B,,47.02M,3.461B,915.76M,1.194B,,,,-180.77M,3.049B,,AOR,Restated
2008-06,614.70M,,614.70M,1.243B,268.25M,402.40M,1.645B,192.68M,2.453B,219.38M,,106.46M,106.46M,268.25M,10.80B,261.44M,11.64B,16.55B,,,,,112.92M,112.92M,,,,,,112.92M,1.271B,1.271B,,,56.44M,8.910B,2.205B,5.178M,,12.44B,13.26B,,47.02M,3.499B,912.92M,1.153B,,,,-29.22M,3.277B,,AOR,Restated
2008-03,718.07M,,718.07M,427.70M,,2.188B,2.616B,199.95M,3.534B,201.78M,105.96M,,105.96M,267.82M,10.69B,184.87M,12.53B,16.83B,,107.24M,,,107.24M,107.24M,,,,,,107.24M,1.360B,1.360B,,,88.23M,8.836B,2.294B,5.17M,,12.58B,13.38B,,47.02M,3.429B,909.39M,971.60M,,17.11M,18.21M,35.32M,3.449B,,AOR,Restated
2007-12,951.86M,,951.86M,1.199B,331.40M,410.06M,1.609B,179.50M,2.740B,204.25M,,102.46M,102.46M,331.40M,10.87B,174.50M,11.65B,16.82B,,,,,108.18M,108.18M,,,,,,108.18M,1.371B,1.371B,,,67.14M,8.678B,2.241B,35.50M,,12.36B,13.19B,,47.02M,3.271B,907.02M,686.23M,,,,53.20M,3.592B,,AOR,Restated
