,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDiluted,,SharesData(Quarterly),DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2008-05,1.568B,1.568B,1.487B,81.90M,337.50M,,,,,337.50M,-255.60M,,,,,,-274.30M,-144.50M,-210.50M,411.80M,,,,201.30M,-210.50M,-255.60M,,2008-05,-0.43,0.85,0.42,,2008-05,-0.43,0.84,0.42,,2008-05,0.19,,2008-05,,Restated
2008-02,3.528B,3.528B,2.555B,973.00M,494.60M,,,,,494.60M,478.40M,,,,45.30M,,416.30M,151.50M,310.10M,-1.00M,,,,309.10M,310.10M,478.40M,,2008-02,0.64,-0.01,0.63,,2008-02,0.63,-0.01,0.63,,2008-02,0.19,,2008-02,,
2007-11,2.951B,2.951B,2.209B,742.20M,489.30M,,,,,489.30M,252.90M,,,,12.50M,,190.70M,68.60M,134.60M,110.20M,,,,244.80M,134.60M,252.90M,,2007-11,0.28,0.22,0.50,,2007-11,0.27,0.22,0.50,,2007-11,0.19,,2007-11,,
2007-08,2.621B,2.621B,2.002B,618.80M,381.50M,,,,,381.50M,237.30M,,,,9.60M,,182.50M,61.10M,131.00M,44.40M,,,,175.40M,131.00M,237.30M,,2007-08,0.27,0.09,0.36,,2007-08,0.27,0.09,0.36,,2007-08,0.18,,2007-08,,
2007-05,1.836B,1.836B,1.391B,444.70M,436.30M,,,,,436.30M,8.40M,,,,4.00M,,-44.90M,-26.90M,-14.00M,206.00M,,,,192.00M,-14.00M,8.40M,,2007-05,-0.02,0.41,0.39,,2007-05,-0.02,0.41,0.39,,2007-05,0.18,,2007-05,,
2007-02,2.918B,2.918B,2.143B,775.00M,450.20M,,,,,450.20M,324.80M,,,,9.60M,,268.70M,91.80M,186.50M,6.10M,,,,192.60M,186.50M,324.80M,,2007-02,0.37,0.01,0.38,,2007-02,0.37,0.01,0.38,,2007-02,0.18,,2007-02,,
2006-11,3.089B,3.089B,2.278B,810.30M,450.40M,,,,,450.40M,359.90M,,,,12.60M,,307.80M,119.10M,201.30M,12.00M,,,,213.30M,201.30M,359.90M,,2006-11,0.40,0.02,0.42,,2006-11,0.39,0.02,0.42,,2006-11,0.18,,2006-11,,
2006-08,2.689B,2.689B,2.026B,663.00M,437.20M,,,,,437.20M,225.80M,,,,2.20M,,167.80M,61.50M,108.50M,58.20M,,,,166.70M,108.50M,225.80M,,2006-08,0.21,0.12,0.33,,2006-08,0.21,0.12,0.33,,2006-08,0.18,,2006-08,,
2006-05,1.714B,1.714B,1.294B,419.80M,460.30M,0.00,,,,460.30M,-40.50M,,,,-27.00M,,-102.20M,-59.70M,-69.50M,128.70M,,,,59.20M,-69.50M,-40.50M,,2006-05,-0.14,0.25,0.11,,2006-05,-0.14,0.25,0.11,,2006-05,0.18,,2006-05,,
2006-02,2.862B,2.862B,2.142B,719.40M,514.70M,,,,,514.70M,204.70M,,,,-0.60M,,135.90M,37.60M,97.70M,-122.90M,,,,-25.20M,97.70M,204.70M,,2006-02,0.19,-0.24,-0.05,,2006-02,0.19,-0.24,-0.05,,2006-02,0.2725,,2006-02,,
2005-11,3.002B,3.002B,2.271B,731.40M,450.40M,,,,,450.40M,281.00M,,,,-16.70M,,212.40M,79.50M,116.20M,36.30M,,,,152.50M,116.20M,281.00M,,2005-11,0.22,0.07,0.29,,2005-11,0.22,0.07,0.29,,2005-11,0.2725,,2005-11,,
2005-08,2.674B,2.674B,2.003B,670.70M,417.00M,329.40M,,,,417.00M,253.70M,,,,315.50M,,510.70M,177.60M,319.20M,28.10M,,,,347.30M,104.35M,253.70M,,2005-08,0.62,0.05,0.67,,2005-08,0.61,0.05,0.67,,2005-08,0.2725,,2005-08,,
2005-05,2.879B,2.879B,2.189B,689.90M,471.00M,0.00,,,,471.00M,218.90M,,,,9.90M,,132.20M,61.90M,80.20M,21.60M,,,,101.80M,80.20M,218.90M,,2005-05,0.31,-0.12,0.19,,2005-05,0.31,-0.12,0.19,,2005-05,0.2725,,2005-05,,
2005-02,3.570B,3.570B,2.804B,766.40M,505.90M,185.70M,,,,505.90M,260.50M,,,,121.70M,,378.10M,149.60M,164.50M,0.80M,,,,165.30M,52.27M,260.50M,,2005-02,0.31,0.01,0.32,,2005-02,0.31,0.01,0.32,,2005-02,0.2725,,2005-02,,
2004-11,4.009B,4.009B,3.108B,901.00M,433.40M,,,,,433.40M,467.60M,,,,15.10M,,381.80M,151.30M,245.60M,-6.00M,,,,239.60M,245.60M,467.60M,,2004-11,0.48,-0.01,0.47,,2004-11,0.47,-0.01,0.46,,2004-11,0.2725,,2004-11,,
2004-08,3.383B,3.383B,2.700B,682.80M,410.10M,,,,,410.10M,272.70M,,,,14.10M,,199.30M,81.00M,132.40M,2.30M,,,,134.70M,132.40M,272.70M,,2004-08,0.26,0.00,0.26,,2004-08,0.26,0.00,0.26,,2004-08,0.26,,2004-08,,
2004-05,366.60M,366.60M,-38.90M,405.50M,329.70M,,,,,329.70M,75.80M,,,,14.10M,,-3.70M,42.10M,-31.70M,200.80M,0.00,,,169.10M,-31.70M,75.80M,,2004-05,0.47,-0.16,0.33,,2004-05,0.46,-0.16,0.32,,2004-05,0.26,,2004-05,,
2004-02,3.526B,3.526B,2.725B,800.20M,426.20M,,,,,426.20M,374.00M,,,,1.90M,,312.20M,110.30M,203.80M,12.90M,-1.40M,,,215.30M,203.80M,374.00M,,2004-02,0.39,0.02,0.41,,2004-02,0.38,0.02,0.40,,2004-02,0.26,,2004-02,,
