,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2013-03,124.91M,,,,9.342M,34.10M,43.44M,43.44M,,,12.98M,-3.669M,14.45M,-11.69M,-25.51M,,16.35M,-6.395M,171.27M,-11.20M,,,-2.24M,0.235M,-13.21M,-100.16M,,-100.16M,0.642M,,0.642M,0.00,0.00,6.229M,4.486M,-88.80M,370.59M,69.25M,-9.822M,430.02M,0.642M,,-100.16M,
2012-12,143.53M,,,,9.486M,34.46M,43.95M,43.95M,,,10.63M,1.652M,-25.56M,21.35M,17.83M,,-1.73M,11.88M,211.64M,-9.169M,,,-22.22M,-0.022M,-31.41M,-137.97M,,-137.97M,0.572M,,0.572M,-29.80M,-29.80M,-2.426M,3.501M,-166.12M,355.11M,14.10M,1.381M,370.59M,0.572M,-50.00M,-87.97M,
2012-09,116.71M,,,,9.452M,30.11M,39.56M,39.56M,,,10.44M,3.593M,16.55M,2.467M,11.75M,,4.357M,35.13M,205.43M,-8.704M,,,-1.409B,0.11M,-1.417B,1.036B,,1.036B,0.50M,,0.50M,-13.43M,-13.43M,11.79M,4.38M,1.040B,518.90M,-172.21M,8.42M,355.11M,0.50M,1.05B,-13.61M,
2012-06,114.81M,,,,9.501M,26.27M,35.77M,35.77M,,,9.75M,2.284M,-28.53M,2.01M,15.56M,,-32.34M,-43.29M,119.33M,-10.52M,,,-17.86M,0.325M,-28.06M,-19.49M,,-19.49M,0.523M,,0.523M,-13.38M,-13.38M,11.44M,3.547M,-17.36M,451.72M,73.90M,-6.719M,518.90M,0.523M,0.00,-19.49M,
2012-03,108.31M,,,,9.449M,26.02M,35.47M,35.47M,,,9.954M,1.437M,15.97M,-7.462M,-35.94M,,13.72M,-13.71M,141.46M,-10.01M,,,-19.01M,0.219M,-28.80M,-12.87M,,-12.87M,0.60M,,0.60M,-13.29M,-13.29M,16.87M,6.416M,-2.274M,338.10M,110.39M,3.23M,451.72M,0.60M,,-12.87M,
2011-12,,,,,9.111M,26.31M,35.42M,35.42M,,-1.772M,8.264M,-297.34M,-5.043M,5.389M,1.743M,,18.64M,20.73M,192.54M,-11.56M,-1.553M,-1.553M,-6.397M,0.232M,-19.28M,-86.40M,,-86.40M,0.515M,,0.515M,,-10.56M,13.69M,8.033M,-74.72M,246.45M,98.54M,-6.895M,338.10M,0.515M,,-86.40M,
2011-09,,,,,8.804M,26.79M,35.59M,35.59M,,0.591M,7.658M,110.28M,6.216M,-3.11M,2.983M,,6.344M,12.43M,166.56M,-9.753M,1.553M,1.553M,-22.58M,-1.447M,-32.23M,-71.52M,,-71.52M,0.53M,,0.53M,,-10.53M,1.565M,-0.058M,-80.01M,196.03M,54.31M,-3.887M,246.45M,0.53M,,-71.52M,
2011-06,,,,,9.609M,25.21M,34.82M,34.82M,,0.59M,7.696M,103.99M,-4.566M,-8.953M,32.81M,,-10.46M,8.835M,155.93M,-10.58M,,,-204.61M,-0.04M,-215.23M,-1.568M,,-1.568M,0.48M,,0.48M,,-10.54M,4.307M,1.464M,-5.861M,261.45M,-65.16M,-0.263M,196.03M,0.48M,,-1.568M,
2011-03,,,,,9.256M,25.05M,34.31M,34.31M,,0.591M,8.112M,91.30M,-18.18M,-16.36M,-13.19M,,,-47.73M,86.58M,-8.813M,,,0.00,-0.198M,-9.011M,-96.97M,,-96.97M,0.579M,,0.579M,,-10.46M,8.607M,2.158M,-96.08M,270.39M,-18.51M,9.562M,261.45M,0.579M,,-96.97M,
2010-12,322.58M,,,,9.457M,24.86M,34.32M,34.32M,,-1.772M,5.766M,-217.64M,-12.69M,1.59M,8.487M,,14.49M,11.87M,155.12M,-8.20M,,,0.00,-0.085M,-8.285M,-131.29M,,-131.29M,0.461M,,0.461M,,-8.984M,12.09M,2.009M,-125.71M,250.81M,21.13M,-1.546M,270.39M,0.461M,-128.00M,-3.288M,
