,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
1994-06,283.10M,,283.10M,,,2.326B,,,,1.056B,,,1.946B,5.611B,,,,,,,15.15B,-5.818B,9.333B,,7.825B,7.825B,,,,1.946B,19.10B,24.72B,,1.353B,,,,1.353B,,1.353B,,,3.324B,,3.324B,3.014B,7.690B,7.116B,7.116B,1.996B,1.996B,,,1.527B,10.64B,18.33B,,,6.969B,,,,,,,6.385B,,,
1994-03,227.10M,,227.10M,,,1.879B,,,,924.50M,,,2.264B,5.295B,,,,,,,14.64B,-5.629B,9.011B,,7.845B,7.845B,,,,1.769B,18.62B,23.92B,,1.134B,,,,1.134B,,1.134B,,,2.780B,,2.780B,2.719B,6.633B,7.668B,7.668B,1.975B,1.975B,,,1.440B,11.08B,17.72B,,,6.666B,,,,,,,6.203B,,,
1993-12,226.90M,,226.90M,,,1.883B,,,,924.70M,,,2.129B,5.164B,,,,,,,14.25B,-5.394B,8.856B,,7.930B,7.930B,,,,1.757B,18.54B,23.71B,,1.39B,,,,1.39B,,1.39B,,,2.191B,,2.191B,2.994B,6.575B,7.443B,7.443B,2.008B,2.008B,,,1.342B,10.79B,17.37B,,,6.542B,,,,,,,6.339B,,,
1993-09,209.50M,,209.50M,,,2.079B,,,,852.20M,,,1.618B,4.759B,,,,,,,13.58B,-5.234B,8.342B,,7.509B,7.509B,,,,1.760B,17.61B,22.37B,,1.140B,,,,1.140B,,1.140B,,,1.302B,,1.302B,2.699B,5.141B,7.675B,7.675B,1.845B,1.845B,,,1.806B,11.33B,16.47B,,,6.226B,,,,,,,5.903B,,,
1993-06,193.70M,,193.70M,,,1.951B,,,,884.10M,,,1.739B,4.769B,,,,,,,13.20B,-5.127B,8.071B,,7.067B,7.067B,,,,1.809B,16.95B,21.72B,,1.141B,,,,1.141B,,1.141B,,,1.361B,,1.361B,2.546B,5.048B,7.723B,7.723B,1.759B,1.759B,,,1.688B,11.17B,16.22B,,,5.896B,,,,,,,5.498B,,,
1993-03,122.10M,,122.10M,,,1.604B,,,,798.40M,,,2.332B,4.856B,,,,,,,12.65B,-4.851B,7.798B,,7.085B,7.085B,,,,1.768B,16.65B,21.51B,,1.041B,,,,1.041B,,1.041B,,,1.138B,,1.138B,2.393B,4.571B,8.035B,8.035B,1.667B,1.667B,,,1.690B,11.39B,15.96B,,,5.596B,,,,,,,5.544B,,,
1992-12,169.90M,,169.90M,,,1.588B,,,,768.80M,,,2.315B,4.842B,,,,,,,12.10B,-4.653B,7.442B,,6.959B,6.959B,,,,1.708B,16.11B,20.95B,,1.165B,,,,1.165B,,1.165B,,,706.80M,,706.80M,2.453B,4.324B,7.965B,7.965B,1.682B,1.682B,,,1.624B,11.27B,15.60B,,,5.440B,,,,,,,5.356B,,,
1992-09,135.80M,,135.80M,,,1.799B,,,,735.20M,,,2.420B,5.090B,,,,,,,11.76B,-4.444B,7.314B,,6.584B,6.584B,,,,1.732B,15.63B,20.72B,,1.044B,,,,1.044B,,1.044B,,,1.097B,,1.097B,2.402B,4.542B,7.798B,7.798B,1.133B,1.133B,,,742.50M,9.673B,14.22B,,,6.219B,,,,,,,6.505B,,,
1992-06,133.90M,,133.90M,,,1.759B,,,,693.00M,,,2.410B,4.996B,,,,,,,11.10B,-4.245B,6.860B,,6.158B,6.158B,,,,1.949B,14.97B,19.96B,,1.050B,,,,1.050B,,1.050B,,,1.442B,,1.442B,2.238B,4.730B,7.444B,7.444B,1.098B,1.098B,,,708.60M,9.251B,13.98B,,,5.897B,,,,,,,5.981B,,,
1992-03,103.00M,,103.00M,,,1.458B,,,,672.40M,,,2.462B,4.696B,,,,,,,10.71B,-4.078B,6.631B,,5.850B,5.850B,,,,1.988B,14.47B,19.16B,,903.20M,,,,903.20M,,903.20M,,,1.530B,,1.530B,2.133B,4.566B,7.347B,7.347B,1.080B,1.080B,,,679.20M,9.106B,13.67B,,,5.617B,,,,,,,5.492B,,,
1991-12,186.70M,,186.70M,,,1.482B,,,,661.50M,,,2.236B,4.566B,,,,,,,10.50B,-3.907B,6.595B,,5.932B,5.932B,,,,1.682B,14.21B,18.78B,,1.197B,,,,1.197B,,1.197B,,,228.20M,,228.20M,2.297B,3.722B,7.806B,7.806B,1.070B,1.070B,,,631.30M,9.508B,13.23B,,,5.47B,,,,,,,5.545B,,,
1991-09,216.40M,,216.40M,,,1.656B,,,,633.60M,,,2.364B,4.870B,,,,,,,9.834B,-3.749B,6.085B,,5.788B,5.788B,,,,1.701B,13.57B,18.44B,,942.10M,,,,942.10M,,942.10M,,,1.263B,,1.263B,2.336B,4.541B,7.143B,7.143B,979.70M,979.70M,,,577.70M,8.700B,13.24B,,,5.294B,,,,,,,5.203B,,,
1991-06,127.80M,,127.80M,,,1.627B,,,,643.10M,,,2.380B,4.778B,,,,,,,9.452B,-3.584B,5.868B,,5.612B,5.612B,,,,1.568B,13.05B,17.83B,,941.50M,,,,941.50M,,941.50M,,,1.961B,,1.961B,2.096B,4.999B,6.226B,6.226B,967.40M,967.40M,,,671.60M,7.865B,12.86B,,,5.103B,,,,,,,4.962B,,,
1991-03,89.90M,,89.90M,,,1.392B,,,,638.20M,,,2.287B,4.407B,,,,,,,9.150B,-3.416B,5.734B,,5.771B,5.771B,,,,1.556B,13.06B,17.47B,,863.10M,,,,863.10M,,863.10M,,,1.631B,,1.631B,1.932B,4.426B,6.399B,6.399B,955.10M,955.10M,,,647.80M,8.002B,12.43B,,,4.880B,,,,,,,5.039B,,,
1990-12,170.80M,,170.80M,,,1.415B,,,,585.80M,,,1.910B,4.081B,,,,,,,8.978B,-3.267B,5.711B,,5.845B,5.845B,,,,1.506B,13.06B,17.14B,,1.116B,,,,1.116B,,1.116B,,,1.626B,,1.626B,2.028B,4.770B,5.600B,5.600B,942.80M,942.80M,,,925.80M,7.469B,12.24B,,,4.753B,,,,,,,4.904B,,,
1990-09,149.00M,,149.00M,,,1.596B,,,,561.40M,,,2.029B,4.335B,,,,,,,8.562B,-3.147B,5.416B,,5.684B,5.684B,,,,1.048B,12.15B,16.48B,,899.00M,,,,899.00M,,899.00M,,,875.00M,,875.00M,2.143B,3.917B,6.117B,6.117B,906.80M,906.80M,,,912.40M,7.936B,11.85B,,,4.566B,,,,,,,4.629B,,,
1990-06,151.10M,,151.10M,,,1.514B,,,,584.80M,,,1.959B,4.209B,,,,,,,8.289B,-2.996B,5.294B,,5.551B,5.551B,,,,1.022B,11.87B,16.08B,,897.00M,,,,897.00M,,897.00M,,,1.047B,,1.047B,1.874B,3.818B,6.158B,6.158B,881.70M,881.70M,,,924.90M,7.965B,11.78B,,,4.308B,,,,,,,4.292B,,,
1990-03,90.90M,,90.90M,,,1.272B,,,,561.40M,,,1.843B,3.767B,,,,,,,8.055B,-2.864B,5.190B,,5.484B,5.484B,,,,1.004B,11.68B,15.45B,,802.10M,,,,802.10M,,802.10M,,,1.228B,,1.228B,1.830B,3.859B,5.818B,5.818B,869.30M,869.30M,,,925.20M,7.612B,11.47B,,,4.094B,,,,,,,3.974B,,,
1989-12,76.20M,,76.20M,,,1.240B,,,,546.10M,,,1.689B,3.551B,,,,,,,7.818B,-2.688B,5.130B,,5.475B,5.475B,,,,970.80M,11.58B,15.13B,,1.054B,,,,1.054B,,1.054B,,,866.30M,,866.30M,1.771B,3.692B,5.777B,5.777B,856.90M,856.90M,,,909.80M,7.544B,11.24B,,,3.978B,,,,,,,3.891B,,,
1989-09,140.40M,,140.40M,,,1.358B,,,,499.70M,,,1.556B,3.553B,,,,,,,7.588B,-2.638B,4.950B,,5.352B,5.352B,,,,888.30M,11.19B,14.74B,,817.40M,,,,817.40M,,817.40M,,,881.00M,,881.00M,1.829B,3.527B,5.840B,5.840B,844.10M,844.10M,,,870.40M,7.554B,11.08B,,,3.842B,,,,,,,3.662B,,,
1989-06,144.50M,,144.50M,,,1.274B,,,,501.90M,,,1.714B,3.634B,,,,,,,7.144B,-2.425B,4.719B,,4.107B,4.107B,,,,897.00M,9.722B,13.36B,,725.90M,,,,725.90M,,725.90M,,,1.587B,,1.587B,1.617B,3.930B,4.246B,4.246B,829.90M,829.90M,,,904.80M,5.980B,9.910B,,,3.639B,,,,,,,3.447B,,,
1988-12,1.618B,,1.618B,,,979.30M,,,,442.40M,,,225.20M,3.265B,,,,,,,6.658B,-2.196B,4.462B,,2.582B,2.582B,,,,825.70M,7.871B,11.14B,,,,,,,,,,,1.451B,,1.451B,2.423B,3.874B,2.656B,2.656B,800.90M,800.90M,,,643.80M,4.101B,7.974B,,,3.330B,,,,,,,3.161B,,,
1987-12,1.353B,,1.353B,,,885.60M,,,,433.00M,,,268.40M,2.940B,,,,,,,6.001B,-1.883B,4.117B,,1.384B,1.384B,,,,581.40M,6.083B,9.023B,,,,,,,,,,,645.90M,,645.90M,2.077B,2.723B,2.280B,2.280B,804.60M,804.60M,,,706.80M,3.791B,6.514B,,,2.777B,,,,,,,2.509B,,,
1986-12,920.50M,,920.50M,,,820.20M,,,,431.50M,,,331.60M,2.504B,,,,,,,5.389B,-1.549B,3.840B,,1.285B,1.285B,,,,400.10M,5.525B,8.029B,,,,,,,,,,,232.70M,,232.70M,1.990B,2.223B,2.633B,2.633B,777.60M,777.60M,,,336.20M,3.746B,5.970B,,,2.357B,,,,,,,2.059B,,,
1985-12,912.20M,,912.20M,,,1.024B,,,,380.10M,,,478.00M,2.794B,,,,,,,3.824B,-1.252B,2.572B,,185.70M,185.70M,,,,309.20M,3.067B,5.861B,,,,,,,,,,,344.10M,,344.10M,1.492B,1.836B,1.163B,1.163B,813.70M,813.70M,,,211.40M,2.188B,4.024B,,,2.061B,,,,,,,1.838B,,,
1984-12,812.80M,,812.80M,,,640.10M,,,,451.80M,,,385.40M,2.290B,,,,,,,3.242B,-1.079B,2.163B,,163.90M,163.90M,,,,333.20M,2.660B,4.950B,,,,,,,,,,,284.30M,,284.30M,1.341B,1.625B,686.30M,686.30M,621.30M,621.30M,,,163.80M,1.471B,3.097B,,,1.679B,,,,,,,1.853B,,,
