,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
1993-09,8.40M,8.40M,,269.00M,,,,279.40M,,,77.40M,634.20M,,,,,,514.40M,-170.30M,344.10M,,388.00M,388.00M,,414.40M,1.146B,1.781B,,309.50M,,309.50M,,309.50M,,,40.40M,,40.40M,,,,349.90M,351.30M,,351.30M,,,,,142.60M,493.90M,843.80M,,,613.60M,,,,,,,936.90M,,,
1993-06,0.60M,0.60M,,177.90M,,,,265.30M,,,79.40M,523.20M,,,,,,486.00M,-170.30M,315.70M,,379.50M,379.50M,,369.20M,1.064B,1.588B,,273.30M,,273.30M,,273.30M,,,95.20M,,95.20M,,,,368.50M,176.30M,,176.30M,,,,,143.30M,319.60M,688.10M,,,580.10M,,,,,,,899.50M,,,
1993-03,3.20M,3.20M,,175.50M,,,,224.60M,,,81.60M,484.90M,,,,,,466.00M,-170.30M,295.70M,,317.20M,317.20M,,369.30M,982.20M,1.467B,,47.00M,,47.00M,,47.00M,,,22.80M,,22.80M,,,195.30M,265.10M,176.50M,,176.50M,,,,,147.70M,324.20M,589.30M,,,559.70M,,,,,,,877.80M,,,
1992-12,28.00M,28.00M,,267.80M,,,,226.20M,,,72.60M,594.60M,,,,,,455.50M,-162.70M,292.80M,,325.20M,325.20M,,357.00M,975.00M,1.570B,,37.60M,,37.60M,,37.60M,,,97.00M,,97.00M,,,240.50M,375.10M,176.80M,,176.80M,,,,,158.30M,335.10M,710.20M,,,543.80M,,,,,,,859.40M,,,
1992-09,35.10M,35.10M,,102.60M,,,,268.40M,,,65.80M,471.90M,,,,,,497.30M,-177.20M,320.10M,,233.40M,233.40M,,349.20M,902.70M,1.375B,,50.10M,,50.10M,,50.10M,,,33.00M,,33.00M,,,158.70M,241.80M,181.50M,,181.50M,30.20M,30.20M,,,65.80M,277.50M,519.30M,,,542.00M,,,,,,,855.30M,,,
1992-06,21.50M,21.50M,,90.90M,,,,239.80M,,,44.80M,397.00M,,,,,,445.40M,-159.70M,285.70M,,185.20M,185.20M,,373.60M,844.50M,1.242B,,,,,,,,,2.10M,,2.10M,,,193.90M,196.00M,184.20M,,184.20M,29.00M,29.00M,,,65.90M,279.10M,475.10M,,,410.90M,,,,,,,766.40M,,,
1992-03,22.50M,22.50M,,82.00M,,,,223.30M,,,45.70M,373.50M,,,,,,435.10M,-159.70M,275.40M,,186.10M,186.10M,,372.10M,833.60M,1.207B,,42.90M,,42.90M,,42.90M,,,58.10M,,58.10M,,,143.50M,244.50M,126.40M,,126.40M,28.20M,28.20M,,,66.30M,220.90M,465.40M,,,486.90M,,,,,,,741.70M,,,
1991-12,26.30M,26.30M,,20.20M,,,,198.40M,,,41.30M,286.20M,,,,,,380.90M,-133.30M,247.60M,,148.20M,148.20M,,357.60M,753.40M,1.040B,,28.80M,,28.80M,,28.80M,,,1.10M,,1.10M,,,133.90M,163.80M,176.60M,,176.60M,26.80M,26.80M,,,66.00M,269.40M,433.20M,,,371.20M,,,,,,,606.40M,,,
1991-09,13.50M,13.50M,,71.80M,,,,210.10M,,,57.40M,352.80M,,,,,,375.80M,-136.20M,239.60M,,149.30M,149.30M,,333.90M,722.80M,1.076B,,42.30M,,42.30M,,42.30M,,,11.10M,,11.10M,,,144.10M,197.50M,203.30M,,203.30M,27.10M,27.10M,,,65.70M,296.10M,493.60M,,,348.70M,,,,,,,582.00M,,,
1991-06,10.90M,10.90M,,124.00M,,,,200.40M,,,52.90M,388.20M,,,,,,337.70M,-120.90M,216.80M,,148.10M,148.10M,,177.40M,542.30M,930.50M,,37.70M,,37.70M,,37.70M,,,31.70M,,31.70M,,,129.40M,198.80M,82.80M,,82.80M,25.70M,25.70M,,,67.00M,175.50M,374.30M,,4.70M,318.60M,,,4.70M,,,,556.20M,,,
1991-03,20.40M,20.40M,,119.40M,,,,190.60M,,,50.90M,381.30M,,,,,,322.80M,-112.70M,210.10M,,149.30M,149.30M,,152.60M,512.00M,893.30M,,36.30M,,36.30M,,36.30M,,,19.30M,,19.30M,,,125.70M,181.30M,88.00M,,88.00M,26.00M,26.00M,,,68.10M,182.10M,363.40M,,4.70M,300.90M,,,4.70M,,,,529.90M,,,
1990-12,36.30M,36.30M,,111.30M,,,,177.80M,,,50.00M,375.40M,,,,,,312.50M,-106.30M,206.20M,,150.40M,150.40M,,139.00M,495.60M,871.00M,,33.90M,,33.90M,,33.90M,,,10.20M,,10.20M,,,137.20M,181.30M,89.30M,,89.30M,23.60M,23.60M,,,68.20M,181.10M,362.40M,,4.70M,289.70M,,,4.70M,,,,508.60M,,,
1990-09,13.50M,13.50M,,141.40M,,,,179.80M,,,21.80M,356.50M,,,,,,330.30M,-113.00M,217.30M,,152.90M,152.90M,,147.30M,517.50M,874.00M,,43.30M,,43.30M,,43.30M,,,29.40M,,29.40M,,,139.80M,212.50M,90.80M,,90.80M,11.10M,11.10M,,,73.50M,175.40M,387.90M,,4.70M,269.50M,,,4.70M,,,,486.10M,,,
1990-06,9.20M,9.20M,,122.50M,,,,185.70M,,,30.50M,347.90M,,,,,,323.40M,-105.20M,218.20M,,156.80M,156.80M,,169.80M,544.80M,892.70M,,37.80M,,37.80M,,37.80M,,,49.40M,,49.40M,,,133.00M,220.20M,91.00M,,91.00M,17.20M,17.20M,,,74.50M,182.70M,402.90M,,6.30M,249.70M,,,6.30M,,,,489.80M,,,
1990-03,4.00M,4.00M,,126.10M,,,,202.50M,,,20.20M,352.80M,,,,,,312.50M,-100.00M,212.50M,,159.30M,159.30M,,145.60M,517.40M,870.20M,,40.60M,,40.60M,,40.60M,,,10.30M,,10.30M,,,147.90M,198.80M,100.10M,,100.10M,23.70M,23.70M,,,74.80M,198.60M,397.40M,,6.30M,235.20M,,,6.30M,,,,472.80M,,,
1989-12,15.20M,15.20M,,120.20M,,,,199.50M,,,45.20M,380.10M,,,,,,308.80M,-91.40M,217.40M,,149.40M,149.40M,,124.40M,491.20M,871.30M,,29.20M,,29.20M,,29.20M,,,50.00M,,50.00M,,,151.60M,230.80M,100.20M,,100.20M,22.00M,22.00M,,,62.50M,184.70M,415.50M,,6.30M,218.60M,,,6.30M,,,,455.80M,,,
1988-12,13.50M,13.50M,,120.00M,,,,179.80M,,,21.00M,334.30M,,,,,,302.20M,-73.50M,228.70M,,138.00M,138.00M,,119.00M,485.70M,820.00M,,,,,,,,,3.10M,,3.10M,,,189.10M,192.20M,153.60M,,153.60M,30.30M,30.30M,,,181.80M,365.70M,557.90M,,,158.30M,,,,,,,262.10M,,,
1987-12,1.50M,1.50M,,136.20M,,,,199.70M,,,16.00M,353.40M,,,,,,295.60M,-41.80M,253.80M,,125.60M,125.60M,,109.20M,488.60M,842.00M,,,,,,,,,12.60M,,12.60M,,,155.20M,167.80M,239.20M,,239.20M,18.80M,18.80M,,,200.10M,458.10M,625.90M,,,119.30M,,,,,,,216.10M,,,
1986-12,10.60M,10.60M,,56.30M,,,,86.00M,,,11.50M,164.40M,,,,,,84.30M,-28.50M,55.80M,,21.40M,21.40M,,93.70M,170.90M,335.30M,,,,,,,,,25.40M,,25.40M,,,50.70M,76.10M,38.20M,,38.20M,2.70M,2.70M,,,28.20M,69.10M,145.20M,,,96.90M,,,,,,,190.10M,,,
1985-12,5.00M,5.00M,,59.40M,,,,81.70M,,,11.90M,158.00M,,,,,,77.50M,-22.40M,55.10M,,20.00M,20.00M,,42.70M,117.80M,275.80M,,,,,,,,,23.50M,,23.50M,,,51.60M,75.10M,58.30M,,58.30M,2.10M,2.10M,,,28.10M,88.50M,163.60M,,,81.40M,,,,,,,112.20M,,,
1984-12,12.10M,12.10M,,51.50M,,,,77.70M,,,8.30M,149.60M,,,,,,63.80M,-16.10M,47.70M,,14.10M,14.10M,,27.60M,89.40M,239.00M,,,,,,,,,35.00M,,35.00M,,,39.30M,74.30M,51.50M,,51.50M,2.10M,2.10M,,,12.10M,65.70M,140.00M,,,67.80M,,,,,,,99.00M,,,
