,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
1995-03,38.00M,38.00M,,,576.00M,,,,170.00M,,,54.00M,838.00M,,,,,,,5.08B,-2.683B,2.397B,,,,,,,,380.00M,2.777B,3.615B,,199.00M,,199.00M,,199.00M,,,,,511.00M,,511.00M,,,263.00M,973.00M,,865.00M,,865.00M,,,,,365.00M,,535.00M,1.40B,2.373B,,,311.00M,,,,,,,877.00M,,,
1994-12,63.00M,63.00M,,,549.00M,,,,163.00M,,,65.00M,840.00M,,,,,,,5.033B,-2.683B,2.35B,,90.00M,90.00M,,,,,240.00M,2.68B,3.52B,,215.00M,,215.00M,,215.00M,,,,,372.00M,,372.00M,,,302.00M,889.00M,,893.00M,,893.00M,,,,,371.00M,,528.00M,1.421B,2.31B,,,257.00M,,,,,,,839.00M,,,
1994-09,72.00M,72.00M,,,511.00M,,,,150.00M,,,67.00M,800.00M,,,,,,,4.746B,-2.459B,2.287B,,,,,,,,336.00M,2.623B,3.423B,,178.00M,,178.00M,,178.00M,,,,,299.00M,,299.00M,,,270.00M,747.00M,,963.00M,,963.00M,,,,,370.00M,,526.00M,1.489B,2.236B,,,211.00M,,,,,,,817.00M,,,
1994-06,36.00M,36.00M,,,462.00M,,,,143.00M,,,57.00M,698.00M,,,,,,,4.725B,-2.459B,2.266B,,,,,,,,331.00M,2.597B,3.295B,,165.00M,,165.00M,,165.00M,,,,,313.00M,,313.00M,,,246.00M,724.00M,,949.00M,,949.00M,,,,,365.00M,,513.00M,1.462B,2.186B,,,170.00M,,,,,,,744.00M,,,
1994-03,34.00M,34.00M,,,478.00M,,,,135.00M,,,53.00M,700.00M,,,,,,,4.723B,-2.459B,2.264B,,,,,,,,298.00M,2.562B,3.262B,,148.00M,,148.00M,,148.00M,,,,,376.00M,,376.00M,,,272.00M,796.00M,,955.00M,,955.00M,,,,,353.00M,,481.00M,1.436B,2.232B,,,124.00M,,,,,,,677.00M,,,
1993-12,34.00M,34.00M,,,459.00M,,,,137.00M,,,61.00M,691.00M,,,,,,,4.732B,-2.459B,2.273B,,,,,,,,291.00M,2.564B,3.255B,,153.00M,,153.00M,,153.00M,,,,,396.00M,,396.00M,,,282.00M,831.00M,,964.00M,,964.00M,,,,,345.00M,,480.00M,1.444B,2.275B,,,91.00M,,,,,,,635.00M,,,
1993-09,38.00M,38.00M,,,472.00M,,,,137.00M,,,55.00M,702.00M,,,,,,,4.571B,-2.276B,2.295B,,,,,,,,328.00M,2.623B,3.325B,,168.00M,,168.00M,,168.00M,,,,,497.00M,,497.00M,,,264.00M,929.00M,,938.00M,,938.00M,,,,,348.00M,,486.00M,1.424B,2.353B,,,5.00M,,,,,,,624.00M,,,
1993-06,44.00M,44.00M,,,480.00M,,,,146.00M,,,53.00M,723.00M,,,,,,,4.543B,-2.276B,2.267B,,,,,,,,329.00M,2.596B,3.319B,,167.00M,,167.00M,,167.00M,,,,,436.00M,,436.00M,,,263.00M,866.00M,,948.00M,,948.00M,,,,,406.00M,,492.00M,1.44B,2.306B,,,5.00M,,,,,,,607.00M,,,
1993-03,28.00M,28.00M,,,484.00M,,,,147.00M,,,59.00M,718.00M,,,,,,,4.572B,-2.276B,2.296B,,,,,,,,329.00M,2.625B,3.343B,,165.00M,,165.00M,,165.00M,,,,,479.00M,,479.00M,,,261.00M,905.00M,,961.00M,,961.00M,,,,,402.00M,,491.00M,1.452B,2.357B,,,5.00M,,,,,,,584.00M,,,
1992-12,24.00M,24.00M,,,491.00M,,,,147.00M,,,29.00M,691.00M,,,,,,,4.591B,-2.276B,2.315B,,,,,,,,338.00M,2.653B,3.344B,,181.00M,,181.00M,,181.00M,,,,,783.00M,,783.00M,,,246.00M,1.21B,,669.00M,,669.00M,,,,,401.00M,,520.00M,1.189B,2.399B,,,5.00M,,,,,,,544.00M,,,
1992-09,7.00M,7.00M,,,528.00M,,,,148.00M,,,78.00M,761.00M,,,,,,,4.644B,-2.253B,2.391B,,,,,,,,368.00M,2.759B,3.52B,,173.00M,,173.00M,,173.00M,,,,,819.00M,,819.00M,,,264.00M,1.256B,,692.00M,,692.00M,,,,,420.00M,,396.00M,1.088B,2.344B,,,,,,,,,,756.00M,,,
1992-06,18.00M,18.00M,,,516.00M,,,,191.00M,,,77.00M,802.00M,,,,,,,4.59B,-2.208B,2.382B,,,,,,,,344.00M,2.726B,3.528B,,235.00M,,235.00M,,235.00M,,,,,870.00M,,870.00M,,,241.00M,1.346B,,622.00M,,622.00M,,,,,423.00M,,404.00M,1.026B,2.372B,,,,,,,,,,733.00M,,,
1991-12,82.00M,82.00M,,,474.00M,,,,179.00M,,,89.00M,824.00M,,,,,,,4.427B,-2.089B,2.338B,,,,,,,,289.00M,2.627B,3.451B,,208.00M,,208.00M,,208.00M,,,,,392.00M,,392.00M,,,1.262B,1.862B,,176.00M,,176.00M,,,,,382.00M,,381.00M,557.00M,2.419B,,,,,,,,,,650.00M,,,
