,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
1996-01,,2.458B,838.00M,3.296B,6.479B,,,6.479B,2.917B,3.871B,6.788B,,,933.00M,17.50B,,,,,,9.023B,-4.232B,4.791B,,,,,,,,3.466B,8.257B,25.75B,,2.16B,,2.16B,,2.16B,3.437B,,,3.437B,,3.437B,925.00M,925.00M,4.902B,11.42B,1.094B,,1.094B,,,,,,993.00M,2.087B,13.51B,,850.00M,11.39B,,,,,12.24B,,,
1995-10,,1.973B,643.00M,2.616B,6.735B,,,6.735B,2.645B,3.368B,6.013B,,,875.00M,16.24B,0.00,485.00M,3.81B,4.452B,,8.747B,-4.036B,4.711B,,,,,,,,3.477B,8.188B,24.43B,,2.422B,,2.422B,,2.422B,3.214B,,,3.214B,,3.214B,782.00M,782.00M,4.526B,10.94B,663.00M,,663.00M,,,,,,981.00M,1.644B,12.59B,,1.381B,10.46B,,,,,11.84B,,,
1995-07,,2.079B,746.00M,2.825B,5.698B,,,5.698B,2.38B,3.108B,5.488B,,,861.00M,14.87B,,,,,,8.439B,-3.944B,4.495B,,,,,,,,3.259B,7.754B,22.63B,,1.941B,,1.941B,,1.941B,2.735B,,,2.735B,,2.735B,791.00M,791.00M,4.211B,9.678B,665.00M,,665.00M,,,,,,980.00M,1.645B,11.32B,,1.013B,10.29B,,,,,11.30B,,,
1995-04,,1.936B,1.06B,2.996B,5.449B,,,5.449B,1.985B,2.631B,4.616B,,,794.00M,13.86B,,,,,,8.265B,-3.847B,4.418B,,,,,,,,3.039B,7.457B,21.31B,,1.782B,,1.782B,,1.782B,2.151B,,,2.151B,,2.151B,805.00M,805.00M,4.015B,8.753B,665.00M,,665.00M,,,,,,938.00M,1.603B,10.36B,,1.037B,9.919B,,,,,10.96B,,,
1995-01,,1.666B,1.171B,2.837B,4.998B,,,4.998B,1.744B,2.657B,4.401B,,,735.00M,12.97B,,,,,,8.105B,-3.722B,4.383B,,,,,,,,2.833B,7.216B,20.19B,,1.47B,,1.47B,,1.47B,2.041B,,,2.041B,,2.041B,716.00M,716.00M,3.877B,8.104B,833.00M,,833.00M,,,,,,897.00M,1.73B,9.834B,,1.01B,9.343B,,,,,10.35B,,,
1994-10,,1.357B,1.121B,2.478B,5.028B,,,5.028B,1.807B,2.466B,4.273B,,,730.00M,12.51B,0.00,508.00M,3.472B,3.958B,,7.938B,-3.61B,4.328B,,,,,,,,2.73B,7.058B,19.57B,,1.466B,,1.466B,,1.466B,2.469B,,,2.469B,,2.469B,598.00M,598.00M,3.697B,8.23B,547.00M,,547.00M,,,,,,864.00M,1.411B,9.641B,,1.033B,8.893B,,,,,9.926B,,,
1994-07,,1.616B,859.00M,2.475B,4.471B,,,4.471B,1.731B,2.57B,4.301B,,,662.00M,11.91B,,,,,,7.707B,-3.521B,4.186B,,,,,,,,2.408B,6.594B,18.50B,,1.272B,,1.272B,,1.272B,2.547B,,,2.547B,,2.547B,637.00M,637.00M,3.213B,7.669B,572.00M,,572.00M,,,,,,841.00M,1.413B,9.082B,,1.004B,8.417B,,,,,9.421B,,,
1994-04,,1.551B,863.00M,2.414B,4.295B,,,4.295B,1.688B,2.334B,4.022B,,,702.00M,11.43B,,,,,,7.568B,-3.40B,4.168B,,,,,,,,2.349B,6.517B,17.95B,,2.902B,,2.902B,,2.902B,,,,2.234B,,2.234B,,,2.114B,7.25B,661.00M,,661.00M,,,,,,782.00M,1.443B,8.693B,,1.034B,8.223B,,,,,9.257B,,,
1994-01,,1.295B,769.00M,2.064B,3.905B,,,3.905B,1.624B,2.438B,4.062B,,,727.00M,10.76B,,,,,,7.492B,-3.313B,4.179B,,,,,,,,2.264B,6.443B,17.20B,,2.801B,,2.801B,,2.801B,2.301B,,,2.301B,,2.301B,,,1.974B,7.076B,671.00M,,671.00M,,,,,,710.00M,1.381B,8.457B,,928.00M,7.816B,,,,,8.744B,,,
1993-10,,889.00M,755.00M,1.644B,4.208B,,,4.208B,1.57B,2.121B,3.691B,,,693.00M,10.24B,,,,,,7.527B,-3.347B,4.18B,,,,,,,,2.32B,6.50B,16.74B,,1.223B,,1.223B,,1.223B,2.19B,,,2.19B,,2.19B,507.00M,507.00M,2.948B,6.868B,667.00M,,667.00M,,,,,,690.00M,1.357B,8.225B,,937.00M,7.574B,,,,,8.511B,,,
1993-07,,946.00M,,946.00M,,,,3.532B,,,3.451B,,,1.316B,9.245B,,,,,,7.184B,-3.231B,3.953B,,,,,,,,2.308B,6.261B,15.51B,,2.437B,,2.437B,,2.437B,,,,1.882B,,1.882B,,,1.741B,6.06B,468.00M,,468.00M,59.00M,,59.00M,,,627.00M,1.154B,7.214B,,,7.276B,,,,,8.292B,,,
1993-04,,1.104B,,1.104B,,,,3.53B,,,3.022B,,,1.091B,8.747B,,,,,,6.915B,-3.147B,3.768B,,,,,,,,2.348B,6.116B,14.86B,,2.342B,,2.342B,,2.342B,,,,1.618B,,1.618B,,,1.725B,5.685B,427.00M,,427.00M,44.00M,,44.00M,,,607.00M,1.078B,6.763B,,,7.132B,,,,,8.10B,,,
1993-01,,1.024B,,1.024B,,,,3.408B,,,2.852B,,,1.051B,8.335B,,,,,,6.756B,-3.053B,3.703B,,,,,,,,2.27B,5.973B,14.31B,,2.255B,,2.255B,,2.255B,,,,1.747B,,1.747B,,,1.516B,5.518B,422.00M,,422.00M,49.00M,,49.00M,,,601.00M,1.072B,6.59B,,,6.785B,,,,,7.718B,,,
1992-10,,641.00M,,641.00M,3.497B,,,3.497B,,,2.605B,,,936.00M,7.679B,,,,,,6.592B,-2.943B,3.649B,,,,,,,,2.372B,6.021B,13.70B,,925.00M,,925.00M,,925.00M,,,,1.384B,,1.384B,,,2.785B,5.094B,425.00M,,425.00M,49.00M,,49.00M,,,633.00M,1.107B,6.201B,,,6.625B,,,,,7.499B,,,
1992-07,,949.00M,,949.00M,,,,3.519B,,,2.458B,,,444.00M,7.37B,,,,,,6.381B,-2.855B,3.526B,,,,,,,,2.109B,5.635B,13.00B,,1.902B,,1.902B,,1.902B,,,,1.139B,,1.139B,,,1.28B,4.321B,424.00M,,424.00M,253.00M,,253.00M,,,221.00M,898.00M,5.219B,,,6.899B,,,,,7.786B,,,
1992-04,,896.00M,,896.00M,,,,3.07B,,,2.386B,,,708.00M,7.06B,,,,,,6.217B,-2.764B,3.453B,,,,,,,,2.042B,5.495B,12.56B,,1.749B,,1.749B,,1.749B,,,,679.00M,,679.00M,,,1.455B,3.883B,424.00M,,424.00M,250.00M,,250.00M,,,210.00M,884.00M,4.767B,,,6.809B,,,,,7.788B,,,
1992-01,,944.00M,,944.00M,,,,3.044B,,,2.41B,,,464.00M,6.862B,,,,,,6.142B,-2.768B,3.374B,,,,,,,,2.04B,5.414B,12.28B,,1.826B,,1.826B,,1.826B,,,,855.00M,,855.00M,,,1.229B,3.91B,338.00M,,338.00M,248.00M,,248.00M,,,198.00M,784.00M,4.694B,,,6.483B,,,,,7.582B,,,
1991-10,,625.00M,,625.00M,,,,2.976B,,,2.273B,,,842.00M,6.716B,,,,,,5.961B,-2.616B,3.345B,,,,,,,,1.912B,5.257B,11.97B,,686.00M,,686.00M,,686.00M,,,,1.201B,,1.201B,,,2.176B,4.063B,188.00M,,188.00M,243.00M,,243.00M,,,210.00M,641.00M,4.704B,,,6.259B,,,,,7.269B,,,
1991-07,,770.00M,,770.00M,,,,2.694B,,,2.288B,,,701.00M,6.453B,,,,,,5.802B,-2.548B,3.254B,,,,,,,,1.816B,5.07B,11.52B,,1.502B,,1.502B,,1.502B,,,,1.121B,,1.121B,,,1.09B,3.713B,190.00M,,190.00M,286.00M,,286.00M,,,198.00M,674.00M,4.387B,,,6.134B,,,,,7.136B,,,
1991-04,,1.024B,,1.024B,,,,2.877B,,,2.116B,,,452.00M,6.469B,,,,,,5.679B,-2.453B,3.226B,,,,,,,,1.808B,5.034B,11.50B,,1.564B,,1.564B,,1.564B,,,,1.173B,,1.173B,,,1.179B,3.916B,192.00M,,192.00M,276.00M,,276.00M,,,192.00M,660.00M,4.576B,,,6.005B,,,,,6.927B,,,
1991-01,,766.00M,,766.00M,,,,2.806B,,,2.077B,,,433.00M,6.082B,,,,,,5.563B,-2.366B,3.197B,,,,,,,,1.847B,5.044B,11.13B,,1.478B,,1.478B,,1.478B,,,,1.378B,,1.378B,,,1.069B,3.925B,143.00M,,143.00M,279.00M,,279.00M,,,185.00M,607.00M,4.532B,,,5.773B,,,,,6.594B,,,
1990-10,,1.077B,,1.077B,,,,2.883B,,,2.092B,,,458.00M,6.51B,,,,,,5.565B,-2.364B,3.201B,,,,,,,,1.684B,4.885B,11.40B,,660.00M,,660.00M,,660.00M,,,,1.896B,,1.896B,,,1.887B,4.443B,139.00M,,139.00M,261.00M,,261.00M,,,189.00M,589.00M,5.032B,,,5.624B,,,,,6.363B,,,
1990-07,,951.00M,,951.00M,,,,2.576B,,,2.119B,,,547.00M,6.193B,,,,,,5.372B,-2.298B,3.074B,,,,,,,,1.527B,4.601B,10.79B,,1.444B,,1.444B,,1.444B,,,,1.623B,,1.623B,,,987.00M,4.054B,235.00M,,235.00M,241.00M,,241.00M,,,175.00M,651.00M,4.705B,,,5.423B,,,,,6.089B,,,
1990-04,,934.00M,,934.00M,,,,2.514B,,,2.042B,,,501.00M,5.991B,,,,,,5.233B,-2.22B,3.013B,,,,,,,,1.495B,4.508B,10.50B,,1.381B,,1.381B,,1.381B,,,,1.455B,,1.455B,,,1.023B,3.859B,336.00M,,336.00M,238.00M,,238.00M,,,166.00M,740.00M,4.599B,,,5.296B,,,,,5.90B,,,
1990-01,,773.00M,,773.00M,,,,2.459B,,,2.021B,,,465.00M,5.718B,,,,,,5.086B,-2.14B,2.946B,,,,,,,,1.538B,4.484B,10.20B,,1.378B,,1.378B,,1.378B,,,,1.444B,,1.444B,,,1.006B,3.828B,338.00M,,338.00M,245.00M,,245.00M,,,157.00M,740.00M,4.568B,,,5.11B,,,,,5.634B,,,
1989-10,,906.00M,,906.00M,,,,2.494B,,,1.947B,,,384.00M,5.731B,,,,,,4.982B,-2.089B,2.893B,,,,,,,,1.451B,4.344B,10.08B,,642.00M,,642.00M,,642.00M,,,,1.341B,,1.341B,,,1.76B,3.743B,474.00M,,474.00M,248.00M,,248.00M,,,164.00M,886.00M,4.629B,,,4.987B,,,,,5.446B,,,
1988-10,,918.00M,,918.00M,,,,1.86B,,,1.478B,,,164.00M,4.42B,,,,,,4.33B,-1.814B,2.516B,,,,,,,,561.00M,3.077B,7.497B,,,,,,,,,,507.00M,,507.00M,,,2.063B,2.57B,61.00M,,61.00M,176.00M,,176.00M,,,157.00M,394.00M,2.964B,,,4.299B,,,,,4.533B,,,
1987-10,,2.645B,,2.645B,,,,1.561B,,,1.117B,,,167.00M,5.49B,,,,,,3.919B,-1.591B,2.328B,,,,,,,,315.00M,2.643B,8.133B,,,,,,,,,,979.00M,,979.00M,,,1.756B,2.735B,88.00M,,88.00M,,,,,,288.00M,376.00M,3.111B,,,4.246B,,,,,5.022B,,,
1986-10,,1.372B,,1.372B,,,,1.344B,,,981.00M,,,117.00M,3.814B,,,,,,3.60B,-1.364B,2.236B,,,,,,,,237.00M,2.473B,6.287B,,,,,,,,,,229.00M,,229.00M,,,1.289B,1.518B,110.00M,,110.00M,151.00M,,151.00M,,,134.00M,395.00M,1.913B,,,3.662B,,,,,4.374B,,,
1985-10,,1.02B,,1.02B,,,,1.249B,,,993.00M,,,80.00M,3.342B,,,,,,3.283B,-1.134B,2.149B,,,,,,,,189.00M,2.338B,5.68B,,,,,,,,,,260.00M,,260.00M,,,1.116B,1.376B,102.00M,,102.00M,128.00M,,128.00M,,,92.00M,322.00M,1.698B,,,3.202B,,,,,3.982B,,,
1984-10,,938.00M,,938.00M,,,,1.18B,,,1.023B,,,60.00M,3.201B,,,,,,2.791B,-923.00M,1.868B,,,,,,,,84.00M,1.952B,5.153B,,,,,,,,,,217.00M,,217.00M,,,1.105B,1.322B,81.00M,,81.00M,112.00M,,112.00M,,,93.00M,286.00M,1.608B,,,2.77B,,,,,3.545B,,,
