,NetIncome,Gain/LossonSaleBusiness,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2001-06,137.00M,,,,,282.00M,,139.00M,-9.00M,,,,,,,-245.00M,77.00M,-212.00M,-380.00M,,169.00M,-218.00M,51.00M,-167.00M,,,-20.00M,-187.00M,,,43.00M,,,,,,,,,-51.00M,176.00M,168.00M,1.438B,150.00M,,1.588B,,,,,7.00M,84.00M
2001-03,178.00M,,,,,-312.00M,,142.00M,9.00M,,,,,,,,,45.00M,45.00M,,62.00M,-160.00M,,-160.00M,,,76.00M,-84.00M,,,888.00M,,,,,,,,,-50.00M,-15.00M,823.00M,637.00M,801.00M,,1.438B,,,,,29.00M,85.00M
2000-12,95.00M,,,,,-400.00M,,143.00M,265.00M,,,-16.00M,,,,,194.00M,-323.00M,120.00M,,207.00M,-267.00M,,-267.00M,,,116.00M,-394.00M,,,486.00M,-188.00M,0.00,-188.00M,,,,,,-49.00M,197.00M,446.00M,378.00M,259.00M,,637.00M,-188.00M,,,0.00,46.00M,64.00M
2000-09,111.00M,,,,,-338.00M,,142.00M,-45.00M,,,16.00M,,,,,-33.00M,10.00M,-23.00M,,-137.00M,-202.00M,,-202.00M,,,-13.00M,-215.00M,,,238.00M,0.00,-3.00M,-3.00M,,,,,,-51.00M,0.00,184.00M,546.00M,-168.00M,,378.00M,0.00,,,-3.00M,0.00,61.00M
2000-06,110.00M,,,,,35.00M,,144.00M,25.00M,,,,,,,,,-159.00M,-159.00M,,155.00M,-159.00M,,-159.00M,,,-14.00M,-173.00M,,,-16.00M,-1.00M,0.00,-1.00M,,,,,,-50.00M,-9.00M,-76.00M,640.00M,-94.00M,,546.00M,-1.00M,,,0.00,-66.00M,72.00M
2000-03,113.00M,,,,,-75.00M,,134.00M,13.00M,,,,,,,,,472.00M,472.00M,,657.00M,-131.00M,,-131.00M,,,-11.00M,-142.00M,,,253.00M,201.00M,-722.00M,-521.00M,,,,,,-94.00M,,-362.00M,487.00M,153.00M,,640.00M,201.00M,,,-722.00M,124.00M,100.00M
1999-12,105.00M,,,,,91.00M,,879.00M,140.00M,,,-749.00M,,,,,,-415.00M,-161.00M,,305.00M,-188.00M,12.00M,-176.00M,,,610.00M,-205.00M,,,-1.00M,1.00M,,1.00M,,,,,,-87.00M,,-87.00M,474.00M,13.00M,,487.00M,1.00M,,,,0.00,39.00M
1999-09,108.00M,,,,,-62.00M,,-609.00M,29.00M,,,749.00M,,,,,,-47.00M,-47.00M,,168.00M,-207.00M,0.00,-207.00M,,,-61.00M,-268.00M,,,12.00M,0.00,,0.00,,,,,,-94.00M,,-82.00M,656.00M,-182.00M,,474.00M,0.00,,,,21.00M,127.00M
1999-06,82.00M,,,,,-390.00M,,467.00M,-87.00M,,,,,,,,,195.00M,195.00M,,267.00M,-121.00M,454.00M,333.00M,,,-541.00M,-208.00M,,,69.00M,-1.00M,,-1.00M,,,,,,-93.00M,,-25.00M,622.00M,34.00M,,656.00M,-1.00M,,,,123.00M,52.00M
1999-03,99.00M,,,,,-64.00M,,142.00M,4.00M,,,,,,,,,267.00M,267.00M,,448.00M,-73.00M,,-73.00M,,,-35.00M,-108.00M,,,-51.00M,3.00M,,3.00M,,,,,,-94.00M,,-142.00M,424.00M,198.00M,,622.00M,3.00M,,,,24.00M,63.00M
