,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2013-12,1.854B,1.854B,1.283B,571.50M,,,262.88M,,,-43.02M,75.71M,3.447M,-72.26M,,453.50M,117.99M,3.447M,75.71M,-72.26M,-38.71M,-72.26M,7.018M,7.018M,,,7.018M,34.98M,273.35M,190.62M,82.73M,0.03,,,0.157,0.03,0.03,,,0.1562,0.03,220.20M,221.53M,0.25
2013-09,2.312B,2.312B,1.417B,894.95M,,,249.95M,,,-16.45M,79.65M,3.299M,-76.36M,,438.50M,456.45M,3.299M,79.65M,-76.36M,-14.40M,-76.36M,365.70M,365.70M,,,365.70M,376.39M,633.90M,188.54M,445.36M,1.66,,,1.709,1.66,1.65,,,1.6980000000000002,1.65,219.74M,221.00M,0.25
2013-06,1.883B,1.883B,1.324B,559.15M,,,257.95M,,,-1.678M,86.88M,3.405M,-83.47M,,444.13M,115.02M,3.405M,86.88M,-83.47M,-6.797M,-83.47M,24.75M,24.75M,,,24.75M,25.84M,297.81M,186.18M,111.62M,0.11,,,0.115,0.11,0.11,,,0.1149,0.11,219.50M,220.65M,0.12
2013-03,1.911B,1.911B,1.282B,629.03M,,,274.03M,,,0.00,90.18M,3.747M,-86.44M,,463.40M,165.63M,3.747M,90.18M,-86.44M,-2.971M,-86.44M,76.23M,76.23M,,,76.23M,76.23M,355.77M,189.36M,166.41M,0.35,,,0.35,0.35,0.35,,,0.35,0.35,219.10M,220.48M,0.12
2012-12,1.806B,1.806B,1.258B,548.17M,,,255.49M,,,-385.46M,89.04M,5.269M,-83.77M,,444.03M,104.14M,5.269M,89.04M,-83.77M,-413.17M,-83.77M,-392.80M,-392.80M,,,-392.80M,-7.343M,-115.23M,188.54M,-303.77M,-1.8,,,-0.0345,-1.8,-1.8,,,-0.0482,-1.8,218.33M,220.04M,0.12
2012-09,2.226B,2.226B,1.348B,878.06M,,,243.88M,,,-7.485M,84.98M,4.744M,-80.23M,,425.93M,452.14M,4.744M,84.98M,-80.23M,-4.125M,-80.23M,367.78M,367.78M,,,367.78M,372.64M,634.81M,182.05M,452.76M,1.69,,,1.712,1.69,1.68,,,1.702,1.68,217.94M,219.30M,0.12
2012-06,1.821B,1.821B,1.296B,524.99M,,,247.57M,,,,89.11M,4.972M,-84.13M,,428.08M,96.90M,4.972M,89.11M,-84.13M,-16.42M,-84.13M,-3.653M,-3.653M,,,-3.653M,-3.653M,265.97M,180.51M,85.45M,-0.02,,,-0.02,-0.02,-0.02,,,-0.02,-0.02,217.87M,217.87M,0.1
2012-03,1.834B,1.834B,1.255B,579.37M,,,264.60M,,,,92.67M,6.346M,-86.32M,,443.99M,135.38M,6.346M,92.67M,-86.32M,-2.091M,-86.32M,46.96M,46.96M,,,46.96M,46.96M,319.02M,179.39M,139.63M,0.22,,,0.22,0.22,0.21,,,0.21,0.21,217.58M,219.23M,0.1
2011-12,1.775B,1.775B,1.251B,524.54M,,,238.44M,,,0.00,90.62M,7.989M,-82.64M,,418.38M,106.16M,7.989M,90.62M,-82.64M,13.04M,-82.64M,36.56M,36.56M,,,36.56M,36.56M,307.12M,179.93M,127.19M,0.17,,,0.17,0.17,0.17,,,0.17,0.17,217.28M,218.97M,0.1
2011-09,2.322B,2.322B,1.405B,916.69M,,,231.76M,,,0.00,98.20M,7.07M,-91.13M,,408.95M,507.74M,7.07M,98.20M,-91.13M,-17.66M,-91.13M,398.96M,398.96M,,,398.96M,398.96M,674.35M,177.19M,497.16M,1.84,,,1.84,1.84,1.82,,,1.82,1.82,217.10M,218.93M,0.1
2011-06,1.768B,1.768B,1.185B,582.50M,,,242.26M,,,11.79M,92.97M,6.478M,-86.49M,,414.31M,168.19M,6.478M,92.97M,-86.49M,11.79M,-86.49M,,93.49M,,,93.49M,85.83M,340.24M,172.05M,168.19M,0.43,0.0,,0.3947,0.43,0.43,0.0,,0.3951,0.43,217.03M,219.37M,0.0
2011-03,1.672B,1.672B,1.101B,570.92M,,,248.14M,,,25.72M,100.62M,3.781M,-96.84M,,421.39M,149.53M,3.781M,100.62M,-96.84M,25.72M,-96.84M,,78.41M,,,78.41M,61.69M,322.79M,173.25M,149.53M,0.36,0.0,,0.2828,0.36,0.36,0.0,,0.2839,0.36,216.51M,219.63M,0.0
2010-12,1.604B,1.604B,1.107B,497.51M,,,211.94M,,,-69.54M,99.94M,4.696M,-95.24M,,375.81M,121.70M,4.696M,99.94M,-95.24M,5.445M,-95.24M,,31.90M,,,31.90M,77.10M,369.80M,163.88M,205.92M,0.15,,,0.3597,0.15,0.14,,,0.3467,0.14,215.59M,218.68M,0.0
