,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,LandandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AdjustmentsforForeignCurrencyTranslation,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
1993-12,79.60M,,79.60M,555.00M,,555.00M,,,,,853.40M,,,200.20M,1.688B,,,,13.79B,-7.052B,6.735B,,,,,,,218.40M,6.953B,8.642B,,329.60M,,329.60M,,329.60M,,,264.20M,,264.20M,,,849.30M,1.443B,,3.515B,,3.515B,462.30M,462.30M,,192.40M,4.170B,5.613B,,,2.449B,,,,,3.029B,,,
1993-09,69.10M,,69.10M,,,484.60M,,,,,1.077B,,,179.60M,1.810B,,,,13.51B,-6.647B,6.865B,,,,,,,206.30M,7.072B,8.882B,,,,,,,,,,,,,,,1.373B,,3.654B,,3.654B,,,,661.50M,4.315B,5.689B,,,2.597B,,,,,3.193B,,,
1993-06,109.10M,,109.10M,,,480.20M,,,,,938.10M,,,165.90M,1.693B,,,,13.38B,-6.647B,6.729B,,,,,,,205.70M,6.934B,8.628B,,,,,,,,,,,,,,,1.153B,,3.532B,,3.532B,,,,700.60M,4.233B,5.386B,,,2.633B,,,,,3.241B,,,
1993-03,159.70M,,159.70M,,,549.80M,,,,,846.50M,,,210.50M,1.766B,,,,13.24B,-6.647B,6.597B,,,,,,,220.70M,6.818B,8.584B,,,,,,,,,,,,,,,1.302B,,3.184B,,3.184B,,,,693.90M,3.878B,5.180B,,,2.792B,,,,,3.404B,,,
1992-12,141.00M,,141.00M,757.40M,,757.40M,,,,,981.70M,,,188.20M,2.068B,,,,13.09B,-6.647B,6.444B,,,,,,,209.50M,6.654B,8.722B,,710.10M,,710.10M,,710.10M,,,148.40M,,148.40M,,,658.40M,1.517B,,3.141B,,3.141B,517.80M,517.80M,,158.50M,3.817B,5.334B,,,2.773B,,,,,3.388B,,,
1992-09,81.60M,,81.60M,,,843.10M,,,,,1.080B,,,234.00M,2.239B,,,,12.91B,-6.402B,6.506B,,,,,,,166.60M,6.673B,8.912B,,,,,,,,,,,,,,,1.565B,,3.039B,,3.039B,,,,782.00M,3.821B,5.386B,,,2.757B,,,,,3.526B,,,
1992-06,126.70M,,126.70M,,,813.30M,,,,,946.60M,,,221.50M,2.108B,,,,12.89B,-6.402B,6.489B,,,,,,,165.80M,6.654B,8.763B,,,,,,,,,,,,,,,1.565B,,2.77B,,2.77B,,,,841.20M,3.611B,5.176B,,,2.763B,,,,,3.587B,,,
1992-03,88.80M,,88.80M,,,870.30M,,,,,802.00M,,,184.40M,1.946B,,,,12.56B,-6.402B,6.154B,,,,,,,167.10M,6.321B,8.266B,,797.20M,,797.20M,,797.20M,,,107.50M,,107.50M,,,515.80M,1.420B,,3.068B,,3.068B,605.90M,605.90M,,142.70M,3.816B,5.237B,,,2.782B,,,,,3.030B,,,
1991-12,120.20M,,120.20M,,,1.195B,,,,,975.40M,,,185.40M,2.476B,,,,12.53B,-6.339B,6.191B,,,,,,,174.70M,6.365B,8.841B,,1.046B,,1.046B,,1.046B,,,160.00M,,160.00M,,,644.50M,1.851B,,3.023B,,3.023B,635.20M,635.20M,,200.70M,3.859B,5.709B,,,2.818B,,,,,3.132B,,,
1991-09,125.30M,,125.30M,,,888.30M,,,,,1.095B,,,185.80M,2.295B,,,,11.93B,-5.981B,5.949B,,,,,,,145.20M,6.094B,8.389B,,810.20M,,810.20M,,810.20M,,,154.10M,,154.10M,,,652.00M,1.616B,,2.834B,,2.834B,633.90M,633.90M,,156.00M,3.624B,5.241B,,,2.881B,,,,,3.148B,,,
1991-06,82.50M,,82.50M,,,1.00B,,,,,876.80M,,,169.90M,2.129B,,,,11.25B,-5.699B,5.550B,,,,,,,155.20M,5.705B,7.834B,,911.50M,,911.50M,,911.50M,,,91.50M,,91.50M,,,686.60M,1.690B,,2.327B,,2.327B,588.20M,588.20M,,122.10M,3.037B,4.727B,,,2.901B,,,,,3.107B,,,
1991-03,150.90M,,150.90M,,,1.040B,,,,,807.70M,,,178.90M,2.178B,,,,11.11B,-5.627B,5.480B,,,,,,,154.20M,5.635B,7.813B,,1.046B,,1.046B,,1.046B,,,132.20M,,132.20M,,,688.70M,1.867B,,2.089B,,2.089B,652.50M,652.50M,,117.40M,2.859B,4.726B,,,2.845B,,,,,3.086B,,,
1990-12,129.90M,,129.90M,,,1.627B,,,,,1.346B,,,177.10M,3.280B,,,,11.16B,-5.594B,5.564B,,,,,,,213.10M,5.777B,9.057B,,1.442B,,1.442B,,1.442B,,,393.30M,,393.30M,,,841.30M,2.677B,,2.532B,,2.532B,560.00M,560.00M,,182.00M,3.274B,5.951B,,,2.782B,,,,,3.106B,,,
1990-09,162.30M,,162.30M,,,929.00M,,,,,1.270B,,,152.30M,2.513B,,,,9.542B,-4.688B,4.854B,,,,,,,527.10M,5.381B,7.895B,,,,,,,,,,,,,,,1.976B,,2.392B,,2.392B,,,,659.40M,3.051B,5.027B,,,2.554B,,,,,2.867B,,,
1990-06,99.80M,,99.80M,,,383.30M,,,,,927.40M,,,67.90M,1.478B,,,,9.251B,-4.688B,4.563B,,,,,,,473.50M,5.037B,6.515B,,,,,,,,,,,,,,,1.029B,,2.376B,,2.376B,,,,557.60M,2.934B,3.963B,,,2.287B,,,,,2.552B,,,
1990-03,84.20M,,84.20M,,,500.70M,,,,,952.90M,,,64.40M,1.602B,,,,9.198B,-4.688B,4.51B,,,,,,,471.50M,4.982B,6.584B,,,,,,,,,,,,,,,1.197B,,2.265B,,2.265B,,,,519.10M,2.784B,3.981B,,,2.371B,,,,,2.603B,,,
1989-12,120.30M,,120.30M,,,702.80M,,,,,1.033B,,,94.80M,1.951B,,,,9.167B,-4.688B,4.479B,,,,,,,437.30M,4.916B,6.867B,,480.20M,,480.20M,,480.20M,,,348.70M,,348.70M,,,628.90M,1.458B,,2.348B,,2.348B,397.10M,397.10M,,103.40M,2.849B,4.307B,,,2.353B,,,,,2.561B,,,
1988-12,213.20M,,213.20M,,,449.10M,,,,,850.30M,,,57.60M,1.570B,,,,8.038B,-4.359B,3.680B,,,,,,,122.10M,3.802B,5.372B,,,,,,,,,358.30M,,358.30M,,,926.80M,1.285B,,1.314B,,1.314B,385.40M,385.40M,,172.30M,1.872B,3.157B,,,1.965B,,,,,2.215B,,,
1987-12,226.50M,,226.50M,,,447.80M,,,,,900.20M,,,61.00M,1.636B,,,,7.614B,-4.064B,3.549B,,,,,,,119.90M,3.669B,5.305B,,,,,,,,,567.10M,,567.10M,,,906.70M,1.474B,,1.064B,,1.064B,356.10M,356.10M,,252.10M,1.672B,3.146B,,,1.896B,,,,,2.158B,,,
1986-12,92.70M,,92.70M,,,346.20M,,,,,765.50M,,,71.60M,1.276B,,,,7.131B,-3.602B,3.529B,,,,,,,108.90M,3.638B,4.914B,,,,,,,,,180.50M,,180.50M,,,790.20M,970.70M,,1.348B,,1.348B,255.50M,255.50M,,289.90M,1.893B,2.864B,,,1.885B,,,,,2.050B,,,
1985-12,171.10M,,171.10M,,,514.50M,,,,,1.386B,,,93.90M,2.166B,,,,7.159B,-3.221B,3.939B,,,,,,,114.90M,4.054B,6.220B,,,,,,,,,266.40M,,266.40M,,,1.454B,1.721B,,1.674B,,1.674B,186.30M,186.30M,,378.20M,2.238B,3.959B,,,2.106B,,,,,2.260B,,,
1984-12,152.50M,,152.50M,,,514.70M,,,,,1.549B,,,92.50M,2.308B,,,,6.563B,-2.681B,3.882B,,,,,,,162.70M,4.044B,6.353B,,,,,,,,,521.80M,,521.80M,,,1.142B,1.663B,,1.852B,,1.852B,194.90M,194.90M,,69.20M,2.116B,3.780B,,,2.458B,,,,,2.573B,,,
