,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2010-03,9.259B,9.259B,7.017B,2.242B,253.00M,155.00M,408.00M,46.00M,84.00M,-84.00M,203.00M,1.153B,1.089B,84.00M,-84.00M,-39.00M,-84.00M,966.00M,398.00M,568.00M,,,-30.00M,,538.00M,508.10M,1.592B,542.00M,1.05B,,1.66,0.00,,1.568,1.66,,1.65,0.00,,1.559,1.65,,324.80M,327.00M,0.10,,AOR,Restated
2009-12,8.678B,8.678B,6.497B,2.181B,266.00M,203.00M,469.00M,109.00M,91.00M,-91.00M,206.00M,1.259B,922.00M,91.00M,-91.00M,-120.00M,-91.00M,711.00M,341.00M,370.00M,,,-12.00M,,358.00M,287.15M,1.386B,584.00M,802.00M,,1.10,0.00,,0.8773,1.10,,1.10,0.00,,0.8817,1.10,,318.20M,324.51M,0.10,,AOR,Restated
2009-09,7.27B,7.27B,5.529B,1.741B,240.00M,148.00M,388.00M,114.00M,97.00M,-97.00M,210.00M,1.224B,517.00M,97.00M,-97.00M,114.00M,-97.00M,534.00M,182.00M,352.00M,,,-11.00M,,341.00M,265.85M,1.257B,572.00M,631.00M,,1.05,0.00,,0.8195,1.05,,1.05,0.00,,0.8195,1.05,,326.00M,326.00M,0.10,,AOR,Restated
2009-06,6.751B,6.751B,5.149B,1.602B,245.00M,136.00M,381.00M,4.00M,95.00M,-95.00M,355.00M,1.294B,308.00M,95.00M,-95.00M,4.00M,-95.00M,217.00M,115.00M,102.00M,,,-2.00M,,100.00M,97.40M,870.00M,558.00M,312.00M,,0.31,0.00,,0.3020,0.31,,0.31,0.00,,0.3020,0.31,,323.98M,325.78M,0.10,,AOR,Restated
2009-03,6.915B,6.915B,5.591B,1.324B,257.00M,160.00M,417.00M,-2.00M,77.00M,-77.00M,241.00M,1.144B,180.00M,77.00M,-77.00M,-43.00M,-77.00M,60.00M,77.00M,-17.00M,,,-42.00M,,-59.00M,-57.70M,623.00M,486.00M,137.00M,,-0.18,0.00,,-0.1760,-0.18,,-0.18,0.00,,-0.1760,-0.18,,323.00M,323.40M,0.10,,AOR,Restated
2008-12,7.38B,7.38B,5.812B,1.568B,259.00M,194.00M,453.00M,-183.00M,67.00M,-67.00M,313.00M,1.334B,234.00M,67.00M,-67.00M,-162.00M,-67.00M,5.00M,85.00M,-80.00M,,,6.00M,,-74.00M,44.95M,640.00M,568.00M,72.00M,,-0.25,0.00,,0.1187,-0.25,,-0.25,0.00,,0.1148,-0.25,,322.60M,326.10M,0.10,,,Restated
2008-09,11.40B,11.40B,8.667B,2.729B,266.00M,170.00M,436.00M,-62.00M,68.00M,-68.00M,219.00M,1.152B,1.577B,68.00M,-68.00M,-10.00M,-68.00M,1.499B,725.00M,774.00M,,,1.00M,,775.00M,815.30M,2.064B,497.00M,1.567B,,2.40,0.00,,2.525,2.40,,2.37,0.00,,2.493,2.37,,322.40M,327.40M,0.10,,,Restated
2008-06,11.71B,11.71B,8.831B,2.88B,267.00M,156.00M,423.00M,37.00M,65.00M,-65.00M,205.00M,1.11B,1.77B,65.00M,-65.00M,18.00M,-65.00M,1.723B,812.00M,911.00M,,,-11.00M,,900.00M,875.95M,2.27B,482.00M,1.788B,,2.81,0.00,,2.735,2.81,,2.76,0.00,,2.686,2.76,,321.00M,326.20M,0.10,,,Restated
2008-03,10.65B,10.65B,8.129B,2.518B,233.00M,152.00M,385.00M,63.00M,67.00M,-67.00M,197.00M,1.034B,1.484B,67.00M,-67.00M,53.00M,-67.00M,1.47B,718.00M,752.00M,,,7.00M,,759.00M,718.05M,1.989B,452.00M,1.537B,,2.39,0.00,,2.261,2.39,,2.34,0.00,,2.214,2.34,,317.50M,323.80M,0.10,,,Restated
2007-12,9.456B,9.456B,7.20B,2.256B,,,612.00M,24.00M,,,,1.142B,1.114B,,,44.00M,,1.087B,577.00M,510.00M,,,,,510.00M,494.40M,1.644B,530.00M,1.114B,,1.62,0.00,,1.567,1.62,,1.59,0.00,,1.541,1.59,,295.00M,321.40M,0.10,,AOR,
