,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermNotesReceivable,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
1996-06,26.60M,26.60M,,,609.40M,,,,267.30M,,,77.80M,981.10M,,,,,488.40M,-260.00M,228.40M,,210.90M,210.90M,,,,68.70M,508.00M,1.489B,,68.60M,,68.60M,,68.60M,,,,,31.80M,,31.80M,,,269.70M,370.10M,119.60M,,119.60M,5.90M,5.90M,,,207.40M,332.90M,703.00M,,,783.30M,,,,786.10M,,,
1996-03,23.50M,23.50M,,,578.10M,,,,245.40M,,,80.00M,927.00M,,,,,477.70M,-253.30M,224.40M,,129.90M,129.90M,,,,61.80M,416.10M,1.343B,,57.40M,,57.40M,,57.40M,,,,,25.50M,,25.50M,,,242.70M,325.60M,109.90M,,109.90M,5.90M,5.90M,,,131.00M,246.80M,572.40M,,,772.00M,,,,770.70M,,,
1995-12,16.20M,16.20M,,,610.10M,,,,250.40M,,,70.00M,946.70M,,,,,468.90M,-248.80M,220.10M,,132.70M,132.70M,,,,61.50M,414.30M,1.361B,,75.60M,,75.60M,,75.60M,,,,,26.20M,,26.20M,,,234.30M,336.10M,143.80M,,143.80M,4.80M,4.80M,,,125.60M,274.20M,610.30M,,,753.40M,,,,750.70M,,,
1995-09,14.30M,14.30M,,,643.80M,,,,250.10M,,,77.40M,985.60M,,,,,464.10M,-257.20M,206.90M,,114.10M,114.10M,,,,66.40M,387.40M,1.373B,,42.50M,,42.50M,,42.50M,,,,,153.70M,,153.70M,,,204.80M,401.00M,113.90M,,113.90M,5.50M,5.50M,,,122.40M,241.80M,642.80M,,,733.50M,,,,730.20M,,,
1995-06,18.70M,18.70M,,,625.10M,,,,245.70M,,,68.90M,958.40M,,,,,461.90M,-256.40M,205.50M,,118.80M,118.80M,,,,62.60M,386.90M,1.345B,,47.40M,,47.40M,,47.40M,,,,,148.30M,,148.30M,,,208.70M,404.40M,114.10M,,114.10M,5.50M,5.50M,,,121.20M,240.80M,645.20M,,,707.20M,,,,700.10M,,,
1995-03,18.30M,18.30M,,,583.30M,,,,233.70M,,,66.80M,902.10M,,,,,456.90M,-250.30M,206.60M,,99.80M,99.80M,,,,61.10M,367.50M,1.270B,,53.80M,,53.80M,,53.80M,,,,,36.90M,,36.90M,,,185.30M,276.00M,113.90M,,113.90M,5.40M,5.40M,,,118.10M,237.40M,513.40M,,,699.20M,,,,756.20M,,,
1994-12,9.00M,9.00M,,,568.40M,,,,229.00M,,,66.60M,873.00M,,,,,453.60M,-244.50M,209.10M,,96.00M,96.00M,,,,56.80M,361.90M,1.235B,,56.70M,,56.70M,,56.70M,,,,,10.60M,,10.60M,,,170.60M,237.90M,109.00M,,109.00M,6.30M,6.30M,,,115.30M,230.60M,468.50M,,,684.10M,,,,766.40M,,,
1994-09,12.80M,12.80M,,,538.50M,,,,252.80M,,,62.00M,866.10M,,,,,432.30M,-232.60M,199.70M,,87.40M,87.40M,,,,58.00M,345.10M,1.211B,,37.20M,,37.20M,,37.20M,,,,,25.10M,,25.10M,,,189.70M,252.00M,88.40M,,88.40M,4.60M,4.60M,,,112.70M,205.70M,457.70M,,,669.00M,,,,753.50M,,,
1994-06,19.10M,19.10M,,,541.40M,,,,250.20M,,,58.60M,869.30M,,,,,2.459B,-2.236B,223.10M,,94.80M,94.80M,,,,55.30M,373.20M,1.242B,,39.40M,,39.40M,,39.40M,,,,,60.90M,,60.90M,,,204.10M,304.40M,99.60M,,99.60M,4.50M,4.50M,,,108.50M,212.60M,517.00M,,,646.30M,,,,725.50M,,,
1994-03,11.80M,11.80M,,,542.20M,,,,243.90M,,,58.40M,856.30M,,,,,452.00M,-231.10M,220.90M,,87.50M,87.50M,,,,54.00M,362.40M,1.219B,,46.90M,,46.90M,,46.90M,,,,,58.80M,,58.80M,,,188.30M,294.00M,99.20M,,99.20M,4.50M,4.50M,,,105.10M,208.80M,502.80M,,,643.30M,,,,715.90M,,,
1993-12,6.70M,6.70M,,,539.90M,,,,249.10M,,,58.90M,854.60M,,,,,451.90M,-227.10M,224.80M,,85.70M,85.70M,,,,53.80M,364.30M,1.219B,,57.30M,,57.30M,,57.30M,,,,,66.30M,,66.30M,,,184.40M,308.00M,99.70M,,99.70M,7.40M,7.40M,,,102.10M,209.20M,517.20M,,,632.00M,,,,701.70M,,,
1993-09,16.90M,16.90M,,,504.60M,,,,276.10M,,,63.30M,860.90M,,,,,453.30M,-227.10M,226.20M,,125.00M,125.00M,,,,,351.20M,1.212B,,42.40M,,42.40M,,42.40M,,,,,69.80M,,69.80M,,,196.10M,308.30M,100.80M,,100.80M,6.50M,6.50M,,,99.60M,206.90M,515.20M,,,619.10M,,,,696.90M,,,
1993-06,19.80M,19.80M,,,482.30M,,,,251.70M,,,49.50M,803.30M,,,,,453.50M,-227.10M,226.40M,,62.10M,62.10M,,,,53.60M,342.10M,1.145B,,36.10M,,36.10M,,36.10M,,,,,24.60M,,24.60M,,,210.60M,271.30M,98.80M,,98.80M,6.40M,6.40M,,,96.90M,202.10M,473.40M,,,598.60M,,,,672.00M,,,
1993-03,27.70M,27.70M,,,484.40M,,,,229.60M,,,49.50M,791.20M,,,,,446.90M,-221.80M,225.10M,,62.50M,62.50M,,,,49.70M,337.30M,1.128B,,42.00M,,42.00M,,42.00M,,,,,17.90M,,17.90M,,,199.00M,258.90M,95.40M,,95.40M,7.10M,7.10M,,,95.30M,197.80M,456.70M,,,599.20M,,,,671.80M,,,
1992-12,59.00M,59.00M,,,508.10M,,,,221.30M,,,49.20M,837.60M,,,,,444.30M,-217.80M,226.50M,,64.10M,64.10M,,,,49.20M,339.80M,1.177B,,45.00M,,45.00M,,45.00M,,,,,66.90M,,66.90M,,,210.20M,322.10M,93.10M,,93.10M,4.90M,4.90M,,,92.60M,190.60M,512.70M,,,592.20M,,,,664.70M,,,
1992-09,63.30M,63.30M,,,459.80M,,,,154.90M,,,37.10M,715.10M,,,,,366.00M,-165.00M,201.00M,,46.50M,46.50M,,,,,247.50M,962.60M,,27.90M,,27.90M,,27.90M,,,,,21.60M,,21.60M,,,151.60M,201.10M,6.50M,,6.50M,,,,,84.90M,91.40M,292.50M,,,590.80M,,,,670.10M,,,
1992-06,48.60M,48.60M,,,464.90M,,,,166.80M,,,35.80M,716.10M,,,,,365.60M,-165.00M,200.60M,,45.30M,45.30M,,,,,245.90M,962.00M,,30.20M,,30.20M,,30.20M,,,,,21.10M,,21.10M,,,161.50M,212.80M,6.50M,,6.50M,,,,,83.90M,90.40M,303.20M,,,575.70M,,,,658.80M,,,
1992-03,43.50M,43.50M,,,462.10M,,,,157.90M,,,34.70M,698.20M,,,,,364.50M,-160.20M,204.30M,,45.40M,45.40M,,,,,249.70M,947.90M,,30.40M,,30.40M,,30.40M,,,,,17.50M,,17.50M,,,156.80M,204.70M,6.80M,,6.80M,,,,,79.70M,86.50M,291.20M,,,579.00M,,,,656.70M,,,
1991-12,10.90M,10.90M,,,461.60M,,,,160.10M,,,34.00M,666.60M,,,,,361.90M,-155.40M,206.50M,,42.30M,42.30M,,,,,248.80M,915.40M,,32.20M,,32.20M,,32.20M,,,,,,,,,,144.50M,176.70M,7.20M,,7.20M,,,,,78.80M,86.00M,262.70M,,,571.90M,,,,652.70M,,,
1991-09,13.60M,13.60M,,,466.50M,,,,158.70M,,,32.60M,671.40M,,,,,360.80M,-154.20M,206.60M,,30.40M,30.40M,,,,,237.00M,908.40M,,22.70M,,22.70M,,22.70M,,,,,26.50M,,26.50M,,,136.30M,185.50M,7.20M,,7.20M,11.60M,11.60M,,,20.40M,39.20M,224.70M,,,605.30M,,,,683.70M,,,
1991-06,10.20M,10.20M,,,467.40M,,,,165.00M,,,30.60M,673.20M,,,,,357.90M,-149.30M,208.60M,,31.00M,31.00M,,,,-0.10M,239.50M,912.70M,,22.70M,,22.70M,,22.70M,,,,,46.50M,,46.50M,,,140.80M,210.00M,7.30M,,7.30M,11.10M,11.10M,,,22.30M,40.70M,250.70M,,,586.20M,,,,662.00M,,,
1991-03,6.00M,6.00M,,,466.90M,,,,164.60M,,,27.90M,665.40M,,,,,344.70M,-136.80M,207.90M,,22.80M,22.80M,,,,,230.70M,896.10M,,22.20M,,22.20M,,22.20M,,,,,65.40M,,65.40M,,,129.60M,217.20M,7.30M,,7.30M,11.50M,11.50M,,,18.20M,37.00M,254.20M,,,589.00M,,,,641.90M,,,
1990-12,6.60M,6.60M,,,459.40M,,,,182.10M,,,26.90M,675.00M,,,,,347.20M,-136.80M,210.40M,,22.40M,22.40M,,,,0.10M,232.90M,907.90M,,37.10M,,37.10M,,37.10M,,,,,76.90M,,76.90M,,,122.80M,236.80M,7.30M,,7.30M,12.10M,12.10M,,,15.30M,34.70M,271.50M,,,582.70M,,,,636.40M,,,
1990-09,6.10M,6.10M,,,455.00M,,,,175.60M,,,25.10M,661.80M,,,,,330.80M,-122.80M,208.00M,,21.10M,21.10M,,,,,229.10M,890.90M,,31.80M,,31.80M,,31.80M,,,,,77.40M,,77.40M,,,117.10M,226.30M,7.30M,,7.30M,11.30M,11.30M,,,16.60M,35.20M,261.50M,,,576.60M,,,,629.40M,,,
1990-06,4.80M,4.80M,,,443.30M,,,,167.60M,,,21.80M,637.50M,,,,,326.80M,-122.80M,204.00M,,21.10M,21.10M,,,,,225.10M,862.60M,,32.70M,,32.70M,,32.70M,,,,,72.40M,,72.40M,,,122.70M,227.80M,7.30M,,7.30M,10.00M,10.00M,,,17.60M,34.90M,262.70M,,,551.40M,,,,599.90M,,,
1990-03,6.20M,6.20M,,,427.20M,,,,143.20M,,,22.30M,598.90M,,,,,321.10M,-122.80M,198.30M,,20.90M,20.90M,,,,,219.20M,818.10M,,33.40M,,33.40M,,33.40M,,,,,46.90M,,46.90M,,,117.30M,197.60M,7.70M,,7.70M,10.60M,10.60M,,,9.20M,27.50M,225.10M,,,546.50M,,,,593.00M,,,
1989-12,5.10M,5.10M,,,403.90M,,,,137.10M,,,18.50M,564.60M,,,,,317.80M,-122.80M,195.00M,,18.00M,18.00M,,,,,213.00M,777.60M,,40.30M,,40.30M,,40.30M,,,,,37.40M,,37.40M,,,101.80M,179.50M,7.70M,,7.70M,11.00M,11.00M,,,6.70M,25.40M,204.90M,,,526.40M,,,,572.70M,,,
1989-09,6.10M,6.10M,,,391.80M,,,,135.30M,,,15.70M,548.90M,,,,,299.90M,-122.00M,177.90M,,16.70M,16.70M,,,,,194.60M,743.50M,,24.70M,,24.70M,,24.70M,,,,,35.40M,,35.40M,,,92.60M,152.70M,7.70M,,7.70M,11.20M,11.20M,,,12.10M,31.00M,183.70M,,,514.90M,,,,559.80M,,,
1989-06,4.30M,4.30M,,,373.10M,,,,147.40M,,,11.90M,536.70M,,,,,284.30M,-118.70M,165.60M,,16.50M,16.50M,,,,,182.10M,718.80M,,24.10M,,24.10M,,24.10M,,,,,29.90M,,29.90M,,,101.10M,155.10M,7.70M,,7.70M,11.40M,11.40M,,,9.80M,28.90M,184.00M,,,491.50M,,,,534.80M,,,
1988-12,16.90M,16.90M,,,336.60M,,,,139.50M,,,12.00M,505.00M,,,,,256.70M,-110.30M,146.40M,,16.20M,16.20M,,,,-0.10M,162.50M,667.50M,,,,,,,,,,,0.50M,,0.50M,,,141.80M,142.30M,8.10M,,8.10M,11.90M,11.90M,,,,20.00M,162.30M,,,464.40M,,,,505.20M,,,
1987-12,64.60M,64.60M,,,277.40M,,,,120.10M,,,8.40M,470.50M,,,,,227.30M,-99.20M,128.10M,,17.20M,17.20M,,,,,145.30M,615.80M,,,,,,,,,,,3.40M,,3.40M,,,128.00M,131.40M,12.60M,,12.60M,14.20M,14.20M,,,0.10M,26.90M,158.30M,,,407.90M,,,,457.50M,,,
1986-12,27.30M,27.30M,,,226.60M,,,,124.80M,,,13.50M,392.20M,,,,,203.10M,-88.00M,115.10M,,19.30M,19.30M,,,,,134.40M,526.60M,,,,,,,,,,,4.30M,,4.30M,,,108.00M,112.30M,16.10M,,16.10M,15.30M,15.30M,,,-0.10M,31.30M,143.60M,,,348.40M,,,,383.00M,,,
1985-12,1.50M,1.50M,,,197.70M,,,,113.10M,,,48.50M,360.80M,,,,,175.30M,-77.20M,98.10M,,,,,,,1.00M,99.10M,459.90M,,,,,,,,,,,2.50M,,2.50M,,,90.00M,92.50M,17.70M,,17.70M,12.30M,12.30M,,,0.10M,30.10M,122.60M,,,310.50M,,,,337.30M,,,
1984-12,43.60M,43.60M,,,164.90M,,,,112.70M,,,10.10M,331.30M,,,,,154.50M,-68.00M,86.50M,,,,,,,1.10M,87.60M,418.90M,,,,,,,,,,,2.50M,,2.50M,,,87.00M,89.50M,20.20M,,20.20M,10.60M,10.60M,,,,30.80M,120.30M,,,274.50M,,,,298.60M,,,
