,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
1992-09,355.20M,,355.20M,,,1.515B,,,,893.40M,,,273.70M,3.038B,,,,,,,5.956B,-1.948B,4.008B,,461.00M,461.00M,,,1.198B,5.667B,8.704B,,205.60M,,,205.60M,,205.60M,1.061B,1.061B,,,1.080B,2.346B,435.90M,,435.90M,136.50M,136.50M,,,,783.00M,1.355B,3.701B,,,4.769B,,,,,,5.003B,,,
1992-06,425.40M,,425.40M,,,1.079B,,,,897.70M,,,545.80M,2.948B,,,,,,,5.880B,-1.879B,4.001B,,1.525B,1.525B,,,290.10M,5.816B,8.764B,,196.90M,,,196.90M,,196.90M,889.90M,889.90M,,,994.20M,2.081B,441.80M,,441.80M,410.80M,410.80M,,,,276.60M,1.129B,3.210B,,,5.313B,,,,,,5.554B,,,
1992-03,351.30M,,351.30M,,,1.061B,,,,806.20M,,,725.50M,2.944B,,,,,,,5.635B,-1.795B,3.840B,,1.368B,1.368B,,,269.40M,5.476B,8.421B,,200.50M,,,200.50M,,200.50M,791.90M,791.90M,,,1.047B,2.039B,444.20M,,444.20M,418.10M,418.10M,,,,212.70M,1.075B,3.114B,,,5.136B,,,,,,5.306B,,,
1991-12,479.20M,,479.20M,,,1.126B,,,,796.90M,,,537.20M,2.939B,,,,,,,5.569B,-1.786B,3.782B,,1.301B,1.301B,,,276.20M,5.359B,8.299B,,276.30M,,,276.30M,,276.30M,690.20M,690.20M,,,1.306B,2.272B,395.50M,,395.50M,415.60M,415.60M,,,,249.40M,1.060B,3.332B,,,4.693B,,,,,,4.966B,,,
1991-09,293.50M,,293.50M,,,887.80M,,,,793.00M,,,791.20M,2.766B,,,,,,,5.198B,-1.714B,3.484B,,435.80M,435.80M,,,1.196B,5.117B,7.882B,,171.90M,,,171.90M,,171.90M,655.60M,655.60M,,,1.078B,1.906B,496.20M,,496.20M,396.70M,396.70M,,,,223.00M,1.116B,3.022B,,,4.689B,,,,,,4.860B,,,
1991-06,230.40M,,230.40M,,,886.00M,,,,733.40M,,,806.10M,2.656B,,,,,,,4.858B,-1.634B,3.224B,,443.40M,443.40M,,,1.251B,4.918B,7.574B,,181.80M,,,181.80M,,181.80M,698.10M,698.10M,,,946.80M,1.827B,285.70M,,285.70M,387.90M,387.90M,,,,213.60M,887.20M,2.714B,,,4.538B,,,,,,4.860B,,,
1991-03,302.80M,,302.80M,,,913.30M,,,,703.70M,,,739.20M,2.659B,,,,,,,4.632B,-1.597B,3.035B,,453.40M,453.40M,,,1.145B,4.633B,7.292B,,207.30M,,,207.30M,,207.30M,556.50M,556.50M,,,1.030B,1.794B,235.10M,,235.10M,356.70M,356.70M,,,,220.60M,812.40M,2.606B,,,4.366B,,,,,,4.686B,,,
1990-12,350.20M,,350.20M,,,878.70M,,,,673.00M,,,599.40M,2.501B,,,,,,,4.516B,-1.579B,2.937B,,1.224B,1.224B,,,480.70M,4.642B,7.143B,,259.90M,,,259.90M,,259.90M,1.240B,1.240B,,,1.318B,2.818B,277.00M,,277.00M,351.20M,351.20M,,,,229.50M,857.70M,3.675B,,,4.549B,,,,,,3.468B,,,
1990-09,494.00M,,494.00M,,,842.50M,,,,675.30M,,,503.20M,2.515B,,,,,,,4.136B,-1.525B,2.611B,,442.30M,442.30M,,,1.179B,4.232B,6.747B,,183.60M,,,183.60M,,183.60M,1.253B,1.253B,,,1.056B,2.493B,275.00M,,275.00M,297.90M,297.90M,,,,218.10M,791.00M,3.284B,,,4.574B,,,,,,3.463B,,,
1990-06,459.10M,,459.10M,,,851.70M,,,,624.70M,,,411.10M,2.347B,,,,,,,3.868B,-1.456B,2.413B,,445.90M,445.90M,,,1.179B,4.038B,6.384B,,239.80M,,,239.80M,,239.80M,649.30M,649.30M,,,811.50M,1.701B,271.10M,,271.10M,311.60M,311.60M,,,,206.50M,789.20M,2.490B,,,4.449B,,,,,,3.894B,,,
1990-03,419.30M,,419.30M,,,843.70M,,,,602.10M,,,469.30M,2.334B,,,,,,,3.634B,-1.407B,2.228B,,449.80M,449.80M,,,1.098B,3.776B,6.110B,,169.70M,,,169.70M,,169.70M,221.10M,221.10M,,,817.70M,1.208B,268.90M,,268.90M,317.00M,317.00M,,,,210.60M,796.50M,2.005B,,,4.387B,,,,,,4.105B,,,
1989-12,323.00M,,323.00M,,,845.80M,,,,599.50M,,,506.10M,2.274B,,,,,,,3.478B,-1.364B,2.115B,,453.60M,453.60M,,,1.005B,3.574B,5.848B,,196.20M,,,196.20M,,196.20M,134.00M,134.00M,,,998.60M,1.329B,269.50M,,269.50M,300.40M,300.40M,,,,192.20M,762.10M,2.091B,,,4.065B,,,,,,3.757B,,,
1989-09,587.40M,,587.40M,,,774.30M,,,,667.00M,,,320.60M,2.349B,,,,,,,3.327B,-1.342B,1.985B,,453.50M,453.50M,,,845.00M,3.283B,5.632B,,146.60M,,,146.60M,,146.60M,283.30M,283.30M,,,820.80M,1.251B,268.20M,,268.20M,302.20M,302.20M,,,,134.70M,705.10M,1.956B,,,4.102B,,,,,,3.677B,,,
1989-06,572.40M,,572.40M,,,756.40M,,,,625.10M,,,357.60M,2.312B,,,,,,,3.177B,-1.296B,1.880B,,454.30M,454.30M,,,760.80M,3.095B,5.407B,,156.00M,,,156.00M,,156.00M,236.50M,236.50M,,,729.60M,1.122B,308.40M,,308.40M,289.80M,289.80M,,,,132.40M,730.60M,1.853B,,,4.043B,,,,,,3.554B,,,
1988-12,761.50M,,761.50M,,,761.70M,,,,674.30M,,,217.20M,2.415B,,,,,,,3.047B,-1.241B,1.807B,,409.90M,409.90M,,,631.50M,2.848B,5.263B,,,,,,,,127.00M,127.00M,,,1.162B,1.289B,387.70M,,387.70M,235.20M,235.20M,,,,125.70M,748.60M,2.037B,,,3.827B,,,,,,3.225B,,,
1987-12,1.031B,,1.031B,,,931.50M,,,,615.50M,,,146.20M,2.724B,,,,,,,2.758B,-1.115B,1.642B,,395.70M,395.70M,,,492.60M,2.531B,5.255B,,,,,,,,238.20M,238.20M,,,1.21B,1.448B,365.70M,,365.70M,297.50M,297.50M,,,,100.90M,764.10M,2.212B,,,3.396B,,,,,,3.043B,,,
1986-12,486.00M,,486.00M,,,779.10M,,,,694.60M,,,112.50M,2.072B,,,,,,,2.520B,-992.30M,1.528B,,478.80M,478.80M,,,517.20M,2.524B,4.596B,,,,,,,,230.90M,230.90M,,,931.60M,1.162B,395.30M,,395.30M,298.40M,298.40M,,,,,693.70M,1.856B,,,3.041B,,,,,,2.740B,,,
1985-12,406.10M,,406.10M,,,686.50M,,,,694.20M,,,153.40M,1.940B,,,,,,,2.254B,-880.10M,1.374B,,94.30M,94.30M,,,545.20M,2.014B,3.954B,,,,,,,,,,,,,1.046B,238.60M,,238.60M,281.60M,281.60M,,,,,520.20M,1.566B,,,2.741B,,,,,,2.388B,,,
1984-12,445.30M,,445.30M,,,633.30M,,,,630.20M,,,118.70M,1.828B,,,,,,,2.004B,-723.80M,1.280B,,344.00M,344.00M,,,192.00M,1.816B,3.644B,,,,,,,,,,,,,1.067B,116.60M,,116.60M,238.90M,238.90M,,,,,355.50M,1.423B,,,2.497B,,,,,,2.221B,,,
