,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
1994-06,7.289M,,7.289M,164.91M,17.28M,182.19M,43.24M,36.13M,52.62M,6.883M,97.44M,26.67M,40.45M,354.04M,,,,,,851.23M,-470.24M,380.99M,,,,,135.84M,516.83M,870.87M,,114.54M,,114.54M,41.46M,156.01M,,,7.753M,7.753M,75.02M,238.78M,185.94M,,185.94M,45.83M,45.83M,,,,,97.92M,329.68M,568.46M,,45.99M,206.22M,68.02M,8.121M,-0.568M,-9.141M,-9.709M,302.40M,,,
1994-03,5.41M,,5.41M,159.49M,18.80M,178.28M,43.26M,36.74M,53.39M,6.056M,98.10M,27.07M,35.48M,344.34M,,,,,,834.46M,-458.78M,375.68M,,,,,139.01M,514.69M,859.03M,,119.51M,,119.51M,36.77M,156.28M,,,12.24M,12.24M,69.94M,238.46M,191.80M,,191.80M,43.14M,43.14M,,,,,100.28M,335.22M,573.68M,,46.03M,190.97M,67.29M,8.742M,-1.06M,-9.141M,-10.20M,285.35M,,,
1993-12,11.90M,,11.90M,126.95M,19.15M,146.10M,36.37M,37.22M,53.34M,5.228M,89.80M,27.61M,28.46M,303.88M,0.00,7.538M,183.48M,632.76M,,823.79M,-448.77M,375.01M,,,,,144.21M,519.22M,823.10M,,99.32M,,99.32M,97.80M,197.12M,,,14.42M,14.42M,11.66M,223.19M,190.57M,,190.57M,41.28M,41.28M,,,,,98.42M,330.28M,553.47M,,46.04M,177.54M,65.95M,9.92M,-0.841M,-9.141M,-9.982M,269.63M,,,
1993-09,6.20M,,6.20M,,,153.30M,,,,,95.90M,,60.10M,315.50M,,,,,,814.20M,-439.60M,374.60M,,,,,146.30M,520.90M,836.40M,,103.80M,,103.80M,,103.80M,,,15.30M,15.30M,119.20M,238.30M,158.20M,,158.20M,44.00M,44.00M,,,,,126.70M,328.90M,567.20M,,,170.70M,,,,,,269.20M,,,
1993-06,5.80M,,5.80M,,,151.00M,,,,,91.40M,,40.10M,288.30M,,,,,,799.40M,-430.80M,368.60M,,,,,150.10M,518.70M,807.00M,,89.40M,,89.40M,,89.40M,,,14.00M,14.00M,117.10M,220.50M,199.90M,,199.90M,36.50M,36.50M,,,,,84.00M,320.40M,540.90M,,,167.50M,,,,,,266.10M,,,
1993-03,7.60M,,7.60M,,,148.80M,,,,,93.00M,,30.80M,280.20M,,,,,,796.60M,-428.60M,368.00M,,,,,161.60M,529.60M,809.80M,,84.40M,,84.40M,,84.40M,,,12.20M,12.20M,105.00M,201.60M,239.10M,,239.10M,32.40M,32.40M,,,,,83.70M,355.20M,556.80M,,,154.50M,,,,,,253.00M,,,
1992-12,6.00M,,6.00M,,,121.90M,,,,,78.40M,,27.90M,234.20M,,,,,,784.10M,-420.00M,364.10M,,,,,170.70M,534.80M,769.00M,,62.10M,,62.10M,,62.10M,,,12.80M,12.80M,96.70M,171.60M,236.60M,,236.60M,28.10M,28.10M,,,,,88.00M,352.70M,524.30M,,,147.10M,,,,,,244.70M,,,
1992-09,7.70M,,7.70M,,,99.00M,,,,,87.60M,,49.90M,244.20M,,,,,,774.80M,-412.50M,362.30M,,,,,177.60M,539.90M,784.10M,,68.10M,,68.10M,,68.10M,,,14.10M,14.10M,99.70M,181.90M,238.80M,,238.80M,51.70M,51.70M,,,,,24.00M,314.50M,496.40M,,,189.00M,,,,,,287.70M,,,
1992-06,2.00M,,2.00M,,,107.90M,,,,,77.70M,,76.90M,264.50M,,,,,,731.40M,-379.20M,352.20M,,,,,186.50M,538.70M,803.20M,,77.60M,,77.60M,,77.60M,,,6.00M,6.00M,115.30M,198.90M,171.60M,,171.60M,34.70M,34.70M,,,,,94.70M,301.00M,499.90M,,,207.20M,,,,,,303.30M,,,
1992-03,2.00M,,2.00M,,,107.00M,,,,,82.00M,,75.10M,266.10M,,,,,,720.20M,-371.00M,349.20M,,,,,189.70M,538.90M,805.00M,,87.70M,,87.70M,,87.70M,,,6.00M,6.00M,104.40M,198.10M,179.50M,,179.50M,33.80M,33.80M,,,,,102.70M,316.00M,514.10M,,,196.40M,,,,,,290.90M,,,
1991-12,3.60M,,3.60M,,,81.70M,,,,,71.80M,,52.10M,209.20M,,,,,,714.60M,-364.40M,350.20M,,,,,194.90M,545.10M,754.30M,,59.80M,,59.80M,,59.80M,,,6.00M,6.00M,106.60M,172.40M,176.10M,,176.10M,17.20M,17.20M,,,,,101.70M,295.00M,467.40M,,,192.90M,,,,,,286.90M,,,
1991-09,2.20M,,2.20M,,,95.70M,,,,,73.70M,,60.80M,232.40M,,,,,,705.60M,-355.30M,350.30M,,,,,190.80M,541.10M,773.50M,,78.00M,,78.00M,,78.00M,,,5.90M,5.90M,114.70M,198.60M,164.50M,,164.50M,12.00M,12.00M,,,,,119.80M,296.30M,494.90M,,,192.50M,,,,,,278.60M,,,
1991-06,2.20M,,2.20M,,,99.80M,,,,,70.80M,,72.50M,245.30M,,,,,,689.80M,-346.60M,343.20M,,,,,191.50M,534.70M,780.00M,,79.80M,,79.80M,,79.80M,,,5.30M,5.30M,113.00M,198.10M,160.00M,,160.00M,13.30M,13.30M,,,,,129.90M,303.20M,501.30M,,,193.60M,,,,,,278.70M,,,
1991-03,2.00M,,2.00M,,,91.80M,,,,,82.00M,,78.20M,254.00M,,,,,,677.10M,-339.80M,337.30M,,,,,195.50M,532.80M,786.80M,,75.90M,,75.90M,,75.90M,,,8.30M,8.30M,93.20M,177.40M,176.90M,,176.90M,16.70M,16.70M,,,,,136.50M,330.10M,507.50M,,,194.40M,,,,,,279.30M,,,
1990-12,3.20M,,3.20M,,,93.60M,,,,,85.50M,,75.40M,257.70M,,,,,,660.90M,-332.30M,328.60M,,,,,202.00M,530.60M,788.30M,,77.10M,,77.10M,,77.10M,,,7.30M,7.30M,121.20M,205.60M,156.00M,,156.00M,12.50M,12.50M,,,,,130.30M,298.80M,504.40M,,,197.60M,,,,,,283.90M,,,
1990-09,2.00M,,2.00M,,,115.10M,,,,,90.80M,,87.70M,295.60M,,,,,,651.20M,-324.60M,326.60M,,,,,209.30M,535.90M,831.50M,,82.10M,,82.10M,,82.10M,,,7.00M,7.00M,112.20M,201.30M,287.20M,,287.20M,20.20M,20.20M,,,,,34.70M,342.10M,543.40M,,,193.10M,,,,,,288.10M,,,
1990-06,2.20M,,2.20M,,,120.00M,,,,,88.50M,,78.40M,289.10M,,,,,,627.00M,-317.60M,309.40M,,,,,211.50M,520.90M,810.00M,,82.60M,,82.60M,,82.60M,,,7.20M,7.20M,124.60M,214.40M,253.70M,,253.70M,21.60M,21.60M,,,,,36.00M,311.30M,525.70M,,,189.60M,,,,,,284.30M,,,
1990-03,2.60M,,2.60M,,,121.00M,,,,,94.40M,,77.40M,295.40M,,,,,,618.90M,-317.00M,301.90M,,,,,213.30M,515.20M,810.60M,,76.80M,,76.80M,,76.80M,,,8.40M,8.40M,112.40M,197.60M,283.50M,,283.50M,18.50M,18.50M,,,,,37.10M,339.10M,536.70M,,,179.50M,,,,,,273.90M,,,
1989-12,4.80M,,4.80M,,,107.70M,,,,,89.30M,,69.20M,271.00M,,,,,,610.10M,-311.20M,298.90M,,,,,225.80M,524.70M,795.70M,,74.60M,,74.60M,,74.60M,,,4.10M,4.10M,118.00M,196.70M,154.60M,,154.60M,12.10M,12.10M,,,,,161.20M,327.90M,524.60M,,,177.10M,,,,,,271.10M,,,
1989-09,2.80M,,2.80M,,,119.50M,,,,,91.90M,,77.30M,291.50M,,,,,,592.70M,-305.50M,287.20M,,,,,215.50M,502.70M,794.20M,,59.70M,,59.70M,,59.70M,,,3.60M,3.60M,114.50M,177.80M,275.50M,,275.50M,17.00M,17.00M,,,,,36.40M,328.90M,506.70M,,,194.20M,,,,,,287.50M,,,
1988-12,4.90M,,4.90M,,,138.50M,,,,,90.60M,,55.10M,289.10M,,,,,,568.30M,-284.80M,283.50M,,,,,235.10M,518.60M,807.70M,,,,,,,,,3.90M,3.90M,168.40M,172.30M,138.00M,,138.00M,20.30M,20.30M,,,,,185.50M,343.80M,516.10M,,,196.60M,,,,,,291.60M,,,
1987-12,3.20M,,3.20M,,,97.20M,,,,,89.10M,,31.60M,221.10M,,,,,,547.80M,-265.40M,282.40M,,,,,178.50M,460.90M,682.00M,,,,,,,,,19.10M,19.10M,117.50M,136.60M,121.10M,,121.10M,18.00M,18.00M,,,,,114.60M,253.70M,390.30M,,,187.90M,,,,,,291.70M,,,
1986-12,5.10M,,5.10M,,,177.60M,,,,,85.20M,,39.40M,307.30M,,,,,,499.70M,-244.80M,254.90M,,,,,131.00M,385.90M,693.20M,,,,,,,,,81.30M,81.30M,135.10M,216.40M,83.90M,,83.90M,2.50M,2.50M,,,,,108.30M,194.70M,411.10M,,,179.90M,,,,,,282.10M,,,
1985-12,15.10M,,15.10M,,,99.90M,,,,,60.20M,,20.40M,195.60M,,,,,,429.70M,-221.20M,208.50M,,,,,82.20M,290.70M,486.30M,,,,,,,,,14.00M,14.00M,130.10M,144.10M,79.00M,,79.00M,,,,,,,27.60M,106.60M,250.70M,,,161.20M,,,,,,235.60M,,,
1984-12,7.90M,,7.90M,,,91.40M,,,,,77.80M,,17.50M,194.60M,,,,,,386.50M,-208.30M,178.20M,,,,,40.50M,218.70M,413.30M,,,,,,,,,23.00M,23.00M,104.90M,127.90M,97.40M,,97.40M,4.80M,4.80M,,,,,22.60M,124.80M,252.70M,,,125.70M,,,,,,160.60M,,,
