,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
1994-09,,713.00M,528.00M,1.241B,1.458B,1.458B,237.00M,597.00M,274.00M,870.00M,66.00M,334.00M,,3.969B,,,,,4.818B,-2.371B,2.447B,,,,,254.00M,173.00M,2.874B,6.843B,,628.00M,,628.00M,1.514B,2.142B,,,42.00M,42.00M,,,,2.184B,813.00M,,813.00M,,,,,983.00M,1.796B,3.98B,,93.00M,1.748B,1.04B,6.00M,,-12.00M,2.863B,,,
1994-06,,521.00M,675.00M,1.196B,1.446B,1.446B,246.00M,571.00M,277.00M,884.00M,65.00M,342.00M,,3.933B,,,,,4.695B,-2.367B,2.328B,,,,,236.00M,180.00M,2.744B,6.677B,,663.00M,,663.00M,1.423B,2.086B,,,222.00M,222.00M,,,,2.308B,688.00M,,688.00M,,,,,1.005B,1.693B,4.001B,,92.00M,1.585B,1.016B,6.00M,,-11.00M,2.676B,,,
1994-03,,538.00M,616.00M,1.154B,1.35B,1.35B,244.00M,555.00M,253.00M,843.00M,62.00M,333.00M,,3.742B,,,,,4.612B,-2.374B,2.238B,,,,,237.00M,217.00M,2.692B,6.434B,,631.00M,,631.00M,1.40B,2.031B,,,240.00M,240.00M,,,,2.271B,683.00M,,683.00M,,,,,997.00M,1.68B,3.951B,,92.00M,1.424B,984.00M,6.00M,,-11.00M,2.483B,,,
1993-12,,404.00M,484.00M,888.00M,1.218B,1.218B,244.00M,557.00M,250.00M,822.00M,55.00M,331.00M,,3.314B,,,,,4.62B,-2.417B,2.203B,,,,,237.00M,239.00M,2.679B,5.993B,,1.512B,,1.512B,158.00M,1.67B,,,211.00M,211.00M,,,120.00M,2.001B,694.00M,,694.00M,,,,,983.00M,1.677B,3.678B,,91.00M,1.307B,932.00M,5.00M,,-10.00M,2.315B,,,
1993-09,,437.00M,,437.00M,,1.181B,,,,893.00M,,,856.00M,3.367B,,,,,4.568B,-2.411B,2.157B,,,,,,532.00M,2.689B,6.056B,,513.00M,,513.00M,,513.00M,,,237.00M,237.00M,,,1.299B,2.049B,686.00M,,686.00M,,,,,1.027B,1.713B,3.762B,,150.00M,1.19B,,,150.00M,,2.294B,,,
1993-06,,464.00M,,464.00M,,1.044B,,,,790.00M,,,709.00M,3.007B,,,,,4.558B,-2.413B,2.145B,,,,,,566.00M,2.711B,5.718B,,526.00M,,526.00M,,526.00M,,,29.00M,29.00M,,,1.106B,1.661B,890.00M,,890.00M,,,,,1.03B,1.92B,3.581B,,196.00M,1.064B,,,196.00M,,2.137B,,,
1993-03,,423.00M,,423.00M,,1.007B,,,,767.00M,,,673.00M,2.87B,,,,,4.492B,-2.363B,2.129B,,,,,,588.00M,2.717B,5.587B,,455.00M,,455.00M,,455.00M,,,48.00M,48.00M,,,1.16B,1.663B,887.00M,,887.00M,,,,,1.016B,1.903B,3.566B,,219.00M,974.00M,,,219.00M,,2.021B,,,
1992-12,,356.00M,,356.00M,975.00M,975.00M,,,,734.00M,,,561.00M,2.626B,,,,,4.443B,-2.31B,2.133B,,,,,,426.00M,2.559B,5.185B,,1.46B,,1.46B,,1.46B,,,54.00M,54.00M,,,151.00M,1.665B,909.00M,,909.00M,,,,,664.00M,1.573B,3.238B,,219.00M,916.00M,,,219.00M,,1.947B,,,
1992-09,,228.00M,,228.00M,,1.11B,,,,798.00M,,,510.00M,2.646B,,,,,4.408B,-2.256B,2.152B,,,,,,332.00M,2.484B,5.13B,,429.00M,,429.00M,,429.00M,,,30.00M,30.00M,,,1.135B,1.594B,923.00M,,923.00M,,,,,619.00M,1.542B,3.136B,,294.00M,862.00M,,,294.00M,,1.994B,,,
1992-06,,241.00M,,241.00M,,1.14B,,,,812.00M,,,333.00M,2.526B,,,,,4.386B,-2.188B,2.198B,,,,,,315.00M,2.513B,5.039B,,436.00M,,436.00M,,436.00M,,,41.00M,41.00M,,,1.084B,1.561B,932.00M,,932.00M,,,,,591.00M,1.523B,3.084B,,294.00M,828.00M,,,294.00M,,1.955B,,,
1992-03,,215.00M,,215.00M,,907.00M,,,,830.00M,,,183.00M,2.135B,,,,,4.372B,-2.09B,2.282B,,,,,,282.00M,2.564B,4.699B,,359.00M,,359.00M,,359.00M,,,41.00M,41.00M,,,1.046B,1.446B,776.00M,,776.00M,,,,,573.00M,1.349B,2.795B,,294.00M,780.00M,,,294.00M,,1.904B,,,
1991-12,,452.00M,,452.00M,,905.00M,,,,815.00M,,,209.00M,2.381B,,,,,4.361B,-2.007B,2.354B,,,,,,274.00M,2.628B,5.009B,,1.45B,,1.45B,,1.45B,,,30.00M,30.00M,,,88.00M,1.568B,896.00M,,896.00M,,,,,590.00M,1.486B,3.054B,,365.00M,766.00M,,,365.00M,,1.955B,,,
1991-09,,266.00M,,266.00M,,1.033B,,,,859.00M,,,223.00M,2.381B,,,,,4.364B,-1.937B,2.427B,,,,,,280.00M,2.707B,5.088B,,364.00M,,364.00M,,364.00M,,,104.00M,104.00M,,,998.00M,1.466B,868.00M,,868.00M,,,,,611.00M,1.479B,2.945B,,371.00M,880.00M,,,371.00M,,2.143B,,,
1991-06,,327.00M,,327.00M,,946.00M,,,,874.00M,,,75.00M,2.222B,,,,,4.352B,-1.868B,2.484B,,,,,,298.00M,2.782B,5.004B,,383.00M,,383.00M,,383.00M,,,49.00M,49.00M,,,1.021B,1.453B,1.014B,,1.014B,,,,,578.00M,1.592B,3.045B,,371.00M,1.014B,,,371.00M,,1.959B,,,
1991-03,,424.00M,,424.00M,,888.00M,,,,912.00M,,,79.00M,2.303B,,,,,4.296B,-1.799B,2.497B,,,,,,258.00M,2.755B,5.058B,,431.00M,,431.00M,,431.00M,,,38.00M,38.00M,,,947.00M,1.416B,852.00M,,852.00M,,,,,505.00M,1.357B,2.773B,,521.00M,1.191B,,,521.00M,,2.285B,,,
1990-12,,403.00M,,403.00M,,944.00M,,,,887.00M,,,71.00M,2.305B,,,,,4.217B,-1.737B,2.48B,,,,,,263.00M,2.743B,5.048B,,1.388B,,1.388B,,1.388B,,,35.00M,35.00M,,,56.00M,1.479B,715.00M,,715.00M,,,,,496.00M,1.211B,2.69B,,521.00M,1.269B,,,521.00M,,2.358B,,,
1990-09,,159.00M,,159.00M,,1.167B,,,,896.00M,,,74.00M,2.296B,,,,,4.089B,-1.661B,2.428B,,,,,,252.00M,2.68B,4.976B,,427.00M,,427.00M,,427.00M,,,127.00M,127.00M,,,864.00M,1.418B,657.00M,,657.00M,,,,,463.00M,1.12B,2.538B,,521.00M,1.35B,,,521.00M,,2.438B,,,
1990-06,,311.00M,,311.00M,,974.00M,,,,893.00M,,,73.00M,2.251B,,,,,3.941B,-1.602B,2.339B,,,,,,252.00M,2.591B,4.842B,,431.00M,,431.00M,,431.00M,,,44.00M,44.00M,,,846.00M,1.321B,627.00M,,627.00M,,,,,432.00M,1.059B,2.38B,,521.00M,1.38B,,,521.00M,,2.462B,,,
1990-03,,407.00M,,407.00M,,916.00M,,,,859.00M,,,98.00M,2.28B,,,,,3.784B,-1.555B,2.229B,,,,,,231.00M,2.46B,4.74B,,386.00M,,386.00M,,386.00M,,,25.00M,25.00M,,,828.00M,1.239B,615.00M,,615.00M,,,,,410.00M,1.025B,2.264B,,521.00M,1.394B,,,521.00M,,2.476B,,,
1989-12,,418.20M,,418.20M,,942.90M,,,,806.40M,,,278.90M,2.446B,,,,,3.641B,-1.511B,2.130B,,,,,,228.30M,2.358B,4.804B,,1.211B,,1.211B,,1.211B,,,42.70M,42.70M,,,49.40M,1.303B,617.50M,,617.50M,,,,,399.20M,1.017B,2.320B,,520.80M,1.404B,,,520.80M,,2.485B,,,
1989-09,,396.20M,,396.20M,,905.30M,,,,887.70M,,,307.50M,2.497B,,,,,3.440B,-1.456B,1.984B,,,,,,200.30M,2.184B,4.681B,,400.50M,,400.50M,,400.50M,,,25.60M,25.60M,,,788.70M,1.215B,619.70M,,619.70M,,,,,381.90M,1.002B,2.216B,,520.80M,1.392B,,,520.80M,,2.464B,,,
1988-12,,780.40M,,780.40M,,942.10M,,,,769.70M,,,56.40M,2.549B,,,,,3.074B,-1.348B,1.726B,,,,,,152.80M,1.879B,4.428B,,,,,,,,,22.90M,22.90M,,,1.176B,1.199B,623.80M,,623.80M,,,,,881.50M,1.505B,2.705B,,,1.209B,,,,,1.723B,,,
1987-12,,662.60M,,662.60M,,848.20M,,,,738.70M,,,313.30M,2.563B,,,,,3.027B,-1.507B,1.520B,,,,,,173.80M,1.694B,4.256B,,,,,,,,,63.30M,63.30M,,,1.183B,1.247B,486.50M,,486.50M,,,,,797.50M,1.284B,2.531B,,,1.272B,,,,,1.726B,,,
1986-12,,214.40M,,214.40M,,669.70M,,,,609.50M,,,287.80M,1.781B,,,,,2.890B,-1.453B,1.437B,,,,,,118.30M,1.555B,3.337B,,,,,,,,,79.40M,79.40M,,,1.034B,1.113B,191.40M,,191.40M,,,,,305.20M,496.60M,1.610B,,,1.039B,,,,,1.727B,,,
1985-12,,158.80M,,158.80M,,620.10M,,,,447.70M,,,304.10M,1.531B,,,,,2.776B,-1.326B,1.45B,,,,,,95.40M,1.545B,3.076B,,,,,,,,,29.60M,29.60M,,,1.099B,1.129B,381.90M,,381.90M,,,,,137.60M,519.50M,1.648B,,,1.072B,,,,,1.428B,,,
1984-12,,274.40M,,274.40M,,793.70M,,,,489.20M,,,301.10M,1.858B,,,,,2.577B,-1.096B,1.481B,,,,,,83.90M,1.565B,3.423B,,,,,,,,,46.30M,46.30M,,,1.366B,1.412B,380.70M,,380.70M,,,,,90.00M,470.70M,1.883B,,,1.241B,,,,,1.540B,,,
