,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,RentandLandingExpense,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2010-06,886.00M,886.00M,496.00M,390.00M,5.00M,180.00M,185.00M,,-11.00M,,26.00M,2.00M,-24.00M,,210.00M,180.00M,2.00M,26.00M,-24.00M,-10.00M,-24.00M,146.00M,51.00M,95.00M,,,1.00M,,96.00M,103.16M,197.00M,25.00M,172.00M,,0.46,0.00,,0.4948,0.46,,0.46,0.00,,0.4942,0.46,,205.52M,209.41M,,,AOR,Restated
2010-03,771.00M,771.00M,411.00M,360.00M,4.00M,219.00M,223.00M,,0.00,,25.00M,2.00M,-23.00M,,248.00M,112.00M,2.00M,25.00M,-23.00M,,-23.00M,89.00M,29.00M,60.00M,,,1.00M,,61.00M,61.00M,139.00M,25.00M,114.00M,,0.29,0.00,,0.29,0.29,,0.28,0.00,,0.28,0.28,,211.17M,214.76M,,,AOR,Restated
2009-12,817.00M,817.00M,448.00M,369.00M,8.00M,215.00M,223.00M,,60.00M,,25.00M,3.00M,-22.00M,,249.00M,120.00M,3.00M,25.00M,-22.00M,-47.00M,-22.00M,51.00M,9.00M,42.00M,,,1.00M,,43.00M,-6.412M,102.00M,16.00M,76.00M,,0.20,0.00,,-0.0339,0.20,,0.20,0.00,,-0.0306,0.20,,211.21M,214.30M,,,AOR,Restated
2009-09,810.00M,810.00M,461.00M,349.00M,3.00M,173.00M,176.00M,,-39.00M,,26.00M,3.00M,-23.00M,,203.00M,146.00M,3.00M,26.00M,-23.00M,-39.00M,-23.00M,84.00M,25.00M,59.00M,,,1.00M,,60.00M,87.39M,148.00M,38.00M,110.00M,,0.30,0.00,,0.4347,0.30,,0.28,0.00,,0.4074,0.28,,203.31M,215.03M,,,AOR,Restated
2009-06,889.00M,889.00M,522.00M,367.00M,3.00M,165.00M,168.00M,,-30.00M,,25.00M,2.00M,-23.00M,,195.00M,172.00M,2.00M,25.00M,-23.00M,-35.00M,-23.00M,114.00M,46.00M,68.00M,,,1.00M,,69.00M,90.00M,166.00M,26.00M,139.00M,,0.34,0.00,,0.4438,0.34,,0.33,0.00,,0.4280,0.33,,202.31M,214.25M,,,AOR,Restated
2009-03,895.00M,895.00M,526.00M,369.00M,2.00M,160.00M,162.00M,,-17.00M,,27.00M,5.00M,-22.00M,,186.00M,183.00M,5.00M,27.00M,-22.00M,-19.00M,-22.00M,142.00M,48.00M,94.00M,,,0.00,,94.00M,105.25M,193.00M,24.00M,169.00M,,0.47,0.00,,0.5257,0.47,,0.44,0.00,,0.4925,0.44,,201.95M,214.29M,,,AOR,Restated
2008-12,1.025B,1.025B,622.00M,403.00M,6.00M,174.00M,180.00M,,-95.00M,,34.00M,7.00M,-27.00M,,207.00M,196.00M,7.00M,34.00M,-27.00M,-95.00M,-27.00M,74.00M,39.00M,35.00M,,,0.00,,35.00M,96.75M,135.00M,19.00M,108.00M,,0.16,0.00,,0.4678,0.16,,0.15,0.00,,0.4374,0.15,,200.63M,214.88M,,,,Restated
2008-09,990.00M,990.00M,591.00M,399.00M,7.00M,176.00M,183.00M,,-72.00M,,29.00M,9.00M,-20.00M,,211.00M,188.00M,9.00M,29.00M,-20.00M,-72.00M,-20.00M,96.00M,38.00M,58.00M,,,0.00,,58.00M,101.50M,161.00M,36.00M,125.00M,,0.29,0.00,,0.5075,0.29,,0.27,0.00,,0.4731,0.27,,199.98M,214.15M,,,,Restated
2008-06,822.00M,822.00M,442.00M,380.00M,4.00M,186.00M,190.00M,,-4.00M,,24.00M,8.00M,-16.00M,,212.00M,168.00M,8.00M,24.00M,-16.00M,-4.00M,-16.00M,148.00M,47.00M,101.00M,,,-1.00M,,100.00M,102.73M,194.00M,22.00M,172.00M,,0.50,0.00,,0.5137,0.50,,0.47,0.00,,0.4827,0.47,,199.72M,214.41M,,,,Restated
2008-03,814.00M,814.00M,536.00M,278.00M,2.00M,118.00M,120.00M,,53.00M,,10.00M,10.00M,0.00,,136.00M,142.00M,10.00M,10.00M,0.00,53.00M,0.00,195.00M,74.00M,121.00M,,,0.00,,121.00M,88.11M,221.00M,16.00M,205.00M,,0.75,0.00,,0.5457,0.75,,0.69,0.00,,0.5033,0.69,,160.98M,176.18M,,,,Restated
