,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,InvestmentWriteOff,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2006-12,3.922B,3.922B,1.56B,2.362B,,39.00M,138.00M,,,1.215B,1.764B,598.00M,,,39.00M,,372.00M,177.00M,195.00M,-164.00M,,-1.00M,,31.00M,171.60M,1.041B,443.00M,598.00M,0.325,-0.28,,,0.2915,0.045,0.325,-0.28,,,0.2916,0.045,698.05M,701.35M,0.345
2006-09,3.973B,3.973B,1.522B,2.451B,,43.00M,122.00M,,,646.00M,1.157B,1.294B,,,43.00M,,1.075B,421.00M,654.00M,-1.00M,,-5.00M,,653.00M,627.84M,1.728B,434.00M,1.294B,0.93,0.0,,,0.8927,0.93,0.925,0.0,,,0.8879,0.925,702.15M,705.95M,0.345
2006-06,3.496B,3.496B,1.306B,2.19B,,49.00M,130.00M,,,1.193B,1.716B,474.00M,,,49.00M,,272.00M,126.00M,146.00M,15.00M,,,,161.00M,116.60M,922.00M,448.00M,474.00M,0.21,0.02,,,0.168,0.23,0.21,0.02,,,0.168,0.23,700.00M,700.00M,0.345
2006-03,4.951B,4.951B,2.666B,2.285B,,39.00M,180.00M,,,767.00M,1.324B,961.00M,,,39.00M,,746.00M,207.00M,539.00M,-5.00M,,,,534.00M,510.82M,1.375B,414.00M,961.00M,0.78,-0.01,,,0.7394,0.77,0.775,-0.01,,,0.7346,0.765,693.51M,698.04M,0.345
2005-12,4.863B,4.863B,2.798B,2.065B,,27.00M,158.00M,,,974.00M,1.441B,624.00M,,,27.00M,,413.00M,151.00M,262.00M,1.00M,,,,257.00M,244.87M,1.019B,395.00M,624.00M,0.4,-0.015,,,0.375,0.375,0.395,-0.015,,,0.3703,0.37,685.32M,694.49M,0.335
2005-09,4.564B,4.564B,2.502B,2.062B,,61.00M,120.00M,,,1.402B,1.877B,185.00M,,,61.00M,,8.00M,-2.00M,10.00M,5.00M,,,,15.00M,-26.60M,577.00M,392.00M,185.00M,0.015,0.005,,,-0.0338,0.02,0.015,0.005,,,-0.0338,0.02,750.00M,750.00M,0.335
2005-06,3.646B,3.646B,1.618B,2.028B,,28.00M,134.00M,,,840.00M,1.323B,705.00M,,,28.00M,,508.00M,176.00M,332.00M,,,,,332.00M,313.70M,1.076B,371.00M,705.00M,0.49,0.0,,,0.463,0.49,0.485,0.0,,,0.4583,0.485,677.55M,684.54M,0.335
2005-03,4.736B,4.736B,2.197B,2.539B,,47.00M,165.00M,,,1.155B,1.666B,873.00M,,,47.00M,,677.00M,248.00M,429.00M,,,,,429.00M,399.22M,1.253B,380.00M,873.00M,0.63,0.0,,,0.5863,0.63,0.625,0.0,,,0.5816,0.625,680.95M,686.40M,0.335
2004-12,3.78B,3.78B,1.796B,1.984B,,34.00M,136.00M,,,1.004B,1.481B,503.00M,,,34.00M,,307.00M,83.00M,224.00M,0.00,,,,224.00M,199.19M,876.00M,373.00M,503.00M,0.33,0.005,,,0.2927,0.335,0.33,0.005,,,0.2931,0.33,664.62M,672.23M,0.3325
2004-09,3.292B,3.292B,1.466B,1.826B,,42.00M,107.00M,,,636.00M,1.071B,755.00M,,,42.00M,,558.00M,221.00M,337.00M,,,-4.00M,,337.00M,311.63M,1.116B,361.00M,755.00M,0.51,0.0,,,0.4716,0.51,0.51,0.0,,,0.4716,0.51,660.78M,660.78M,0.3225
2004-06,3.04B,3.04B,1.466B,1.574B,,44.00M,122.00M,,,553.00M,994.00M,580.00M,,,44.00M,,394.00M,136.00M,258.00M,-7.00M,,-4.00M,,251.00M,229.19M,927.00M,347.00M,580.00M,0.395,-0.015,,,0.3514,0.38,0.395,-0.015,,,0.3514,0.38,660.53M,660.53M,0.3225
2004-03,3.879B,3.879B,1.937B,1.942B,,55.00M,154.00M,,,581.00M,1.052B,890.00M,,,55.00M,,705.00M,260.00M,445.00M,-8.00M,,-4.00M,,437.00M,410.28M,1.242B,352.00M,890.00M,0.685,-0.01,,,0.6314,0.675,0.68,-0.01,,,0.6268,0.67,647.41M,652.24M,0.3225
2003-12,3.016B,3.016B,1.403B,1.613B,,-4.00M,106.00M,,,929.00M,1.341B,272.00M,,,-4.00M,,-12.00M,20.00M,-32.00M,-40.00M,-102.00M,-31.00M,,-174.00M,-29.60M,581.00M,309.00M,272.00M,-0.125,0.025,0.0,,-0.1213,-0.28,-0.13,0.025,-0.1619,,-0.1263,-0.28,651.69M,651.69M,0.3225
2003-09,2.853B,2.853B,1.034B,1.819B,,48.00M,104.00M,,,707.00M,1.121B,698.00M,,,48.00M,,535.00M,209.00M,326.00M,-582.00M,,-32.00M,,-256.00M,296.75M,1.052B,354.00M,698.00M,0.505,-0.9,,,0.4599,-0.395,0.505,-0.9,,,0.4599,-0.395,648.10M,648.10M,0.3225
2003-06,2.63B,2.63B,1.029B,1.601B,,53.00M,113.00M,,,607.00M,1.024B,577.00M,,,53.00M,,385.00M,139.00M,246.00M,-6.00M,,-32.00M,,240.00M,212.14M,920.00M,343.00M,577.00M,0.39,-0.01,,,0.3364,0.38,0.39,-0.01,,,0.3364,0.38,631.58M,631.58M,0.3225
2003-03,3.579B,3.579B,1.451B,2.128B,,-138.00M,154.00M,,,665.00M,1.114B,1.014B,,,-138.00M,,638.00M,229.00M,409.00M,-14.00M,113.00M,2.00M,,508.00M,497.47M,1.342B,328.00M,1.014B,0.665,-0.025,0.0,,0.8087,0.825,0.66,-0.025,0.1824,,0.8028,0.82,615.76M,619.51M,0.3225
2002-12,2.706B,2.706B,1.005B,1.701B,,12.00M,124.00M,,,554.00M,987.00M,714.00M,,,12.00M,,494.00M,156.00M,338.00M,,,-31.00M,,338.00M,329.79M,1.05B,336.00M,714.00M,0.56,0.0,,,0.5463,0.56,0.555,0.0,,,0.5414,0.555,601.40M,603.98M,0.3225
2002-09,2.545B,2.545B,743.00M,1.802B,,39.00M,97.00M,,,557.00M,966.00M,836.00M,,,39.00M,,641.00M,211.00M,430.00M,,,-30.00M,,430.00M,403.84M,1.184B,348.00M,836.00M,0.775,0.0,,,0.728,0.775,0.77,0.0,,,0.7232,0.77,556.60M,559.40M,0.3225
