,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,OtherCashfromOperations,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromFinancing,,EndingCash(Quarterly),BeginningCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,,SECFilingLinks,AsOriginallyReported,Restated
2010-09,-74.00M,,,,,,,95.00M,95.00M,-7.00M,,,,-14.00M,331.00M,-166.00M,,94.00M,,,130.00M,-5.00M,512.00M,,2010-09,-51.00M,26.00M,109.00M,-4.00M,-176.00M,299.00M,,2010-09,-1.018B,0.00,-1.018B,,,,,-5.00M,0.00,-1.023B,,2010-09,1.191B,12.00M,991.00M,,2010-09,,19.00M,-1.037B,,2010-09,AOR,Restated
2010-06,81.00M,,,,,,,97.00M,97.00M,24.00M,,,,90.00M,63.00M,-6.00M,,-58.00M,,,48.00M,-4.00M,335.00M,,2010-06,-45.00M,34.00M,-11.00M,-43.00M,430.00M,400.00M,,2010-06,-1.049B,0.00,-1.049B,,,,,-6.00M,2.00M,-1.053B,,2010-06,1.509B,0.00,1.191B,,2010-06,,8.00M,-1.057B,,2010-06,AOR,Restated
2010-03,-4.00M,,,,,,,90.00M,90.00M,-13.00M,,,,114.00M,2.00M,-211.00M,,-75.00M,,,8.00M,1.00M,-88.00M,,2010-03,-38.00M,32.00M,-6.00M,,633.00M,639.00M,,2010-03,-916.00M,0.00,-916.00M,,,,,-5.00M,0.00,-921.00M,,2010-03,1.892B,-13.00M,1.509B,,2010-03,,20.00M,-936.00M,,2010-03,AOR,Restated
2009-12,-60.00M,,,,-114.00M,,,112.00M,112.00M,-127.00M,,,,409.00M,21.00M,435.00M,,56.00M,57.00M,,,0.00,477.00M,,2009-12,-73.00M,60.00M,60.00M,0.00,878.00M,698.00M,,2009-12,-863.00M,0.00,-863.00M,0.00,,0.00,,-5.00M,,-1.862B,,2009-12,2.576B,3.00M,1.892B,,2009-12,0.00,859.00M,-1.722B,,2009-12,AOR,Restated
2009-09,6.00M,,,,114.00M,,,100.00M,100.00M,-12.00M,,,,-196.00M,19.00M,293.00M,,62.00M,-45.00M,,,-5.00M,542.00M,,2009-09,-52.00M,49.00M,49.00M,0.00,100.00M,161.00M,,2009-09,-448.00M,-9.00M,-457.00M,0.00,,0.00,,-6.00M,0.00,-21.00M,,2009-09,1.885B,9.00M,2.576B,,2009-09,0.00,43.00M,-500.00M,,2009-09,AOR,Restated
2009-06,-62.00M,,,,,,,101.00M,101.00M,-13.00M,,,,208.00M,74.00M,323.00M,,-467.00M,5.00M,,,-4.00M,165.00M,,2009-06,-44.00M,59.00M,59.00M,0.00,531.00M,558.00M,,2009-06,-853.00M,-16.00M,-869.00M,333.00M,,333.00M,,-5.00M,0.00,-541.00M,,2009-06,1.691B,12.00M,1.885B,,2009-06,333.00M,582.00M,-1.451B,,2009-06,AOR,Restated
2009-03,43.00M,,,,,,,96.00M,96.00M,-113.00M,,,,106.00M,80.00M,-248.00M,,-108.00M,-17.00M,,,-8.00M,-169.00M,,2009-03,-69.00M,68.00M,68.00M,,208.00M,522.00M,,2009-03,2.408B,-1.612B,796.00M,,,,,-5.00M,,791.00M,,2009-03,547.00M,0.00,1.691B,,2009-03,,2.986B,-2.19B,,2009-03,AOR,Restated
2008-12,-356.00M,,,,,,,107.00M,107.00M,-27.00M,,191.00M,-39.00M,627.00M,-185.00M,125.00M,,-162.00M,-78.00M,,9.00M,7.00M,118.00M,,2008-12,-227.00M,18.00M,18.00M,0.00,-10.21B,699.00M,,2008-12,-677.00M,-52.00M,-729.00M,0.00,0.00,0.00,,-112.00M,0.00,-619.00M,,2008-12,357.00M,-8.00M,547.00M,,2008-12,0.00,0.00,-677.00M,,2008-12,AOR,Restated
2008-09,205.00M,,,,,,,94.00M,94.00M,17.00M,0.00,0.00,12.00M,9.00M,-24.00M,-143.00M,,80.00M,78.00M,,-103.00M,10.00M,269.00M,,2008-09,-124.00M,-6.00M,-6.00M,-9.00M,-79.00M,-191.00M,,2008-09,27.00M,236.00M,263.00M,0.00,-399.00M,-399.00M,,-66.00M,2.00M,-190.00M,,2008-09,480.00M,-11.00M,357.00M,,2008-09,0.00,339.00M,-312.00M,,2008-09,AOR,Restated
2008-06,250.00M,,,,,,,100.00M,100.00M,-35.00M,0.00,0.00,14.00M,15.00M,-57.00M,-313.00M,,220.00M,,,16.00M,8.00M,258.00M,,2008-06,-113.00M,9.00M,9.00M,0.00,387.00M,271.00M,,2008-06,324.00M,-684.00M,-360.00M,0.00,-38.00M,-38.00M,,-49.00M,32.00M,-415.00M,,2008-06,361.00M,5.00M,480.00M,,2008-06,0.00,-20.00M,-374.00M,,2008-06,,Restated
