,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
1994-12,266.30M,,266.30M,,,564.50M,,,396.30M,,,206.40M,1.434B,,,,,,,4.600B,-1.708B,2.893B,,4.10M,4.10M,,,136.90M,3.034B,4.467B,,334.50M,,334.50M,,334.50M,,,,,275.70M,,275.70M,575.00M,1.185B,719.20M,,719.20M,198.10M,198.10M,,,557.30M,1.475B,2.660B,,,3.801B,,,,,,1.808B,,,
1994-09,314.40M,,314.40M,645.90M,,645.90M,,,398.90M,,,210.20M,1.569B,,,,,,,4.550B,-1.668B,2.882B,,59.20M,59.20M,,,150.10M,3.091B,4.661B,,325.00M,,325.00M,526.70M,851.70M,313.80M,,,0.70M,314.50M,,314.50M,130.10M,1.296B,719.60M,,719.60M,365.90M,365.90M,,,478.90M,1.564B,2.861B,,77.60M,3.728B,67.50M,1.937B,-110.70M,-25.30M,-136.00M,1.80B,,,
1994-06,231.80M,,231.80M,642.90M,,642.90M,,,389.50M,,,209.10M,1.473B,,,,,,,4.436B,-1.593B,2.844B,,60.10M,60.10M,,,156.40M,3.06B,4.533B,,335.80M,,335.80M,500.90M,836.70M,535.60M,,,0.80M,536.40M,,536.40M,95.80M,1.469B,519.70M,,519.70M,358.90M,358.90M,,,469.30M,1.348B,2.817B,,77.60M,3.591B,67.20M,1.860B,-134.90M,-25.30M,-160.20M,1.716B,,,
1994-03,169.40M,,169.40M,610.20M,,610.20M,,,398.50M,,,214.00M,1.392B,,,,,,,4.301B,-1.536B,2.766B,,59.70M,59.70M,,,181.30M,3.007B,4.399B,,309.10M,,309.10M,489.10M,798.20M,437.40M,,,0.80M,438.20M,,438.20M,137.00M,1.373B,519.90M,,519.90M,345.30M,345.30M,,,463.20M,1.328B,2.702B,,77.60M,3.516B,68.20M,1.776B,-164.00M,-25.30M,-189.30M,1.697B,,,
1993-12,98.10M,,98.10M,536.80M,,536.80M,,,403.10M,,,207.10M,1.245B,,,,,,,4.272B,-1.504B,2.768B,,59.10M,59.10M,,,164.50M,2.992B,4.237B,,308.80M,,308.80M,,308.80M,,,,,388.20M,,388.20M,517.60M,1.215B,521.60M,,521.60M,188.90M,188.90M,,,598.60M,1.309B,2.524B,,,3.409B,,,,,,1.713B,,,
1993-09,176.40M,,176.40M,,,615.40M,,,422.00M,,,142.10M,1.356B,,,,,,,4.224B,-1.453B,2.771B,,53.10M,53.10M,,,101.70M,2.926B,4.282B,,297.10M,,297.10M,,297.10M,,,,,615.30M,,615.30M,580.40M,1.493B,320.00M,,320.00M,292.50M,292.50M,,,439.80M,1.052B,2.545B,,,3.337B,,,,,,1.737B,,,
1993-06,123.00M,,123.00M,,,588.80M,,,424.00M,,,158.30M,1.294B,,,,,,,4.138B,-1.405B,2.733B,,53.20M,53.20M,,,87.00M,2.873B,4.168B,,290.50M,,290.50M,,290.50M,,,,,591.00M,,591.00M,535.60M,1.417B,320.40M,,320.40M,293.50M,293.50M,,,432.30M,1.046B,2.463B,,,3.206B,,,,,,1.704B,,,
1993-03,110.00M,,110.00M,,,640.50M,,,435.50M,,,164.10M,1.350B,,,,,,,4.059B,-1.385B,2.674B,,53.20M,53.20M,,,75.50M,2.803B,4.153B,,283.80M,,283.80M,,283.80M,,,,,350.00M,,350.00M,597.10M,1.231B,320.70M,,320.70M,300.80M,300.80M,,,417.50M,1.039B,2.270B,,,3.138B,,,,,,1.883B,,,
1992-12,126.30M,,126.30M,,,519.10M,,,416.40M,,,174.80M,1.237B,,,,,,,3.994B,-1.331B,2.663B,,53.30M,53.30M,,,62.40M,2.778B,4.015B,,313.80M,,313.80M,,313.80M,,,,,211.90M,,211.90M,545.30M,1.071B,314.90M,,314.90M,184.60M,184.60M,,,499.30M,998.80M,2.070B,,,3.034B,,,,,,1.945B,,,
1992-09,220.10M,,220.10M,,,596.10M,,,439.90M,,,145.90M,1.402B,,,,,,,4.046B,-1.356B,2.690B,,43.90M,43.90M,,,75.30M,2.809B,4.211B,,303.00M,,303.00M,,303.00M,,,,,218.00M,,218.00M,620.30M,1.141B,313.50M,,313.50M,335.30M,335.30M,,,85.80M,734.60M,1.876B,,,3.247B,,,,,,2.335B,,,
1992-06,210.40M,,210.40M,,,552.50M,,,431.10M,,,154.50M,1.348B,,,,,,,3.977B,-1.313B,2.664B,,44.10M,44.10M,,,55.30M,2.763B,4.112B,,306.10M,,306.10M,,306.10M,,,,,498.00M,,498.00M,592.10M,1.396B,15.00M,,15.00M,343.90M,343.90M,,,80.90M,439.80M,1.836B,,,3.119B,,,,,,2.276B,,,
1992-03,133.80M,,133.80M,,,522.10M,,,380.60M,,,167.90M,1.204B,,,,,,,3.801B,-1.248B,2.554B,,44.00M,44.00M,,,53.90M,2.652B,3.856B,,287.40M,,287.40M,,287.40M,,,,,380.60M,,380.60M,587.70M,1.256B,15.00M,,15.00M,333.50M,333.50M,,,76.90M,425.40M,1.681B,,,3.018B,,,,,,2.175B,,,
1991-12,178.00M,,178.00M,,,420.00M,,,401.10M,,,173.90M,1.173B,,,,,,,3.890B,-1.243B,2.646B,,49.80M,49.80M,,,56.50M,2.753B,3.926B,,289.80M,,289.80M,,289.80M,,,,,449.10M,,449.10M,585.50M,1.324B,15.20M,,15.20M,338.90M,338.90M,,,87.50M,441.60M,1.766B,,,2.889B,,,,,,2.160B,,,
1991-09,326.10M,,326.10M,,,517.70M,,,405.70M,,,159.50M,1.409B,,,,,,,3.757B,-1.194B,2.562B,,65.00M,65.00M,,,55.80M,2.683B,4.092B,,274.50M,,274.50M,,274.50M,,,,,691.80M,,691.80M,559.40M,1.526B,32.50M,,32.50M,339.00M,339.00M,,,97.60M,469.10M,1.995B,,,2.838B,,,,,,2.097B,,,
1991-06,240.00M,,240.00M,,,499.20M,,,403.50M,,,151.70M,1.294B,,,,,,,3.586B,-1.116B,2.470B,,65.00M,65.00M,,,47.50M,2.582B,3.876B,,277.30M,,277.30M,,277.30M,,,,,651.10M,,651.10M,511.30M,1.440B,31.60M,,31.60M,334.50M,334.50M,,,94.10M,460.20M,1.900B,,,2.730B,,,,,,1.977B,,,
1991-03,229.70M,,229.70M,,,493.70M,,,375.50M,,,143.20M,1.242B,,,,,,,3.588B,-1.083B,2.504B,,62.70M,62.70M,,,48.50M,2.615B,3.858B,,260.50M,,260.50M,,260.50M,,,,,632.30M,,632.30M,550.60M,1.443B,54.00M,,54.00M,336.40M,336.40M,,,93.10M,483.50M,1.927B,,,2.642B,,,,,,1.931B,,,
1990-12,100.50M,,100.50M,,,430.20M,,,359.70M,,,151.00M,1.041B,,,,,,,3.672B,-1.077B,2.595B,,62.90M,62.90M,,,49.70M,2.708B,3.749B,,247.10M,,247.10M,,247.10M,,,,,382.60M,,382.60M,479.90M,1.110B,295.60M,,295.60M,347.00M,347.00M,,,95.40M,738.00M,1.848B,,,2.542B,,,,,,1.902B,,,
1990-09,166.90M,,166.90M,,,482.10M,,,387.00M,,,112.60M,1.149B,,,,,,,3.612B,-1.027B,2.585B,,33.90M,33.90M,,,61.40M,2.681B,3.829B,,265.70M,,265.70M,,265.70M,,,,,480.10M,,480.10M,461.60M,1.207B,390.80M,,390.80M,326.70M,326.70M,,,66.40M,783.90M,1.991B,,,2.492B,,,,,,1.838B,,,
1990-06,173.60M,,173.60M,,,454.40M,,,372.50M,,,128.20M,1.129B,,,,,,,3.480B,-973.60M,2.506B,,34.00M,34.00M,,,60.60M,2.600B,3.729B,,248.80M,,248.80M,,248.80M,,,,,632.60M,,632.60M,391.20M,1.273B,387.20M,,387.20M,313.40M,313.40M,,,61.90M,762.50M,2.035B,,,2.388B,,,,,,1.694B,,,
1990-03,188.20M,,188.20M,,,447.10M,,,378.10M,,,64.20M,1.078B,,,,,,,3.380B,-935.90M,2.444B,,34.60M,34.60M,,,59.20M,2.537B,3.615B,,251.80M,,251.80M,,251.80M,,,,,653.90M,,653.90M,384.60M,1.290B,369.70M,,369.70M,298.40M,298.40M,,,61.50M,729.60M,2.020B,,,2.310B,,,,,,1.595B,,,
1989-12,80.30M,,80.30M,,,355.20M,,,394.00M,,,76.60M,906.10M,,,,,,,3.302B,-896.10M,2.406B,,34.90M,34.90M,,,43.10M,2.484B,3.390B,,250.90M,,250.90M,,250.90M,,,,,478.20M,,478.20M,308.10M,1.037B,371.40M,,371.40M,288.80M,288.80M,,,58.60M,718.80M,1.756B,,,2.271B,,,,,,1.634B,,,
1989-09,61.30M,,61.30M,,,445.00M,,,437.20M,,,65.90M,1.009B,,,,,,,3.140B,-855.20M,2.284B,,47.00M,47.00M,,,39.90M,2.371B,3.381B,,287.60M,,287.60M,,287.60M,,,,,310.60M,,310.60M,333.20M,931.40M,471.20M,,471.20M,288.80M,288.80M,,,68.30M,828.30M,1.760B,,,2.266B,,,,,,1.621B,,,
1989-06,48.70M,,48.70M,,,436.80M,,,409.90M,,,75.30M,970.70M,,,,,,,2.990B,-820.30M,2.170B,,52.50M,52.50M,,,51.10M,2.274B,3.244B,,238.40M,,238.40M,,238.40M,,,,,304.90M,,304.90M,366.30M,909.60M,470.90M,,470.90M,267.80M,267.80M,,,66.80M,805.50M,1.715B,,,2.195B,,,,,,1.529B,,,
1989-03,239.40M,,239.40M,,,370.10M,,,376.70M,,,79.20M,1.065B,,,,,,,2.952B,-801.40M,2.151B,,52.80M,52.80M,,,52.20M,2.256B,3.321B,,318.90M,,318.90M,,318.90M,,,,,333.40M,,333.40M,357.40M,1.010B,472.60M,,472.60M,267.50M,267.50M,,,66.60M,806.70M,1.816B,,,2.118B,,,,,,1.505B,,,
1988-12,185.00M,,185.00M,,,404.60M,,,362.20M,,,111.40M,1.063B,,,,,,,2.916B,-784.50M,2.132B,,53.40M,53.40M,,,49.40M,2.235B,3.298B,,,,,,,,,,,440.20M,,440.20M,743.30M,1.184B,272.10M,,272.10M,292.20M,292.20M,,,66.90M,631.20M,1.815B,,,2.011B,,,,,,1.483B,,,
1987-12,126.20M,,126.20M,,,275.10M,,,310.90M,,,89.70M,801.90M,,,,,,,2.418B,-679.20M,1.739B,,77.40M,77.40M,,,62.80M,1.879B,2.681B,,,,,,,,,,,151.40M,,151.40M,702.00M,853.40M,290.40M,,290.40M,256.40M,256.40M,,,69.30M,616.10M,1.470B,,,1.718B,,,,,,1.211B,,,
1986-12,198.10M,,198.10M,,,217.50M,,,265.40M,,,48.60M,729.60M,,,,,,,1.854B,-573.30M,1.281B,,28.00M,28.00M,,,45.50M,1.355B,2.084B,,,,,,,,,,,135.60M,,135.60M,550.80M,686.40M,264.10M,,264.10M,218.90M,218.90M,,,16.40M,499.40M,1.186B,,,1.482B,,,,,,898.40M,,,
1985-12,127.80M,,127.80M,,,203.90M,,,245.90M,,,40.50M,618.10M,,,,,,,1.530B,-494.50M,1.036B,,28.30M,28.30M,,,43.80M,1.108B,1.726B,,,,,,,,,,,34.80M,,34.80M,409.50M,444.30M,392.60M,,392.60M,193.90M,193.90M,,,12.30M,598.80M,1.043B,,,1.288B,,,,,,683.00M,,,
1984-12,308.90M,,308.90M,,,182.50M,,,221.10M,,,39.00M,751.50M,,,,,,,1.281B,-425.40M,856.00M,,30.50M,30.50M,,,29.10M,915.60M,1.667B,,,,,,,,,,,340.60M,,340.60M,323.50M,664.10M,364.10M,,364.10M,142.20M,142.20M,,,9.50M,515.80M,1.180B,,,1.118B,,,,,,487.20M,,,
