,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2009-11,202.00M,,,,17.00M,-39.00M,,,491.00M,491.00M,,,,31.00M,18.00M,-324.00M,-59.00M,,66.00M,0.00,-60.00M,-377.00M,,326.00M,-62.00M,31.00M,-31.00M,,,6.00M,-25.00M,-80.00M,-80.00M,,,,,,-141.00M,-221.00M,1.485B,80.00M,,1.565B,,200.00M,-280.00M,,2.00M,36.00M
2009-08,-114.00M,0.00,-1.00M,-106.00M,,33.00M,,,503.00M,503.00M,,,0.00,12.00M,-38.00M,-98.00M,-45.00M,,50.00M,54.00M,,-39.00M,,357.00M,-49.00M,13.00M,-36.00M,0.00,-21.00M,64.00M,7.00M,-56.00M,-56.00M,0.00,,0.00,568.00M,,-697.00M,-185.00M,1.306B,179.00M,,1.485B,0.00,0.00,-56.00M,,43.00M,107.00M
2009-05,-334.00M,0.00,12.00M,45.00M,,57.00M,,,526.00M,526.00M,,,0.00,12.00M,97.00M,-150.00M,-140.00M,43.00M,96.00M,-56.00M,,-207.00M,,151.00M,-64.00M,5.00M,-59.00M,0.00,27.00M,-31.00M,-63.00M,293.00M,293.00M,276.00M,,276.00M,-568.00M,,285.00M,286.00M,932.00M,374.00M,,1.306B,276.00M,334.00M,-41.00M,,-11.00M,-46.00M
2009-02,-839.00M,,43.00M,61.00M,,90.00M,,,563.00M,563.00M,,,58.00M,22.00M,475.00M,236.00M,-210.00M,-43.00M,-35.00M,5.00M,17.00M,-30.00M,,339.00M,-105.00M,2.00M,-103.00M,,-426.00M,400.00M,-129.00M,50.00M,-72.00M,,,,150.00M,,-381.00M,-303.00M,1.025B,-93.00M,,932.00M,,382.00M,-332.00M,,11.00M,46.00M
2008-11,-706.00M,,,,,14.00M,,,594.00M,594.00M,,,,,286.00M,138.00M,39.00M,,-67.00M,78.00M,-17.00M,171.00M,,359.00M,-270.00M,6.00M,-264.00M,,121.00M,-346.00M,-489.00M,,122.00M,,,,-150.00M,,-60.00M,-88.00M,1.243B,-218.00M,,1.025B,,,,,,
2008-08,-344.00M,,4.00M,,0.00,-7.00M,,,532.00M,532.00M,,,0.00,,191.00M,-37.00M,-42.00M,,-44.00M,-6.00M,,-129.00M,,243.00M,-720.00M,12.00M,-708.00M,,-90.00M,-5.00M,-803.00M,285.00M,285.00M,0.00,,0.00,-203.00M,,247.00M,329.00M,1.474B,-231.00M,,1.243B,0.00,330.00M,-45.00M,,12.00M,25.00M
2008-05,-236.00M,,-70.00M,,0.00,-37.00M,,,513.00M,513.00M,3.00M,,463.00M,,-405.00M,-96.00M,-4.00M,,20.00M,-4.00M,,-84.00M,,217.00M,-503.00M,41.00M,-462.00M,,26.00M,72.00M,-364.00M,-146.00M,-59.00M,1.00M,,1.00M,203.00M,,-232.00M,-87.00M,1.708B,-234.00M,,1.474B,1.00M,507.00M,-653.00M,,24.00M,59.00M
2008-02,-777.00M,,,,,-22.00M,,,511.00M,511.00M,-3.00M,,,,491.00M,187.00M,-21.00M,,-62.00M,,-22.00M,82.00M,,282.00M,-541.00M,70.00M,-471.00M,,7.00M,-21.00M,-519.00M,,125.00M,1.00M,,1.00M,,,-61.00M,65.00M,1.88B,-172.00M,,1.708B,1.00M,,,,,
2007-11,-262.00M,,,,,-10.00M,,,504.00M,504.00M,,,,,81.00M,-80.00M,27.00M,,-6.00M,,22.00M,-37.00M,,276.00M,-765.00M,64.00M,-701.00M,,261.00M,,-406.00M,,-212.00M,2.00M,,2.00M,,,28.00M,-182.00M,2.192B,-312.00M,,1.88B,2.00M,,,,,
2007-08,-158.00M,,,,,47.00M,,,474.00M,474.00M,-9.00M,,,,-4.00M,-153.00M,-104.00M,,55.00M,,,-206.00M,,144.00M,-752.00M,75.00M,-677.00M,0.00,-162.00M,-39.00M,-878.00M,,-392.00M,14.00M,,14.00M,,,637.00M,259.00M,2.667B,-475.00M,,2.192B,14.00M,,,,,
2007-05,-225.00M,,,,,98.00M,,,444.00M,444.00M,4.00M,,,,20.00M,99.00M,-156.00M,,-118.00M,,-89.00M,-264.00M,,77.00M,-671.00M,-5.00M,-676.00M,-73.00M,365.00M,66.00M,-318.00M,,1.603B,5.00M,,5.00M,,,-266.00M,1.342B,1.566B,1.101B,,2.667B,5.00M,,,,,
2007-02,-52.00M,,,,,-36.00M,,,420.00M,420.00M,-5.00M,,,,0.00,61.00M,-180.00M,,-10.00M,,89.00M,-40.00M,,287.00M,-1.081B,13.00M,-1.068B,,706.00M,-65.00M,-427.00M,,-48.00M,9.00M,,9.00M,,,442.00M,403.00M,1.303B,263.00M,,1.566B,9.00M,,,,,
2006-11,115.00M,,,,,6.00M,,,380.00M,380.00M,-1.00M,,,,10.00M,-2.00M,-151.00M,,72.00M,,,-81.00M,,429.00M,-1.099B,41.00M,-1.058B,,321.00M,-31.00M,-768.00M,,-56.00M,41.00M,,41.00M,,,226.00M,211.00M,1.431B,-128.00M,,1.303B,41.00M,,,,,
