,NetIncome,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",AmortizationofSecurities,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2010-03,,,1.351M,1.351M,12.42M,12.42M,1.25M,,0.919M,5.583M,0.352M,0.512M,-5.473M,-0.898M,,-5.507M,16.02M,,-9.118M,,-3.099M,15.75M,-1.057M,6.246M,11.82M,,-40.78M,,-40.78M,,,,,,-10.61M,-10.61M,0.487M,-0.149M,-51.05M,,131.95M,-23.21M,108.74M,,,7.442M,-48.22M,,,,,AOR,Restated
2009-12,7.438M,,1.303M,-0.449M,13.24M,13.24M,3.138M,,0.857M,-1.728M,-1.737M,-5.851M,3.934M,-0.487M,,-7.426M,15.07M,,-38.53M,,-33.88M,-4.652M,85.89M,-64.40M,-17.05M,,142.70M,,54.96M,,,,,,-11.27M,-11.27M,0.00,-10.75M,32.94M,,100.99M,30.96M,131.95M,,,59.68M,83.02M,,,64.18M,,AOR,Restated
2009-09,7.574M,,1.529M,1.529M,13.80M,13.80M,1.097M,,0.792M,0.452M,-6.304M,5.938M,-4.399M,-3.516M,,-8.281M,16.96M,,-0.328M,,-0.328M,0.00,-19.37M,-1.156M,-20.85M,,-23.32M,,-23.32M,,,,,,0.00,0.00,0.00,-3.345M,-26.67M,,131.55M,-30.56M,100.99M,,,105.33M,-128.65M,,,-30.93M,,AOR,Restated
2009-06,-6.681M,,1.596M,-2.097M,12.84M,12.84M,0.998M,,1.261M,19.45M,-0.631M,-0.281M,0.148M,5.511M,,4.747M,30.51M,,-0.264M,,-0.264M,4.652M,-31.20M,-6.05M,-32.86M,,80.86M,,80.86M,,,,,,0.00,0.00,0.00,-1.437M,79.42M,,54.48M,77.07M,131.55M,,,126.96M,-46.10M,,,30.93M,,AOR,Restated
2009-03,30.76M,,1.54M,-20.94M,12.52M,12.52M,0.883M,,0.899M,0.841M,-3.675M,-1.481M,0.317M,-1.508M,,-6.347M,18.62M,,-0.207M,,-0.207M,0.00,-37.25M,3.811M,-33.64M,,29.81M,,29.81M,,,,,,-21.53M,-21.53M,0.00,-2.752M,5.531M,,63.97M,-9.494M,54.48M,,,150.59M,-120.78M,,,,,AOR,Restated
2008-12,17.08M,0.00,1.175M,-5.136M,13.93M,13.93M,0.956M,,0.696M,1.009M,-1.501M,-1.703M,-6.102M,3.135M,,-6.171M,22.36M,,-0.974M,,-0.974M,,-92.97M,0.035M,-93.91M,,3.773M,,3.773M,43.88M,,43.88M,,,-21.45M,-21.45M,-0.013M,-2.751M,23.44M,,112.08M,-48.10M,63.97M,,43.88M,38.24M,-34.47M,,,-42.16M,,AOR,Restated
2008-09,11.89M,0.00,1.601M,1.601M,12.36M,12.36M,0.932M,,0.82M,1.098M,-2.623M,2.875M,-2.537M,-0.501M,,-2.786M,25.91M,,-0.483M,,-0.483M,,-76.34M,-1.113M,-77.94M,,-0.651M,,-0.651M,0.00,,0.00,,,-20.58M,-20.58M,1.045M,-1.537M,-21.73M,,185.84M,-73.76M,112.08M,,0.00,0.679M,-1.33M,,,10.65M,,AOR,Restated
2008-06,8.342M,0.00,1.176M,1.176M,11.70M,11.70M,0.847M,,1.184M,2.651M,0.291M,-1.178M,0.422M,0.488M,,0.023M,25.92M,,-0.538M,,-0.538M,,-47.17M,-2.939M,-50.65M,,-19.03M,-1.182M,-20.21M,232.72M,,232.72M,,,-20.48M,-20.48M,0.238M,-2.708M,189.55M,,21.01M,164.83M,185.84M,,232.72M,2.202M,-22.41M,,,18.49M,,AOR,Restated
2008-03,6.042M,1.415M,1.224M,2.639M,11.58M,11.58M,0.861M,,0.80M,1.029M,-2.143M,3.441M,-0.947M,0.896M,,1.247M,24.20M,,-0.347M,,-0.347M,,-1.869M,0.236M,-1.98M,,-1.095M,1.182M,0.087M,,,,,,-16.60M,-16.60M,0.634M,-2.703M,-18.59M,,17.38M,3.633M,21.01M,,,1.182M,-1.095M,,,13.02M,,AOR,Restated
2007-12,9.591M,,1.104M,2.337M,11.28M,11.28M,0.852M,0.00,0.514M,1.366M,1.07M,-2.605M,-0.456M,-0.107M,,-2.098M,22.48M,,-0.236M,,-0.236M,,-34.53M,2.193M,-32.57M,,13.37M,,13.37M,0.00,,0.00,0.00,0.00,-16.45M,-16.45M,0.382M,-11.66M,-14.36M,,41.83M,-24.45M,17.38M,,0.00,6.657M,6.711M,0.00,,-37.76M,,AOR,Restated
