,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
1991-06,718.20M,,718.20M,,1.460B,,,,999.90M,,,895.00M,4.074B,,,,,,5.053B,-2.024B,3.029B,,,,,1.540B,4.569B,8.642B,,1.109B,,,1.109B,,1.109B,,,444.10M,444.10M,979.10M,2.532B,538.00M,538.00M,661.00M,661.00M,546.10M,,1.199B,3.731B,,,6.994B,,,,,,4.365B,,,
1991-03,779.20M,,779.20M,,1.268B,,,,924.10M,,,826.50M,3.798B,,,,,,4.821B,-1.968B,2.853B,,,,,1.630B,4.484B,8.282B,,1.082B,,,1.082B,,1.082B,,,745.30M,745.30M,1.068B,2.896B,121.00M,121.00M,664.70M,664.70M,543.50M,,785.70M,3.682B,,,6.654B,,,,,,4.056B,,,
1990-12,806.40M,,806.40M,,1.346B,,,,892.60M,,,721.50M,3.766B,,,,,,4.630B,-1.909B,2.722B,,,,,1.542B,4.264B,8.030B,,1.138B,,,1.138B,,1.138B,,,793.00M,793.00M,895.70M,2.827B,124.10M,124.10M,694.90M,694.90M,549.30M,,819.00M,3.646B,,,6.387B,,,,,,3.834B,,,
1990-09,647.60M,,647.60M,,1.927B,,,,859.60M,,,311.60M,3.746B,,,,,,4.385B,-1.862B,2.523B,,,,,1.503B,4.025B,7.772B,,1.106B,,,1.106B,,1.106B,,,715.00M,715.00M,847.60M,2.668B,124.60M,124.60M,710.50M,710.50M,534.90M,,835.10M,3.503B,,,6.162B,,,,,,3.733B,,,
1990-06,560.80M,,560.80M,,1.817B,,,,842.30M,,,279.90M,3.500B,,,,,,4.218B,-1.805B,2.413B,,,,,1.436B,3.849B,7.349B,,957.30M,,,957.30M,,957.30M,,,618.50M,618.50M,756.80M,2.333B,123.90M,123.90M,725.90M,725.90M,480.40M,,849.80M,3.182B,,,5.915B,,,,,,3.686B,,,
1990-03,508.70M,,508.70M,,1.671B,,,,789.70M,,,232.60M,3.202B,,,,,,4.093B,-1.753B,2.340B,,,,,1.363B,3.703B,6.905B,,887.50M,,,887.50M,,887.50M,,,441.20M,441.20M,787.20M,2.116B,117.60M,117.60M,702.60M,702.60M,474.30M,,820.20M,2.936B,,,5.621B,,,,,,3.494B,,,
1989-12,685.10M,,685.10M,,1.266B,,,,779.70M,,,679.40M,3.410B,,,,,,3.994B,-1.701B,2.292B,,,,,1.054B,3.347B,6.757B,,937.20M,,,937.20M,,937.20M,,,327.30M,327.30M,642.80M,1.907B,117.80M,117.80M,701.10M,701.10M,509.90M,,818.90M,2.726B,,,5.394B,,,,,,3.521B,,,
1989-09,623.80M,,623.80M,,1.149B,,,,749.20M,,,868.20M,3.391B,,,,,,3.863B,-1.660B,2.203B,,,,,913.20M,3.116B,6.506B,,797.10M,,,797.10M,,797.10M,,,,,1.064B,1.861B,102.00M,102.00M,699.10M,699.10M,509.20M,,801.10M,2.662B,,,5.204B,,,,,,3.335B,,,
1988-12,1.55B,,1.55B,,1.023B,,,,657.70M,,,158.80M,3.389B,,,,,,3.590B,-1.520B,2.071B,,,,,667.50M,2.738B,6.128B,,,,,,,,,,458.80M,458.80M,1.450B,1.909B,142.80M,142.80M,676.20M,676.20M,,543.70M,1.363B,3.272B,,,4.580B,,,,,,2.856B,,,
1987-12,1.148B,,1.148B,,1.076B,,,,659.60M,,,122.60M,3.007B,,,,,,3.337B,-1.389B,1.948B,,,,,725.10M,2.673B,5.68B,,,,,,,,,,850.80M,850.80M,1.358B,2.209B,167.40M,167.40M,652.20M,652.20M,,535.10M,1.355B,3.563B,,,3.920B,,,,,,2.117B,,,
1986-12,965.80M,,965.80M,,906.70M,,,,579.80M,,,59.00M,2.511B,,,,,,3.154B,-1.248B,1.906B,,,,,687.70M,2.594B,5.105B,,,,,,,,,,372.90M,372.90M,1.044B,1.417B,167.50M,167.50M,542.30M,542.30M,,409.30M,1.119B,2.536B,,,3.379B,,,,,,2.569B,,,
1985-12,842.00M,,842.00M,,864.30M,,,,544.90M,,,58.80M,2.31B,,,,,,2.990B,-1.107B,1.883B,,97.10M,97.10M,,612.30M,2.592B,4.902B,,,,,,,,,,330.00M,330.00M,873.40M,1.203B,170.80M,170.80M,572.90M,572.90M,,321.10M,1.065B,2.268B,,,2.981B,,,,,,2.634B,,,
1984-12,744.30M,,744.30M,,811.80M,,,,566.20M,,,57.40M,2.180B,,,,,,2.988B,-1.075B,1.913B,,100.90M,100.90M,,397.20M,2.411B,4.591B,,,,,,,,,,408.80M,408.80M,694.40M,1.103B,179.10M,179.10M,480.60M,480.60M,,283.50M,943.20M,2.046B,,,2.677B,,,,,,2.544B,,,
