,NetIncome,Gain/LossonSaleBusiness,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),BeginningCash,ChangeinCash,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,SECFilingLinks,AsOriginallyReported
2009-06,265.00M,,,,,224.00M,153.00M,,-432.00M,267.00M,63.00M,-132.00M,,,229.00M,427.00M,,637.00M,,2009-06,-432.00M,,-14.00M,-1.571B,62.00M,-1.955B,,2009-06,-1.00M,,,,,-162.00M,-81.00M,,5.00M,-77.00M,,2009-06,2.967B,-1.395B,1.568B,,2009-06,,,,216.00M,25.00M,,2009-06,AOR
2009-03,380.00M,,,,,215.00M,,,-274.00M,372.00M,-65.00M,-18.00M,,,-229.00M,60.00M,,381.00M,,2009-03,-518.00M,,0.00,53.00M,,-465.00M,,2009-03,1.976B,,,,,,-81.00M,,42.00M,1.937B,,2009-03,1.124B,1.853B,2.967B,,2009-03,,,,128.00M,66.00M,,2009-03,AOR
2008-12,866.00M,,,,,203.00M,-14.00M,,,-42.00M,-3.00M,-43.00M,,,60.00M,-28.00M,,1.027B,,2008-12,-519.00M,191.00M,-244.00M,41.00M,-96.00M,-627.00M,,2008-12,-154.00M,,,-3.00M,-3.00M,,-80.00M,,-1.00M,-238.00M,,2008-12,973.00M,162.00M,1.124B,,2008-12,,-152.00M,-3.00M,319.00M,26.00M,,2008-12,AOR
2008-09,675.00M,,,,,193.00M,113.00M,,,-218.00M,-88.00M,24.00M,,,-37.00M,-319.00M,,662.00M,,2008-09,-468.00M,,-258.00M,-58.00M,96.00M,-688.00M,,2008-09,-707.00M,,,-123.00M,-123.00M,,-81.00M,,41.00M,-870.00M,,2008-09,1.88B,-896.00M,973.00M,,2008-09,,-1.896B,-123.00M,265.00M,45.00M,,2008-09,
2008-06,517.00M,36.00M,,36.00M,,178.00M,-19.00M,-23.00M,-23.00M,-296.00M,-80.00M,43.00M,,,104.00M,-229.00M,,460.00M,,2008-06,-445.00M,-43.00M,-150.00M,74.00M,,-564.00M,,2008-06,0.00,,,-13.00M,-13.00M,,-78.00M,-35.00M,116.00M,-10.00M,,2008-06,1.994B,-114.00M,1.88B,,2008-06,,,-13.00M,378.00M,26.00M,,2008-06,
2008-03,580.00M,-36.00M,,-36.00M,,164.00M,174.00M,23.00M,23.00M,-114.00M,-197.00M,137.00M,,,-206.00M,-380.00M,,525.00M,,2008-03,-392.00M,43.00M,,372.00M,,23.00M,,2008-03,0.00,,,-368.00M,-368.00M,,-80.00M,35.00M,8.00M,-405.00M,,2008-03,1.847B,143.00M,1.994B,,2008-03,,,-368.00M,95.00M,46.00M,,2008-03,
2007-12,-285.00M,,,-1.00M,-417.00M,166.00M,-58.00M,,,-8.00M,102.00M,-32.00M,,,33.00M,95.00M,1.045B,962.00M,,2007-12,-1.082B,1.143B,-944.00M,744.00M,21.00M,-1.182B,,2007-12,,,-92.00M,-71.00M,-163.00M,,-79.00M,,15.00M,-119.00M,,2007-12,735.00M,-339.00M,1.847B,,2007-12,-92.00M,,-71.00M,,,,2007-12,
2007-09,727.00M,,,-1.00M,146.00M,146.00M,-77.00M,,,-93.00M,-57.00M,-49.00M,,,143.00M,-56.00M,0.00,739.00M,,2007-09,-382.00M,-342.00M,-322.00M,-216.00M,-57.00M,-937.00M,,2007-09,,,39.00M,-377.00M,-338.00M,,-78.00M,,4.00M,-414.00M,,2007-09,1.348B,-612.00M,735.00M,,2007-09,39.00M,,-377.00M,,,,2007-09,
2007-06,1.53B,,,-49.00M,140.00M,140.00M,-18.00M,,,-161.00M,-69.00M,83.00M,,,-24.00M,-171.00M,-848.00M,584.00M,,2007-06,-379.00M,-334.00M,55.00M,-8.00M,39.00M,-248.00M,,2007-06,,,15.00M,-918.00M,-903.00M,,-82.00M,,7.00M,-989.00M,,2007-06,3.473B,-653.00M,1.348B,,2007-06,15.00M,,-918.00M,,,,2007-06,
2007-03,552.00M,,,-1.00M,131.00M,131.00M,13.00M,,,-64.00M,-194.00M,75.00M,,,95.00M,-88.00M,-166.00M,441.00M,,2007-03,-303.00M,-264.00M,-180.00M,-834.00M,-3.00M,-1.294B,,2007-03,,,38.00M,-8.00M,30.00M,,-75.00M,,7.00M,-48.00M,,2007-03,4.379B,-901.00M,3.473B,,2007-03,38.00M,,-8.00M,,,,2007-03,
