,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,TreasuryStock,PreferredStock,MinimumPensionLiabilities,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
1995-03,461.00M,461.00M,,,3.612B,,,,,3.174B,,,1.154B,8.401B,,,,,,,10.25B,-5.764B,4.489B,,,,,,,2.805B,7.294B,15.70B,,1.823B,,1.823B,,1.823B,,,664.00M,,664.00M,,,3.966B,6.453B,1.885B,,1.885B,,,,,,,3.196B,5.081B,11.53B,,357.00M,2.856B,,357.00M,,,,,4.161B,,,
1994-12,386.00M,386.00M,3.745B,,3.745B,,,,,2.955B,,,1.142B,8.228B,,,,,,,10.19B,-5.661B,4.532B,,,,,,,2.864B,7.396B,15.62B,,1.924B,,1.924B,,1.924B,,,558.00M,,558.00M,,,4.071B,6.553B,1.885B,,1.885B,196.00M,,196.00M,,400.00M,,2.499B,4.58B,11.13B,,339.00M,2.79B,,339.00M,,,,,4.091B,,,
1994-09,544.00M,544.00M,,,3.439B,,,,,3.139B,,,781.00M,7.903B,,,,,,,10.18B,-5.704B,4.48B,,,,,,,3.313B,7.793B,15.70B,,1.613B,,1.613B,,1.613B,,,914.00M,,914.00M,,,4.117B,6.644B,1.894B,,1.894B,195.00M,,195.00M,,,,2.965B,5.054B,11.70B,,228.00M,2.73B,,228.00M,,,,,3.998B,,,
1994-06,567.00M,567.00M,,,3.454B,,,,,3.276B,,,930.00M,8.227B,,,,,,,9.983B,-5.516B,4.467B,,,,,,,3.152B,7.619B,15.85B,,1.599B,,1.599B,,1.599B,,,1.236B,,1.236B,,,3.991B,6.826B,1.954B,,1.954B,198.00M,,198.00M,,,,2.977B,5.129B,11.96B,,184.00M,2.609B,,184.00M,,,,,3.891B,,,
1994-03,399.00M,399.00M,,,3.011B,,,,,3.432B,,,1.035B,7.877B,,,,,,,9.907B,-5.394B,4.513B,,,,,,,3.264B,7.777B,15.65B,,1.525B,,1.525B,,1.525B,,,1.149B,,1.149B,,,4.125B,6.799B,1.937B,,1.937B,173.00M,,173.00M,,,,2.931B,5.041B,11.84B,,179.00M,2.504B,,179.00M,,,,,3.814B,,,
1993-12,421.00M,421.00M,2.981B,,2.981B,,,,,3.153B,,,1.151B,7.706B,,,,,,,9.796B,-5.231B,4.565B,,544.00M,544.00M,,,,2.803B,7.912B,15.62B,,1.815B,,1.815B,,1.815B,,,1.02B,,1.02B,,,4.085B,6.92B,1.939B,,1.939B,177.00M,,177.00M,,369.00M,,2.439B,4.555B,11.48B,,176.00M,2.466B,,176.00M,,,,,3.774B,,,
1993-09,254.00M,254.00M,,,2.976B,,,,,3.284B,,,823.00M,7.337B,,,,,,,9.84B,-5.304B,4.536B,,,,,,,3.584B,8.12B,15.46B,,1.152B,,1.152B,,1.152B,,,,,,,,5.554B,6.706B,2.03B,,2.03B,165.00M,,165.00M,,,,2.922B,5.117B,11.82B,,149.00M,2.399B,,149.00M,,,,,3.634B,,,
1993-06,330.00M,330.00M,,,3.239B,,,,,3.482B,,,933.00M,7.984B,,,,,,,9.811B,-5.218B,4.593B,,,,,,,3.305B,7.898B,15.88B,,1.62B,,1.62B,,1.62B,,,1.418B,,1.418B,,,4.119B,7.157B,2.044B,,2.044B,185.00M,,185.00M,,,,2.901B,5.13B,12.29B,,149.00M,2.309B,,149.00M,,,,,3.595B,,,
1993-03,351.00M,351.00M,,,3.347B,,,,,3.639B,,,950.00M,8.287B,,,,,,,9.639B,-5.067B,4.572B,,,,,,,3.293B,7.865B,16.15B,,1.74B,,1.74B,,1.74B,,,1.536B,,1.536B,,,4.002B,7.278B,2.252B,,2.252B,172.00M,,172.00M,,,,2.961B,5.385B,12.66B,,149.00M,2.245B,,149.00M,,,,,3.489B,,,
1992-12,354.00M,354.00M,3.135B,,3.135B,,,,,3.508B,,,1.104B,8.101B,,,,,,,9.53B,-4.928B,4.602B,,577.00M,577.00M,,,,2.648B,7.827B,15.93B,,2.097B,,2.097B,,2.097B,,,788.00M,,788.00M,,,4.152B,7.037B,2.358B,,2.358B,186.00M,,186.00M,,346.00M,,2.48B,5.024B,12.06B,,151.00M,2.247B,,151.00M,,,,,3.521B,,,
1992-09,246.00M,246.00M,,,3.764B,,,,,3.96B,,,971.00M,8.941B,,,,,,,9.751B,-5.076B,4.675B,,,,,,,2.492B,7.167B,16.11B,,1.757B,,1.757B,,1.757B,,,1.059B,,1.059B,,,4.04B,6.856B,2.395B,,2.395B,102.00M,,102.00M,,,,2.365B,4.862B,11.72B,,126.00M,2.996B,,126.00M,,,,,4.39B,,,
1992-06,197.00M,197.00M,,,3.815B,,,,,3.957B,,,1.118B,9.087B,,,,,,,9.532B,-4.917B,4.615B,,,,,,,2.51B,7.125B,16.21B,,1.81B,,1.81B,,1.81B,,,1.031B,,1.031B,,,4.175B,7.016B,2.467B,,2.467B,212.00M,,212.00M,,,,2.261B,4.94B,11.96B,,126.00M,2.92B,,126.00M,,,,,4.256B,,,
1992-03,209.00M,209.00M,,,3.532B,,,,,4.045B,,,1.087B,8.873B,,,,,,,9.395B,-4.779B,4.616B,,,,,,,2.447B,7.063B,15.94B,,1.677B,,1.677B,,1.677B,,,669.00M,,669.00M,,,4.249B,6.595B,2.821B,,2.821B,168.00M,,168.00M,,,,2.189B,5.178B,11.77B,,126.00M,2.819B,,126.00M,,,,,4.163B,,,
1991-12,523.00M,523.00M,,,3.371B,,,,,3.902B,,,1.135B,8.931B,,,,,,,9.233B,-4.626B,4.607B,,630.00M,630.00M,,,,1.817B,7.054B,15.98B,,1.839B,,1.839B,,1.839B,,,490.00M,,490.00M,,,4.248B,6.577B,2.903B,,2.903B,230.00M,,230.00M,,335.00M,,1.853B,4.986B,11.56B,,126.00M,2.787B,,126.00M,,,,,4.087B,,,
1991-09,566.00M,566.00M,,,3.486B,,,,,4.035B,,,971.90M,9.059B,,,,,,,9.105B,-4.578B,4.527B,,,,,,,2.571B,7.098B,16.16B,,1.631B,,1.631B,,1.631B,,,912.10M,,912.10M,,,3.607B,6.150B,3.000B,,3.000B,369.30M,,369.30M,,,,1.291B,4.661B,10.81B,,81.40M,4.100B,,81.40M,,,,,5.347B,,,
1991-06,419.30M,419.30M,,,3.625B,,,,,4.148B,,,964.10M,9.157B,,,,,,,8.835B,-4.430B,4.405B,,,,,,,2.569B,6.974B,16.13B,,1.617B,,1.617B,,1.617B,,,1.034B,,1.034B,,,3.642B,6.293B,2.972B,,2.972B,347.00M,,347.00M,,,,1.231B,4.551B,10.84B,,81.40M,4.045B,,81.40M,,,,,5.287B,,,
1991-03,186.80M,186.80M,,,3.670B,,,,,4.210B,,,1.051B,9.117B,,,,,,,8.753B,-4.333B,4.420B,,,,,,,2.533B,6.953B,16.07B,,1.617B,,1.617B,,1.617B,,,1.051B,,1.051B,,,3.456B,6.125B,2.960B,,2.960B,367.10M,,367.10M,,,,1.228B,4.554B,10.68B,,81.40M,4.065B,,81.40M,,,,,5.391B,,,
1990-12,200.80M,200.80M,,,3.814B,,,,,4.044B,,,953.30M,9.012B,,,,,,,8.589B,-4.193B,4.396B,,700.80M,700.80M,,,,1.809B,6.906B,15.92B,,1.948B,,1.948B,,1.948B,,,660.10M,,660.10M,,,3.343B,5.951B,2.902B,,2.902B,352.80M,,352.80M,,323.40M,,964.50M,4.219B,10.17B,,81.40M,4.090B,,81.40M,,,,,5.424B,,,
1990-09,271.80M,271.80M,,,3.832B,,,,,4.145B,,,729.90M,8.979B,,,,,,,8.362B,-4.183B,4.179B,,,,,,,2.282B,6.462B,15.44B,,1.589B,,1.589B,,1.589B,,,987.00M,,987.00M,,,3.270B,5.846B,2.638B,,2.638B,379.70M,,379.70M,,,,1.367B,4.384B,10.23B,,,3.985B,,,,,,,5.211B,,,
1990-06,284.20M,284.20M,,,3.879B,,,,,4.163B,,,764.10M,9.090B,,,,,,,8.087B,-4.036B,4.051B,,,,,,,2.222B,6.273B,15.36B,,1.510B,,1.510B,,1.510B,,,1.578B,,1.578B,,,3.103B,6.192B,2.644B,,2.644B,377.70M,,377.70M,,,,1.165B,4.187B,10.38B,,,3.810B,,,,,,,4.984B,,,
1990-03,247.40M,247.40M,,,3.434B,,,,,4.132B,,,818.40M,8.632B,,,,,,,7.934B,-3.913B,4.021B,,,,,,,2.262B,6.283B,14.91B,,1.457B,,1.457B,,1.457B,,,1.451B,,1.451B,,,3.073B,5.980B,2.61B,,2.61B,392.00M,,392.00M,,,,1.134B,4.136B,10.12B,,0.90M,3.668B,,0.90M,,,,,4.798B,,,
1989-12,266.50M,266.50M,,,3.456B,,,,,3.911B,,,873.60M,8.507B,,,,,,,7.704B,-3.752B,3.952B,,668.00M,668.00M,,,,1.472B,6.091B,14.60B,,1.869B,,1.869B,,1.869B,,,292.60M,,292.60M,,,4.214B,6.376B,1.960B,,1.960B,404.40M,,404.40M,,276.40M,,841.40M,3.205B,9.582B,,0.90M,3.596B,,0.90M,,,,,4.740B,,,
1989-09,308.50M,308.50M,,,3.234B,,,,,4.026B,,,808.40M,8.378B,,,,,,,7.255B,-3.720B,3.534B,,,,,,,1.501B,5.035B,13.41B,,1.346B,,1.346B,,1.346B,,,1.241B,,1.241B,,,2.826B,5.412B,1.700B,,1.700B,399.10M,,399.10M,,,,993.00M,3.092B,8.505B,,0.90M,2.469B,,0.90M,,,,,4.908B,,,
1988-12,242.60M,242.60M,,,2.786B,,,,,4.201B,,,759.00M,7.989B,,,,,,,6.800B,-3.393B,3.407B,,260.90M,260.90M,,,,1.092B,4.760B,12.75B,,,,,,,,,585.50M,,585.50M,,,4.363B,4.948B,1.643B,,1.643B,371.00M,,371.00M,,,,963.90M,2.978B,7.926B,,,3.116B,,,,,,,4.822B,,,
1987-12,424.20M,424.20M,,,2.456B,,,,,3.978B,,,547.40M,7.406B,,,,,,,6.721B,-3.368B,3.353B,,274.10M,274.10M,,,,895.30M,4.523B,11.93B,,,,,,,,,545.90M,,545.90M,,,4.130B,4.676B,1.856B,,1.856B,302.20M,,302.20M,,,,802.90M,2.961B,7.638B,,,2.660B,,,,,,,4.291B,,,
1986-12,269.70M,269.70M,,,2.481B,,,,,3.608B,,,581.70M,6.940B,,,,,,,6.161B,-3.101B,3.060B,,268.50M,268.50M,,,,822.70M,4.152B,11.09B,,,,,,,,,760.20M,,760.20M,,,3.866B,4.626B,1.723B,,1.723B,227.10M,,227.10M,,,,713.60M,2.664B,7.290B,,,2.281B,,,,,,,3.802B,,,
1985-12,971.80M,971.80M,,,2.179B,,,,,3.390B,,,351.90M,6.893B,,,,,,,5.419B,-2.708B,2.711B,,271.70M,271.70M,,,,652.60M,3.635B,10.53B,,,,,,,,,433.80M,,433.80M,,,3.686B,4.120B,1.289B,,1.289B,243.90M,,243.90M,,,,1.030B,2.563B,6.683B,,,2.605B,,,,,,,3.845B,,,
1984-12,224.70M,224.70M,,,2.066B,,,,,3.455B,,,74.80M,5.820B,,,,,,,5.604B,-2.618B,2.986B,,523.40M,523.40M,,,,574.70M,4.084B,9.904B,,,,,,,,,491.40M,,491.40M,,,3.262B,3.753B,1.178B,,1.178B,314.50M,,314.50M,,,,1.016B,2.509B,6.262B,,,2.520B,,,,,,,3.642B,,,
