,OperatingRevenue,Revenue,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2009-03,2.132B,2.132B,,,,-604.00M,,0.00,,-604.00M,,0.00,86.00M,0.00,-663.00M,-76.00M,-587.00M,8.00M,,,,-579.00M,-52.24M,-19.00M,-663.00M,,-2.30,0.03,,-0.2075,-2.27,,-2.30,0.03,,-0.2256,-2.27,,255.56M,257.79M,0.01,,AOR,Restated
2008-12,2.153B,2.153B,,,,-206.00M,72.00M,-72.00M,,-206.00M,72.00M,-72.00M,99.00M,-72.00M,-792.00M,-289.00M,-503.00M,-2.00M,,,,-505.00M,-372.17M,-19.00M,-720.00M,,-1.95,-0.01,,-1.438,-1.96,,-1.95,-0.01,,-1.442,-1.96,,255.42M,257.68M,0.625,,AOR,Restated
2008-09,2.27B,2.27B,,,,0.00,69.00M,-69.00M,,0.00,69.00M,-69.00M,122.00M,-69.00M,121.00M,-8.00M,129.00M,19.00M,,,,148.00M,129.00M,-19.00M,190.00M,,0.51,0.07,,0.51,0.58,,0.51,0.07,,0.51,0.58,,255.87M,257.65M,0.415,,AOR,Restated
2008-06,2.493B,2.493B,,,,-175.00M,65.00M,-65.00M,,-175.00M,65.00M,-65.00M,146.00M,-65.00M,180.00M,68.00M,112.00M,13.00M,,,,125.00M,220.89M,-19.00M,245.00M,,0.43,0.05,,0.8524,0.48,,0.43,0.05,,0.8494,0.48,,257.79M,259.62M,0.415,,AOR,Restated
2008-03,2.594B,2.594B,,,,0.00,76.00M,-76.00M,,0.00,76.00M,-76.00M,146.00M,-76.00M,418.00M,125.00M,293.00M,-4.00M,,,,289.00M,293.00M,-19.00M,494.00M,,1.13,-0.02,,1.13,1.11,,1.12,-0.02,,1.12,1.10,,260.95M,262.76M,0.415,,AOR,Restated
2007-12,2.582B,2.582B,,,,0.00,80.00M,-80.00M,,0.00,80.00M,-80.00M,172.00M,-80.00M,343.00M,103.00M,240.00M,-127.00M,,,,113.00M,240.00M,-18.00M,423.00M,,0.91,-0.47,,0.91,0.44,,0.89,-0.47,,0.89,0.43,,266.41M,269.33M,0.00,,AOR,Restated
2007-09,2.601B,2.601B,,,,0.00,69.00M,-69.00M,,0.00,69.00M,-69.00M,169.00M,-69.00M,448.00M,125.00M,323.00M,7.00M,,,,330.00M,323.00M,-35.00M,517.00M,,1.20,0.02,,1.20,1.22,,1.19,0.02,,1.19,1.21,,269.40M,272.49M,0.395,,AOR,Restated
2007-06,2.671B,2.671B,,,,0.00,73.00M,-73.00M,,0.00,73.00M,-73.00M,181.00M,-73.00M,525.00M,155.00M,370.00M,6.00M,,,,376.00M,370.00M,,598.00M,,1.37,0.02,,1.37,1.39,,1.35,0.02,,1.35,1.37,,270.57M,274.40M,0.395,,AOR,Restated
2007-03,2.628B,2.628B,,,,,605.00M,-605.00M,61.00M,61.00M,605.00M,-605.00M,1.053B,-605.00M,558.00M,170.00M,388.00M,8.00M,,,,396.00M,388.00M,,1.163B,,1.41,0.03,,1.41,1.44,,1.39,0.03,,1.39,1.42,,275.00M,278.87M,0.79,,AOR,Restated
2006-12,2.557B,2.557B,,,,,,,,,,,-2.023B,,498.00M,137.00M,361.00M,,,,,382.00M,361.00M,17.00M,498.00M,,1.31,0.08,,1.31,1.39,,1.29,0.08,,1.29,1.37,,275.94M,279.46M,0.38,,AOR,Restated
