,NetIncome,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2010-06,99.60M,,,316.80M,151.40M,151.40M,,-20.20M,16.50M,112.70M,101.10M,,,35.60M,265.90M,514.10M,,-186.20M,,-186.20M,,-218.60M,351.30M,-53.50M,,91.70M,-386.50M,-294.80M,-3.60M,,-3.60M,,-32.70M,,7.60M,-323.50M,,1.855B,137.10M,-93.70M,1.898B,,-3.60M,627.80M,-536.10M,,,AOR,Restated
2010-03,68.30M,,,,165.40M,165.40M,,-18.90M,-0.50M,,,,,52.70M,52.20M,285.40M,,-189.10M,,-189.10M,,141.20M,88.40M,40.50M,,10.00M,-331.60M,-321.60M,3.60M,,3.60M,,-32.80M,,,-350.80M,,1.912B,-24.90M,-32.40M,1.855B,,3.60M,13.20M,-3.20M,,,AOR,Restated
2009-12,46.10M,,-176.60M,164.50M,164.50M,164.50M,,70.30M,310.00M,,,,,143.60M,235.20M,509.30M,,-358.50M,,-358.50M,,21.40M,253.10M,-84.00M,,-18.60M,-267.40M,-286.00M,,,,,-32.70M,,6.30M,-312.40M,,1.799B,112.90M,-0.10M,1.912B,,,267.20M,-285.80M,,,AOR,Restated
2009-09,13.00M,,-18.30M,173.00M,173.00M,173.00M,,-21.40M,81.00M,,,,,200.10M,281.10M,454.00M,,-283.50M,,-283.50M,,-74.30M,262.60M,-95.20M,,-570.60M,107.70M,-462.90M,,,,,-32.70M,,5.60M,-490.00M,,1.870B,-131.20M,60.70M,1.799B,,,150.90M,-721.50M,,,AOR,Restated
2009-06,26.50M,,-47.70M,159.40M,159.40M,159.40M,,17.50M,208.80M,,,,,-74.40M,134.40M,319.20M,,-216.10M,,-216.10M,,12.30M,341.50M,137.70M,,-810.90M,274.20M,-536.70M,,,,,-65.40M,,-1.30M,-603.40M,,1.925B,-146.50M,91.30M,1.870B,,,12.10M,-823.00M,,,AOR,Restated
2009-03,26.30M,,,154.80M,154.80M,154.80M,,-28.30M,205.20M,,,,,-292.20M,-87.00M,90.80M,,-112.90M,,-112.90M,,-2.20M,467.20M,352.10M,,588.20M,-904.30M,-316.10M,,,,,-101.30M,,7.00M,-410.40M,,1.955B,32.50M,-62.80M,1.925B,,,942.80M,-354.60M,,,AOR,Restated
2008-12,113.10M,11.10M,11.10M,167.20M,167.20M,167.20M,,-29.00M,182.10M,,,,,67.50M,-74.90M,345.40M,,-408.20M,,-408.20M,,362.50M,340.80M,295.10M,,39.10M,-3.80M,35.30M,,-0.10M,-0.10M,,-65.30M,,0.30M,-29.80M,,1.396B,610.70M,-51.20M,1.955B,,,195.00M,-155.90M,-0.10M,,,Restated
2008-09,299.00M,-4.30M,-4.30M,166.80M,166.80M,166.80M,,22.80M,-367.60M,,,,,55.00M,-312.60M,205.90M,,-459.30M,,-459.30M,,19.30M,228.80M,-211.20M,,-219.90M,146.80M,-73.10M,,-38.20M,-38.20M,,-65.30M,,2.30M,-174.30M,,1.688B,-179.60M,-112.70M,1.396B,,,73.30M,-293.20M,-38.20M,,,Restated
2008-06,313.50M,-6.80M,-6.80M,164.50M,164.50M,164.50M,,-12.90M,-9.40M,,,,,-104.10M,-113.50M,386.60M,,-595.70M,,-595.70M,211.60M,-94.90M,96.20M,-382.80M,,930.20M,-845.30M,84.90M,-6.90M,-88.10M,-95.00M,,-65.60M,,8.90M,-66.80M,,1.740B,-63.00M,11.40M,1.688B,,-6.90M,702.30M,7.60M,-88.10M,,,Restated
2008-03,292.30M,,,150.90M,150.90M,150.90M,,18.00M,-54.10M,,,,,-40.10M,-94.20M,367.00M,,-86.80M,,-86.80M,-211.60M,285.20M,60.20M,47.00M,,-287.20M,220.30M,-66.90M,6.90M,-104.20M,-97.30M,,-433.00M,,,-597.20M,,1.858B,-183.20M,64.70M,1.740B,,6.90M,220.30M,-287.20M,-104.20M,,,Restated
2007-12,261.10M,,20.80M,,148.50M,148.50M,,14.90M,299.40M,,,,,14.70M,150.90M,596.20M,,-492.70M,78.80M,-413.90M,,53.10M,27.30M,-333.50M,,,,118.20M,30.80M,-61.70M,-30.90M,,-66.30M,,-30.10M,-9.10M,,1.599B,253.60M,5.90M,1.858B,,30.80M,,,-61.70M,,,
