,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
1993-03,178.70M,,178.70M,,,949.40M,88.10M,,,,364.80M,1.581B,,,,11.90B,-4.712B,7.185B,,293.80M,293.80M,,,,8.547B,10.13B,,1.434B,,1.434B,,1.434B,,,33.40M,,33.40M,,,1.237B,2.705B,2.989B,,2.989B,70.30M,,70.30M,,,,3.059B,7.497B,,,701.40M,,,,,2.632B,,,
1992-12,310.60M,,310.60M,,,793.70M,89.70M,,,,305.30M,1.499B,,,,11.83B,-4.542B,7.285B,,295.90M,295.90M,,,,8.657B,10.16B,,1.247B,,1.247B,,1.247B,,,652.30M,,652.30M,,,1.166B,3.066B,2.491B,,2.491B,127.60M,,127.60M,,,,2.618B,7.374B,,,864.40M,,,,,2.782B,,,
1992-09,29.40M,,29.40M,,,1.084B,95.20M,,,,484.50M,1.693B,,,,11.49B,-4.432B,7.058B,,298.10M,298.10M,,,,8.413B,10.11B,,1.215B,,1.215B,,1.215B,,,374.30M,,374.30M,,,1.419B,3.008B,2.321B,,2.321B,177.60M,,177.60M,,,,2.499B,7.177B,,,1.030B,,,,,2.929B,,,
1992-06,50.40M,,50.40M,,,1.091B,88.50M,,,,468.80M,1.698B,,,,11.40B,-4.308B,7.093B,,300.30M,300.30M,,,,8.463B,10.16B,,956.70M,,956.70M,,956.70M,,,822.50M,,822.50M,,,1.764B,3.543B,2.833B,,2.833B,244.90M,,244.90M,,,,3.078B,8.196B,,,1.177B,,,,,1.965B,,,
1992-03,54.30M,,54.30M,,,925.20M,82.80M,,,,410.20M,1.472B,,,,11.05B,-4.188B,6.862B,,294.50M,294.50M,,,,8.255B,9.727B,,1.163B,,1.163B,,1.163B,,,802.80M,,802.80M,,,1.238B,3.204B,2.538B,,2.538B,326.60M,,326.60M,,,,2.864B,7.568B,,,1.376B,,,,,2.160B,,,
1991-12,110.40M,,110.40M,,,674.60M,91.40M,,,,339.20M,1.216B,,,,10.53B,-4.050B,6.478B,,296.60M,296.60M,,,,7.867B,9.083B,,1.085B,,1.085B,,1.085B,,,394.60M,,394.60M,,,1.045B,2.524B,2.494B,,2.494B,288.20M,,288.20M,,,,2.782B,6.755B,,,1.548B,,,,,2.328B,,,
1991-09,444.60M,,444.60M,,,818.30M,82.30M,,,,275.50M,1.621B,,,,9.646B,-3.941B,5.705B,,298.70M,298.70M,,,,6.850B,8.471B,,981.90M,,981.90M,,981.90M,,,31.50M,,31.50M,,,1.126B,2.140B,2.048B,,2.048B,353.70M,,353.70M,,,,2.402B,5.949B,,,1.755B,,,,,2.522B,,,
1991-06,763.70M,,763.70M,,,772.60M,70.30M,,,,285.70M,1.892B,,,,9.460B,-3.819B,5.641B,,300.90M,300.90M,,,,6.518B,8.411B,,698.30M,,698.30M,,698.30M,,,79.00M,,79.00M,,,1.378B,2.156B,2.059B,,2.059B,378.20M,,378.20M,,,,2.437B,5.905B,,,1.761B,,,,,2.506B,,,
1991-03,46.80M,,46.80M,,,836.40M,67.40M,,,,198.80M,1.149B,,,,9.490B,-3.698B,5.792B,,303.00M,303.00M,,,,6.634B,7.784B,,1.071B,,1.071B,,1.071B,,,677.10M,,677.10M,,,885.70M,2.634B,1.717B,,1.717B,245.80M,,245.80M,,,,1.963B,5.764B,,,1.761B,,,,,2.020B,,,
1990-12,59.10M,,59.10M,,,556.00M,86.10M,,,,181.00M,882.20M,,,,9.255B,-3.585B,5.669B,,305.10M,305.10M,,,,6.444B,7.327B,,993.90M,,993.90M,,993.90M,,,596.50M,,596.50M,,,755.50M,2.346B,1.494B,,1.494B,311.50M,,311.50M,,,,1.805B,5.246B,,,1.863B,,,,,2.081B,,,
1990-09,32.50M,,32.50M,,,745.80M,81.80M,,,,151.20M,1.011B,,,,8.936B,-3.465B,5.471B,,307.20M,307.20M,,,,6.227B,7.238B,,1.067B,,1.067B,,1.067B,,,261.80M,,261.80M,,,802.50M,2.131B,1.308B,,1.308B,438.30M,,438.30M,,,,1.746B,4.940B,,,2.088B,,,,,2.298B,,,
1990-06,68.50M,,68.50M,,,726.10M,68.30M,,,,155.10M,1.018B,,,,8.746B,-3.347B,5.399B,,309.40M,309.40M,,,,6.209B,7.227B,,940.90M,,940.90M,,940.90M,,,105.40M,,105.40M,,,786.30M,1.833B,1.315B,,1.315B,506.00M,,506.00M,,,,1.821B,4.609B,,,2.158B,,,,,2.618B,,,
1990-03,42.90M,,42.90M,,,785.90M,66.10M,,,,150.30M,1.045B,,,,8.397B,-3.245B,5.152B,,311.50M,311.50M,,,,5.987B,7.032B,,888.60M,,888.60M,,888.60M,,,122.50M,,122.50M,,,786.10M,1.797B,1.146B,,1.146B,513.70M,,513.70M,,,,1.660B,4.312B,,,2.103B,,,,,2.720B,,,
1989-12,72.50M,,72.50M,,,605.90M,64.10M,,,,143.90M,886.40M,,,,8.123B,-3.190B,4.933B,,313.60M,313.60M,,,,5.667B,6.554B,,908.30M,,908.30M,,908.30M,,,58.80M,,58.80M,,,573.00M,1.540B,692.40M,,692.40M,552.00M,,552.00M,,,,1.244B,3.652B,,,2.091B,,,,,2.902B,,,
1989-09,437.40M,,437.40M,,,754.20M,62.50M,,,,129.30M,1.383B,,,,7.794B,-3.087B,4.707B,,315.70M,315.70M,,,,5.275B,6.659B,,945.80M,,945.80M,,945.80M,,,24.00M,,24.00M,,,767.30M,1.737B,702.10M,,702.10M,538.10M,,538.10M,,,,1.240B,3.844B,,,2.044B,,,,,2.815B,,,
1989-06,529.70M,,529.70M,,,752.20M,57.00M,,,,135.90M,1.475B,,,,7.462B,-2.984B,4.478B,,317.90M,317.90M,,,,5.009B,6.484B,,,,,,,,,16.90M,,16.90M,,,1.746B,1.763B,703.00M,,703.00M,519.10M,,519.10M,,,,1.222B,3.864B,,,1.958B,,,,,2.620B,,,
1988-06,822.80M,,822.80M,,,644.50M,52.40M,,,,131.50M,1.651B,,,,6.295B,-2.729B,3.566B,,326.30M,326.30M,,,,4.097B,5.748B,,,,,,,,,36.40M,,36.40M,,,1.356B,1.392B,729.50M,,729.50M,539.90M,,539.90M,,,,1.269B,3.540B,,,1.556B,,,,,2.209B,,,
1987-06,379.90M,,379.90M,,,626.10M,42.30M,,,,131.30M,1.180B,,,,6.093B,-2.419B,3.674B,,371.80M,371.80M,,,,4.163B,5.342B,,,,,,,,,47.20M,,47.20M,,,1.134B,1.181B,1.018B,,1.018B,590.90M,,590.90M,,,,1.609B,3.404B,,,1.308B,,,,,1.938B,,,
1986-06,61.30M,,61.30M,,,425.90M,35.50M,,,,60.20M,582.90M,,,,5.464B,-2.330B,3.134B,,,,,,,3.203B,3.786B,,,,,,,,,61.00M,,61.00M,,,685.00M,746.00M,868.60M,,868.60M,427.30M,,427.30M,,,,1.296B,2.484B,,,1.088B,,,,,1.302B,,,
1985-06,37.20M,,37.20M,,,489.30M,35.30M,,,,52.40M,614.20M,,,,5.021B,-2.039B,2.982B,,,,,,,3.013B,3.627B,,,,,,,,,171.30M,,171.30M,,,769.20M,940.50M,535.20M,,535.20M,447.90M,,447.90M,,,,983.10M,2.340B,,,1.081B,,,,,1.287B,,,
1984-06,32.90M,,32.90M,,,418.00M,35.20M,,,,30.90M,517.00M,,,,4.595B,-1.900B,2.696B,,,,,,,2.752B,3.269B,,,,,,,,,171.20M,,171.20M,,,,171.20M,690.20M,,690.20M,672.70M,,672.70M,,,,1.363B,2.220B,,,849.50M,,,,,1.049B,,,
