,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2010-03,240.89M,240.89M,78.88M,162.01M,10.68M,10.68M,,,-2.319M,,,44.09M,,-44.09M,,63.00M,99.01M,,44.09M,-44.09M,-2.213M,-44.09M,52.71M,0.286M,52.42M,-0.549M,,52.62M,54.07M,149.34M,,2010-03,0.34,0.00,,0.34,,2010-03,,,0.3540,0.34,,2010-03,156.45M,156.97M,0.535,,2010-03,AOR,Restated
2009-12,237.90M,237.90M,78.44M,159.45M,,8.22M,,,4.465M,,,44.25M,,-44.25M,,66.03M,93.42M,,44.25M,-44.25M,4.496M,-44.25M,53.67M,-0.367M,54.04M,-0.697M,,54.08M,50.44M,161.52M,,2009-12,0.35,0.00,,0.35,,2009-12,,,0.3215,0.34,,2009-12,156.34M,156.72M,0.5125,,2009-12,AOR,Restated
2009-09,234.64M,234.64M,76.34M,158.30M,,9.657M,,,-5.894M,,,43.29M,,-43.29M,,59.64M,98.66M,,43.29M,-43.29M,-5.926M,-43.29M,49.44M,-0.41M,49.85M,-0.625M,,49.80M,53.08M,142.72M,,2009-09,0.32,0.00,,0.32,,2009-09,,,0.3446,0.32,,2009-09,156.25M,156.52M,0.5125,,2009-09,AOR,Restated
2009-06,231.45M,231.45M,72.56M,158.89M,,10.36M,,,-9.482M,,,43.99M,,-43.99M,,59.00M,99.89M,,43.99M,-43.99M,-9.482M,-43.99M,46.41M,-0.395M,46.81M,-0.802M,,88.38M,52.17M,139.05M,,2009-06,0.30,0.27,,0.57,,2009-06,,,0.3399,0.57,,2009-06,154.44M,154.51M,0.5125,,2009-06,AOR,Restated
2009-03,125.68M,228.90M,75.47M,153.44M,,10.60M,,,-2.054M,,,45.93M,0.286M,-45.64M,0.099M,60.20M,93.24M,0.286M,45.93M,-45.64M,-2.054M,-45.64M,45.26M,-0.547M,45.80M,-0.741M,,74.23M,46.40M,141.70M,,2009-03,0.32,0.20,,0.52,,2009-03,,,0.3293,0.52,,2009-03,143.09M,143.14M,0.5125,,2009-03,AOR,Restated
2008-12,232.26M,232.26M,76.45M,155.81M,,11.16M,,,-0.861M,,,50.52M,,-46.30M,,62.68M,93.13M,,50.52M,-46.30M,-0.861M,-46.30M,41.74M,-1.72M,43.46M,-0.621M,,57.53M,43.40M,154.82M,,2008-12,0.29,0.11,,0.40,,2008-12,,,0.2939,0.40,,2008-12,142.99M,143.07M,0.5125,,2008-12,AOR,Restated
2008-09,235.12M,235.12M,81.70M,153.42M,,11.63M,,,21.78M,,,50.74M,,-50.74M,,61.62M,91.80M,,50.74M,-50.74M,21.78M,-50.74M,62.84M,-0.415M,63.25M,-1.04M,,63.77M,48.05M,163.58M,,2008-09,0.44,0.01,,0.45,,2008-09,,,0.3397,0.45,,2008-09,140.76M,141.14M,0.5125,,2008-09,AOR,Restated
2008-06,226.75M,229.03M,71.84M,157.19M,,9.61M,,,-1.234M,,,51.39M,0.798M,-50.59M,0.168M,66.42M,90.77M,0.798M,51.39M,-50.59M,-1.234M,-50.59M,38.15M,-3.712M,41.86M,-0.545M,,70.15M,42.12M,148.91M,,2008-06,0.30,0.21,,0.51,,2008-06,,,0.3058,0.51,,2008-06,138.13M,138.74M,0.5125,,2008-06,AOR,Restated
2008-03,227.39M,228.67M,76.96M,151.72M,,8.257M,,,-0.646M,,,52.35M,0.818M,-51.53M,-0.158M,78.61M,73.10M,0.818M,52.35M,-51.53M,-0.646M,-51.53M,20.10M,-10.04M,30.14M,-0.478M,,31.15M,30.08M,145.83M,,2008-03,0.22,0.01,,0.23,,2008-03,,,0.2231,0.23,,2008-03,136.38M,136.67M,0.5125,,2008-03,AOR,Restated
2007-12,221.89M,221.89M,75.40M,146.49M,,11.51M,,,-0.617M,,,50.38M,,-50.38M,0.00,80.10M,66.39M,,50.38M,-50.38M,-0.617M,-50.38M,15.40M,-12.97M,26.67M,-0.61M,0.00,29.40M,28.16M,145.42M,,2007-12,0.20,-0.02,,0.18,,2007-12,,,0.2030,0.18,,2007-12,133.42M,133.78M,0.475,,2007-12,AOR,Restated
2007-09,223.49M,223.49M,71.38M,152.11M,,9.315M,,,-1.651M,,,52.96M,,-52.96M,-0.088M,79.06M,73.05M,,52.96M,-52.96M,-1.651M,-52.96M,18.44M,-9.463M,27.90M,-0.675M,,28.01M,28.30M,141.23M,,2007-09,0.20,0.01,,0.21,,2007-09,,,0.2080,0.21,,2007-09,133.20M,133.50M,0.475,,2007-09,AOR,Restated
