,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,TotalCurrentAssets,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,NetLoanAssets,LongTermInvestments,TotalLongTermAssets,TotalAssets,,CurrentTaxPayable,TotalPayables,PayablesandAccruedExpenses,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,UnpaidLossReserve,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2010-09,2.269B,,2.269B,1.295B,1.295B,3.564B,461.10M,343.80M,842.10M,1.186B,12.00B,51.20B,65.10B,143.46B,,3.70M,3.70M,3.70M,,,132.10M,132.10M,132.10M,558.60M,558.60M,694.40M,1.582B,1.582B,,,,138.80M,,1.582B,133.42B,,4.60M,4.592B,9.548B,4.725B,0.10M,,,476.80M,9.896B,,AOR,Restated
2010-06,1.827B,,1.827B,1.233B,1.233B,3.060B,471.70M,381.80M,842.90M,1.225B,12.19B,49.87B,63.78B,136.60B,,2.50M,2.50M,2.50M,,,126.50M,126.50M,126.50M,197.30M,197.30M,326.30M,1.572B,1.572B,,,,142.20M,,1.572B,127.52B,,4.60M,4.475B,9.526B,4.725B,0.10M,,,-351.00M,8.930B,,AOR,Restated
2010-03,1.630B,,1.630B,1.191B,1.191B,2.820B,480.50M,384.00M,851.90M,1.236B,12.45B,49.54B,63.92B,140.84B,,2.40M,2.40M,2.40M,,,131.60M,131.60M,131.60M,126.60M,126.60M,260.60M,1.578B,1.578B,,,,132.60M,,1.578B,132.15B,,4.60M,4.341B,9.512B,4.724B,0.10M,,,-577.90M,8.556B,,AOR,Restated
2009-12,2.240B,,2.240B,1.065B,1.065B,3.306B,489.30M,386.40M,851.70M,1.238B,12.75B,47.69B,63.84B,137.76B,,2.80M,2.80M,2.80M,,,101.60M,101.60M,101.60M,,,104.40M,1.585B,1.585B,120.20M,120.20M,,122.90M,,1.705B,129.74B,,4.60M,4.161B,9.493B,4.723B,0.10M,,,-1.042B,7.894B,,AOR,Restated
2009-09,3.241B,,3.241B,1.136B,1.136B,4.377B,496.80M,382.60M,864.90M,1.248B,12.92B,47.11B,62.55B,137.38B,,2.00M,2.00M,2.00M,,,107.10M,107.10M,107.10M,116.10M,116.10M,225.20M,1.586B,1.586B,,,,98.00M,,1.586B,129.77B,,4.60M,4.180B,9.481B,4.723B,0.10M,,,-1.434B,7.509B,,AOR,Restated
2009-06,4.328B,,4.328B,1.046B,1.046B,5.375B,506.10M,384.10M,878.40M,1.262B,13.34B,43.55B,60.24B,130.71B,,2.80M,2.80M,2.80M,,,159.50M,159.50M,159.50M,116.70M,116.70M,279.00M,2.033B,2.033B,,,,81.30M,,2.033B,124.93B,,4.60M,3.996B,9.460B,4.722B,0.10M,,,-3.042B,5.695B,,AOR,Restated
2009-03,2.700B,,2.700B,1.183B,1.183B,3.883B,517.20M,379.90M,880.40M,1.260B,13.82B,41.14B,59.22B,123.23B,,1.20M,1.20M,1.20M,,,530.80M,530.80M,530.80M,107.40M,107.40M,639.40M,1.293B,1.293B,,,,80.30M,,1.293B,120.53B,,4.00M,3.845B,8.342B,4.722B,0.10M,,,-4.841B,2.629B,,AOR,Restated
2008-12,2.608B,1.815B,4.423B,988.10M,988.10M,5.411B,518.20M,375.50M,925.30M,1.301B,14.01B,41.36B,60.80B,128.18B,,1.90M,1.90M,1.90M,,,500.90M,500.90M,500.90M,,,502.80M,1.290B,1.290B,102.80M,102.80M,,,,1.393B,125.71B,,4.00M,3.722B,8.376B,4.719B,0.10M,,,-4.912B,2.473B,,AOR,Restated
2008-09,2.269B,,2.269B,1.598B,1.598B,3.867B,510.80M,382.30M,976.10M,1.358B,14.15B,46.06B,64.16B,143.41B,,43.60M,43.60M,43.60M,,,350.10M,350.10M,350.10M,148.50M,148.50M,542.20M,1.379B,1.379B,,,,,,1.379B,137.80B,,4.00M,3.848B,8.367B,4.719B,0.10M,,,-1.887B,5.613B,,AOR,Restated
2008-06,1.524B,,1.524B,892.10M,892.10M,2.417B,490.90M,385.10M,995.70M,1.381B,13.65B,48.30B,65.42B,151.53B,,52.80M,52.80M,52.80M,,,215.10M,215.10M,215.10M,165.00M,165.00M,432.90M,1.384B,1.384B,,,,,,1.384B,144.91B,,4.00M,3.758B,8.350B,4.718B,0.10M,,,-773.90M,6.620B,,AOR,Restated
