,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDiluted,,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,,SECFilingLinks,AsOriginallyReported,Restated
2008-07,433.84M,433.84M,259.66M,174.18M,,,89.93M,17.24M,-1.771M,,,,,113.37M,60.81M,,,,-1.771M,,59.92M,8.091M,51.83M,,,53.36M,108.13M,47.32M,60.81M,,0.00,,,0.7002,0.68,0.67,0.00,,0.67,,2008-07,75.87M,76.98M,,2008-07,,
2008-04,539.81M,539.81M,318.26M,221.55M,,,95.15M,14.83M,-0.944M,,,,,117.49M,104.06M,,,,-0.944M,,102.28M,4.061M,98.22M,,,99.13M,157.72M,53.66M,104.06M,,0.00,,,1.322,1.31,1.29,0.00,,1.29,,2008-04,75.10M,75.95M,,2008-04,,
2008-01,240.44M,240.44M,186.01M,54.43M,,,65.13M,15.81M,-0.162M,,,,,87.35M,-32.92M,,,,-0.162M,,-33.23M,4.767M,-38.00M,,,-37.89M,-7.575M,25.34M,-32.92M,,0.00,,,-0.5186,-0.52,-0.52,0.00,,-0.52,,2008-01,73.15M,73.15M,,2008-01,,
2007-10,292.60M,292.60M,202.95M,89.65M,,,67.25M,11.16M,-5.84M,,,,,85.11M,4.541M,,,,-5.84M,,-1.657M,5.406M,-7.063M,,,-3.267M,40.96M,36.42M,4.541M,,0.00,,,-0.0475,-0.10,-0.10,0.00,,-0.10,,2007-10,72.30M,72.30M,,2007-10,,
2007-07,206.42M,206.42M,168.28M,38.14M,,,69.93M,11.21M,-7.10M,,,,,88.14M,-50.01M,,,,-7.10M,,-56.36M,2.188M,-58.55M,,,-53.93M,-3.882M,46.12M,-50.01M,,0.00,,,-0.7460,-0.81,-0.81,0.00,,-0.81,,2007-07,72.08M,72.08M,,2007-07,,
2007-04,205.44M,205.44M,159.58M,45.85M,,,68.63M,11.94M,-8.962M,,,,,87.64M,-41.79M,,,,-8.962M,,-49.73M,1.521M,-51.25M,,,-45.42M,-5.329M,36.46M,-41.79M,,0.00,,,-0.6288,-0.71,-0.71,0.00,,-0.71,,2007-04,71.74M,71.74M,,2007-04,,
2007-01,277.34M,277.34M,204.22M,73.12M,,,73.64M,14.15M,,,,,,94.45M,-21.33M,,,,,,-20.47M,1.076M,-21.55M,,,-21.55M,5.632M,26.97M,-21.33M,,0.00,,,-0.30,-0.30,-0.30,0.00,,-0.30,,2007-01,71.36M,71.36M,,2007-01,,
2006-10,266.56M,266.56M,184.76M,81.80M,,,75.57M,13.05M,-0.81M,,,,0.83M,96.06M,-14.26M,,,,-0.81M,,-13.04M,0.979M,-14.02M,,,-13.53M,22.35M,36.61M,-14.26M,,0.00,,,-0.1832,-0.19,-0.19,0.00,,-0.19,,2006-10,71.19M,71.19M,,2006-10,,
2006-07,241.18M,241.18M,184.06M,57.13M,,,71.84M,17.41M,-8.529M,,,,8.529M,104.07M,-46.94M,,,,-8.529M,,-45.74M,45.63M,-91.38M,,,-86.26M,-24.53M,22.41M,-46.94M,,0.00,,,-1.218,-1.29,-1.29,0.00,,-1.29,,2006-07,71.10M,71.10M,,2006-07,,
2006-04,265.12M,265.12M,247.35M,17.77M,,,65.90M,16.10M,-6.249M,,,,6.249M,94.94M,-77.17M,,,,-6.249M,,-77.16M,-26.79M,-50.37M,,,-46.29M,-6.374M,70.79M,-77.17M,,0.00,,,-0.6525,-0.71,-0.71,0.00,,-0.71,,2006-04,70.98M,71.43M,,2006-04,,
