,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
1991-12,,19.10M,,19.10M,,61.30M,39.90M,,,105.30M,225.60M,,,1.023B,-203.60M,819.80M,,71.80M,71.80M,,,,94.40M,986.00M,1.212B,,114.60M,114.60M,,114.60M,,22.30M,,22.30M,,,,113.40M,250.30M,500.00M,,500.00M,43.70M,,43.70M,,72.30M,616.00M,866.30M,,,203.90M,,,,345.30M,,,
1991-09,,54.90M,,54.90M,,79.30M,36.60M,,,101.70M,272.50M,,,999.10M,-192.40M,806.70M,,72.30M,72.30M,,,,94.60M,973.60M,1.246B,,121.00M,121.00M,,121.00M,,18.10M,,18.10M,,,,123.20M,262.30M,516.30M,,516.30M,50.50M,,50.50M,,69.40M,636.20M,898.50M,,,207.10M,,,,347.60M,,,
1991-06,,42.30M,,42.30M,,92.30M,33.80M,,,123.70M,292.10M,,,947.60M,-182.00M,765.60M,,72.80M,72.80M,,,,96.20M,934.60M,1.227B,,120.90M,120.90M,,120.90M,,39.70M,,39.70M,,,,155.00M,315.60M,473.70M,,473.70M,38.30M,,38.30M,,67.10M,579.10M,894.70M,,,192.80M,,,,332.00M,,,
1991-03,,2.80M,,2.80M,,80.90M,33.60M,,,43.70M,161.00M,,,937.20M,-177.20M,760.00M,,73.30M,73.30M,,,,93.80M,927.10M,1.088B,,115.50M,115.50M,,115.50M,,58.60M,,58.60M,,,,124.30M,298.40M,357.50M,,357.50M,35.70M,,35.70M,,67.50M,460.70M,759.10M,,,190.60M,,,,329.00M,,,
1990-12,,28.90M,,28.90M,,65.40M,32.10M,,,41.30M,167.70M,,,868.10M,-167.70M,700.40M,,73.80M,73.80M,,,,79.50M,853.70M,1.021B,,107.80M,107.80M,,107.80M,,61.40M,,61.40M,,,,126.80M,296.00M,281.80M,,281.80M,43.00M,,43.00M,,60.10M,384.90M,680.90M,,,202.90M,,,,340.50M,,,
1990-09,,11.00M,,11.00M,,80.50M,30.10M,,,93.10M,214.70M,,,761.50M,-161.20M,600.30M,,74.50M,74.50M,,,,43.70M,718.50M,933.20M,,114.50M,114.50M,,114.50M,,12.80M,,12.80M,,,,134.90M,262.20M,208.60M,,208.60M,57.40M,,57.40M,,53.10M,319.10M,581.30M,,,215.30M,,,,351.90M,,,
1990-06,,11.60M,,11.60M,,96.90M,28.80M,,,89.30M,226.60M,,,732.20M,-151.60M,580.60M,,75.00M,75.00M,,,,47.60M,703.20M,929.80M,,123.30M,123.30M,,123.30M,,11.10M,,11.10M,,,,142.80M,277.20M,219.40M,,219.40M,45.10M,,45.10M,,50.30M,314.80M,592.00M,,,197.90M,,,,337.80M,,,
1990-03,,6.60M,,6.60M,,77.30M,25.90M,,,55.60M,165.40M,,,723.60M,-144.90M,578.70M,,75.50M,75.50M,,,,45.20M,699.40M,864.80M,,104.30M,104.30M,,104.30M,,10.30M,,10.30M,,,,106.80M,221.40M,221.00M,,221.00M,42.20M,,42.20M,,50.30M,313.50M,534.90M,,,190.70M,,,,329.90M,,,
1989-12,,13.40M,,13.40M,,59.20M,22.40M,,,125.00M,220.00M,,,672.30M,-135.80M,536.50M,,76.40M,76.40M,,,,41.20M,654.10M,874.10M,,99.80M,99.80M,,99.80M,,8.20M,,8.20M,,,,102.50M,210.50M,227.00M,,227.00M,42.50M,,42.50M,,52.20M,321.70M,532.20M,,,194.40M,,,,341.90M,,,
1989-09,,148.90M,,148.90M,,79.50M,21.40M,,,21.40M,271.20M,,,639.40M,-127.70M,511.70M,,78.00M,78.00M,,,,39.80M,629.50M,900.70M,,102.60M,102.60M,,102.60M,,7.40M,,7.40M,,,,118.90M,228.90M,232.50M,,232.50M,40.40M,,40.40M,,53.90M,326.80M,555.70M,,,192.70M,,,,345.00M,,,
1989-06,,159.20M,,159.20M,,76.60M,20.70M,,,23.00M,279.50M,,,609.00M,-118.60M,490.40M,,78.60M,78.60M,,,,25.80M,594.80M,874.30M,,93.00M,93.00M,,93.00M,,4.80M,,4.80M,,,,123.30M,221.10M,239.40M,,239.40M,34.80M,,34.80M,,56.80M,331.00M,552.10M,,,170.00M,,,,322.20M,,,
1988-12,,48.50M,,48.50M,,52.50M,18.80M,,,24.40M,144.20M,,,622.90M,-139.20M,483.70M,,79.60M,79.60M,,,,22.70M,586.00M,730.20M,,,,,,,7.00M,,7.00M,,,,167.30M,174.30M,171.10M,,171.10M,45.70M,,45.70M,,32.60M,249.40M,423.70M,,,154.60M,,,,306.50M,,,
1987-12,,105.40M,,105.40M,,49.50M,13.50M,,,19.80M,188.20M,,,507.30M,-107.90M,399.40M,,83.90M,83.90M,,,,34.30M,517.60M,705.80M,,,,,,,7.70M,,7.70M,,,,150.80M,158.50M,203.60M,,203.60M,40.50M,,40.50M,,31.60M,275.70M,434.20M,,,119.80M,,,,271.60M,,,
1986-12,,66.20M,,66.20M,,40.40M,14.20M,,,8.90M,129.70M,,,544.80M,-96.10M,448.70M,,80.40M,80.40M,,,,13.10M,542.20M,671.90M,,,,,,,19.20M,,19.20M,,,,119.20M,138.40M,291.70M,,291.70M,46.80M,,46.80M,,17.80M,356.30M,494.70M,,,97.60M,,,,177.20M,,,
1985-12,,148.00M,,148.00M,,37.90M,5.10M,,,6.60M,197.60M,,,402.20M,-74.40M,327.80M,,,,,,,11.60M,339.40M,537.00M,,,,,,,10.40M,,10.40M,,,,84.10M,94.50M,234.00M,,234.00M,37.30M,,37.30M,,10.20M,281.50M,376.00M,,,81.90M,,,,161.00M,,,
1984-12,,61.00M,,61.00M,,31.50M,3.70M,,,3.70M,99.90M,,,258.40M,-62.60M,195.80M,,,,,,,30.30M,226.10M,326.00M,,,,,,,7.20M,,7.20M,,,,69.80M,77.00M,101.60M,,101.60M,34.20M,,34.20M,,4.00M,139.80M,216.80M,,,57.90M,,,,109.20M,,,
