,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
1991-06,95.40M,,95.40M,,32.50M,,,,256.10M,384.00M,,,,,,,824.20M,-306.50M,517.70M,,,,,,1.674B,2.192B,2.576B,,98.70M,98.70M,,98.70M,24.00M,24.00M,,,,52.90M,175.60M,1.667B,1.667B,50.20M,50.20M,,,741.50M,2.458B,2.634B,,,-459.30M,,,,,,,-58.20M,,,
1991-03,251.20M,,251.20M,,24.80M,,,,212.70M,488.70M,,,,,,,805.70M,-290.00M,515.70M,,,,,,1.69B,2.206B,2.694B,,105.00M,105.00M,,105.00M,17.40M,17.40M,,,,68.10M,190.50M,1.767B,1.767B,44.70M,44.70M,,,731.40M,2.543B,2.733B,,,-422.10M,,,,,,,-39.00M,,,
1990-12,88.60M,,88.60M,,27.50M,,,,135.40M,251.50M,,,,,,,790.50M,-271.30M,519.20M,,,,,,1.686B,2.205B,2.457B,,95.70M,95.70M,,95.70M,37.90M,37.90M,,,,53.30M,186.90M,1.527B,1.527B,43.10M,43.10M,,,721.40M,2.291B,2.478B,,,-375.70M,,,,,,,-21.70M,,,
1990-09,113.00M,,113.00M,,31.80M,,,,104.90M,249.70M,,,,,,,782.20M,-265.30M,516.90M,,,,,,1.690B,2.206B,2.456B,,90.90M,90.90M,,90.90M,32.50M,32.50M,,,,53.10M,176.50M,1.500B,1.500B,42.40M,42.40M,,,711.60M,2.254B,2.431B,,,-326.80M,,,,,,,25.30M,,,
1990-06,129.50M,,129.50M,,27.00M,,,,139.80M,296.30M,,,,,,,758.10M,-247.40M,510.70M,,,,,,1.679B,2.189B,2.486B,,87.30M,87.30M,,87.30M,29.30M,29.30M,,,,45.50M,162.10M,1.503B,1.503B,44.20M,44.20M,,,702.80M,2.250B,2.412B,,,-278.30M,,,,,,,73.80M,,,
1990-03,104.50M,,104.50M,,27.10M,,,,150.40M,282.00M,,,,,,,772.10M,-231.30M,540.80M,,,,,,1.680B,2.221B,2.503B,,83.70M,83.70M,,83.70M,8.50M,8.50M,,,,58.60M,150.80M,1.494B,1.494B,45.80M,45.80M,,,694.20M,2.234B,2.384B,,,-233.10M,,,,,,,118.90M,,,
1989-12,143.60M,,143.60M,,24.80M,,,,145.60M,314.00M,,,,,,,758.10M,-215.20M,542.90M,,,,,,1.726B,2.269B,2.583B,,93.20M,93.20M,,93.20M,11.10M,11.10M,,,,52.90M,157.20M,1.523B,1.523B,,,,,734.90M,2.258B,2.415B,,,-183.70M,,,,,,,168.00M,,,
1989-09,125.80M,,125.80M,,24.50M,,,,85.90M,236.20M,,,,,,,735.20M,-198.90M,536.30M,,,,,,1.733B,2.270B,2.506B,,72.10M,72.10M,,72.10M,9.00M,9.00M,,,,59.40M,140.50M,1.412B,1.412B,64.00M,64.00M,,,677.10M,2.154B,2.294B,,,-129.80M,,,,,,,211.60M,,,
1989-06,155.90M,,155.90M,,20.80M,,,,126.70M,303.40M,,,,,,,639.50M,-183.40M,456.10M,,,,,,1.636B,2.092B,2.395B,,67.40M,67.40M,,67.40M,9.40M,9.40M,,,,49.40M,126.20M,1.310B,1.310B,50.80M,50.80M,,,669.90M,2.031B,2.157B,,,-100.30M,,,,,,,237.60M,,,
1989-03,106.50M,,106.50M,,20.30M,,,,182.50M,309.30M,,,,,,,623.60M,-167.90M,455.70M,,,,,,1.659B,2.114B,2.424B,,61.90M,61.90M,,61.90M,11.60M,11.60M,,,,48.10M,121.60M,1.429B,1.429B,48.40M,48.40M,,,662.50M,2.140B,2.261B,,,-66.50M,,,,,,,162.60M,,,
1988-12,104.00M,,104.00M,,18.30M,,,,119.60M,241.90M,,,,,,,607.70M,-150.90M,456.80M,,,,,,1.672B,2.129B,2.371B,,,,,,11.90M,11.90M,,,,109.70M,121.60M,1.336B,1.336B,52.50M,52.50M,,,654.90M,2.043B,2.165B,,,-23.40M,,,,,,,205.70M,,,
1987-12,182.50M,,182.50M,,6.30M,,,,29.60M,218.40M,,,,,,,481.70M,-113.10M,368.60M,,,,,,447.90M,816.50M,1.035B,,,,,,26.60M,26.60M,,,,88.10M,114.70M,616.10M,616.10M,45.10M,45.10M,,,,661.20M,775.90M,,,32.20M,,,,,,,259.00M,,,
1986-12,246.90M,,246.90M,,8.00M,,,,21.00M,275.90M,,,,,,,428.30M,-77.50M,350.80M,,,,,,379.80M,730.60M,1.006B,,,,,,6.00M,6.00M,,,,83.90M,89.90M,696.50M,696.50M,30.60M,30.60M,,,,727.10M,817.00M,,,47.40M,,,,,,,189.50M,,,
1985-12,188.50M,,188.50M,,5.50M,,,,11.10M,205.10M,,,,,,,163.30M,-63.50M,99.80M,,,,,,56.10M,155.90M,361.00M,,,,,,5.10M,5.10M,,,,23.70M,28.80M,194.80M,194.80M,21.30M,21.30M,,,1.60M,217.70M,246.50M,,,50.10M,,,,,,,114.50M,,,
1984-12,120.80M,,120.80M,,4.00M,,,,8.20M,133.00M,,,,,,,148.20M,-50.50M,97.70M,,,,,,27.40M,125.10M,258.10M,,,,,,3.50M,3.50M,,,,26.80M,30.30M,126.10M,126.10M,15.30M,15.30M,,,1.70M,143.10M,173.40M,,,37.90M,,,,,,,84.70M,,,
