,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
1993-09,137.80M,,137.80M,,,1.320B,,,,932.10M,,,,1.155B,3.545B,,,,,,6.057B,-2.666B,3.391B,,,,,,591.10M,3.982B,7.526B,,509.60M,,,,509.60M,,509.60M,,971.40M,971.40M,1.635B,3.116B,108.50M,,108.50M,160.40M,160.40M,,,553.20M,822.10M,3.938B,,,3.258B,,,,,,3.588B,,,
1993-06,29.50M,,29.50M,,,1.332B,,,,931.60M,,,,1.159B,3.452B,,,,,,5.894B,-2.592B,3.302B,,,,,,597.20M,3.899B,7.351B,,485.60M,,,,485.60M,,485.60M,,1.003B,1.003B,1.575B,3.064B,108.70M,,108.70M,98.90M,98.90M,,,539.20M,746.80M,3.811B,,,3.180B,,,,,,3.54B,,,
1993-03,51.50M,,51.50M,,,1.345B,,,,887.90M,,,,1.069B,3.354B,,,,,,5.644B,-2.481B,3.163B,,,,,,619.60M,3.782B,7.136B,,501.60M,,,,501.60M,,501.60M,,872.60M,872.60M,1.628B,3.002B,108.40M,,108.40M,60.00M,60.00M,,,525.80M,694.20M,3.696B,,,3.098B,,,,,,3.440B,,,
1992-12,116.60M,,116.60M,1.244B,,1.244B,,,,863.80M,,,,1.007B,3.232B,,,,,,5.497B,-2.398B,3.099B,,,,,,610.30M,3.710B,6.941B,,597.20M,,,,597.20M,,597.20M,,916.30M,916.30M,1.269B,2.782B,110.00M,,110.00M,321.30M,321.30M,,,379.80M,811.10M,3.594B,,,2.991B,,,,,,3.348B,,,
1992-09,27.20M,,27.20M,,,1.301B,,,,929.00M,,,,1.038B,3.294B,,,,,,5.417B,-2.444B,2.974B,,,,,,613.30M,3.587B,6.881B,,443.00M,,,,443.00M,,443.00M,,857.40M,857.40M,1.383B,2.684B,95.20M,,95.20M,,,,,758.40M,853.60M,3.537B,,,2.919B,,,,,,3.344B,,,
1992-06,38.40M,,38.40M,,,1.176B,,,,892.80M,,,,921.30M,3.029B,,,,,,5.126B,-2.308B,2.819B,,,,,,662.90M,3.482B,6.510B,,437.30M,,,,437.30M,,437.30M,,531.50M,531.50M,1.349B,2.318B,107.40M,,107.40M,,,,,733.60M,841.00M,3.159B,,,2.986B,,,,,,3.351B,,,
1992-03,22.50M,,22.50M,,,1.167B,,,,872.20M,,,,869.70M,2.931B,,,,,,4.968B,-2.216B,2.753B,,,,,,700.50M,3.453B,6.384B,,432.70M,,,,432.70M,,432.70M,,672.50M,672.50M,1.149B,2.254B,122.80M,,122.80M,,,,,729.70M,852.50M,3.107B,,,2.934B,,,,,,3.278B,,,
1991-12,60.40M,,60.40M,,,1.151B,,,,815.40M,,,,864.40M,2.891B,,,,,,4.785B,-2.123B,2.662B,,,,,,702.10M,3.364B,6.255B,,522.40M,,,,522.40M,,522.40M,,544.30M,544.30M,1.163B,2.229B,125.10M,,125.10M,347.20M,347.20M,,,350.70M,823.00M,3.052B,,,2.868B,,,,,,3.203B,,,
1991-09,49.50M,,49.50M,,,1.042B,,,,801.70M,,,,823.70M,2.717B,,,,,,4.568B,-2.048B,2.520B,,,,,,631.40M,3.151B,5.868B,,363.50M,,,,363.50M,,363.50M,,533.00M,533.00M,1.167B,2.063B,132.20M,,132.20M,,,,,661.30M,793.50M,2.857B,,,2.737B,,,,,,3.011B,,,
1991-06,57.70M,,57.70M,,,1.051B,,,,816.70M,,,,805.30M,2.731B,,,,,,4.414B,-1.973B,2.442B,,,,,,643.30M,3.085B,5.816B,,372.80M,,,,372.80M,,372.80M,,584.80M,584.80M,1.112B,2.07B,134.70M,,134.70M,,,,,657.50M,792.20M,2.862B,,,2.681B,,,,,,2.954B,,,
1991-03,54.30M,,54.30M,,,1.131B,,,,812.30M,,,,684.40M,2.682B,,,,,,4.395B,-1.971B,2.424B,,,,,,661.80M,3.085B,5.767B,,355.10M,,,,355.10M,,355.10M,,582.60M,582.60M,1.104B,2.042B,133.20M,,133.20M,,,,,661.20M,794.40M,2.836B,,,2.608B,,,,,,2.931B,,,
1990-12,34.00M,,34.00M,,,1.070B,,,,777.60M,,,,579.40M,2.461B,,,,,,4.258B,-1.882B,2.376B,,,,,,726.20M,3.102B,5.563B,,351.20M,,,,351.20M,,351.20M,,663.80M,663.80M,986.10M,2.001B,134.80M,,134.80M,409.10M,409.10M,,,184.60M,728.50M,2.730B,,,2.528B,,,,,,2.834B,,,
1990-09,117.50M,,117.50M,,,1.027B,,,,799.30M,,,,750.50M,2.694B,,,,,,4.092B,-1.802B,2.290B,,,,,,701.30M,2.991B,5.685B,,313.40M,,,,313.40M,,313.40M,,935.00M,935.00M,933.10M,2.182B,137.10M,,137.10M,,,,,663.80M,800.90M,2.982B,,,2.430B,,,,,,2.703B,,,
1990-06,36.10M,,36.10M,,,986.10M,,,,767.50M,,,,714.20M,2.504B,,,,,,3.913B,-1.697B,2.216B,,,,,,693.70M,2.910B,5.413B,,310.30M,,,,310.30M,,310.30M,,745.20M,745.20M,841.30M,1.897B,138.20M,,138.20M,,,,,637.50M,775.70M,2.672B,,,2.508B,,,,,,2.741B,,,
1990-03,76.60M,,76.60M,,,918.60M,,,,754.30M,,,,569.20M,2.319B,,,,,,3.794B,-1.632B,2.162B,,,,,,692.50M,2.855B,5.174B,,322.00M,,,,322.00M,,322.00M,,536.30M,536.30M,797.70M,1.656B,149.10M,,149.10M,,,,,622.00M,771.10M,2.427B,,,2.517B,,,,,,2.746B,,,
1989-12,13.60M,,13.60M,,,892.70M,,,,696.00M,,,,500.50M,2.103B,,,,,,3.627B,-1.537B,2.090B,,,,,,658.60M,2.749B,4.852B,,309.80M,,,,309.80M,,309.80M,,300.50M,300.50M,773.30M,1.384B,146.70M,,146.70M,438.80M,438.80M,,,156.10M,741.60M,2.125B,,,2.533B,,,,,,2.726B,,,
1988-12,582.60M,,582.60M,,,781.80M,,,,611.30M,,,,377.30M,2.353B,,,,,,3.290B,-1.337B,1.953B,,,,,,519.50M,2.472B,4.825B,,,,,,,,,,493.30M,493.30M,946.40M,1.440B,349.30M,,349.30M,398.60M,398.60M,,,172.90M,920.80M,2.360B,,,2.266B,,,,,,2.465B,,,
1987-12,519.90M,,519.90M,,,728.00M,,,,612.20M,,,,295.40M,2.156B,,,,,,2.860B,-1.118B,1.742B,,,,,,488.60M,2.230B,4.386B,,,,,,,,,,606.40M,606.40M,880.40M,1.487B,271.00M,,271.00M,365.40M,365.40M,,,169.00M,805.40M,2.292B,,,1.927B,,,,,,2.094B,,,
1986-12,481.60M,,481.60M,,,624.90M,,,,524.40M,,,,258.00M,1.889B,,,,,,2.425B,-881.80M,1.543B,,,,,,433.40M,1.977B,3.866B,,,,,,,,,,591.70M,591.70M,711.80M,1.304B,297.40M,,297.40M,345.50M,345.50M,,,140.30M,783.20M,2.087B,,,1.702B,,,,,,1.779B,,,
1985-12,437.50M,,437.50M,,,563.30M,,,,463.80M,,,,215.80M,1.680B,,,,,,2.076B,-707.10M,1.368B,,,,,,419.50M,1.788B,3.468B,,,,,,,,,,122.90M,122.90M,665.60M,788.50M,443.00M,,443.00M,252.10M,252.10M,,,114.10M,809.20M,1.598B,,,1.844B,,,,,,1.871B,,,
1984-12,447.10M,,447.10M,,,491.20M,,,,430.20M,,,,181.10M,1.550B,,,,,,1.817B,-580.80M,1.237B,,,,,,386.70M,1.623B,3.173B,,,,,,,,,,272.70M,272.70M,533.70M,806.40M,470.20M,,470.20M,199.70M,199.70M,,,93.90M,763.80M,1.570B,,,1.651B,,,,,,1.603B,,,
