,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,NotesReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermNotesReceivable,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
1992-09,27.00M,27.00M,,,,380.90M,,,,321.10M,,,32.40M,761.40M,,,,,,,1.092B,-518.20M,573.50M,,184.80M,184.80M,,94.00M,852.30M,1.614B,,101.30M,,101.30M,,101.30M,,,93.90M,,93.90M,,,179.70M,374.90M,393.50M,393.50M,,,,,146.30M,539.80M,914.70M,,,831.40M,,,,,,,699.00M,,,
1992-06,51.60M,51.60M,,,,390.40M,,,,323.20M,,,30.90M,796.10M,,,,,,,1.088B,-518.20M,570.10M,,182.30M,182.30M,,94.10M,846.50M,1.643B,,106.60M,,106.60M,,106.60M,,,87.30M,,87.30M,,,196.70M,390.60M,386.60M,386.60M,62.70M,62.70M,,,80.10M,529.40M,920.00M,,,820.40M,,,,,,,722.60M,,,
1992-03,43.00M,43.00M,,,,364.70M,,,,307.90M,,,30.00M,745.60M,,,,,,,1.059B,-496.70M,562.70M,,132.80M,132.80M,,87.40M,782.90M,1.528B,,105.50M,,105.50M,,105.50M,,,16.00M,,16.00M,,,183.90M,305.40M,381.80M,381.80M,63.30M,63.30M,,,78.90M,524.00M,829.40M,,,804.70M,,,,,,,699.10M,,,
1991-12,58.30M,58.30M,,,,352.60M,,,,299.60M,,,33.40M,743.90M,,,,,,,1.046B,-483.80M,561.70M,,137.90M,137.90M,,104.40M,804.00M,1.548B,,128.10M,,128.10M,,128.10M,,,18.30M,,18.30M,,,162.50M,308.90M,396.70M,396.70M,57.20M,57.20M,,,79.60M,533.50M,842.40M,,,807.70M,,,,,,,705.50M,,,
1991-09,39.00M,39.00M,,,,368.30M,,,,288.40M,,,22.90M,718.60M,,,,,,,1.018B,-482.40M,535.90M,,114.90M,114.90M,,104.00M,754.80M,1.473B,,95.40M,,95.40M,,95.40M,,,23.50M,,23.50M,,,150.70M,269.60M,388.40M,388.40M,56.80M,56.80M,,,59.20M,504.40M,774.00M,,,801.00M,,,,,,,699.40M,,,
1991-06,221.90M,221.90M,,,,339.00M,,,,292.20M,,,24.10M,877.20M,,,,,,,995.40M,-461.30M,534.10M,,114.10M,114.10M,,99.70M,747.90M,1.625B,,98.60M,,98.60M,,98.60M,,,19.90M,,19.90M,,,152.00M,270.50M,560.70M,560.70M,55.30M,55.30M,,,60.10M,676.10M,946.60M,,,786.90M,,,,,,,678.50M,,,
1991-03,83.40M,83.40M,,,,322.10M,,,,295.10M,,,20.80M,721.40M,,,,,,,981.20M,-450.60M,530.60M,,100.70M,100.70M,,96.50M,727.80M,1.449B,,91.80M,,91.80M,,91.80M,,,17.70M,,17.70M,,,143.70M,253.20M,404.50M,404.50M,56.40M,56.40M,,,59.20M,520.10M,773.30M,,,777.40M,,,,,,,675.90M,,,
1990-12,94.70M,94.70M,,,,330.60M,,,,291.80M,,,27.10M,744.20M,,,,,,,979.40M,-441.10M,538.30M,,104.30M,104.30M,,107.00M,749.60M,1.494B,,111.80M,,111.80M,,111.80M,,,30.00M,,30.00M,,,140.60M,282.40M,398.10M,398.10M,57.10M,57.10M,,,59.70M,514.90M,797.30M,,,774.10M,,,,,,,696.50M,,,
1990-09,69.90M,69.90M,,,,351.80M,,,,309.90M,,,19.50M,751.10M,,,,,,,964.30M,-435.70M,528.60M,,104.00M,104.00M,,104.20M,736.80M,1.488B,,92.90M,,92.90M,,92.90M,,,16.00M,,16.00M,,,148.00M,256.90M,417.20M,417.20M,53.90M,53.90M,,,60.20M,531.30M,788.20M,,,757.70M,,,,,,,699.70M,,,
1990-06,72.40M,72.40M,,,,347.50M,,,,317.10M,,,23.40M,760.40M,,,,,,,942.10M,-419.20M,522.90M,,105.30M,105.30M,,104.70M,732.90M,1.493B,,97.20M,,97.20M,,97.20M,,,13.50M,,13.50M,,,167.10M,277.80M,414.60M,414.60M,56.40M,56.40M,,,58.60M,529.60M,807.40M,,,742.60M,,,,,,,685.90M,,,
1990-03,43.00M,43.00M,,,,352.60M,,,,314.70M,,,25.70M,736.00M,,,,,,,920.40M,-405.60M,514.80M,,107.00M,107.00M,,105.80M,727.60M,1.464B,,98.10M,,98.10M,,98.10M,,,14.10M,,14.10M,,,155.80M,268.00M,415.40M,415.40M,55.90M,55.90M,,,59.10M,530.40M,798.40M,,,723.20M,,,,,,,665.20M,,,
1989-12,55.40M,55.40M,,,,360.10M,,,,313.20M,,,31.00M,759.70M,,,,,,,918.80M,-399.20M,519.60M,,108.60M,108.60M,,103.30M,731.50M,1.491B,,115.90M,,115.90M,,115.90M,,,15.80M,,15.80M,,,152.00M,283.70M,416.40M,416.40M,55.40M,55.40M,,,61.60M,533.40M,817.10M,,,712.40M,,,,,,,674.10M,,,
1989-09,37.80M,37.80M,,,,362.60M,,,,322.20M,,,24.60M,747.20M,,,,,,,902.60M,-398.20M,504.40M,,107.50M,107.50M,,106.40M,718.30M,1.466B,,91.50M,,91.50M,,91.50M,,,26.10M,,26.10M,,,153.40M,271.00M,402.70M,402.70M,44.90M,44.90M,,,59.70M,507.30M,778.30M,,,690.90M,,,,,,,687.20M,,,
1989-06,87.30M,87.30M,,,,344.70M,,,,320.50M,,,20.30M,772.80M,,,,,,,861.50M,-378.90M,482.60M,,90.90M,90.90M,,100.00M,673.50M,1.446B,,101.50M,,101.50M,,101.50M,,,28.20M,,28.20M,,,135.10M,264.80M,400.20M,400.20M,44.80M,44.80M,,,52.50M,497.50M,762.30M,,,673.80M,,,,,,,684.00M,,,
1988-12,36.60M,36.60M,,,,336.70M,,,,308.00M,,,29.20M,710.50M,,,,,,,849.00M,-358.20M,490.80M,,98.30M,98.30M,,105.60M,694.70M,1.405B,,,,,,,,,29.40M,,29.40M,,,237.20M,266.60M,339.40M,339.40M,46.10M,46.10M,,,55.20M,440.70M,707.30M,,,639.10M,,,,,,,697.90M,,,
1987-12,46.50M,46.50M,,,,333.10M,,,,318.10M,,,46.90M,744.60M,,,,,,,768.10M,-319.80M,448.30M,,104.10M,104.10M,,90.50M,642.90M,1.388B,,,,,,,,,78.30M,,78.30M,,,233.40M,311.70M,354.10M,354.10M,40.40M,40.40M,,,55.70M,450.20M,761.90M,,,575.40M,,,,,,,625.60M,,,
1986-12,53.10M,53.10M,,,,249.50M,,,,250.70M,,,75.40M,628.70M,,,,,,,654.10M,-270.60M,383.50M,,96.00M,96.00M,,99.80M,579.30M,1.208B,,,,,,,,,63.30M,,63.30M,,,152.00M,215.30M,363.40M,363.40M,20.30M,20.30M,,,53.50M,437.20M,652.50M,,,521.90M,,,,,,,555.50M,,,
1985-12,59.40M,59.40M,,,,230.00M,,,,158.70M,,,38.90M,487.00M,,,,,,,545.10M,-293.00M,252.10M,,,,,39.30M,291.40M,778.40M,,,,,,,,,12.10M,,12.10M,,,136.90M,149.00M,81.40M,81.40M,26.00M,26.00M,,,19.40M,126.80M,275.80M,,,469.30M,,,,,,,502.60M,,,
1984-12,42.60M,42.60M,,,,216.80M,,,,148.20M,,,22.40M,430.00M,,,,,,,522.90M,-273.50M,249.40M,,2.80M,2.80M,,38.30M,290.50M,720.50M,,,,,,,,,32.90M,,32.90M,,,134.50M,167.40M,74.10M,74.10M,18.50M,18.50M,,,16.50M,109.10M,276.50M,,,418.60M,,,,,,,444.00M,,,
