,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
1994-03,37.70M,37.70M,,,146.00M,,,,,231.50M,,,15.80M,431.00M,,,,,2.371B,-525.60M,1.845B,,,,,,,,46.70M,1.892B,2.323B,,270.10M,,,,270.10M,,270.10M,,,59.20M,,59.20M,,,,,329.30M,,104.00M,,104.00M,223.40M,223.40M,,,,57.40M,,182.50M,509.90M,839.20M,,400.00M,29.40M,,,400.00M,,1.426B,,,
1993-12,13.80M,13.80M,,,188.70M,,,,,211.90M,,,13.80M,428.20M,,,,,2.172B,-525.60M,1.647B,,,,,,,,41.90M,1.688B,2.117B,,218.10M,,,,218.10M,,218.10M,,,48.80M,,48.80M,,,,20.80M,287.70M,,211.90M,,211.90M,201.60M,201.60M,,,,46.80M,,188.10M,601.60M,889.30M,,807.00M,29.40M,,,807.00M,,1.181B,,,
1993-09,23.50M,23.50M,,,120.10M,,,,,141.50M,,,8.60M,293.70M,,,,,1.712B,-450.50M,1.262B,,,,,,,,117.50M,1.380B,1.673B,,138.90M,,,,138.90M,,138.90M,,,,,,,,,,138.90M,,116.50M,,116.50M,197.10M,197.10M,,,,4.30M,,41.50M,355.10M,494.00M,,232.60M,48.80M,,,232.60M,,1.175B,,,
1993-06,3.10M,3.10M,,,115.30M,,,,,137.60M,,,3.50M,259.50M,,,,,1.617B,-450.50M,1.166B,,,,,,,,96.90M,1.263B,1.523B,,115.30M,,,,115.30M,,115.30M,,,1.60M,,1.60M,,,,,116.90M,,538.80M,,538.80M,203.80M,203.80M,,,,5.80M,,37.30M,779.90M,896.80M,,,48.80M,,,,,620.00M,,,
1993-03,254.20M,254.20M,,,88.60M,,,,,143.50M,,,7.90M,494.20M,,,,,1.530B,-450.50M,1.079B,,,,,,,,105.40M,1.185B,1.679B,,79.80M,,,,79.80M,,79.80M,,,78.60M,,78.60M,,,,2.90M,161.30M,,471.40M,,471.40M,201.80M,201.80M,,,,15.10M,,194.10M,867.30M,1.029B,,,48.80M,,,,,635.30M,,,
1992-12,371.80M,371.80M,,,150.80M,,,,,132.30M,,,6.20M,661.10M,,,,,1.444B,-450.50M,993.40M,,,,,,,,39.50M,1.033B,1.694B,,,,,,,,,,,78.60M,,78.60M,,,,90.00M,168.60M,,471.40M,,471.40M,197.00M,197.00M,,,,21.40M,,189.10M,857.50M,1.026B,,,48.80M,,,,,646.50M,,,
1992-09,457.70M,457.70M,,,185.30M,,,,,140.50M,,,6.40M,789.90M,,,,,1.213B,-410.40M,802.20M,,,,,,,,43.10M,845.30M,1.635B,,,,,,,,,,,28.30M,,28.30M,,,,75.30M,103.60M,,571.80M,,571.80M,171.00M,171.00M,,,,24.10M,,153.50M,896.30M,999.90M,,,163.40M,,,,,611.20M,,,
1992-06,122.20M,122.20M,,,201.40M,,,,,135.80M,,,3.00M,462.40M,,,,,1.135B,-410.40M,724.30M,,,,,,,,43.70M,768.00M,1.230B,,36.60M,,,,36.60M,,36.60M,,,28.30M,,28.30M,,,,28.00M,92.90M,,608.50M,,608.50M,163.40M,163.40M,,,,24.40M,,154.70M,926.60M,1.020B,,,163.40M,,,,,186.50M,,,
1992-03,238.70M,238.70M,,,77.30M,,,,,151.20M,,,4.00M,471.20M,,,,,1.065B,-410.40M,654.20M,,,,,,,,44.00M,698.20M,1.169B,,,,,,,,,,,,,,,,,,49.60M,,636.30M,,636.30M,149.50M,149.50M,,,,17.90M,,153.60M,939.40M,989.00M,,,153.40M,,,,,162.50M,,,
1991-12,80.80M,80.80M,,,305.90M,,,,,121.60M,,,2.00M,510.30M,,,,,1.012B,-410.40M,601.70M,,,,,,,,45.60M,647.30M,1.158B,,31.90M,,,,31.90M,,31.90M,,,,,,,,,9.80M,41.70M,,397.00M,,397.00M,144.80M,144.80M,,,,14.20M,,387.40M,929.20M,970.90M,,,163.40M,,,,,172.50M,,,
1991-09,154.60M,154.60M,,,70.50M,,,,,103.60M,,,3.10M,331.80M,,,,,1.011B,-386.80M,623.90M,,,,,,,,43.60M,667.50M,999.30M,,28.60M,,,,28.60M,,28.60M,,,4.70M,,4.70M,,,,13.00M,46.30M,,627.60M,,627.60M,118.50M,118.50M,,,,12.40M,,2.20M,748.30M,794.60M,,,31.80M,,,,,192.30M,,,
1991-06,57.40M,57.40M,,,19.90M,,,,,107.60M,,,2.00M,186.90M,,,,,961.90M,-386.80M,575.10M,,,,,,,,36.00M,611.10M,798.00M,,47.30M,,,,47.30M,,47.30M,,,29.20M,,29.20M,,,,9.00M,85.50M,,397.00M,,397.00M,106.30M,106.30M,,,,12.50M,,1.90M,505.20M,590.70M,,,31.80M,,,,,194.80M,,,
1991-03,63.40M,63.40M,,,34.80M,,,,,81.40M,,,2.60M,182.20M,,,,,912.50M,-386.80M,525.70M,,,,,,,,36.00M,561.70M,743.90M,,23.10M,,,,23.10M,,23.10M,,,28.00M,,28.00M,,,,16.50M,67.60M,,346.00M,,346.00M,101.40M,101.40M,,,,14.40M,,1.80M,449.20M,516.80M,,,31.80M,,,,,212.70M,,,
1990-12,44.40M,44.40M,,,38.50M,,,,,72.50M,,,1.00M,156.40M,,,,,875.90M,-375.80M,500.10M,,,,,,,,18.10M,518.20M,674.60M,,31.60M,,,,31.60M,,31.60M,,,10.00M,,10.00M,,,,25.90M,67.50M,,294.00M,,294.00M,89.90M,89.90M,,,,12.30M,,2.00M,385.90M,453.40M,,,31.80M,,,,,208.90M,,,
1990-09,72.00M,72.00M,,,40.10M,,,,,54.60M,,,0.70M,167.40M,,,,,762.10M,-367.10M,395.00M,,,,,,,,13.50M,408.50M,575.90M,,20.80M,,,,20.80M,,20.80M,,,6.10M,,6.10M,,,,23.20M,50.10M,,249.00M,,249.00M,77.90M,77.90M,,,,21.30M,,2.00M,328.90M,379.00M,,,58.10M,,,,,175.60M,,,
1990-06,41.30M,41.30M,,,36.80M,,,,,55.40M,,,0.90M,134.40M,,,,,693.60M,-357.40M,336.20M,,,,,,,,13.60M,349.80M,484.20M,,19.60M,,,,19.60M,,19.60M,,,15.00M,,15.00M,,,,19.00M,53.60M,,204.00M,,204.00M,68.60M,68.60M,,,,22.90M,,1.70M,274.30M,327.90M,,,58.10M,,,,,133.40M,,,
1990-03,41.40M,41.40M,,,20.80M,,,,,54.00M,,,1.30M,117.50M,,,,,649.40M,-349.30M,300.10M,,,,,,,,13.70M,313.80M,431.30M,,16.00M,,,,16.00M,,16.00M,,,19.00M,,19.00M,,,,16.50M,51.50M,,166.00M,,166.00M,57.60M,57.60M,,,,22.50M,,1.70M,225.30M,276.80M,,,58.10M,,,,,132.00M,,,
1989-12,60.30M,60.30M,,,29.80M,,,,,45.80M,,,0.60M,136.50M,,,,,606.40M,-341.70M,264.70M,,,,,,,,13.90M,278.60M,415.10M,,14.50M,,,,14.50M,,14.50M,,,10.00M,,10.00M,,,,38.00M,62.50M,,130.00M,,130.00M,52.70M,52.70M,,,,24.80M,,1.40M,184.10M,246.60M,,,58.10M,,,,,143.70M,,,
1989-09,31.90M,31.90M,,,21.90M,,,,,49.80M,,,0.90M,104.50M,,,,,560.70M,-337.00M,223.70M,,,,,,,,7.30M,231.00M,335.50M,,13.60M,,,,13.60M,,13.60M,,,,,,,,,14.90M,28.50M,,80.00M,,80.00M,58.70M,58.70M,,,,24.40M,,1.40M,140.10M,168.60M,,,54.40M,,,,,142.50M,,,
1989-06,38.10M,38.10M,,,36.90M,,,,,39.40M,,,1.70M,116.10M,,,,,510.10M,-330.70M,179.40M,,,,,,,,6.60M,186.00M,302.10M,,16.10M,,,,16.10M,,16.10M,,,,,,,,,22.50M,38.60M,,60.00M,,60.00M,39.50M,39.50M,,,,23.80M,,1.20M,100.70M,139.30M,,,54.40M,,,,,139.00M,,,
1988-12,64.20M,64.20M,,,33.80M,,,,,36.80M,,,0.70M,135.50M,,,,,469.70M,-318.90M,150.80M,,,,,,,,,155.60M,291.10M,,,,,,,,,,,,,,,,,,61.40M,,40.00M,,40.00M,24.80M,24.80M,,,,,,,64.80M,151.10M,,,54.40M,,,,,140.00M,,AOR,
1987-12,37.40M,37.40M,,,19.30M,,,,,32.10M,,,0.40M,89.20M,,,,,404.40M,-299.10M,105.30M,,,,,,,,,108.50M,197.70M,,,,,,,,,,,,,,,,,,34.60M,,40.00M,,40.00M,8.50M,8.50M,,,,,,,48.50M,100.70M,,,82.30M,,,,,97.00M,,AOR,
