,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,TotalCurrentAssets,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,NetLoanAssets,LongTermInvestments,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,UnpaidLossReserve,UnearnedPremiumonInsuranceContract,MinorityInterestOwnership,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity
2008-06,18.22M,72.07M,90.29M,95.55M,,95.55M,185.84M,,423.52M,,423.52M,350.04M,8.966B,9.915B,14.74B,,,,,,,124.40M,124.40M,124.40M,808.86M,808.86M,933.26M,598.26M,598.26M,,,241.56M,93.52M,,933.35M,11.77B,94.88M,3.226B,484.66M,402.52M,-429.68M,2.974B
2008-03,7.944M,84.37M,92.31M,91.48M,,91.48M,183.79M,,423.52M,,423.52M,346.60M,9.213B,10.24B,14.97B,,,,,,,241.10M,241.10M,241.10M,,,241.10M,722.56M,722.56M,898.16M,898.16M,8.561B,87.47M,,10.27B,11.89B,94.88M,3.108B,480.67M,314.23M,-289.80M,3.080B
2007-12,20.10M,111.22M,131.32M,96.75M,,96.75M,228.07M,,,423.52M,423.52M,344.35M,9.359B,10.30B,15.24B,,,,,,,202.06M,202.06M,202.06M,966.01M,966.01M,1.168B,722.43M,722.43M,,,256.46M,86.71M,,1.066B,11.92B,94.88M,3.003B,481.23M,173.69M,-80.94M,3.325B
2007-09,9.07M,99.04M,108.11M,97.32M,,97.32M,205.43M,,423.52M,,423.52M,338.84M,9.260B,10.28B,15.15B,,,,,,,204.15M,204.15M,204.15M,,,204.15M,722.31M,722.31M,988.20M,988.20M,8.254B,89.32M,,10.05B,11.89B,99.88M,3.176B,503.83M,495.69M,-20.63M,3.264B
2007-06,14.10M,104.47M,118.57M,97.97M,,97.97M,216.54M,,423.52M,,423.52M,333.52M,9.288B,10.29B,15.10B,,,,,,,263.45M,263.45M,263.45M,,,263.45M,722.19M,722.19M,970.30M,970.30M,8.174B,90.19M,,9.957B,11.85B,99.88M,3.056B,501.81M,392.71M,-17.19M,3.248B
2007-03,0.328M,106.58M,106.90M,92.76M,,92.76M,199.66M,,423.51M,,423.51M,330.66M,311.34M,10.31B,15.06B,,,,,,,152.86M,152.86M,152.86M,,,152.86M,722.08M,722.08M,1.028B,1.028B,8.045B,91.51M,,9.887B,11.66B,99.88M,2.942B,499.86M,262.34M,116.31M,3.395B
2006-12,16.72M,156.67M,173.39M,78.81M,,78.81M,252.20M,,378.44M,,378.44M,328.89M,9.325B,11.76B,14.98B,,,,,,,169.74M,169.74M,169.74M,,,169.74M,721.96M,721.96M,1.011B,1.011B,7.878B,88.04M,,9.699B,11.52B,99.88M,2.827B,492.33M,100.40M,140.10M,3.459B
2006-09,25.16M,85.19M,110.35M,93.80M,,93.80M,204.15M,,378.44M,,378.44M,325.22M,9.300B,10.25B,14.94B,,,,,,,235.85M,235.85M,235.85M,,,235.85M,872.94M,872.94M,1.032B,1.032B,7.722B,90.67M,,9.717B,11.57B,104.88M,2.955B,516.18M,376.32M,164.78M,3.365B
2006-06,12.70M,69.98M,82.68M,110.57M,,110.57M,193.25M,,378.44M,,378.44M,321.26M,8.790B,9.927B,14.78B,,,,,,,480.90M,480.90M,480.90M,,,480.90M,872.63M,872.63M,931.41M,931.41M,7.635B,91.59M,,9.531B,11.66B,104.88M,2.843B,513.83M,336.07M,2.053M,3.127B
2006-03,6.342M,23.22M,29.57M,111.37M,,111.37M,140.93M,,378.44M,,378.44M,318.33M,8.584B,9.784B,14.76B,,,,,,,729.24M,729.24M,729.24M,,,729.24M,509.71M,509.71M,953.70M,953.70M,7.551B,92.71M,,9.108B,11.53B,104.88M,2.727B,511.69M,237.04M,117.55M,3.224B
