,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2004-04,152.58M,,,-2.496M,37.27M,0.676M,37.95M,37.95M,5.984M,,,5.693M,,,,,,36.79M,36.79M,236.50M,-43.35M,,-43.35M,,-507.43M,0.888M,-549.90M,,,29.50M,,29.50M,,-14.99M,,,14.51M,1.011B,-298.89M,0.353M,712.26M,29.50M,,,
2004-01,116.84M,,,4.172M,37.56M,0.677M,38.24M,38.24M,8.363M,,,,,,,,,24.03M,24.03M,191.65M,-27.07M,,-27.07M,,303.15M,-0.556M,275.52M,,,40.38M,,40.38M,,-14.87M,,,25.51M,517.87M,492.68M,0.256M,1.011B,40.38M,,,
2003-10,88.03M,,,33.88M,39.32M,0.66M,39.98M,39.98M,8.253M,,,-15.99M,,,,,,20.21M,-49.43M,104.73M,-18.36M,0.00,-18.36M,,283.50M,54.98M,320.12M,,-1.246B,26.48M,0.00,26.48M,,,,,-1.219B,1.313B,-794.22M,-0.63M,517.87M,26.48M,,,0.00
2003-07,78.96M,,,-6.251M,42.30M,0.656M,42.95M,42.95M,-0.036M,,,15.99M,,,,,,-15.88M,-15.88M,115.73M,-20.08M,1.50M,-18.58M,,46.51M,5.443M,33.38M,,-3.09M,28.66M,-0.052M,28.61M,,,,,25.52M,1.138B,174.63M,-0.233M,1.313B,28.66M,,,-0.052M
2003-04,71.31M,,,3.969M,42.50M,0.656M,43.16M,43.16M,-11.00M,,,,,,,,,-0.178M,-0.178M,107.25M,-14.35M,,-14.35M,,-515.79M,2.986M,-527.15M,,-3.429M,8.992M,,8.992M,,,,,5.563M,1.552B,-414.34M,0.297M,1.138B,8.992M,,,
2003-01,59.99M,,,2.282M,41.54M,0.652M,42.19M,42.19M,4.943M,,,,,,,,,-4.153M,-4.153M,105.26M,-14.95M,,-14.95M,,-163.09M,5.716M,-172.33M,,-2.354M,6.731M,,6.731M,,,,,4.377M,1.614B,-62.70M,1.314M,1.552B,6.731M,,,
2002-10,34.77M,,,13.46M,-132.59M,-42.67M,62.74M,62.74M,-13.56M,,,-9.248M,,,,,,59.66M,-43.30M,44.86M,-15.93M,,-15.93M,0.00,489.58M,2.569M,476.22M,,-1.52M,5.802M,,-91.95M,,,,,-93.47M,1.186B,427.62M,0.123M,1.614B,5.802M,,,
2002-07,31.41M,,,-0.08M,132.59M,42.67M,59.67M,59.67M,-4.871M,,,9.248M,,,,,,-50.25M,-50.25M,45.13M,-14.28M,,-14.28M,-2.625M,-253.00M,0.826M,-269.09M,,-1.687M,16.21M,,16.21M,,,,,14.52M,1.394B,-209.43M,1.32M,1.186B,16.21M,,,
2002-04,14.43M,,,6.691M,,,58.95M,58.95M,-29.97M,,,,,,,,,-25.25M,-25.25M,24.85M,-15.68M,,-15.68M,0.003M,-120.71M,1.085M,-135.30M,,-0.999M,4.941M,,4.941M,,,,,3.942M,1.500B,-106.51M,0.14M,1.394B,4.941M,,,
2002-01,24.69M,,,6.281M,,,56.63M,56.63M,7.837M,,,,,,,,,15.84M,15.84M,111.28M,-11.52M,,-11.52M,-2.623M,34.15M,-1.634M,18.38M,,-4.061M,10.35M,,10.35M,,,,,6.293M,1.365B,135.95M,-0.403M,1.500B,10.35M,,,
