,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,,AsOriginallyReported,Restated
2009-09,1.396B,1.396B,811.00M,585.00M,221.00M,420.00M,17.00M,43.00M,114.00M,4.00M,-110.00M,,658.00M,-73.00M,4.00M,114.00M,-110.00M,43.00M,-110.00M,-140.00M,-5.00M,-135.00M,,29.00M,22.00M,-106.00M,-147.46M,256.00M,282.00M,-26.00M,,-0.18,0.00,,-0.2397,-0.18,,-0.18,0.00,,-0.2397,-0.18,,694.00M,694.00M,,AOR,Restated
2009-06,1.184B,1.184B,743.00M,441.00M,247.00M,425.00M,17.00M,5.00M,108.00M,6.00M,-102.00M,,689.00M,-248.00M,6.00M,108.00M,-102.00M,5.00M,-102.00M,-345.00M,-10.00M,-335.00M,,25.00M,20.00M,-310.00M,-314.86M,45.00M,282.00M,-237.00M,,-0.49,0.00,,-0.4973,-0.49,,-0.49,0.00,,-0.4973,-0.49,,667.00M,667.00M,,AOR,Restated
2009-03,1.177B,1.177B,666.00M,511.00M,287.00M,444.00M,18.00M,34.00M,97.00M,3.00M,-94.00M,,749.00M,-238.00M,3.00M,97.00M,-94.00M,34.00M,-94.00M,-298.00M,116.00M,-414.00M,,6.00M,8.00M,-408.00M,-430.10M,79.00M,280.00M,-201.00M,,-0.66,0.00,,-0.6953,-0.66,,-0.66,0.00,,-0.6953,-0.66,,626.00M,626.00M,,AOR,Restated
2008-12,1.162B,1.162B,890.00M,272.00M,317.00M,465.00M,30.00M,-686.00M,95.00M,7.00M,-88.00M,0.00,812.00M,-540.00M,7.00M,95.00M,-88.00M,-686.00M,-88.00M,-1.351B,69.00M,-1.42B,-10.00M,-6.00M,,-1.436B,-980.10M,-953.00M,303.00M,-1.256B,,-2.35,-0.01,,-1.615,-2.36,,-2.35,-0.01,,-1.615,-2.36,,607.00M,607.00M,,,Restated
2008-09,1.797B,1.797B,881.00M,916.00M,315.00M,438.00M,30.00M,-24.00M,94.00M,7.00M,-87.00M,,783.00M,133.00M,7.00M,94.00M,-87.00M,-24.00M,-87.00M,22.00M,-1.00M,23.00M,-150.00M,-7.00M,,-134.00M,31.60M,409.00M,293.00M,116.00M,,0.03,-0.25,,0.0557,-0.22,,0.03,-0.25,,0.0557,-0.22,,608.00M,608.00M,,,Restated
2008-06,1.362B,1.362B,851.00M,511.00M,335.00M,467.00M,37.00M,-468.00M,101.00M,10.00M,-91.00M,-193.00M,646.00M,-135.00M,10.00M,101.00M,-91.00M,-468.00M,-91.00M,-694.00M,0.00,-694.00M,-494.00M,-7.00M,,-1.195B,-233.00M,-283.00M,310.00M,-593.00M,,-1.16,-0.81,,-0.3890,-1.97,,-1.16,-0.81,,-0.3890,-1.97,,607.00M,607.00M,,,Restated
2008-03,1.487B,1.487B,866.00M,621.00M,337.00M,478.00M,40.00M,-1.00M,101.00M,15.00M,-86.00M,,855.00M,-234.00M,15.00M,101.00M,-86.00M,-1.00M,-86.00M,-321.00M,0.00,-321.00M,-30.00M,-13.00M,,-364.00M,-333.00M,97.00M,317.00M,-220.00M,,-0.55,-0.05,,-0.5484,-0.60,,-0.55,-0.05,,-0.5484,-0.60,,606.00M,606.00M,,,Restated
2007-12,1.861B,1.861B,1.061B,800.00M,331.00M,510.00M,109.00M,-1.131B,,,,,2.082B,-1.282B,,,,-1.20B,,-1.245B,-32.00M,-1.403B,-369.00M,-9.00M,,-1.772B,-301.07M,-1.118B,164.00M,-1.282B,,-2.48,-0.66,,-0.5768,-3.14,,-2.48,-0.66,,-0.5768,-3.14,,579.00M,579.00M,,,
2007-09,1.558B,1.558B,923.00M,635.00M,346.00M,431.00M,39.00M,-1.00M,,,,,816.00M,-181.00M,,,,-58.00M,,-324.00M,20.00M,-344.00M,-52.00M,-9.00M,,-396.00M,-343.35M,153.00M,334.00M,-181.00M,,-0.62,-0.09,,-0.6188,-0.71,,-0.62,-0.09,,-0.6188,-0.71,,554.00M,554.00M,,,
2007-06,1.378B,1.378B,917.00M,461.00M,365.00M,475.00M,78.00M,-9.00M,,,,,918.00M,-457.00M,,,,-22.00M,,-568.00M,32.00M,-600.00M,,-9.00M,,-600.00M,-594.15M,-131.00M,326.00M,-457.00M,,-1.09,0.00,,-1.079,-1.09,,-1.09,0.00,,-1.079,-1.09,,552.00M,552.00M,,,
