,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,WorkinProcessInventory,FinishedGoodsInventory,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
1992-03,,7.50M,,7.50M,,315.90M,,,450.10M,,116.30M,889.80M,,,,,,,747.60M,-365.70M,381.90M,,,,,352.60M,734.50M,1.624B,,228.50M,,228.50M,,228.50M,,,,9.80M,,9.80M,257.90M,496.20M,70.50M,,70.50M,,,,,182.80M,253.30M,749.50M,,,809.00M,,,,,,874.80M,,,
1991-12,,100.80M,,100.80M,,246.50M,,,421.80M,,118.00M,887.10M,,,,,,,734.90M,-357.80M,377.10M,,175.20M,175.20M,,172.50M,724.80M,1.612B,,203.60M,,203.60M,,203.60M,,,,43.10M,,43.10M,241.70M,488.40M,71.80M,,71.80M,99.80M,99.80M,,,83.90M,255.50M,743.90M,,,805.70M,,,,,,868.00M,,,
1991-09,,69.30M,,69.30M,,317.40M,,,389.40M,,113.90M,890.00M,,,,,,,725.90M,-345.40M,380.50M,,,,,329.40M,709.90M,1.600B,,222.90M,,222.90M,,222.90M,,,,,,,253.20M,476.10M,98.30M,,98.30M,,,,,175.60M,273.90M,750.00M,,,790.30M,,,,,,849.90M,,,
1991-06,,6.60M,,6.60M,,338.60M,,,410.90M,,127.20M,883.30M,,,,,,,716.10M,-334.90M,381.20M,,,,,329.90M,711.10M,1.594B,,235.60M,,235.60M,,235.60M,,,,27.00M,,27.00M,249.20M,511.80M,98.80M,,98.80M,,,,,176.30M,275.10M,786.90M,,,749.10M,,,,,,807.50M,,,
1991-03,,1.90M,,1.90M,,292.40M,,,407.60M,,130.90M,832.80M,,,,,,,697.70M,-325.50M,372.20M,,,,,312.10M,684.30M,1.517B,,207.10M,,207.10M,,207.10M,,,,19.00M,,19.00M,215.10M,441.20M,136.80M,,136.80M,,,,,172.30M,309.10M,750.30M,,,710.60M,,,,,,766.80M,,,
1990-12,,96.00M,,96.00M,,229.90M,,,373.30M,,125.10M,824.30M,,,,,,,687.90M,-314.50M,373.40M,,149.70M,149.70M,,157.00M,680.10M,1.504B,,202.90M,,202.90M,,202.90M,,,,2.70M,,2.70M,226.60M,432.20M,138.00M,,138.00M,98.00M,98.00M,,,72.50M,308.50M,740.70M,,,712.20M,,,,,,763.70M,,,
1990-09,,56.60M,,56.60M,,279.40M,,,338.60M,,103.00M,777.60M,,,,,,,666.20M,-302.50M,363.70M,,,,,307.10M,670.80M,1.448B,,177.60M,,177.60M,,177.60M,,,,,,,239.90M,417.50M,110.50M,,110.50M,,,,,171.20M,281.70M,699.20M,,,698.70M,,,,,,749.20M,,,
1990-06,,4.20M,,4.20M,,263.10M,,,366.00M,,110.30M,743.60M,,,,,,,653.80M,-297.40M,356.40M,,,,,305.60M,662.00M,1.406B,,195.20M,,195.20M,,195.20M,,,,,,,228.30M,423.50M,104.50M,,104.50M,,,,,167.70M,272.20M,695.70M,,,660.20M,,,,,,709.90M,,,
1990-03,,112.90M,,112.90M,,246.60M,,,346.00M,,128.00M,833.50M,,,,,,,656.80M,-296.40M,360.40M,,,,,175.10M,535.50M,1.369B,,178.40M,,178.40M,,178.40M,,,,,,,247.20M,425.60M,104.00M,,104.00M,,,,,168.80M,272.80M,698.40M,,,623.50M,,,,,,670.60M,,,
1989-12,,132.20M,,132.20M,,205.70M,,,326.50M,,181.50M,845.90M,,,,,,,646.80M,-287.90M,358.90M,,,,,170.20M,529.10M,1.375B,,176.00M,,176.00M,,176.00M,,,,20.50M,,20.50M,236.80M,433.30M,105.00M,,105.00M,93.60M,93.60M,,,75.50M,274.10M,707.40M,,,621.80M,,,,,,667.60M,,,
1989-09,,60.90M,,60.90M,,256.10M,,,309.50M,,200.80M,827.30M,,,,,,,638.10M,-287.90M,350.20M,,,,,168.90M,519.10M,1.346B,,163.80M,,163.80M,,163.80M,,,,,,,246.20M,410.00M,127.80M,,127.80M,,,,,145.30M,273.10M,683.10M,,,619.30M,,,,,,663.30M,,,
1989-06,,33.10M,,33.10M,,260.80M,,,351.20M,,154.40M,799.50M,,,,,,,631.50M,-285.60M,345.90M,,,,,166.10M,512.00M,1.312B,,176.80M,,176.80M,,176.80M,,,,,,,231.00M,407.80M,128.20M,,128.20M,,,,,149.10M,277.30M,685.10M,,,585.30M,,,,,,626.40M,,,
1988-12,,154.20M,,154.20M,,195.70M,,,323.00M,,93.20M,766.10M,,,,,,,599.50M,-266.90M,332.60M,,,,,160.00M,492.60M,1.259B,,,,,,,,,,,,,,378.00M,129.60M,,129.60M,92.20M,92.20M,,,57.60M,279.40M,657.40M,,,552.80M,,,,,,601.30M,,,
1987-12,,208.50M,,208.50M,,177.70M,,,281.40M,,89.60M,757.20M,,,,,,,438.80M,-225.60M,213.20M,,,,,169.60M,382.80M,1.14B,,,,,,,,,,7.20M,,7.20M,362.90M,370.10M,89.20M,,89.20M,88.40M,88.40M,,,42.60M,220.20M,590.30M,,,479.60M,,,,,,549.70M,,,
1986-12,,101.70M,,101.70M,,180.20M,,,409.90M,,61.70M,753.50M,,,,,,,455.90M,-221.00M,234.90M,,,,,157.20M,392.10M,1.146B,,,,,,,,,,9.20M,,9.20M,421.10M,430.30M,119.70M,,119.70M,78.90M,78.90M,,,25.10M,223.70M,654.00M,,,407.90M,,,,,,491.60M,,,
1985-12,,170.00M,,170.00M,,164.10M,,,366.60M,,47.40M,748.10M,,,,,,,426.10M,-195.90M,230.20M,,,,,77.50M,307.70M,1.056B,,,,,,,,,,9.10M,,9.10M,367.40M,376.50M,145.40M,,145.40M,36.00M,36.00M,,,32.50M,213.90M,590.40M,,,358.70M,,,,,,465.40M,,,
1984-12,,166.20M,,166.20M,,157.50M,,,337.80M,,48.00M,709.50M,,,,,,,438.60M,-217.50M,221.10M,,,,,73.80M,294.90M,1.004B,,,,,,,,,,11.80M,,11.80M,353.50M,365.30M,168.90M,,168.90M,29.50M,29.50M,,,36.60M,235.00M,600.30M,,,305.20M,,,,,,404.10M,,,
