,Cash,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
1993-11,,3.50M,3.50M,,123.40M,,,,249.40M,,14.90M,391.20M,,,,,,,213.30M,-53.90M,159.40M,,33.60M,33.60M,,,,193.00M,584.20M,,45.90M,,,45.90M,,45.90M,,,,,82.60M,,82.60M,,,57.90M,186.40M,179.20M,,179.20M,20.60M,20.60M,,3.30M,203.10M,389.50M,,,92.20M,,,,,,,194.70M,,,
1993-08,,3.70M,3.70M,,75.90M,,,,147.20M,,17.30M,244.10M,,,,,,,130.20M,-51.60M,78.60M,,32.50M,32.50M,,,,111.10M,355.20M,,41.30M,,,41.30M,,41.30M,,,,,20.80M,,20.80M,,,34.70M,96.80M,108.30M,,108.30M,20.60M,20.60M,,3.40M,132.30M,229.10M,,,86.50M,,,,,,,126.10M,,,
1993-05,,0.30M,0.30M,,30.90M,,,,91.10M,,6.70M,129.00M,,,,,,,115.50M,-44.60M,70.90M,,11.00M,11.00M,,,,81.90M,210.90M,,14.60M,,,14.60M,,14.60M,,,,,8.30M,,8.30M,,,12.20M,35.10M,61.90M,,61.90M,7.80M,7.80M,,0.40M,70.10M,105.20M,,,80.90M,,,,,,,105.70M,,,
1993-02,,1.50M,1.50M,,28.30M,,,,99.60M,,4.80M,134.20M,,,,,,,116.30M,-44.60M,71.70M,,10.90M,10.90M,,,,82.60M,216.80M,,14.60M,,,14.60M,,14.60M,,,,,18.30M,,18.30M,,,11.50M,44.40M,61.90M,,61.90M,7.80M,7.80M,,0.40M,70.10M,114.50M,,,77.50M,,,,,,,102.30M,,,
1992-11,,1.20M,1.20M,,44.60M,,,,109.00M,,3.10M,157.90M,,,,,,,117.10M,-44.60M,72.50M,,11.10M,11.10M,,,0.10M,83.70M,241.60M,,23.50M,,,23.50M,,23.50M,,,,,35.30M,,35.30M,,,13.50M,72.30M,61.90M,,61.90M,7.80M,7.80M,,0.40M,70.10M,142.40M,,,74.50M,,,,,,,99.20M,,,
1992-08,,2.20M,2.20M,,33.80M,,,,92.70M,,5.40M,134.10M,,,,,,,117.20M,-44.60M,72.60M,,11.20M,11.20M,,,-0.10M,83.70M,217.80M,,40.70M,,,40.70M,,40.70M,,,,,0.30M,,0.30M,,,11.20M,52.20M,61.90M,,61.90M,7.80M,7.80M,,0.40M,70.10M,122.30M,,,70.90M,,,,,,,95.50M,,,
1992-05,,1.50M,1.50M,,32.80M,,,,71.90M,,6.70M,112.90M,,,,,,,110.10M,-38.50M,71.60M,,9.30M,9.30M,,,,80.90M,193.80M,,16.40M,,,16.40M,,16.40M,,,,,5.30M,,5.30M,,,9.70M,31.40M,62.10M,,62.10M,7.90M,7.90M,,0.40M,70.40M,101.80M,,,67.50M,,,,,,,92.00M,,,
1992-02,,0.10M,0.10M,,29.90M,,,,80.60M,,17.20M,127.80M,,,,,,,110.70M,-38.50M,72.20M,,9.50M,9.50M,,,,81.70M,209.50M,,17.00M,,,17.00M,,17.00M,,,,,4.30M,,4.30M,,,9.10M,30.40M,82.10M,,82.10M,7.90M,7.90M,,0.50M,90.50M,120.90M,,,64.10M,,,,,,,88.60M,,,
1991-11,,0.10M,0.10M,,41.70M,,,,88.00M,,5.20M,135.00M,,,,,,,111.60M,-38.50M,73.10M,,9.30M,9.30M,,,,82.40M,217.40M,,27.20M,,,27.20M,,27.20M,,,,,18.30M,,18.30M,,,11.00M,56.50M,98.10M,,98.10M,7.90M,7.90M,,0.50M,106.50M,163.00M,,,62.00M,,,,,,,54.40M,,,
1991-08,,6.90M,6.90M,,23.00M,,,,43.60M,,24.90M,98.40M,,,,,,,81.50M,-38.50M,43.00M,,5.80M,5.80M,,,,48.80M,147.20M,,16.60M,,,16.60M,,16.60M,,,,,0.90M,,0.90M,,,7.10M,24.60M,62.30M,,62.30M,7.90M,7.90M,,0.40M,70.60M,95.20M,,,59.60M,,,,,,,52.00M,,,
1991-05,,1.30M,1.30M,,26.50M,,,,46.10M,,19.90M,93.80M,,,,,,,77.20M,-33.90M,43.30M,,5.70M,5.70M,,,-0.10M,48.90M,142.70M,,12.80M,,,12.80M,,12.80M,,,,,0.90M,,0.90M,,,8.10M,21.80M,62.70M,,62.70M,7.90M,7.90M,,0.60M,71.20M,93.00M,,,57.40M,,,,,,,49.70M,,,
1991-02,,0.20M,0.20M,,22.00M,,,,54.70M,,11.10M,88.00M,,,,,,,77.80M,-33.90M,43.90M,,5.80M,5.80M,,,,49.70M,137.70M,,11.00M,,,11.00M,,11.00M,,,,,0.90M,,0.90M,,,7.10M,19.00M,62.80M,,62.80M,7.90M,7.90M,,0.60M,71.30M,90.30M,,,55.10M,,,,,,,47.40M,,,
1990-11,,0.10M,0.10M,,25.20M,,,,57.70M,,9.20M,92.20M,,,,,,,78.70M,-33.90M,44.80M,,5.70M,5.70M,,,,50.50M,142.70M,,14.60M,,,14.60M,,14.60M,,,,,0.90M,,0.90M,,,6.70M,22.20M,62.80M,,62.80M,8.20M,8.20M,,0.50M,71.50M,93.70M,,,53.50M,,,,,,,49.00M,,,
1990-08,,1.20M,1.20M,,22.30M,,,,40.70M,,27.30M,91.50M,,,,,,,79.60M,-33.90M,45.70M,,5.70M,5.70M,,,,51.40M,142.90M,,16.80M,,,16.80M,,16.80M,,,,,0.90M,,0.90M,,,6.20M,23.90M,63.10M,,63.10M,8.20M,8.20M,,0.50M,71.80M,95.70M,,,51.90M,,,,,,,47.20M,,,
1990-05,,1.20M,1.20M,,21.90M,,,,43.70M,,18.20M,85.00M,,,,,,,74.70M,-29.10M,45.60M,,4.90M,4.90M,,,0.10M,50.60M,135.60M,,11.50M,,,11.50M,,11.50M,,,,,0.90M,,0.90M,,,6.50M,18.90M,62.50M,,62.50M,7.60M,7.60M,,0.50M,70.60M,89.50M,,,50.70M,,,,,,,46.10M,,,
1990-02,,0.60M,0.60M,,21.50M,,,,53.50M,,4.80M,80.40M,,,,,,,75.30M,-29.10M,46.20M,,5.00M,5.00M,,,,51.20M,131.60M,,9.90M,,,9.90M,,9.90M,,,,,0.90M,,0.90M,,,5.40M,16.20M,62.70M,,62.70M,7.30M,7.30M,,0.60M,70.60M,86.80M,,,49.50M,,,,,,,44.80M,,,
1989-11,,0.60M,0.60M,,25.60M,,,,57.30M,,3.10M,86.60M,,,,,,,76.00M,-29.10M,46.90M,,4.40M,4.40M,,,,51.30M,137.90M,,12.90M,,,12.90M,,12.90M,,,,,3.00M,,3.00M,,,7.30M,23.20M,62.70M,,62.70M,7.40M,7.40M,,0.70M,70.80M,94.00M,,,48.60M,,,,,,,43.90M,,,
1989-08,,6.10M,6.10M,,21.10M,,,,42.70M,,18.00M,87.90M,,,,,,,76.00M,-29.10M,46.90M,,4.50M,4.50M,,,,51.40M,139.30M,,18.80M,,,18.80M,,18.80M,,,,,0.90M,,0.90M,,,5.80M,25.50M,63.00M,,63.00M,7.40M,7.40M,,0.60M,71.00M,96.50M,,,47.40M,,,,,,,42.80M,,,
1988-08,,14.70M,14.70M,,23.90M,,,,39.50M,,8.20M,86.30M,,,,,,,74.50M,-25.30M,49.20M,,,,,,4.20M,53.40M,139.70M,,,,,,,,,,,,0.90M,,0.90M,,,21.40M,22.30M,63.90M,,63.90M,8.20M,8.20M,,0.60M,72.70M,95.00M,,,45.10M,,,,,,,44.70M,,,
1987-08,,23.00M,23.00M,,17.50M,,,,48.30M,,22.00M,110.80M,,,,,,,62.00M,-21.10M,40.90M,,,,,,9.30M,50.20M,161.00M,,,,,,,,,,,,11.50M,,11.50M,,,30.80M,42.30M,64.70M,,64.70M,5.10M,5.10M,,0.10M,69.90M,112.20M,,,49.20M,,,,,,,48.80M,,,
1986-08,,64.40M,64.40M,,24.30M,,,,24.90M,,5.00M,118.60M,,,,,,,45.20M,-17.80M,27.40M,,,,,,2.90M,30.30M,148.90M,,,,,,,,,,,,1.00M,,1.00M,,,19.50M,20.50M,65.80M,,65.80M,4.00M,4.00M,,0.10M,69.90M,90.40M,,,58.90M,,,,,,,58.50M,,,
1985-08,,9.10M,9.10M,,25.10M,,,,20.80M,,1.20M,56.20M,,,,,,,37.60M,-15.20M,22.40M,,,,,,0.50M,22.90M,79.10M,,,,,,,,,,,,1.00M,,1.00M,,,20.50M,21.50M,6.70M,,6.70M,3.00M,3.00M,,,9.70M,31.20M,,,48.30M,,,,,,,47.90M,,,
1984-08,,8.00M,8.00M,,13.30M,,,,20.30M,,1.60M,43.20M,,,,,,,29.70M,-13.30M,16.40M,,,,,,1.00M,17.40M,60.60M,,,,,,,,,,,,0.70M,,0.70M,,,11.40M,12.10M,7.70M,,7.70M,2.40M,2.40M,,,10.10M,22.20M,,,38.80M,,,,,,,38.40M,,,
