,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
1993-03,127.10M,,127.10M,,,1.615B,,,,398.80M,,,610.20M,2.751B,,,,,,3.809B,-2.490B,1.320B,,233.30M,233.30M,,,543.00M,2.096B,4.847B,,346.80M,,346.80M,,346.80M,,,10.80M,,10.80M,,,547.40M,905.00M,641.40M,,641.40M,,,,5.90M,1.150B,1.791B,2.696B,,,1.839B,,,,,,2.145B,,,
1992-12,233.30M,,233.30M,,,2.257B,,,,381.70M,,,86.50M,2.958B,,,,,,3.691B,-2.458B,1.233B,,121.40M,121.40M,,,423.00M,1.778B,4.736B,,383.70M,,383.70M,,383.70M,,,0.70M,,0.70M,,,578.60M,963.00M,656.70M,,656.70M,,,,11.90M,1.197B,1.854B,2.817B,,,1.847B,,,,,,1.907B,,,
1992-09,176.20M,,176.20M,,,2.337B,,,,449.30M,,,47.60M,3.010B,,,,,,3.634B,-2.437B,1.197B,,130.40M,130.40M,,,448.50M,1.776B,4.786B,,371.00M,,371.00M,,371.00M,,,9.00M,,9.00M,,,539.40M,919.40M,612.50M,,612.50M,49.20M,49.20M,,18.30M,1.051B,1.713B,2.632B,,,2.066B,,,,,,2.136B,,,
1992-06,104.00M,,104.00M,,,1.701B,,,,462.30M,,,734.20M,3.002B,,,,,,3.593B,-2.378B,1.215B,,131.70M,131.70M,,,467.10M,1.814B,4.815B,,376.70M,,376.70M,,376.70M,,,22.60M,,22.60M,,,524.70M,924.00M,608.30M,,608.30M,38.10M,38.10M,,20.30M,1.090B,1.736B,2.660B,,,2.06B,,,,,,2.135B,,,
1992-03,95.90M,,95.90M,,,1.722B,,,,475.50M,,,764.60M,3.058B,,,,,,3.581B,-2.375B,1.205B,,131.60M,131.60M,,,438.70M,1.776B,4.834B,,368.10M,,368.10M,,368.10M,,,14.60M,,14.60M,,,501.60M,884.30M,637.20M,,637.20M,54.00M,54.00M,,19.10M,1.10B,1.791B,2.676B,,,2.074B,,,,,,2.139B,,,
1991-12,131.60M,,131.60M,,,1.772B,,,,476.30M,,,823.30M,3.204B,,,,,,3.546B,-2.354B,1.192B,,373.00M,373.00M,,,249.00M,1.814B,5.017B,,409.20M,,409.20M,,409.20M,,,10.80M,,10.80M,,,576.30M,996.30M,653.20M,,653.20M,41.40M,41.40M,,18.50M,1.143B,1.838B,2.834B,,,2.091B,,,,,,2.165B,,,
1991-09,110.40M,,110.40M,,,1.760B,,,,524.80M,,,869.20M,3.264B,,,,,,3.522B,-2.348B,1.174B,,132.10M,132.10M,,,470.40M,1.777B,5.041B,,383.00M,,383.00M,,383.00M,,,21.70M,,21.70M,,,569.00M,973.70M,646.50M,,646.50M,52.20M,52.20M,,20.00M,1.114B,1.812B,2.786B,,,2.176B,,,,,,2.235B,,,
1991-06,76.20M,,76.20M,,,1.687B,,,,516.10M,,,927.90M,3.207B,,,,,,3.378B,-2.265B,1.114B,,122.00M,122.00M,,,475.40M,1.711B,4.918B,,369.80M,,369.80M,,369.80M,,,7.50M,,7.50M,,,492.60M,869.90M,642.00M,,642.00M,74.00M,74.00M,,16.60M,1.090B,1.806B,2.676B,,,2.178B,,,,,,2.225B,,,
1991-03,348.70M,,348.70M,,,1.681B,,,,504.90M,,,753.30M,3.288B,,,,,,3.294B,-2.246B,1.048B,,123.10M,123.10M,,,478.20M,1.649B,4.937B,,385.70M,,385.70M,,385.70M,,,5.50M,,5.50M,,,455.80M,847.00M,670.80M,,670.80M,76.30M,76.30M,,21.00M,1.091B,1.838B,2.685B,,,2.172B,,,,,,2.231B,,,
1990-12,123.40M,,123.40M,,,1.666B,,,,469.00M,,,696.20M,2.955B,,,,,,1.234B,-220.30M,1.013B,,124.20M,124.20M,,,451.40M,1.589B,4.544B,,370.40M,,370.40M,,370.40M,,,5.90M,,5.90M,,,520.80M,897.10M,189.80M,,189.80M,87.00M,87.00M,,20.30M,1.103B,1.380B,2.277B,,,2.172B,,,,,,2.247B,,,
1990-09,190.30M,,190.30M,,,1.627B,,,,459.40M,,,669.80M,2.946B,,,,,,3.243B,-2.273B,969.70M,,125.30M,125.30M,,,416.40M,1.511B,4.458B,,436.20M,,436.20M,,436.20M,,,8.80M,,8.80M,,,279.50M,724.50M,194.10M,,194.10M,44.80M,44.80M,,26.20M,1.268B,1.507B,2.231B,,,2.140B,,,,,,2.201B,,,
1990-06,140.70M,,140.70M,,,1.557B,,,,439.00M,,,672.70M,2.810B,,,,,,3.364B,-2.402B,962.10M,,126.30M,126.30M,,,411.70M,1.500B,4.310B,,420.00M,,420.00M,,420.00M,,,8.40M,,8.40M,,,250.40M,678.80M,68.10M,,68.10M,198.30M,198.30M,,24.70M,1.179B,1.446B,2.124B,,,2.537B,,,,,,2.161B,,,
1990-03,277.20M,,277.20M,,,1.456B,,,,410.10M,,,674.30M,2.817B,,,,,,3.306B,-2.377B,928.70M,,124.80M,124.80M,,,371.10M,1.425B,4.242B,,417.10M,,417.10M,,417.10M,,,3.10M,,3.10M,,,257.90M,678.10M,76.50M,,76.50M,198.60M,198.60M,,25.20M,1.133B,1.408B,2.086B,,,2.090B,,,,,,2.131B,,,
1989-12,401.80M,,401.80M,,,1.392B,,,,378.40M,,,677.00M,2.850B,,,,,,3.286B,-2.363B,923.10M,,125.80M,125.80M,,,364.40M,1.413B,4.263B,,429.20M,,429.20M,,429.20M,,,1.70M,,1.70M,,,282.90M,713.80M,198.80M,,198.80M,78.10M,78.10M,,26.30M,1.127B,1.404B,2.118B,,,2.081B,,,,,,2.119B,,,
1989-09,305.60M,,305.60M,,,1.375B,,,,396.50M,,,681.40M,2.758B,,,,,,3.243B,-2.336B,907.00M,,,,,,565.20M,1.472B,4.231B,,420.30M,,420.30M,,420.30M,,,11.20M,,11.20M,,,197.70M,629.20M,199.60M,,199.60M,109.20M,109.20M,,28.30M,1.166B,1.475B,2.104B,,,2.060B,,,,,,2.098B,,,
1989-06,274.30M,,274.30M,,,1.327B,,,,404.20M,,,671.90M,2.678B,,,,,,3.358B,-2.438B,919.80M,,,,,,524.00M,1.444B,4.121B,,420.80M,,420.80M,,420.80M,,,4.90M,,4.90M,,,172.70M,598.40M,199.60M,,199.60M,99.80M,99.80M,,26.90M,1.118B,1.418B,2.016B,,,2.044B,,,,,,2.079B,,,
1988-12,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,4.722B,4.722B,,,,,,,,,,,,,,,0.00,199.60M,,199.60M,,,,,2.415B,2.615B,2.615B,,,2.052B,,,,,,2.107B,,,
1987-12,547.30M,,547.30M,,,934.20M,,,,228.40M,,,75.40M,1.785B,,,,,,3.080B,-2.215B,865.30M,,,,,,620.00M,1.485B,3.271B,,,,,,,,,31.50M,,31.50M,,,764.30M,795.80M,198.00M,,198.00M,183.40M,183.40M,,,11.90M,393.30M,1.189B,,,2.064B,,,,,,2.082B,,,
1986-12,513.40M,,513.40M,,,797.40M,,,,265.10M,,,104.60M,1.680B,,,,,,3.308B,-2.282B,1.026B,,,,,,621.70M,1.648B,3.328B,,,,,,,,,35.30M,,35.30M,,,707.50M,742.80M,241.10M,,241.10M,182.70M,182.70M,,,11.20M,435.00M,1.178B,,,2.122B,,,,,,2.150B,,,
1985-12,622.70M,,622.70M,,,1.073B,,,,473.50M,,,234.10M,2.403B,,,,,,3.882B,-2.310B,1.572B,,,,,,686.90M,2.259B,4.662B,,,,,,,,,169.00M,,169.00M,,,975.80M,1.145B,447.70M,,447.70M,197.50M,197.50M,,,14.10M,659.30M,1.804B,,,2.765B,,,,,,2.858B,,,
1984-12,1.047B,,1.047B,,,1.288B,,,,496.50M,,,,2.831B,,,,,,4.106B,-2.245B,1.861B,,,,,,660.60M,2.521B,5.352B,,,,,,,,,181.70M,,181.70M,,,1.082B,1.263B,480.20M,,480.20M,206.40M,206.40M,,,18.10M,704.70M,1.968B,,,3.300B,,,,,,3.384B,,,
