,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2010-06,4.387B,4.387B,3.578B,809.00M,,47.00M,,-9.00M,79.00M,3.00M,-76.00M,,47.00M,762.00M,3.00M,79.00M,-76.00M,-9.00M,-76.00M,677.00M,200.00M,477.00M,6.00M,,-3.00M,480.00M,480.34M,1.028B,272.00M,756.00M,,0.52,0.01,,,0.5270,0.53,,0.52,0.01,,,0.5270,0.53,,906.00M,909.00M,0.09,,AOR,Restated
2010-03,3.761B,3.761B,3.259B,502.00M,,58.00M,,-35.00M,79.00M,3.00M,-76.00M,,58.00M,444.00M,3.00M,79.00M,-76.00M,-35.00M,-76.00M,333.00M,121.00M,212.00M,-5.00M,,-1.00M,206.00M,233.28M,673.00M,261.00M,412.00M,,0.23,0.00,,,0.2546,0.23,,0.23,0.00,,,0.2545,0.23,,905.00M,908.00M,0.09,,AOR,Restated
2009-12,3.686B,3.686B,3.205B,481.00M,,58.00M,,-4.00M,75.00M,-3.00M,-78.00M,,53.00M,428.00M,-3.00M,75.00M,-78.00M,-4.00M,-78.00M,346.00M,98.00M,248.00M,-4.00M,,-1.00M,243.00M,249.87M,675.00M,254.00M,421.00M,,0.27,0.00,,,0.2732,0.27,,0.27,0.00,,,0.2732,0.27,,903.00M,905.00M,0.09,,AOR,Restated
2009-09,3.588B,3.588B,3.065B,523.00M,,49.00M,,-4.00M,80.00M,3.00M,-77.00M,,49.00M,474.00M,3.00M,80.00M,-77.00M,-4.00M,-77.00M,393.00M,124.00M,269.00M,-3.00M,,-4.00M,262.00M,267.74M,711.00M,238.00M,473.00M,,0.29,0.00,,,0.2930,0.29,,0.29,0.00,,,0.2930,0.29,,902.00M,904.00M,0.09,,AOR,Restated
2009-06,3.494B,3.494B,2.97B,524.00M,48.00M,48.00M,,,82.00M,3.00M,-79.00M,,48.00M,476.00M,3.00M,82.00M,-79.00M,-14.00M,-79.00M,383.00M,117.00M,266.00M,-1.00M,,-3.00M,262.00M,263.00M,689.00M,224.00M,465.00M,,0.29,0.00,,,0.29,0.29,,0.29,0.00,,,0.29,0.29,,898.00M,900.00M,0.09,,AOR,Restated
2009-03,3.907B,3.907B,3.239B,668.00M,,52.00M,,-5.00M,53.00M,2.00M,-51.00M,,52.00M,616.00M,2.00M,53.00M,-51.00M,-5.00M,-51.00M,560.00M,179.00M,381.00M,-1.00M,,-2.00M,378.00M,382.40M,828.00M,215.00M,613.00M,,0.42,0.00,,,0.4238,0.42,,0.42,0.00,,,0.4238,0.42,,897.00M,899.00M,0.09,,AOR,Restated
2008-12,4.91B,4.91B,3.686B,1.224B,,61.00M,,-26.00M,48.00M,4.00M,-44.00M,0.00,61.00M,1.163B,4.00M,48.00M,-44.00M,-26.00M,-44.00M,1.093B,342.00M,751.00M,-308.00M,,25.00M,468.00M,793.86M,1.344B,203.00M,1.141B,,0.87,-0.35,,,0.8900,0.52,,0.86,-0.35,,,0.8799,0.52,,895.00M,897.00M,0.09,,AOR,Restated
2008-09,4.853B,4.853B,3.725B,1.128B,,78.00M,,-4.00M,35.00M,6.00M,-29.00M,-1.00M,77.00M,1.051B,6.00M,35.00M,-29.00M,-4.00M,-29.00M,1.018B,343.00M,675.00M,0.00,,-3.00M,672.00M,674.65M,1.246B,193.00M,1.053B,,0.76,0.00,,,0.7630,0.76,,0.74,0.00,,,0.7429,0.74,,882.00M,908.00M,0.09,,,Restated
2008-06,4.487B,4.487B,3.492B,995.00M,,71.00M,,-2.00M,42.00M,9.00M,-33.00M,-25.00M,46.00M,949.00M,9.00M,42.00M,-33.00M,-2.00M,-33.00M,914.00M,288.00M,626.00M,-116.00M,,-6.00M,504.00M,621.37M,1.134B,178.00M,956.00M,,0.71,-0.13,,,0.7116,0.58,,0.68,-0.13,,,0.6815,0.55,,875.00M,918.00M,0.09,,,Restated
2008-03,4.029B,4.029B,3.146B,883.00M,,72.00M,,-1.00M,42.00M,20.00M,-22.00M,-36.00M,36.00M,847.00M,20.00M,42.00M,-22.00M,-1.00M,-22.00M,824.00M,238.00M,586.00M,1.00M,,-7.00M,580.00M,579.71M,1.03B,164.00M,866.00M,,0.66,0.00,,,0.6608,0.66,,0.63,0.00,,,0.6308,0.63,,879.00M,914.00M,0.09,,,Restated
2007-12,4.179B,4.179B,3.194B,985.00M,,79.00M,,-53.00M,,,,-1.00M,78.00M,907.00M,,,,-53.00M,,893.00M,212.00M,674.00M,16.00M,,,690.00M,714.42M,1.189B,166.00M,1.023B,,0.76,0.03,,,0.8061,0.79,,0.73,0.03,,,0.7741,0.76,,877.00M,917.00M,0.09,,,Restated
