,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
1993-12,1.90M,,1.90M,,,26.40M,,,,,23.30M,,,1.80M,53.40M,,,,,,,,34.80M,-22.60M,12.20M,,0.70M,0.70M,,1.30M,14.20M,67.60M,,12.50M,,12.50M,,12.50M,2.80M,2.80M,,,,8.80M,24.10M,4.50M,,4.50M,,,,,,0.10M,4.60M,28.70M,,,-12.60M,,,,,38.90M,,,
1993-09,0.90M,,0.90M,,,31.20M,,,,,22.50M,,,2.10M,56.70M,,,,,,,,28.60M,-15.80M,12.80M,,0.70M,0.70M,,1.50M,15.00M,71.70M,,11.60M,,11.60M,,11.60M,7.70M,7.70M,,,,10.20M,29.50M,4.90M,,4.90M,,,,,,0.30M,5.20M,34.70M,,,-13.50M,,,,,37.00M,,,
1993-06,1.60M,,1.60M,,,29.20M,,,,,22.20M,,,1.60M,54.60M,,,,,,,,29.20M,-15.80M,13.40M,,0.80M,0.80M,,1.20M,15.40M,70.00M,,12.20M,,12.20M,,12.20M,9.50M,9.50M,,,,9.30M,31.00M,5.30M,,5.30M,,,,,,0.20M,5.50M,36.50M,,,-15.20M,,,,,33.50M,,,
1993-03,1.30M,,1.30M,,,21.50M,,,,,24.00M,,,5.00M,51.80M,,,,,,,,29.60M,-15.80M,13.80M,,0.90M,0.90M,,1.00M,15.70M,67.50M,,11.20M,,11.20M,,11.20M,12.20M,12.20M,,,,8.30M,31.70M,5.50M,,5.50M,,,,,,0.30M,5.80M,37.50M,,,-15.90M,,,,,30.00M,,,
1992-12,1.90M,,1.90M,,,23.40M,,,,,23.00M,,,4.50M,52.80M,,,,,,,,30.60M,-15.80M,14.80M,,0.90M,0.90M,,1.00M,16.70M,69.50M,,10.90M,,10.90M,,10.90M,11.10M,11.10M,,,,10.10M,32.10M,5.90M,,5.90M,,,,,,2.00M,7.90M,40.00M,,,-16.00M,,,,,29.50M,,,
1992-09,1.10M,,1.10M,,,28.20M,,,,,24.60M,,,6.70M,60.60M,,,,,,,,25.10M,-9.10M,16.00M,,1.00M,1.00M,,2.70M,19.70M,80.30M,,12.60M,,12.60M,,12.60M,15.70M,15.70M,,,,11.50M,39.80M,6.20M,,6.20M,,,,,,2.60M,8.80M,48.60M,,,-13.40M,,,,,31.70M,,,
1992-06,1.60M,,1.60M,,,22.00M,,,,,27.60M,,,7.20M,58.40M,,,,,,,,26.10M,-9.10M,17.00M,,1.10M,1.10M,,2.30M,20.40M,78.80M,,12.80M,,12.80M,,12.80M,13.80M,13.80M,,,,11.50M,38.10M,6.50M,,6.50M,,,,,,3.10M,9.60M,47.70M,,,-13.70M,,,,,31.10M,,,
1992-03,2.10M,,2.10M,,,17.10M,,,,,35.10M,,,8.40M,62.70M,,,,,,,,26.60M,-9.10M,17.50M,,1.20M,1.20M,,2.10M,20.80M,83.50M,,13.50M,,13.50M,,13.50M,16.60M,16.60M,,,,8.60M,38.70M,3.70M,,3.70M,,,,,,3.50M,7.20M,45.90M,,,-0.40M,,,,,37.60M,,,
1991-12,1.60M,,1.60M,,,22.80M,,,,,32.60M,,,7.90M,64.90M,,,,,,,,27.20M,-9.10M,18.10M,,1.70M,1.70M,,2.10M,21.90M,86.80M,,9.90M,,9.90M,,9.90M,13.30M,13.30M,,,,8.40M,31.60M,4.30M,,4.30M,,,,,,3.90M,8.20M,39.80M,,,9.20M,,,,,47.00M,,,
1991-09,0.70M,,0.70M,,,25.80M,,,,,30.60M,,,3.80M,60.90M,,,,,,,,21.00M,-4.30M,16.70M,,1.50M,1.50M,,2.60M,20.80M,81.70M,,7.20M,,7.20M,,7.20M,7.80M,7.80M,,,,8.70M,23.70M,3.70M,,3.70M,,,,,,5.30M,9.00M,32.70M,,,13.50M,,,,,49.00M,,,
1991-06,4.00M,,4.00M,,,27.60M,,,,,31.00M,,,4.70M,67.30M,,,,,,,,18.40M,-4.30M,14.10M,,1.60M,1.60M,,1.90M,17.60M,84.90M,,14.10M,,14.10M,,14.10M,5.20M,5.20M,,,,9.70M,29.00M,3.90M,,3.90M,,,,,,5.80M,9.70M,38.70M,,,12.70M,,,,,46.20M,,,
1991-03,7.70M,,7.70M,,,23.70M,,,,,24.20M,,,2.30M,57.90M,,,,,,,,16.00M,-4.30M,11.70M,,,,,1.90M,13.60M,71.50M,,16.30M,,16.30M,,16.30M,0.80M,0.80M,,,,9.80M,26.90M,1.00M,,1.00M,,,,,,3.90M,4.90M,31.80M,,,6.50M,,,,,39.70M,,,
1990-12,9.00M,,9.00M,,,19.30M,,,,,13.50M,,,3.00M,44.80M,,,,,,,,12.00M,-4.30M,7.70M,,,,,0.40M,8.10M,52.90M,,7.10M,,7.10M,,7.10M,0.70M,0.70M,,,,6.10M,13.90M,1.10M,,1.10M,,,,,,1.70M,2.80M,16.70M,,,2.30M,,,,,36.20M,,,
1990-09,12.60M,,12.60M,,,13.40M,,,,,10.70M,,,1.00M,37.70M,,,,,,,,8.50M,-2.90M,5.60M,,,,,0.30M,5.90M,43.60M,,3.20M,,3.20M,,3.20M,0.70M,0.70M,,,,3.50M,7.40M,1.30M,,1.30M,,,,,,0.80M,2.10M,9.50M,,,0.90M,,,,,34.10M,,,
1990-06,0.30M,,0.30M,,,9.60M,,,,,11.00M,,,1.40M,22.30M,,,,,,,,8.30M,-2.90M,5.40M,,,,,0.30M,5.70M,28.00M,,5.90M,,5.90M,,5.90M,7.10M,7.10M,,,,3.20M,16.20M,4.70M,,4.70M,,,,,,0.80M,5.50M,21.70M,,,0.30M,,,,,6.30M,,,
1990-03,1.00M,,1.00M,,,6.80M,,,,,6.70M,,,0.70M,15.20M,,,,,,,,6.90M,-2.90M,4.00M,,,,,0.60M,4.60M,19.80M,,3.90M,,3.90M,,3.90M,3.00M,3.00M,,,,1.70M,8.60M,4.50M,,4.50M,,,,,,1.00M,5.50M,14.10M,,,0.10M,,,,,5.70M,,,
1989-12,0.50M,,0.50M,,,8.20M,,,,,5.20M,,,0.50M,14.40M,,,,,,,,6.20M,-2.50M,3.70M,,,,,0.50M,4.20M,18.60M,,3.30M,,3.30M,,3.30M,3.90M,3.90M,,,,1.40M,8.60M,4.40M,,4.40M,,,,,,,4.40M,13.00M,,,0.10M,,,,,5.60M,,,
1988-12,1.90M,,1.90M,,,3.00M,,,,,3.80M,,,0.70M,9.40M,,,,,,,,4.30M,-1.50M,2.80M,,,,,0.60M,3.40M,12.80M,,,,,,,0.90M,0.90M,,,,2.40M,3.30M,8.00M,,8.00M,,,,,,0.20M,8.20M,11.50M,,,-0.20M,,,,,1.30M,,,
