,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
1993-05,257.00M,257.00M,,,1.421B,,,,,2.439B,,369.10M,4.487B,,,,,,,3.719B,-1.331B,2.388B,,2.670B,2.670B,443.50M,5.502B,9.989B,,1.460B,1.460B,,1.460B,,,710.10M,,710.10M,,,2.103B,4.273B,,2.159B,,2.159B,,,,,,,1.146B,3.306B,7.578B,,355.90M,1.167B,,,355.90M,,,,2.410B,,,
1993-02,99.20M,99.20M,,,1.701B,,,,,3.160B,,411.00M,5.371B,,,,,,,3.592B,-1.277B,2.315B,,2.692B,2.692B,453.00M,5.460B,10.83B,,2.312B,2.312B,,2.312B,,,2.078B,,2.078B,,,684.20M,5.074B,,1.553B,,1.553B,,,,,,,2.064B,3.617B,8.691B,,356.00M,1.234B,,,356.00M,,,,2.139B,,,
1992-11,146.70M,146.70M,,,1.963B,,,,,3.342B,,350.10M,5.801B,,,,,,,3.480B,-1.201B,2.279B,,2.705B,2.705B,433.50M,5.417B,11.22B,,2.312B,2.312B,,2.312B,,,2.317B,,2.317B,,,697.70M,5.326B,,2.306B,,2.306B,,,,,,,957.50M,3.264B,8.590B,,355.90M,1.173B,,,355.90M,,,,2.628B,,,
1992-08,110.90M,110.90M,,,1.962B,,,,,2.751B,,403.50M,5.227B,,,,,,,3.396B,-1.132B,2.264B,,2.713B,2.713B,385.40M,5.362B,10.59B,,1.958B,1.958B,,1.958B,,,2.341B,,2.341B,,,578.50M,4.878B,,2.111B,,2.111B,,,,,,,960.60M,3.071B,7.949B,,356.00M,1.083B,,,356.00M,,,,2.640B,,,
1992-05,354.80M,354.80M,,,1.290B,,,,,2.374B,,352.10M,4.371B,,,,,,,3.364B,-1.088B,2.277B,,2.724B,2.724B,387.10M,5.388B,9.759B,,2.638B,2.638B,,2.638B,,,390.30M,,390.30M,,,1.053B,4.081B,,2.124B,,2.124B,,,,,,,964.70M,3.089B,7.170B,,356.00M,1.048B,,,356.00M,,,,2.588B,,,
1992-02,89.80M,89.80M,,,1.618B,,,,,3.042B,,388.00M,5.138B,,,,,,,3.303B,-1.047B,2.256B,,2.756B,2.756B,373.80M,5.386B,10.52B,,2.274B,2.274B,,2.274B,,,2.016B,,2.016B,,,586.40M,4.876B,,2.072B,,2.072B,,,,,,,1.058B,3.131B,8.007B,,356.00M,979.10M,,,356.00M,,,,2.517B,,,
1991-11,132.30M,132.30M,,,1.744B,,,,,3.106B,,319.70M,5.302B,,,,,,,3.186B,-961.30M,2.225B,,2.765B,2.765B,374.40M,5.365B,10.67B,,2.284B,2.284B,,2.284B,,,2.190B,,2.190B,,,593.70M,5.068B,,2.113B,,2.113B,,,,,,,1.066B,3.179B,8.247B,,356.00M,890.20M,,,356.00M,,,,2.420B,,,
1991-08,123.90M,123.90M,,,1.768B,,,,,2.593B,,353.20M,4.838B,,,,,,,3.137B,-916.60M,2.221B,,2.788B,2.788B,377.10M,5.386B,10.22B,,2.041B,2.041B,,2.041B,,,2.061B,,2.061B,,,517.20M,4.619B,,2.184B,,2.184B,,,,,,,1.079B,3.264B,7.883B,,356.10M,818.30M,,,356.10M,,,,2.341B,,,
1991-05,715.70M,715.70M,,,1.229B,,,,,2.020B,,378.50M,4.343B,,,,,,,2.740B,-798.60M,1.942B,,2.711B,2.711B,425.00M,5.077B,9.420B,,2.363B,2.363B,,2.363B,,,794.60M,,794.60M,,,929.40M,4.087B,,2.093B,,2.093B,,,,,,,1.066B,3.159B,7.247B,,356.10M,692.50M,,,356.10M,,,,2.174B,,,
1991-02,115.40M,115.40M,,,1.391B,,,,,2.387B,,388.70M,4.282B,,,,,,,2.643B,-789.50M,1.853B,,2.708B,2.708B,438.80M,5.000B,9.282B,,1.989B,1.989B,,1.989B,,,1.338B,,1.338B,,,671.90M,3.999B,,1.948B,,1.948B,,,,,,,1.231B,3.178B,7.178B,,356.20M,623.20M,,,356.20M,,,,2.104B,,,
1990-11,85.60M,85.60M,,,1.489B,,,,,2.602B,,397.60M,4.574B,,,,,,,2.552B,-731.50M,1.821B,,2.721B,2.721B,448.80M,4.990B,9.564B,,1.870B,1.870B,,1.870B,,,1.630B,,1.630B,,,791.30M,4.291B,,2.006B,,2.006B,,,,,,,1.348B,3.353B,7.644B,,356.20M,588.10M,,,356.20M,,,,1.920B,,,
1990-08,141.00M,141.00M,,,2.106B,,,,,2.377B,,395.70M,5.020B,,,,,,,2.530B,-697.20M,1.832B,,2.619B,2.619B,438.50M,4.890B,9.91B,,1.734B,1.734B,,1.734B,,,2.235B,,2.235B,,,774.90M,4.743B,,1.991B,,1.991B,,,,,,,1.317B,3.308B,8.051B,,356.30M,529.10M,,,356.30M,,,,1.859B,,,
1990-05,120.50M,120.50M,,,1.30B,,,,,1.649B,,278.50M,3.348B,,,,,,,1.704B,-668.90M,1.035B,,251.50M,251.50M,170.20M,1.456B,4.804B,,1.39B,1.39B,,1.39B,,,382.80M,,382.80M,,,1.195B,2.968B,,635.40M,,635.40M,103.30M,103.30M,,,,,,738.70M,3.706B,,2.20M,490.60M,,,2.20M,,,,1.098B,,,
1990-02,94.40M,94.40M,,,1.494B,,,,,1.938B,,343.90M,3.870B,,,,,,,1.679B,-656.10M,1.023B,,,,409.60M,1.432B,5.303B,,1.750B,1.750B,,1.750B,,,1.380B,,1.380B,,,438.60M,3.568B,,600.40M,,600.40M,95.40M,95.40M,,,,,0.20M,696.00M,4.264B,,2.50M,413.40M,,,2.50M,,,,1.039B,,,
1989-11,160.50M,160.50M,,,1.570B,,,,,1.975B,,298.00M,4.004B,,,,,,,1.669B,-656.10M,1.013B,,247.40M,247.40M,138.90M,1.399B,5.403B,,1.384B,1.384B,,1.384B,,,1.623B,,1.623B,,,701.80M,3.709B,,587.00M,,587.00M,95.40M,95.40M,,,,,0.10M,682.50M,4.392B,,3.50M,413.40M,,,3.50M,,,,1.011B,,,
1989-05,380.40M,380.40M,,,1.095B,,,,,1.383B,,302.00M,3.160B,,,,,,,1.398B,-572.20M,825.50M,,116.20M,116.20M,176.10M,1.118B,4.278B,,,,,,,,372.00M,,372.00M,,,2.280B,2.652B,,560.10M,,560.10M,108.40M,108.40M,,,,,8.70M,677.20M,3.329B,,,560.70M,,,,,,,949.50M,,,
1988-05,167.80M,167.80M,,,754.40M,,,,,1.096B,,57.90M,2.076B,,,,,,,1.167B,-470.50M,696.10M,,73.70M,73.70M,196.90M,966.70M,3.043B,,,,,,,,23.00M,,23.00M,,,1.613B,1.636B,,489.90M,,489.90M,92.90M,92.90M,,,,,9.60M,592.40M,2.228B,,,444.30M,,,,,,,814.40M,,,
1987-05,194.90M,194.90M,,,602.40M,,,,,864.00M,,45.80M,1.707B,,,,,,,1.002B,-400.20M,601.90M,,70.80M,70.80M,102.70M,775.40M,2.482B,,,,,,,,12.90M,,12.90M,,,1.224B,1.237B,,428.70M,,428.70M,81.40M,81.40M,,,,,13.30M,523.40M,1.76B,,,352.70M,,,,,,,722.50M,,,
1986-05,128.60M,128.60M,,,478.30M,,,,,640.70M,,35.90M,1.284B,,,,,,,660.00M,-232.90M,427.10M,,48.80M,48.80M,60.30M,536.20M,1.820B,,,,,,,,12.10M,,12.10M,,,914.10M,926.20M,,309.00M,,309.00M,59.80M,59.80M,,,,,14.20M,383.00M,1.309B,,,276.10M,,,,,,,510.50M,,,
1985-05,43.60M,43.60M,,,400.00M,,,,,579.60M,,39.70M,1.063B,,,,,,,548.50M,-174.70M,373.80M,,34.80M,34.80M,75.60M,484.20M,1.547B,,,,,,,,22.00M,,22.00M,,,733.30M,755.30M,,261.90M,,261.90M,48.20M,48.20M,,,,,23.40M,333.50M,1.089B,,,211.40M,,,,,,,458.30M,,,
1984-05,82.20M,82.20M,,,330.30M,,,,,404.80M,,23.60M,840.90M,,,,,,,440.60M,-109.40M,331.20M,,25.20M,25.20M,107.60M,464.00M,1.305B,,,,,,,,82.10M,,82.10M,,,536.90M,619.00M,,237.70M,,237.70M,12.40M,12.40M,,,,,30.30M,280.40M,899.40M,,,150.00M,,,,,,,405.50M,,,
