,NetIncome,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2002-09,9.667M,3.248M,2.005M,2.005M,-0.119M,,,,-1.401M,0.21M,1.236M,0.364M,,0.409M,15.21M,-2.758M,-2.758M,-2.744M,,-2.758M,,,,6.981M,,6.981M,,,,,6.981M,103.84M,19.43M,-0.194M,123.08M,6.981M,,,
2002-06,8.647M,2.087M,1.747M,1.747M,0.587M,,,,-6.858M,1.047M,-3.103M,8.697M,,-0.217M,12.85M,-2.897M,-2.897M,,,-5.641M,,,-0.674M,5.979M,,5.979M,,,,,5.305M,91.19M,12.52M,0.142M,103.84M,5.979M,,,
2002-03,7.109M,0.751M,1.927M,1.927M,0.511M,,,,-1.558M,-0.092M,-1.881M,0.758M,,-2.773M,7.525M,-1.944M,-1.944M,,,-1.944M,,,0.674M,,,,,,,,0.674M,84.98M,6.255M,-0.046M,91.19M,,,,
2001-12,4.64M,2.936M,1.801M,1.801M,2.116M,,,,-2.513M,0.657M,1.37M,-2.643M,,-3.129M,8.364M,-4.262M,-4.262M,,,-4.262M,,,-0.008M,1.165M,,1.165M,,,,,1.157M,79.77M,5.259M,-0.049M,84.98M,1.165M,,,
2001-09,6.108M,1.987M,1.629M,1.629M,2.238M,,,,2.436M,1.005M,-2.149M,2.518M,,3.81M,15.77M,-5.405M,-5.405M,,,-5.405M,,,,1.713M,,1.713M,,,,-0.022M,1.691M,67.66M,12.06M,0.05M,79.77M,1.713M,,,
2001-06,5.847M,2.224M,1.499M,1.499M,1.724M,,,,-3.807M,-0.232M,-0.635M,-0.135M,,-4.809M,6.485M,-2.178M,-2.178M,,,-2.178M,,,-0.756M,3.113M,,3.113M,,,,0.022M,2.379M,60.97M,6.686M,0.007M,67.66M,3.113M,,,
2001-03,5.565M,1.278M,1.438M,1.438M,1.713M,,,,0.051M,-0.627M,-2.401M,-5.559M,,-8.536M,1.458M,-3.108M,-3.108M,,,-3.108M,,,0.756M,,,,,,,,0.756M,61.98M,-0.894M,-0.116M,60.97M,,,,
2000-12,5.419M,0.466M,1.265M,1.265M,1.276M,,,,-2.204M,0.946M,-0.089M,5.948M,,4.601M,13.03M,-4.297M,-4.297M,,1.955M,-4.297M,,,,0.398M,,0.398M,,,,0.008M,0.406M,52.84M,9.136M,0.004M,61.98M,0.398M,,,
2000-09,4.785M,0.517M,1.245M,1.245M,1.561M,,,,-2.603M,0.38M,-0.08M,4.883M,,2.58M,10.69M,-3.481M,-3.481M,,0.00,-3.481M,,,,0.44M,,0.44M,,,,,0.44M,45.21M,7.647M,-0.02M,52.84M,0.44M,,,
2000-06,4.018M,0.834M,1.026M,1.026M,1.865M,,,,-1.429M,-0.248M,-0.991M,3.311M,,0.643M,8.386M,-2.081M,-2.081M,,-1.955M,-4.036M,,,-0.351M,0.917M,,0.917M,,,,-0.038M,0.528M,40.36M,4.878M,-0.029M,45.21M,0.917M,,,
2000-03,3.461M,0.013M,0.971M,0.971M,1.639M,,,,-4.589M,0.336M,-1.666M,-2.046M,,-7.965M,-1.881M,-0.793M,-0.793M,,,-0.793M,,,0.351M,,,,,,,0.038M,0.389M,42.64M,-2.285M,0.004M,40.36M,,,,
1999-12,3.00M,,0.80M,0.80M,1.80M,,,0.00,2.00M,0.30M,-0.80M,1.60M,,3.10M,8.70M,-1.00M,-1.00M,,,-1.00M,,,,1.30M,,1.30M,,,,,1.30M,33.70M,9.00M,,42.60M,1.30M,,,
1999-09,2.90M,,0.90M,0.90M,0.70M,,,-0.30M,0.70M,0.10M,-0.10M,1.00M,,1.70M,5.90M,-1.70M,-1.70M,,,-1.70M,,,,0.10M,,0.10M,,,,,0.10M,29.40M,4.30M,,33.70M,0.10M,,,
1999-06,2.50M,,0.70M,0.70M,0.20M,,,0.20M,2.10M,-0.70M,0.90M,0.30M,,2.60M,6.20M,-2.00M,-2.00M,,,-2.00M,,,,0.10M,,0.10M,,,,,0.10M,25.10M,4.30M,,29.40M,0.10M,,,
1999-03,2.80M,,0.60M,0.60M,1.60M,,,,-3.70M,,-1.20M,-2.30M,,-7.20M,-2.20M,-1.20M,-1.20M,,,-1.20M,,,,0.10M,,0.10M,,,,,0.10M,28.40M,-3.30M,,25.10M,0.10M,,,
