,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2008-05,1.826B,1.826B,1.419B,407.00M,,,165.50M,,,,233.60M,173.40M,,,,146.70M,43.40M,103.30M,-1.50M,101.80M,103.30M,242.70M,66.00M,174.60M,,0.74,0.00,0.74,0.74,,0.72,-0.01,0.72,0.70,,138.30M,144.50M,0.18,,,Restated
2008-02,1.811B,1.811B,1.398B,413.20M,,,162.80M,,,,229.50M,183.70M,,,,156.90M,41.30M,115.60M,10.40M,126.00M,115.60M,251.90M,68.20M,183.70M,,0.82,0.08,0.82,0.90,,0.80,0.08,0.80,0.88,,140.40M,143.70M,0.18,,,
2007-11,1.522B,1.522B,1.210B,312.50M,,,170.40M,,,,230.70M,81.80M,,,,59.20M,15.10M,44.10M,-0.60M,43.50M,44.10M,142.30M,60.50M,81.80M,,0.31,0.00,0.31,0.31,,0.30,0.00,0.30,0.30,,142.00M,146.90M,0.18,,,
2007-08,1.468B,1.468B,1.112B,355.20M,,,143.00M,,,,193.60M,161.60M,,,,151.90M,45.30M,106.60M,-0.70M,105.90M,106.60M,212.60M,51.00M,161.60M,,0.76,-0.01,0.76,0.75,,0.73,-0.01,0.73,0.72,,140.80M,146.20M,0.18,,,
2007-05,1.460B,1.460B,1.127B,333.00M,,,135.40M,,,,186.40M,146.60M,,,,137.30M,38.80M,98.50M,-153.70M,-55.20M,98.50M,197.60M,30.50M,146.60M,,0.70,-1.08,0.70,-0.38,,0.67,-1.08,0.67,-0.38,,140.40M,145.50M,0.23,,,
2007-02,1.450B,1.450B,1.098B,351.80M,,,134.40M,,,,184.20M,167.60M,,,,157.40M,39.70M,117.70M,-11.30M,106.40M,117.70M,238.60M,71.00M,167.60M,,0.82,-0.08,0.82,0.74,,0.79,-0.08,0.79,0.72,,142.90M,148.30M,0.00,,,
2006-11,1.298B,1.298B,1.008B,290.10M,,,133.40M,,,,183.20M,106.90M,,,,96.60M,29.00M,67.60M,-5.90M,61.70M,67.60M,157.20M,50.30M,106.90M,,0.46,-0.04,0.46,0.42,,0.45,-0.04,0.45,0.41,,145.30M,150.70M,0.23,,,
2006-08,1.360B,1.360B,1.026B,333.30M,,,133.70M,,,,183.60M,149.70M,,,,139.40M,46.10M,93.30M,-4.80M,88.50M,93.30M,200.00M,50.30M,149.70M,,0.64,-0.03,0.64,0.61,,0.62,-0.03,0.62,0.59,,144.90M,150.30M,0.00,,,
2006-05,1.145B,1.145B,840.18M,304.98M,,,101.90M,,,,133.92M,171.07M,,,,160.10M,54.19M,105.91M,,92.31M,105.91M,203.08M,27.29M,171.07M,,0.72,-0.09,0.72,0.63,,0.68,-0.09,0.68,0.60,,146.40M,153.90M,0.20,,,
2006-02,1.474B,1.474B,1.130B,344.52M,,,138.98M,,,,195.07M,149.45M,,,,139.14M,33.82M,105.32M,,105.32M,105.32M,211.46M,62.01M,149.45M,,0.70,0.00,0.70,0.70,,0.67,0.00,0.67,0.67,,149.40M,156.90M,0.00,,,
2005-11,1.325B,1.325B,1.046B,279.48M,,,130.89M,,-1.294M,,185.65M,93.83M,,-1.294M,,80.87M,25.81M,55.06M,,55.06M,55.94M,149.50M,55.67M,93.83M,,0.37,0.00,0.3759,0.37,,0.35,0.00,0.3556,0.35,,149.60M,156.20M,0.20,,,
