,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,UnrealizedGainorLoss-Total,MinimumPensionLiabilities,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
1995-01,49.40M,,49.40M,185.40M,,185.40M,,,,,383.60M,,,21.60M,640.00M,,,,,,517.90M,-277.10M,240.80M,,268.30M,268.30M,,76.30M,585.40M,1.225B,,186.20M,,,,186.20M,,186.20M,,,5.60M,5.60M,,,19.70M,211.50M,286.80M,,286.80M,119.00M,119.00M,,,95.60M,501.40M,712.90M,,11.80M,520.30M,,,11.80M,,,,,,512.50M,,,
1994-10,40.40M,,40.40M,299.20M,,299.20M,,,,,387.20M,,,32.40M,759.20M,,,,,,517.50M,-273.90M,243.60M,,270.50M,270.50M,,69.80M,583.90M,1.343B,,231.80M,,,,231.80M,,231.80M,,,95.20M,95.20M,,,12.30M,339.30M,292.80M,,292.80M,106.30M,106.30M,,,95.50M,494.60M,833.90M,,11.80M,440.70M,,,11.80M,,,,,,509.20M,,,
1994-07,35.30M,,35.30M,199.50M,,199.50M,,,,,368.50M,,,24.40M,627.70M,,,,,,508.70M,-264.40M,244.30M,,274.00M,274.00M,,66.70M,585.00M,1.213B,,180.60M,,,,180.60M,,180.60M,,,45.50M,45.50M,,,30.80M,256.90M,298.60M,,298.60M,104.40M,104.40M,,,93.30M,496.30M,753.20M,,11.80M,440.70M,,,11.80M,,,,,,459.50M,,,
1994-04,30.50M,,30.50M,240.60M,,240.60M,,,,,358.40M,,,20.40M,649.90M,,,,,,510.40M,-264.40M,246.00M,,276.40M,276.40M,,61.60M,584.00M,1.234B,,216.20M,,,,216.20M,,216.20M,,,59.10M,59.10M,,,5.80M,281.10M,299.10M,,299.10M,102.30M,102.30M,,,87.70M,489.10M,770.20M,,11.80M,445.60M,,,11.80M,,,,,,463.70M,,,
1994-01,67.80M,,67.80M,216.50M,,216.50M,,,,,363.10M,,,46.30M,693.70M,,,,,,481.50M,-233.80M,247.70M,,275.40M,275.40M,,58.20M,581.30M,1.275B,,203.70M,,,,203.70M,,203.70M,,,277.40M,277.40M,,,24.60M,505.70M,149.20M,,149.20M,84.80M,84.80M,,,85.00M,319.00M,824.70M,,11.80M,1.102B,,,11.80M,,,,,,450.30M,,,
1993-10,100.50M,,100.50M,,,326.90M,,,,,371.20M,,,40.00M,838.60M,,,,,,484.10M,-233.80M,250.30M,,269.00M,269.00M,,54.60M,573.90M,1.412B,,229.70M,,,,229.70M,,229.70M,,,4.90M,4.90M,,,26.70M,261.30M,149.30M,,149.30M,88.20M,88.20M,,,70.50M,308.00M,569.30M,,11.80M,1.083B,,,11.80M,,,,,,843.20M,,,
1993-07,112.00M,,112.00M,,,225.20M,,,,,360.90M,,,38.90M,737.00M,,,,,,487.30M,-233.80M,253.50M,,271.00M,271.00M,,52.60M,577.10M,1.314B,,190.90M,,,,190.90M,,190.90M,,,5.90M,5.90M,,,33.30M,230.10M,154.30M,,154.30M,83.90M,83.90M,,,65.10M,303.30M,533.40M,,11.80M,1.055B,,,11.80M,,,,,,780.70M,,,
1993-04,74.90M,,74.90M,238.90M,,238.90M,,,,,365.50M,,,41.00M,720.30M,,,,,,491.20M,-233.80M,257.40M,,279.70M,279.70M,,53.60M,590.70M,1.311B,,180.70M,,,,180.70M,,180.70M,,,6.40M,6.40M,,,23.30M,210.40M,154.40M,,154.40M,109.00M,109.00M,,,19.10M,282.50M,492.90M,,11.80M,1.058B,,,11.80M,,,,,,818.10M,,,
1993-01,72.90M,,72.90M,,,217.80M,,,,,379.40M,,,43.80M,713.90M,,,,,,463.00M,-204.60M,258.40M,,275.30M,275.30M,,64.90M,598.60M,1.312B,,176.60M,,,,176.60M,,176.60M,,,18.10M,18.10M,,,27.50M,222.20M,154.50M,,154.50M,106.40M,106.40M,,,23.90M,284.80M,507.00M,,11.80M,1.044B,,,11.80M,,,,,,805.50M,,,
1992-10,55.70M,,55.70M,,,321.30M,,,,,400.20M,,,45.80M,823.00M,,,,,,464.80M,-204.60M,260.20M,,279.40M,279.40M,,53.30M,592.90M,1.416B,,199.50M,,,,199.50M,,199.50M,,,120.50M,120.50M,,,21.90M,341.90M,154.60M,,154.60M,107.20M,107.20M,,,24.60M,286.40M,628.30M,,11.80M,1.025B,,,11.80M,,,,,,787.60M,,,
1992-07,59.00M,,59.00M,,,225.50M,,,,,364.40M,,,35.40M,684.30M,,,,,,450.90M,-204.60M,246.30M,,243.60M,243.60M,,53.40M,543.30M,1.228B,,199.40M,,,,199.40M,,199.40M,,,0.60M,0.60M,,,47.60M,247.60M,113.70M,,113.70M,106.30M,106.30M,,,23.30M,243.30M,490.90M,,11.80M,974.20M,,,11.80M,,,,,,736.70M,,,
1992-04,50.00M,,50.00M,,,208.30M,,,,,352.40M,,,40.80M,651.50M,,,,,,447.90M,-204.60M,243.30M,,245.20M,245.20M,,53.50M,542.00M,1.194B,,159.30M,,,,159.30M,,159.30M,,,20.80M,20.80M,,,34.00M,214.10M,114.20M,,114.20M,106.50M,106.50M,,,23.50M,244.20M,458.30M,,11.80M,972.80M,,,11.80M,,,,,,735.20M,,,
1992-01,38.40M,,38.40M,,,158.40M,,,,,346.90M,,,51.40M,595.10M,,,,,,422.00M,-181.60M,240.40M,,245.40M,245.40M,,52.50M,538.30M,1.133B,,136.90M,,,,136.90M,,136.90M,,,0.10M,0.10M,,,38.30M,175.30M,114.20M,,114.20M,100.90M,100.90M,,,22.80M,237.90M,413.20M,,11.80M,958.20M,,,11.80M,,,,,,720.20M,,,
1991-10,23.40M,,23.40M,,,279.50M,,,,,347.40M,,,42.60M,692.90M,,,,,,412.00M,-181.60M,230.40M,,247.40M,247.40M,,52.30M,530.10M,1.223B,,168.10M,,,,168.10M,,168.10M,,,71.00M,71.00M,,,45.20M,284.30M,112.80M,,112.80M,101.10M,101.10M,,,22.80M,236.70M,521.00M,,11.80M,940.90M,,,11.80M,,,,,,702.00M,,,
1991-07,23.20M,,23.20M,,,,,,,,,,,585.70M,608.90M,,,,,,405.60M,-181.60M,224.00M,,,,,300.40M,524.40M,1.133B,,,,,,,,,,,,,,,,251.20M,112.10M,,112.10M,98.10M,98.10M,,,22.50M,232.70M,483.90M,,11.80M,888.20M,,,11.80M,,,,,,649.40M,,,
1991-04,93.70M,,93.70M,,,177.30M,,,,,307.40M,,,43.20M,621.60M,,,,,,385.40M,-181.60M,203.80M,,206.90M,206.90M,,50.30M,461.00M,1.083B,,145.20M,,,,145.20M,,145.20M,,,2.20M,2.20M,,,42.80M,190.20M,112.30M,,112.30M,97.60M,97.60M,,,21.90M,231.80M,422.00M,,11.80M,891.50M,,,11.80M,,,,,,660.60M,,,
1991-01,106.00M,,106.00M,,,133.50M,,,,,303.60M,,,48.00M,591.10M,,,,,,352.60M,-160.90M,191.70M,,207.70M,207.70M,,39.60M,439.00M,1.030B,,108.00M,,,,108.00M,,108.00M,,,23.20M,23.20M,,,26.80M,158.00M,112.50M,,112.50M,96.80M,96.80M,,,13.90M,223.20M,381.20M,,11.80M,880.10M,,,11.80M,,,,,,648.90M,,,
1990-10,45.40M,,45.40M,,,,,,,,,,,580.00M,625.40M,,,,,,348.90M,-160.90M,188.00M,,,,,250.80M,438.80M,1.064B,,,,,,,,,,,,,,,,212.50M,114.10M,,114.10M,96.80M,96.80M,,,14.50M,225.40M,437.90M,,11.80M,857.60M,,,11.80M,,,,,,626.30M,,,
1990-07,64.60M,,64.60M,,,180.00M,,,,,292.60M,,,37.50M,574.70M,,,,,,344.10M,-160.90M,183.20M,,211.00M,211.00M,,45.50M,439.70M,1.014B,,129.90M,,,,129.90M,,129.90M,,,0.80M,0.80M,,,55.70M,186.40M,114.30M,,114.30M,96.40M,96.40M,,,15.20M,225.90M,412.30M,,11.80M,813.70M,,,11.80M,,,,,,602.10M,,,
1990-04,105.80M,,105.80M,,,159.80M,,,,,290.00M,,,31.60M,587.20M,,,,,,340.30M,-160.90M,179.40M,,212.60M,212.60M,,41.80M,433.80M,1.021B,,147.90M,,,,147.90M,,147.90M,,,0.80M,0.80M,,,50.30M,199.00M,114.50M,,114.50M,96.30M,96.30M,,,15.90M,226.70M,425.70M,,11.80M,806.80M,,,11.80M,,,,,,595.30M,,,
1990-01,121.90M,,121.90M,,,142.70M,,,,,273.60M,,,22.90M,561.10M,,,,,,313.10M,-141.70M,171.40M,,215.70M,215.70M,,33.90M,421.00M,982.10M,,118.00M,,,,118.00M,,118.00M,,,0.80M,0.80M,,,44.90M,163.70M,114.70M,,114.70M,99.90M,99.90M,,,18.90M,233.50M,397.20M,,11.80M,796.90M,,,11.80M,,,,,,584.90M,,,
1989-10,35.90M,,35.90M,,,251.00M,,,,,260.00M,,,21.90M,568.80M,,,,,,311.60M,-141.70M,169.90M,,216.70M,216.70M,,31.90M,418.50M,987.30M,,139.50M,,,,139.50M,,139.50M,,,0.80M,0.80M,,,39.60M,179.90M,114.90M,,114.90M,104.50M,104.50M,,,19.70M,239.10M,419.00M,,11.80M,780.30M,,,11.80M,,,,,,568.30M,,,
1989-07,94.20M,,94.20M,,,159.50M,,,,,266.70M,,,13.20M,533.60M,,,,,,305.30M,-141.70M,163.60M,,289.80M,289.80M,,35.70M,489.10M,1.023B,,138.20M,,,,138.20M,,138.20M,,,25.80M,25.80M,,,44.00M,208.00M,115.10M,,115.10M,119.50M,119.50M,,,18.20M,252.80M,460.80M,,11.80M,773.40M,,,11.80M,,,,,,561.90M,,,
1989-04,95.60M,,95.60M,,,159.00M,,,,,244.90M,,,17.90M,517.40M,,,,,,302.80M,-141.70M,161.10M,,289.60M,289.60M,,35.20M,485.90M,1.003B,,138.60M,,,,138.60M,,138.60M,,,25.80M,25.80M,,,39.80M,204.20M,115.30M,,115.30M,113.60M,113.60M,,,14.50M,243.40M,447.60M,,11.80M,767.30M,,,11.80M,,,,,,555.70M,,,
1988-04,49.10M,,49.10M,,,148.90M,,,,,238.80M,,,18.90M,455.70M,,,,,,277.50M,-129.80M,147.70M,,297.30M,297.30M,,31.60M,476.60M,932.30M,,,,,,,,,,,0.80M,0.80M,,,167.50M,168.30M,191.00M,,191.00M,102.40M,102.40M,,,28.00M,321.40M,489.70M,,,665.80M,,,,,,,,,442.60M,,,
1987-04,28.60M,,28.60M,,,190.60M,,,,,265.30M,,,35.40M,519.90M,,,,,,285.70M,-122.00M,163.70M,,347.70M,347.70M,,25.40M,536.80M,1.057B,,,,,,,,,,,19.50M,19.50M,,,163.70M,183.20M,199.50M,,199.50M,84.20M,84.20M,,,11.90M,295.60M,478.80M,,,602.70M,,,,,,,,,577.90M,,,
1986-04,23.80M,,23.80M,,,177.40M,,,,,285.50M,,,34.90M,521.60M,,,,,,265.60M,-104.20M,161.40M,,326.50M,326.50M,,28.30M,516.20M,1.038B,,,,,,,,,,,30.50M,30.50M,,,181.20M,211.70M,235.90M,,235.90M,62.10M,62.10M,,,11.70M,309.70M,521.40M,,,542.50M,,,,,,,,,516.40M,,,
1985-04,23.40M,,23.40M,,,157.30M,,,,,280.70M,,,27.90M,489.30M,,,,,,242.90M,-89.40M,153.50M,,264.80M,264.80M,,27.80M,446.10M,935.40M,,,,,,,,,,,28.20M,28.20M,,,135.20M,163.40M,266.20M,,266.20M,39.90M,39.90M,,,11.80M,317.90M,481.30M,,,477.90M,,,,,,,,,454.10M,,,
1984-04,24.80M,,24.80M,,,166.50M,,,,,307.40M,,,31.10M,529.80M,,,,,,227.80M,-75.40M,152.40M,,273.00M,273.00M,,27.60M,453.00M,982.80M,,,,,,,,,,,43.60M,43.60M,,,129.70M,173.30M,264.40M,,264.40M,26.80M,26.80M,,,11.80M,303.00M,476.30M,,,417.60M,,,,,,,,,506.50M,,,
