,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,InvestmentWriteOff,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2010-09,228.61M,228.61M,66.36M,162.25M,,34.96M,,,34.13M,,120.23M,7.375M,-112.86M,8.338M,126.52M,35.74M,7.375M,120.23M,-112.86M,49.50M,-112.86M,-27.62M,7.455M,-35.08M,26.58M,,-0.19M,6.369M,-8.683M,-61.44M,186.16M,93.55M,92.61M,-0.19,0.12,,,-0.3129,-0.07,-0.19,0.12,,,-0.3129,-0.07,212.94M,212.94M,0.28
2010-06,219.15M,219.15M,64.02M,155.13M,,38.92M,,,6.918M,,120.29M,0.00,-120.29M,,115.79M,39.33M,0.00,120.29M,-120.29M,3.016M,-120.29M,-77.94M,-40.25M,-37.69M,21.10M,,-0.191M,6.369M,-16.78M,-37.69M,171.78M,129.43M,42.35M,-0.21,0.1,,,-0.2091,-0.11,-0.21,0.1,,,-0.2091,-0.11,212.84M,212.84M,0.28
2010-03,154.09M,154.09M,48.12M,105.97M,,32.26M,,,0.928M,,32.59M,,-32.59M,,79.65M,26.33M,,32.59M,-32.59M,4.803M,-32.59M,-1.46M,,-1.46M,0.84M,,0.469M,3.952M,-0.151M,-1.919M,78.51M,44.37M,31.13M,-0.04,0.01,,,-0.0462,-0.03,-0.04,0.01,,,-0.0462,-0.03,148.67M,148.67M,0.28
2009-12,158.16M,158.16M,48.17M,109.99M,,31.46M,,,-13.26M,,30.65M,,-30.65M,2.088M,84.07M,25.92M,,30.65M,-30.65M,-9.433M,-30.65M,,,-14.17M,4.065M,,-3.015M,3.95M,-13.12M,-8.565M,76.44M,46.90M,25.92M,-0.03,-0.01,,,0.0283,-0.04,-0.03,-0.01,,,0.0283,-0.04,147.71M,147.71M,0.28
2009-09,153.57M,153.57M,45.15M,108.42M,,27.41M,,,4.672M,,27.50M,,-27.50M,3.049M,76.43M,31.99M,,27.50M,-27.50M,7.929M,-27.50M,,,12.42M,64.04M,,-9.324M,3.952M,67.14M,0.0582M,77.96M,42.41M,31.99M,0.02,0.41,,,-0.0009,0.43,0.02,0.41,,,-0.0008,0.43,145.33M,145.66M,0.28
2009-06,148.57M,148.57M,42.95M,105.62M,,25.96M,,,3.047M,,27.77M,,-27.77M,4.207M,68.69M,36.93M,,27.77M,-27.77M,7.331M,-27.77M,,,16.48M,12.55M,,-7.66M,3.952M,21.37M,6.844M,75.45M,36.76M,36.93M,0.06,0.06,,,0.0464,0.12,0.06,0.06,,,0.0464,0.12,145.32M,145.38M,0.28
2009-03,163.42M,163.42M,49.39M,114.03M,,31.57M,,,-149.01M,,32.80M,,-32.80M,,73.70M,40.33M,,32.80M,-32.80M,-149.04M,-32.80M,-141.51M,,-141.51M,18.48M,,4.626M,3.952M,-118.40M,12.12M,-66.58M,38.73M,-108.71M,-1.42,0.18,,,0.0864,-1.24,-1.42,0.18,,,0.0864,-1.24,98.92M,98.92M,0.28
2008-12,158.28M,158.28M,44.14M,114.15M,,40.80M,,,-195.07M,,33.12M,,-33.12M,2.446M,81.43M,32.72M,,33.12M,-33.12M,-192.31M,-33.12M,,,-192.71M,-6.539M,,1.84M,3.95M,-197.41M,-64.08M,70.90M,36.69M,32.72M,-2.01,-0.06,,,-0.7108,-2.07,-2.01,-0.06,,,-0.7108,-2.07,97.60M,97.60M,0.0
2008-09,158.48M,158.48M,43.19M,115.29M,,34.72M,,,23.79M,,33.30M,,-33.30M,-1.088M,79.44M,35.85M,,33.30M,-33.30M,29.16M,-33.30M,,,31.71M,3.028M,,-6.586M,3.952M,28.15M,9.661M,81.65M,42.78M,35.85M,0.21,0.03,,,0.0508,0.24,0.21,0.03,,,0.0536,0.24,97.15M,98.83M,0.52
2008-06,202.54M,202.54M,46.21M,156.33M,,34.13M,,,32.28M,,36.53M,,-36.53M,1.422M,75.28M,81.05M,,36.53M,-36.53M,38.34M,-36.53M,,,82.86M,5.167M,,-11.01M,3.952M,77.02M,50.87M,120.78M,36.54M,81.05M,0.71,0.04,,,0.4938,0.75,0.69,0.04,,,0.4786,0.73,97.08M,99.27M,0.52
