,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,NotesReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
1995-03,15.00M,15.00M,,,,201.90M,,,,,120.70M,,,,82.70M,420.30M,,,,,,,2.684B,-555.80M,2.128B,,,,,,,181.80M,2.310B,2.730B,,301.60M,,301.60M,,301.60M,,,74.80M,,74.80M,,,,40.40M,416.80M,,946.10M,,946.10M,297.60M,,297.60M,,,,,,55.50M,1.299B,1.716B,,12.70M,429.20M,,,12.70M,,,,1.014B,,,
1994-12,26.20M,26.20M,,,,232.30M,,,,,182.10M,,,,92.30M,532.90M,,,,,,,2.673B,-531.50M,2.141B,,,,,,,157.30M,2.298B,2.831B,,341.70M,,341.70M,,341.70M,,,62.20M,,62.20M,,,,56.90M,460.80M,,1.022B,,1.022B,264.20M,,264.20M,,,,,,59.40M,1.345B,1.806B,,12.70M,442.70M,,,12.70M,,,,1.025B,,,
1994-09,9.70M,9.70M,,,,202.00M,,,,,170.90M,,,,52.60M,435.20M,,,,,,,2.576B,-507.30M,2.068B,,,,,,,144.60M,2.213B,2.648B,,255.80M,,255.80M,,255.80M,,,62.20M,,62.20M,,,,46.40M,364.40M,,954.70M,,954.70M,240.80M,,240.80M,,,,,,58.70M,1.254B,1.619B,,13.80M,447.40M,,,13.80M,,,,1.029B,,,
1994-06,48.00M,48.00M,,,,,,,,,,,,,434.00M,482.00M,,,,,,,2.444B,-361.90M,2.082B,,,,,,,147.60M,2.230B,2.712B,,,,,,,,,,,,,,,,421.10M,,972.60M,,972.60M,237.10M,,237.10M,,,,,,58.00M,1.268B,1.689B,,13.80M,447.30M,,,13.80M,,,,1.023B,,,
1994-03,126.30M,126.30M,,,,77.10M,,,,,101.20M,,,,41.90M,346.50M,,,,,,,1.656B,-361.90M,1.294B,,,,,,,227.30M,1.522B,1.868B,,73.10M,,73.10M,,73.10M,,,28.80M,,28.80M,,,,39.40M,141.30M,,424.80M,,424.80M,235.60M,,235.60M,,,,,,40.10M,700.50M,841.80M,,13.80M,447.30M,,,13.80M,,,,1.026B,,,
1993-12,7.30M,7.30M,,,,64.50M,,,,,113.40M,,,,50.30M,235.50M,,,,,,,1.640B,-346.60M,1.294B,,,,,,,235.30M,1.529B,1.764B,,91.00M,,91.00M,,91.00M,,,28.70M,,28.70M,,,,33.30M,153.00M,,485.60M,,485.60M,232.60M,,232.60M,,,,,,37.10M,755.30M,908.30M,,13.80M,446.90M,,,13.80M,,,,856.10M,,,
1993-09,39.80M,39.80M,,,,82.60M,,,,,157.90M,,,,55.20M,335.50M,,,,,,,1.590B,-331.80M,1.258B,,,,,,,225.50M,1.484B,1.819B,,102.30M,,102.30M,,102.30M,,,26.50M,,26.50M,,,,42.90M,171.70M,,488.40M,,488.40M,251.10M,,251.10M,,,,,,39.00M,778.50M,950.20M,,13.80M,462.10M,,,13.80M,,,,869.10M,,,
1993-06,7.80M,7.80M,,,,99.00M,,,,,146.90M,,,,53.80M,307.50M,,,,,,,1.614B,-336.80M,1.278B,,,,,,,236.80M,1.514B,1.822B,,99.60M,,99.60M,,99.60M,,,23.30M,,23.30M,,,,37.70M,160.60M,,513.60M,,513.60M,235.40M,,235.40M,,,,,,43.70M,792.70M,953.30M,,15.00M,461.80M,,,15.00M,,,,868.60M,,,
1993-03,8.10M,8.10M,,,,112.00M,,,,,121.10M,,,,37.80M,279.00M,,,,,,,1.586B,-323.90M,1.262B,,,,,,,236.30M,1.499B,1.778B,,92.10M,,92.10M,,92.10M,,,20.50M,,20.50M,,,,40.30M,152.90M,,503.60M,,503.60M,227.40M,,227.40M,,,,,,45.30M,776.30M,929.20M,,15.00M,442.20M,,,15.00M,,,,848.40M,,,
1992-12,8.20M,8.20M,,,,99.80M,,,,,146.40M,,,,50.40M,304.80M,,,,,,,1.543B,-311.30M,1.232B,,,,,,,222.20M,1.454B,1.759B,,113.50M,,113.50M,,113.50M,,,23.00M,,23.00M,,,,38.00M,174.50M,,482.40M,,482.40M,226.20M,,226.20M,,,,,,40.20M,748.80M,923.30M,,15.00M,431.60M,,,15.00M,,,,835.80M,,,
1992-09,7.50M,7.50M,,,,106.30M,,,,,176.70M,,,,41.70M,332.20M,,,,,,,1.502B,-300.20M,1.202B,,,,,,,208.90M,1.411B,1.743B,,127.40M,,127.40M,,127.40M,,,30.30M,,30.30M,,,,46.80M,204.50M,,459.40M,,459.40M,207.40M,,207.40M,,,,,,39.60M,706.40M,910.90M,,16.10M,428.40M,,,16.10M,,,,831.90M,,,
1992-06,41.90M,41.90M,,,,98.90M,,,,,145.20M,,,,38.40M,324.40M,,,,,,,1.452B,-288.90M,1.163B,,,,,,,192.00M,1.355B,1.679B,,136.70M,,136.70M,,136.70M,,,1.30M,,1.30M,,,,37.40M,175.40M,,455.00M,,455.00M,203.00M,,203.00M,,,,,,38.20M,696.20M,871.60M,,16.10M,405.40M,,,16.10M,,,,807.40M,,,
1992-03,9.70M,9.70M,,,,84.80M,,,,,152.40M,,,,23.50M,270.40M,,,,,,,1.327B,-276.10M,1.050B,,,,,,,191.80M,1.242B,1.513B,,90.80M,,90.80M,,90.80M,,,1.90M,,1.90M,,,,39.60M,132.30M,,349.00M,,349.00M,194.80M,,194.80M,,,,,,42.60M,586.40M,718.70M,,16.10M,383.00M,,,16.10M,,,,794.00M,,,
1991-12,13.90M,13.90M,,,,56.30M,,,,,184.90M,,,,33.20M,288.30M,,,,,,,1.265B,-266.90M,998.20M,,,,,,,194.40M,1.193B,1.481B,,132.90M,,132.90M,,132.90M,,,1.80M,,1.80M,,,,33.00M,167.70M,,379.90M,,379.90M,186.00M,,186.00M,,,,,,44.70M,610.60M,778.30M,,16.10M,366.90M,,,16.10M,,,,702.60M,,,
1991-09,89.20M,89.20M,,,,58.80M,,,,,140.80M,,,,26.40M,315.20M,,,,,,,1.186B,-258.30M,928.00M,,,,,,,158.50M,1.086B,1.402B,,96.30M,,96.30M,,96.30M,,,1.80M,,1.80M,,,,39.60M,137.70M,,340.00M,,340.00M,177.40M,,177.40M,,,,,,40.80M,558.20M,695.90M,,17.30M,350.30M,,,17.30M,,,,705.80M,,,
1991-06,142.70M,142.70M,,,,64.70M,,,,,104.60M,,,,27.60M,339.60M,,,,,,,1.126B,-249.10M,876.80M,,,,,,,149.70M,1.026B,1.366B,,76.50M,,76.50M,,76.50M,,,1.70M,,1.70M,,,,34.00M,112.20M,,340.80M,,340.80M,163.50M,,163.50M,,,,,,40.20M,544.50M,656.70M,,17.30M,326.90M,,,17.30M,,,,709.40M,,,
1991-03,172.90M,172.90M,,,,72.30M,,,,,120.40M,,,,20.80M,386.40M,,,,,,,1.086B,-240.10M,845.60M,,,,,,,149.50M,995.10M,1.382B,,120.10M,,120.10M,,120.10M,,,1.70M,,1.70M,,,,35.30M,157.10M,,340.90M,,340.90M,151.30M,,151.30M,,,,,,42.90M,535.10M,692.20M,,17.30M,307.10M,,,17.30M,,,,689.30M,,,
1990-12,51.70M,51.70M,,,,69.90M,,,,,169.50M,,,,23.90M,315.00M,,,,,,,1.038B,-231.80M,806.00M,,,,,,,133.00M,939.00M,1.254B,,117.00M,,117.00M,,117.00M,,,1.60M,,1.60M,,,,30.80M,149.40M,,247.40M,,247.40M,141.40M,,141.40M,,,,,,40.50M,429.30M,578.70M,,17.30M,291.00M,,,17.30M,,,,675.30M,,,
1990-09,9.00M,9.00M,,,,103.60M,,,,,171.70M,,,,27.70M,312.00M,,,,,,,968.40M,-223.20M,745.20M,,,,,,,86.90M,832.10M,1.144B,,155.80M,,155.80M,,155.80M,,,1.60M,,1.60M,,,,26.70M,184.10M,,141.80M,,141.80M,123.60M,,123.60M,,,,,,45.40M,310.80M,494.90M,,18.50M,262.30M,,,18.50M,,,,649.20M,,,
1990-06,6.10M,6.10M,,,,63.10M,,,,,138.50M,,,,19.10M,226.80M,,,,,,,932.50M,-214.70M,717.80M,,,,,,,63.10M,780.90M,1.008B,,68.20M,,68.20M,,68.20M,,,40.30M,,40.30M,,,,20.00M,128.50M,,172.50M,,172.50M,109.50M,,109.50M,,,,,,44.40M,326.40M,454.90M,,18.50M,235.20M,,,18.50M,,,,552.80M,,,
1990-03,7.60M,7.60M,,,,76.30M,,,,,118.10M,,,,24.30M,226.30M,,,,,,,911.80M,-206.30M,705.50M,,,,,,,61.90M,767.40M,993.70M,,62.80M,,62.80M,,62.80M,,,28.50M,,28.50M,,,,23.20M,114.50M,,196.40M,,196.40M,100.60M,,100.60M,,,,,,45.30M,342.30M,456.80M,,18.50M,219.60M,,,18.50M,,,,536.90M,,,
1989-12,15.10M,15.10M,,,,81.50M,,,,,126.60M,,,,23.90M,247.10M,,,,,,,904.20M,-197.90M,706.30M,,,,,,,64.20M,770.50M,1.018B,,80.50M,,80.50M,,80.50M,,,21.50M,,21.50M,,,,19.70M,121.70M,,221.90M,,221.90M,96.30M,,96.30M,,,,,,46.80M,365.00M,486.70M,,18.40M,213.40M,,,18.40M,,,,530.90M,,,
1988-12,20.90M,20.90M,,,,47.20M,,,,,84.10M,,,,13.40M,165.60M,,,,,,,869.20M,-165.20M,704.00M,,,,,,,56.90M,760.90M,926.50M,,,,,,,,,12.90M,,12.90M,,,,64.10M,77.00M,,186.00M,,186.00M,79.60M,,79.60M,,,,,,76.00M,341.60M,418.60M,,,190.50M,,,,,,,507.90M,,,
1987-12,23.30M,23.30M,,,,46.90M,,,,,89.20M,,,,9.10M,168.50M,,,,,,,857.50M,-132.50M,725.00M,,,,,,,71.20M,796.20M,964.70M,,,,,,,,,0.30M,,0.30M,,,,98.00M,98.30M,,213.90M,,213.90M,76.30M,,76.30M,,,,,,83.80M,374.00M,472.30M,,,176.40M,,,,,,,492.40M,,,
1986-12,19.60M,19.60M,,,,178.30M,,,,,95.10M,,,,19.10M,312.10M,,,,,,,1.744B,-407.60M,1.337B,,,,,,,48.50M,1.385B,1.697B,,,,,,,,,81.70M,,81.70M,,,,241.30M,323.00M,,825.00M,,825.00M,110.80M,,110.80M,,,,,,61.20M,997.00M,1.32B,,,174.50M,,,,,,,377.30M,,,
1985-12,71.50M,71.50M,,,,249.00M,,,,,160.20M,,,,22.10M,502.80M,,,,,,,1.739B,-275.60M,1.463B,,,,,,,29.00M,1.492B,1.995B,,,,,,,,,71.60M,,71.60M,,,,288.90M,360.50M,,903.80M,,903.80M,191.60M,,191.60M,,,,,,56.10M,1.152B,1.512B,,,283.80M,,,,,,,482.90M,,,
1984-12,43.80M,43.80M,,,,224.10M,,,,,177.10M,,,,15.20M,460.20M,,,,,,,1.718B,-224.60M,1.494B,,,,,,,44.20M,1.538B,1.998B,,,,,,,,,60.40M,,60.40M,,,,326.10M,386.50M,,981.10M,,981.10M,159.70M,,159.70M,,,,,,32.00M,1.173B,1.559B,,,258.80M,,,,,,,438.80M,,,
