,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
1993-12,146.10M,,146.10M,,2.762B,250.90M,,,711.50M,3.871B,,,,,,,,32.33B,-11.96B,20.37B,,,,,5.308B,25.67B,29.54B,,2.135B,,,,2.135B,,2.135B,,,,2.677B,,2.677B,,,1.312B,6.124B,7.206B,,7.206B,2.914B,2.914B,,,5.076B,15.20B,21.32B,,,3.094B,,,,,,,8.224B,,,
1993-09,271.10M,,271.10M,,2.752B,247.70M,,,776.00M,4.047B,,,,,,,,31.85B,-11.80B,20.06B,,,,,4.672B,24.73B,28.78B,,1.779B,,,,1.779B,,1.779B,,,,2.209B,,2.209B,,,1.328B,5.316B,7.267B,,7.267B,3.014B,3.014B,,,4.937B,15.22B,20.53B,,,3.139B,,,,,,,8.242B,,,
1993-06,111.50M,,111.50M,,2.637B,247.40M,,,791.00M,3.787B,,,,,,,,31.58B,-11.45B,20.12B,,,,,4.855B,24.98B,28.76B,,1.688B,,,,1.688B,,1.688B,,,,2.619B,,2.619B,,,1.230B,5.536B,7.165B,,7.165B,2.937B,2.937B,,,5.018B,15.12B,20.66B,,,3.052B,,,,,,,8.106B,,,
1993-03,106.40M,,106.40M,,2.592B,255.40M,,,910.30M,3.865B,,,,,,,,31.30B,-11.06B,20.24B,,,,,4.782B,25.02B,28.88B,,1.674B,,,,1.674B,,1.674B,,,,2.387B,,2.387B,,,1.419B,5.480B,7.458B,,7.458B,2.936B,2.936B,,,4.995B,15.39B,20.87B,,,2.979B,,,,,,,8.012B,,,
1992-12,296.00M,,296.00M,,2.629B,266.00M,,,800.50M,3.991B,,,,,,,,31.05B,-10.72B,20.33B,,,,,3.778B,24.11B,28.10B,,1.940B,,,,1.940B,,1.940B,,,,2.704B,,2.704B,,,1.229B,5.872B,7.348B,,7.348B,3.094B,3.094B,,,3.968B,14.41B,20.28B,,,2.853B,,,,,,,7.816B,,,
1992-09,231.20M,,231.20M,,2.628B,291.00M,,,854.20M,4.004B,,,,,,,,32.03B,-11.96B,20.07B,,,,,3.818B,23.89B,27.90B,,1.616B,,,,1.616B,,1.616B,,,,2.457B,,2.457B,,,1.366B,5.440B,7.627B,,7.627B,3.046B,3.046B,,,4.055B,14.73B,20.17B,,,2.814B,,,,,,,7.728B,,,
1992-06,228.30M,,228.30M,,2.577B,301.20M,,,819.80M,3.926B,,,,,,,,31.91B,-11.69B,20.22B,,,,,4.000B,24.22B,28.14B,,1.543B,,,,1.543B,,1.543B,,,,2.909B,,2.909B,,,1.212B,5.664B,7.861B,,7.861B,3.037B,3.037B,,,4.006B,14.90B,20.57B,,,2.705B,,,,,,,7.577B,,,
1992-03,242.10M,,242.10M,,,,,,3.523B,3.765B,,,,,,,,31.82B,-11.89B,19.93B,,,,,3.883B,23.82B,27.58B,,,,,,,,,,,,1.954B,,1.954B,,,2.768B,4.723B,7.889B,,7.889B,,,,,6.96B,14.85B,19.57B,,,3.198B,,,,,,,8.011B,,,
1991-12,130.60M,,130.60M,,2.588B,293.30M,,,837.90M,3.849B,,,,,,,,31.85B,-11.89B,19.96B,,,,,4.070B,24.03B,27.88B,,1.877B,,,,1.877B,,1.877B,,,,2.014B,,2.014B,,,1.284B,5.175B,7.960B,,7.960B,3.06B,3.06B,,,3.856B,14.88B,20.05B,,,3.089B,,,,,,,7.831B,,,
1991-09,149.90M,,149.90M,,2.52B,313.50M,,,830.80M,3.814B,,,,,,,,31.62B,-11.87B,19.75B,,,,,4.431B,24.18B,28.00B,,1.929B,,,,1.929B,,1.929B,,,,2.313B,,2.313B,,,1.319B,5.561B,8.241B,,8.241B,4.003B,4.003B,,,843.30M,13.09B,18.65B,,,4.649B,,,,,,,9.347B,,,
1991-06,116.90M,,116.90M,,2.652B,346.50M,,,725.80M,3.841B,,,,,,,,31.38B,-11.70B,19.69B,,,,,4.541B,24.23B,28.07B,,1.866B,,,,1.866B,,1.866B,,,,2.952B,,2.952B,,,1.234B,6.052B,8.034B,,8.034B,3.985B,3.985B,,,853.10M,12.87B,18.92B,,,4.511B,,,,,,,9.145B,,,
1991-03,164.50M,,164.50M,,2.632B,359.30M,,,699.10M,3.855B,,,,,,,,31.06B,-11.52B,19.55B,,,,,4.595B,24.14B,28.00B,,1.786B,,,,1.786B,,1.786B,,,,2.652B,,2.652B,,,1.446B,5.884B,8.218B,,8.218B,3.975B,3.975B,,,870.40M,13.06B,18.95B,,,4.400B,,,,,,,9.049B,,,
1990-12,94.70M,,94.70M,,2.685B,357.90M,,,689.80M,3.828B,,,,,,,,30.78B,-11.34B,19.45B,,,,,4.724B,24.17B,28.00B,,2.171B,,,,2.171B,,2.171B,,,,2.597B,,2.597B,,,1.197B,5.965B,8.171B,,8.171B,4.017B,4.017B,,,915.30M,13.10B,19.07B,,,4.291B,,,,,,,8.93B,,,
1990-09,34.00M,,34.00M,,2.737B,341.10M,,,768.40M,3.880B,,,,,,,,30.38B,-11.22B,19.16B,,,,,4.922B,24.08B,27.96B,,1.828B,,,,1.828B,,1.828B,,,,2.810B,,2.810B,,,1.283B,5.921B,8.179B,,8.179B,3.987B,3.987B,,,966.60M,13.13B,19.05B,,,4.269B,,,,,,,8.905B,,,
1990-06,272.10M,,272.10M,,2.556B,314.90M,,,788.40M,3.931B,,,,,,,,29.97B,-10.95B,19.02B,,,,,3.670B,22.69B,26.62B,,1.663B,,,,1.663B,,1.663B,,,,2.052B,,2.052B,,,1.221B,4.936B,8.028B,,8.028B,3.933B,3.933B,,,971.00M,12.93B,17.87B,,,4.142B,,,,,,,8.754B,,,
1990-03,180.90M,,180.90M,,2.343B,309.10M,,,933.70M,3.767B,,,,,,,,29.62B,-10.72B,18.90B,,,,,3.581B,22.48B,26.25B,,1.637B,,,,1.637B,,1.637B,,,,1.976B,,1.976B,,,1.374B,4.987B,7.772B,,7.772B,3.896B,3.896B,,,973.50M,12.64B,17.63B,,,4.012B,,,,,,,8.623B,,,
1989-12,164.20M,,164.20M,,2.401B,278.70M,,,924.70M,3.769B,,,,,,,,29.31B,-10.44B,18.87B,,,,,3.577B,22.45B,26.22B,,2.158B,,,,2.158B,,2.158B,,,,1.731B,,1.731B,,,1.164B,5.053B,7.721B,,7.721B,3.860B,3.860B,,,995.80M,12.58B,17.63B,,,3.890B,,,,,,,8.591B,,,
1988-12,301.60M,,301.60M,,2.122B,316.50M,,,465.80M,3.206B,,,,,,,,27.57B,-9.396B,18.17B,,,,,3.349B,21.52B,24.73B,,,,,,,,,,,,1.589B,,1.589B,,,2.676B,4.265B,6.557B,,6.557B,3.576B,3.576B,,,1.154B,11.29B,15.55B,,,3.689B,,,,,,,9.177B,,,
1987-12,228.70M,,228.70M,,1.678B,298.60M,,,591.80M,2.797B,,,,,,,,25.32B,-8.075B,17.25B,,,,,1.203B,18.45B,21.25B,,,,,,,,,,,,659.00M,,659.00M,,,2.525B,3.184B,5.199B,,5.199B,3.124B,3.124B,,,996.00M,9.319B,12.50B,,,3.179B,,,,,,,8.742B,,,
1986-12,213.30M,,213.30M,,1.795B,270.90M,,,476.10M,2.756B,,,,,,,,23.72B,-6.788B,16.93B,,,,,1.404B,18.34B,21.09B,,,,,,,,,,,,1.087B,,1.087B,,,2.507B,3.594B,4.957B,,4.957B,3.057B,3.057B,,,1.162B,9.176B,12.77B,,,2.702B,,,,,,,8.321B,,,
1985-12,239.30M,,239.30M,,1.733B,242.30M,,,469.40M,2.684B,,,,,,,,22.14B,-5.602B,16.54B,,,,,568.00M,17.10B,19.79B,,,,,,,,,,,,635.30M,,635.30M,,,2.197B,2.832B,4.890B,,4.890B,2.955B,2.955B,,,1.190B,9.035B,11.87B,,,2.252B,,,,,,,7.921B,,,
1984-12,267.20M,,267.20M,,1.770B,121.80M,,,441.20M,2.600B,,,,,,,,20.60B,-4.813B,15.79B,,,,,295.10M,16.08B,18.68B,,,,,,,,,,,,574.00M,,574.00M,,,2.167B,2.741B,4.745B,,4.745B,2.636B,2.636B,,,1.054B,8.435B,11.18B,,,1.847B,,,,,,,7.508B,,,
