,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2003-06,424.75M,424.75M,104.67M,320.08M,,,24.93M,2.68M,11.70M,,,,143.22M,176.87M,,,2.68M,,165.74M,56.95M,108.79M,,2.758M,108.79M,107.03M,283.46M,106.59M,176.87M,0.2325,0.0,,0.2287,0.2325,0.2275,0.0,,0.2237,0.2275,457.53M,464.52M,0.01
2003-03,464.38M,464.38M,72.42M,391.96M,,,20.42M,-23.47M,30.19M,,,-0.291M,153.88M,238.08M,,,-23.47M,,210.96M,74.41M,136.56M,-7.131M,2.758M,129.42M,151.75M,341.64M,103.55M,238.08M,0.2925,-0.015,0.0,0.3257,0.2775,0.2875,-0.015,-0.0156,0.3202,0.2725,457.71M,464.90M,0.01
2002-12,385.56M,385.56M,48.05M,337.51M,,,24.67M,-114.77M,20.90M,,,,267.17M,70.34M,,,-114.77M,,57.11M,12.69M,44.42M,,2.758M,44.42M,133.68M,175.76M,105.41M,70.34M,0.09,0.0,,0.2846,0.09,0.09,0.0,,0.2804,0.09,458.70M,468.72M,0.01
2002-09,279.87M,279.87M,79.45M,200.42M,,,21.58M,-0.064M,16.93M,,,,138.72M,61.70M,,,-0.064M,,42.87M,13.98M,28.89M,,2.758M,28.89M,28.93M,161.91M,100.21M,61.70M,0.0575,0.0,,0.0576,0.0575,0.055,0.0,,0.0551,0.055,462.48M,468.31M,0.01
2002-06,290.50M,290.50M,82.91M,207.59M,,,21.99M,0.097M,18.01M,,,,137.95M,69.64M,,,0.097M,,55.56M,17.45M,38.11M,,2.758M,38.11M,38.04M,167.60M,97.96M,69.64M,0.0775,0.0,,0.0774,0.0775,0.075,0.0,,0.0749,0.075,462.95M,470.76M,0.01
2002-03,186.50M,186.50M,76.00M,110.51M,,,20.71M,-3.103M,16.04M,,,,131.21M,-20.71M,,,-3.103M,,-35.86M,-11.62M,-24.24M,,2.758M,-24.24M,-22.14M,73.75M,94.46M,-20.71M,-0.0575,0.0,,-0.053,-0.0575,-0.0575,0.0,,-0.053,-0.0575,461.94M,461.94M,0.01
2001-12,138.73M,237.41M,121.65M,115.77M,,,22.35M,60.38M,14.24M,,,,134.21M,-18.45M,,,60.38M,,-48.49M,-23.70M,-24.80M,,2.757M,-24.80M,-61.03M,79.17M,97.62M,-18.45M,-0.0575,0.0,,-0.1362,-0.0575,-0.0575,0.0,,-0.1359,-0.0575,460.46M,461.90M,0.01
2001-09,354.17M,354.17M,87.26M,266.91M,,,20.92M,1.272M,18.69M,,,,142.96M,123.95M,,,1.272M,,114.98M,43.01M,71.96M,,2.759M,71.96M,71.17M,227.30M,103.35M,123.95M,0.15,0.0,,0.1483,0.15,0.1475,0.0,,0.1458,0.1475,462.77M,468.56M,0.01
2001-06,466.05M,466.05M,90.23M,375.82M,,,18.74M,1.25M,25.37M,,,,141.58M,234.24M,,,1.25M,,224.86M,88.66M,136.20M,,2.757M,136.20M,135.45M,331.71M,97.47M,234.24M,0.2875,0.0,,0.2859,0.2875,0.2825,0.0,,0.2809,0.2825,463.48M,472.19M,0.01
2001-03,597.25M,597.25M,94.29M,502.97M,,,17.95M,-0.639M,37.03M,,,,148.94M,354.02M,,,-0.639M,,340.10M,124.85M,215.25M,,2.721M,215.25M,215.65M,447.98M,93.96M,354.02M,0.4575,0.0,,0.4584,0.4575,0.4475,0.0,,0.4484,0.4475,465.54M,475.81M,0.0088
