,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
1991-11,43.70M,,43.70M,,,328.50M,,,,,,,79.20M,451.40M,,,,,,,325.80M,-111.70M,214.10M,,,,,93.50M,307.60M,759.00M,,47.90M,,47.90M,,47.90M,,,58.60M,58.60M,,,,234.90M,341.40M,26.40M,26.40M,7.60M,7.60M,,9.70M,43.70M,385.10M,,,220.30M,,,,,373.90M,,,
1991-08,75.90M,,75.90M,,,315.40M,,,,,,,99.70M,491.00M,,,,,,,301.50M,-111.70M,189.80M,,,,,85.30M,275.10M,766.10M,,42.10M,,42.10M,,42.10M,,,112.00M,112.00M,,,,235.70M,389.80M,14.80M,14.80M,5.70M,5.70M,,10.00M,30.50M,420.30M,,,206.70M,,,,,345.80M,,,
1991-05,101.50M,,101.50M,,,386.00M,,,,,,,98.70M,586.20M,,,,,,,305.90M,-111.70M,194.20M,,,,,77.20M,271.40M,857.60M,,49.70M,,49.70M,,49.70M,,,180.10M,180.10M,,,,249.60M,479.40M,18.00M,18.00M,6.30M,6.30M,,9.20M,33.50M,512.90M,,,204.30M,,,,,344.70M,,,
1991-02,72.20M,,72.20M,,,385.10M,,,,,,,101.80M,559.10M,,,,,,,267.00M,-66.60M,200.40M,,,,,69.90M,270.30M,829.40M,,44.20M,,44.20M,,44.20M,,,218.80M,218.80M,,,,203.20M,466.20M,18.30M,18.30M,10.10M,10.10M,,6.50M,34.90M,501.10M,,,250.30M,,,,,328.30M,,,
1990-11,46.40M,,46.40M,,,453.00M,,,,,,,85.70M,585.10M,,,,,,,274.90M,-66.60M,208.30M,,,,,61.60M,269.90M,855.00M,,53.30M,,53.30M,,53.30M,,,33.90M,33.90M,,,,169.80M,257.00M,207.10M,207.10M,10.50M,10.50M,,6.30M,223.90M,480.90M,,,238.20M,,,,,374.10M,,,
1990-08,43.80M,,43.80M,,,394.60M,,,,,,,82.90M,521.30M,,,,,,,270.50M,-66.60M,203.90M,,,,,53.90M,257.80M,779.10M,,57.30M,,57.30M,,57.30M,,,35.00M,35.00M,,,,152.10M,244.40M,165.60M,165.60M,10.40M,10.40M,,,176.00M,420.40M,,,231.50M,,,,,358.70M,,,
1990-05,44.80M,,44.80M,,,497.00M,,,,,,,27.50M,569.30M,,,,,,,238.50M,-66.60M,171.90M,,,,,46.00M,217.90M,787.20M,,64.90M,,64.90M,,64.90M,,,42.50M,42.50M,,,,176.20M,283.60M,89.10M,89.10M,22.00M,22.00M,,4.90M,116.00M,399.60M,,,267.50M,,,,,387.60M,,,
1990-02,50.20M,,50.20M,,,384.50M,,,,,,,51.00M,485.70M,,,,,,,208.60M,-55.70M,152.90M,,,,,38.20M,191.10M,676.80M,,52.70M,,52.70M,,52.70M,,,58.60M,58.60M,,,,128.80M,240.10M,103.00M,103.00M,15.60M,15.60M,,-0.10M,118.50M,358.60M,,,150.10M,,,,,318.20M,,,
1989-05,49.40M,,49.40M,,,278.20M,,,,,,,9.30M,336.90M,,,,,,,127.90M,-33.40M,94.50M,,,,,28.80M,123.30M,460.20M,,,,,,,,,23.30M,23.30M,,,,155.00M,178.30M,33.50M,33.50M,12.10M,12.10M,,5.70M,51.30M,229.60M,,,150.10M,,,,,230.60M,,,
1988-05,48.60M,,48.60M,,,139.40M,,,,,,,3.80M,191.80M,,,,,,,50.30M,-2.70M,47.60M,,,,,10.20M,57.80M,249.60M,,,,,,,,,6.50M,6.50M,,,,95.70M,102.20M,5.40M,5.40M,7.40M,7.40M,,,12.80M,115.00M,,,68.30M,,,,,134.60M,,,
1987-05,37.60M,,37.60M,,,69.20M,,,,,,,2.30M,109.10M,,,,,,,35.00M,-8.10M,26.90M,,,,,7.80M,34.70M,143.80M,,,,,,,,,5.20M,5.20M,,,,43.20M,48.40M,9.00M,9.00M,3.70M,3.70M,,,12.70M,61.10M,,,25.40M,,,,,82.70M,,,
1986-05,12.50M,,12.50M,,,27.70M,,,,,,,1.30M,41.50M,,,,,,,14.50M,-0.20M,14.30M,,,,,1.60M,15.90M,57.40M,,,,,,,,,3.20M,3.20M,,,,19.10M,22.30M,5.60M,5.60M,0.80M,0.80M,,,6.40M,28.70M,,,9.80M,,,,,28.70M,,,
1985-05,0.60M,,0.60M,,,9.10M,,,,,,,0.30M,10.00M,,,,,,,6.00M,-1.50M,4.50M,,,,,1.00M,5.50M,15.50M,,,,,,,,,0.70M,0.70M,,,,5.70M,6.40M,1.40M,1.40M,0.30M,0.30M,,2.90M,4.60M,11.00M,,,3.90M,,,,,4.50M,,,
1984-05,0.10M,,0.10M,,,4.00M,,,,,,,0.10M,4.20M,,,,,,,2.80M,-0.60M,2.20M,,,,,0.70M,2.90M,7.10M,,,,,,,,,0.30M,0.30M,,,,3.70M,4.00M,0.20M,0.20M,0.10M,0.10M,,0.10M,0.40M,4.40M,,,2.30M,,,,,2.70M,,,
