,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,IncomeStatementDepreciation,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2008-12,408.38M,390.30M,132.32M,257.98M,,16.55M,,,33.42M,,78.86M,,-96.94M,,96.32M,161.66M,,78.86M,-96.94M,-152.17M,-96.94M,,,-112.62M,,,14.88M,,-97.74M,-119.46M,241.42M,79.77M,161.66M,-0.82,0.0,,,-0.9998,-0.82,-0.82,0.0,,,-0.9988,-0.82,120.80M,121.49M,0.68
2008-09,356.84M,357.99M,134.03M,223.96M,,18.76M,0.0,,-4.565M,,74.66M,1.152M,-73.51M,,94.08M,129.88M,1.152M,74.66M,-73.51M,-2.861M,-73.51M,,,52.35M,,,-9.274M,,43.08M,46.66M,205.20M,75.32M,129.88M,0.36,0.0,,,0.3899,0.36,0.35,0.0,,,0.3795,0.35,119.83M,121.37M,0.68
2008-06,364.40M,368.68M,125.55M,243.13M,,17.47M,0.0,,6.203M,,69.30M,4.275M,-65.03M,-0.097M,91.76M,151.37M,4.275M,69.30M,-65.03M,8.058M,-65.03M,,,90.12M,,,-14.64M,,75.48M,71.45M,225.76M,74.39M,151.37M,0.63,0.0,,,0.5963,0.63,0.62,0.0,,,0.5868,0.62,119.75M,121.32M,0.68
2008-03,358.78M,371.43M,123.63M,247.80M,,19.59M,0.0,,23.44M,,72.50M,12.65M,-59.84M,4.661M,98.92M,148.88M,12.65M,72.50M,-59.84M,24.48M,-59.84M,,,100.87M,,,-16.38M,,84.48M,69.25M,223.55M,74.67M,148.88M,0.71,0.0,,,0.5826,0.71,0.7,0.0,,,0.5741,0.7,119.54M,121.02M,0.68
2007-12,449.06M,380.79M,125.52M,255.26M,,16.59M,,,-61.20M,,68.29M,,-136.56M,,84.60M,170.67M,,68.29M,-136.56M,-60.40M,-136.56M,,,76.90M,47.32M,,,,124.22M,116.68M,242.32M,71.66M,170.67M,0.7,0.4,,,1.034,1.1,0.7,0.4,,,1.0290000000000001,1.1,119.21M,120.84M,0.68
2007-09,343.50M,368.58M,119.78M,248.80M,,20.19M,,,168.50M,,69.93M,25.08M,-44.85M,2.695M,93.80M,155.00M,25.08M,69.93M,-44.85M,169.88M,-44.85M,,,241.01M,1.357M,,-13.95M,,242.37M,131.49M,226.62M,71.62M,155.00M,2.01,0.01,,,1.09,2.02,1.98,0.01,,,1.072,1.99,119.01M,120.66M,0.68
2007-06,346.01M,372.21M,119.42M,252.80M,,16.29M,,,0.00,,73.74M,26.20M,-47.54M,,90.21M,162.59M,26.20M,73.74M,-47.54M,17.27M,-47.54M,,,89.27M,13.07M,,-16.84M,,102.34M,89.27M,237.21M,74.62M,162.59M,0.75,0.11,,,0.75,0.86,0.73,0.11,,,0.73,0.84,118.96M,120.98M,0.68
2007-03,360.70M,360.70M,118.88M,241.82M,,16.81M,,,619.21M,,,,,119.61M,206.19M,35.63M,,,,619.21M,,,,689.83M,164.47M,,-10.93M,,854.31M,287.35M,106.72M,71.09M,35.63M,5.75,1.39,,,2.344,7.14,5.63,1.36,,,2.294,6.99,118.18M,120.65M,0.68
2006-12,352.67M,352.67M,112.80M,239.87M,16.20M,16.20M,,,,,,,,0.011M,83.13M,156.74M,,,,,,,,63.77M,8.876M,,-25.09M,,72.64M,63.77M,227.20M,70.45M,156.74M,0.66,0.08,,,0.66,0.74,0.64,0.08,,,0.64,0.72,116.92M,119.21M,0.68
2006-09,359.50M,359.50M,117.52M,241.98M,,12.74M,,,17.89M,,,,,0.208M,83.50M,158.48M,,,,17.89M,,,,104.59M,3.371M,,-18.40M,,107.96M,93.86M,230.02M,71.55M,158.48M,0.9,0.03,,,0.807,0.93,0.88,0.03,,,0.7888,0.91,115.43M,117.73M,0.68
2006-06,357.91M,357.91M,115.25M,242.66M,15.80M,15.80M,,,581.30M,,,,,31.46M,114.33M,128.34M,,,,581.30M,,,,622.49M,3.244M,,-11.16M,,625.73M,273.71M,196.25M,67.91M,128.34M,5.3,0.03,,,2.24,5.33,5.2,0.03,,,2.198,5.23,113.99M,116.18M,0.68
2006-03,347.55M,347.55M,117.12M,230.44M,,14.64M,,,5.441M,,,,,0.467M,81.11M,149.32M,,,,5.441M,,,,67.12M,0.619M,,-15.35M,,67.74M,63.85M,216.17M,66.85M,149.32M,0.6,0.0,,,0.571,0.6,0.58,0.0,,,0.5517,0.59,112.51M,115.16M,0.68
2005-12,204.88M,311.56M,95.51M,216.05M,13.14M,13.14M,,,,,,,,-591.59M,86.47M,129.58M,,,,,,,,104.71M,53.41M,,-14.36M,,153.89M,104.71M,195.93M,66.35M,129.58M,0.93,0.49,,,0.93,1.38,0.92,0.47,,,0.92,1.35,112.35M,114.65M,0.68
